QUARTER,TIME_REMAINING,ORLANDO_ACTION,CHICAGO_ACTION,ORLANDO_SCORE,CHICAGO_SCORE
1,11:42.0,,K. Dunn misses 2-pt jump shot from 5 ft,0,0
1,11:40.0,Defensive rebound by N. Vučević,,0,0
1,11:26.0,J. Isaac misses 2-pt jump shot from 15 ft,,0,0
1,11:23.0,,Defensive rebound by L. Markkanen,0,0
1,11:03.0,,K. Dunn misses 2-pt layup from 2 ft,0,0
1,11:02.0,Defensive rebound by A. Gordon,,0,0
1,10:54.0,D. Augustin misses 3-pt jump shot from 26 ft,,0,0
1,10:52.0,,Defensive rebound by K. Dunn,0,0
1,10:44.0,,Z. LaVine misses 3-pt jump shot from 26 ft,0,0
1,10:44.0,,Offensive rebound by Team,0,0
1,10:44.0,Loose ball foul by E. Fournier (drawn by L. Markkanen),,0,0
1,10:28.0,,L. Markkanen misses 2-pt jump shot from 16 ft,0,0
1,10:25.0,Defensive rebound by N. Vučević,,0,0
1,10:15.0,A. Gordon makes 2-pt layup at rim,,2,0
1,9:59.0,,W. Carter misses 2-pt jump shot from 10 ft,2,0
1,9:57.0,Defensive rebound by N. Vučević,,2,0
1,9:50.0,Shooting foul by K. Dunn (drawn by D. Augustin),,2,0
1,9:50.0,D. Augustin misses free throw 1 of 2,,2,0
1,9:50.0,Offensive rebound by Team,,2,0
1,9:50.0,D. Augustin makes free throw 2 of 2,,3,0
1,9:29.0,,Z. LaVine makes 2-pt layup from 2 ft,3,2
1,9:15.0,N. Vučević makes 2-pt hook shot from 5 ft (assist by D. Augustin),,5,2
1,9:01.0,,Turnover by K. Dunn (bad pass; steal by N. Vučević),5,2
1,8:55.0,A. Gordon makes 2-pt dunk at rim (assist by D. Augustin),,7,2
1,8:45.0,,Z. LaVine makes 2-pt jump shot from 18 ft (assist by K. Dunn),7,4
1,8:33.0,N. Vučević makes 2-pt layup from 2 ft (assist by D. Augustin),,9,4
1,8:33.0,Shooting foul by W. Carter (drawn by N. Vučević),,9,4
1,8:33.0,N. Vučević misses free throw 1 of 1,,9,4
1,8:30.0,,Defensive rebound by W. Carter,9,4
1,8:13.0,,L. Markkanen makes 2-pt jump shot from 8 ft,9,6
1,7:58.0,N. Vučević misses 2-pt jump shot from 19 ft,,9,6
1,7:55.0,,Defensive rebound by K. Dunn,9,6
1,7:41.0,,L. Markkanen misses 2-pt layup from 2 ft (block by N. Vučević),9,6
1,7:40.0,Defensive rebound by Team,,9,6
