QUARTER,TIME_REMAINING,DENVER_ACTION,PORTLAND_ACTION,DENVER_SCORE,PORTLAND_SCORE
1,11:42.0,,C. McCollum misses 2-pt jump shot from 14 ft,0,0
1,11:39.0,Defensive rebound by P. Millsap,,0,0
1,11:31.0,P. Millsap misses 2-pt layup from 3 ft (block by E. Freedom),,0,0
1,11:28.0,,Defensive rebound by E. Freedom,0,0
1,11:26.0,,Shooting foul by J. Murray (drawn by A. Aminu),0,0
1,11:26.0,,A. Aminu makes free throw 1 of 2,0,1
1,11:26.0,,A. Aminu makes free throw 2 of 2,0,2
1,11:18.0,T. Craig misses 3-pt jump shot from 24 ft,,0,2
1,11:16.0,,Defensive rebound by A. Aminu,0,2
1,10:56.0,,Turnover by A. Aminu (lost ball; steal by G. Harris),0,2
1,10:50.0,G. Harris makes 2-pt layup from 4 ft,,2,2
1,10:41.0,,C. McCollum misses 2-pt jump shot from 3 ft,2,2
1,10:41.0,,Offensive rebound by A. Aminu,2,2
1,10:39.0,,A. Aminu misses 2-pt layup from 1 ft,2,2
1,10:39.0,,Offensive rebound by Team,2,2
1,10:31.0,,D. Lillard misses 3-pt jump shot from 31 ft,2,2
1,10:26.0,Defensive rebound by P. Millsap,,2,2
1,10:10.0,J. Murray misses 2-pt jump shot from 17 ft,,2,2
1,10:06.0,,Defensive rebound by C. McCollum,2,2
1,9:56.0,,E. Freedom misses 2-pt jump shot from 6 ft,2,2
1,9:54.0,Defensive rebound by P. Millsap,,2,2
1,9:47.0,J. Murray misses 3-pt jump shot from 25 ft,,2,2
1,9:43.0,Offensive rebound by T. Craig,,2,2
1,9:43.0,T. Craig misses 2-pt layup at rim,,2,2
1,9:43.0,,Defensive rebound by D. Lillard,2,2
1,9:43.0,,Personal foul by T. Craig (drawn by D. Lillard),2,2
1,9:25.0,,Shooting foul by G. Harris (drawn by C. McCollum),2,2
1,9:25.0,,C. McCollum makes free throw 1 of 2,2,3
1,9:25.0,,C. McCollum misses free throw 2 of 2,2,3
1,9:22.0,Defensive rebound by N. Jokić,,2,3
1,9:09.0,P. Millsap makes 2-pt layup from 1 ft,,4,3
1,8:52.0,,D. Lillard misses 2-pt jump shot from 21 ft,4,3
1,8:50.0,,Offensive rebound by M. Harkless,4,3
1,8:47.0,,Turnover by M. Harkless (lost ball; steal by P. Millsap),4,3
1,8:25.0,P. Millsap misses 2-pt jump shot from 14 ft,,4,3
1,8:23.0,,Defensive rebound by E. Freedom,4,3
1,8:09.0,,C. McCollum makes 3-pt jump shot from 25 ft (assist by A. Aminu),4,6
1,7:54.0,J. Murray makes 2-pt layup from 1 ft (assist by N. Jokić),,6,6
1,7:37.0,,A. Aminu misses 3-pt jump shot from 25 ft,6,6
1,7:34.0,,Offensive rebound by A. Aminu,6,6
1,7:27.0,,Turnover by A. Aminu (bad pass; steal by T. Craig),6,6
1,7:21.0,P. Millsap makes 3-pt jump shot from 23 ft (assist by N. Jokić),,9,6
1,6:59.0,,M. Harkless misses 2-pt hook shot from 3 ft,9,6
1,6:57.0,,Offensive rebound by E. Freedom,9,6
1,6:56.0,,E. Freedom makes 2-pt layup from 1 ft,9,8
1,6:37.0,Turnover by N. Jokić (lost ball; steal by E. Freedom),,9,8
1,6:31.0,,D. Lillard makes 2-pt layup at rim,9,10
1,6:18.0,G. Harris misses 2-pt jump shot from 4 ft,,9,10
1,6:16.0,,Defensive rebound by C. McCollum,9,10
1,5:52.0,,M. Harkless misses 3-pt jump shot from 22 ft,9,10
1,5:49.0,,Offensive rebound by D. Lillard,9,10
1,5:47.0,,D. Lillard makes 2-pt jump shot from 19 ft,9,12
1,5:46.0,Denver full timeout,,9,12
1,5:33.0,N. Jokić makes 2-pt jump shot from 21 ft (assist by G. Harris),,11,12
1,5:12.0,,D. Lillard makes 2-pt jump shot from 17 ft (assist by M. Harkless),11,14
1,4:53.0,T. Craig misses 3-pt jump shot from 23 ft,,11,14
1,4:50.0,,Defensive rebound by E. Freedom,11,14
1,4:35.0,,M. Harkless misses 2-pt hook shot from 3 ft,11,14
1,4:35.0,,Offensive rebound by Team,11,14
1,4:35.0,Loose ball foul by N. Jokić (drawn by E. Freedom),,11,14
1,4:35.0,M. Beasley enters the game for T. Craig,,11,14
1,4:22.0,,E. Freedom makes 2-pt jump shot from 7 ft (assist by D. Lillard),11,16
1,4:14.0,,Violation by Team (kicked ball),11,16
1,4:14.0,,R. Hood enters the game for M. Harkless,11,16
1,4:08.0,J. Murray misses 3-pt jump shot from 24 ft,,11,16
1,4:04.0,,Defensive rebound by D. Lillard,11,16
1,3:56.0,,D. Lillard misses 2-pt jump shot from 16 ft,11,16
1,3:56.0,Defensive rebound by P. Millsap,,11,16
1,3:51.0,Personal foul by R. Hood (drawn by P. Millsap),,11,16
1,3:51.0,M. Plumlee enters the game for P. Millsap,,11,16
1,3:51.0,,Z. Collins enters the game for A. Aminu,11,16
1,3:43.0,M. Beasley misses 3-pt jump shot from 24 ft,,11,16
1,3:39.0,Offensive rebound by J. Murray,,11,16
1,3:39.0,J. Murray makes 2-pt layup at rim,,13,16
1,3:21.0,,Turnover by E. Freedom (bad pass; steal by G. Harris),13,16
1,3:18.0,G. Harris makes 2-pt dunk from 1 ft,,15,16
1,3:12.0,,Z. Collins misses 2-pt hook shot from 3 ft,15,16
1,3:12.0,Defensive rebound by Team,,15,16
1,2:57.0,,Portland full timeout,15,16
1,2:57.0,,S. Curry enters the game for C. McCollum,15,16
1,2:49.0,N. Jokić makes 2-pt jump shot from 6 ft (assist by M. Beasley),,17,16
1,2:28.0,,E. Freedom misses 2-pt layup from 2 ft,17,16
1,2:26.0,,Offensive rebound by Z. Collins,17,16
1,2:26.0,M. Morris enters the game for J. Murray,,17,16
1,2:22.0,,Z. Collins misses 2-pt jump shot from 15 ft,17,16
1,2:20.0,Defensive rebound by M. Morris,,17,16
1,2:04.0,N. Jokić misses 2-pt jump shot from 16 ft,,17,16
1,1:58.0,,Defensive rebound by Z. Collins,17,16
1,1:56.0,,Turnover by Z. Collins (bad pass; steal by G. Harris),17,16
1,1:47.0,Turnover by N. Jokić (out of bounds lost ball),,17,16
1,1:47.0,W. Barton enters the game for G. Harris,,17,16
1,1:35.0,,R. Hood makes 2-pt jump shot from 13 ft,17,18
1,1:12.0,W. Barton misses 2-pt jump shot from 15 ft,,17,18
1,1:09.0,Offensive rebound by M. Beasley,,17,18
1,1:07.0,M. Beasley misses 3-pt jump shot from 24 ft,,17,18
1,1:03.0,Offensive rebound by M. Plumlee,,17,18
1,0:59.0,M. Morris misses 2-pt layup from 1 ft,,17,18
1,0:57.0,,Defensive rebound by D. Lillard,17,18
1,0:53.0,,Z. Collins makes 2-pt dunk from 1 ft (assist by D. Lillard),17,20
1,0:53.0,,Shooting foul by W. Barton (drawn by Z. Collins),17,20
1,0:53.0,P. Millsap enters the game for N. Jokić,,17,20
1,0:53.0,,A. Aminu enters the game for E. Freedom,17,20
1,0:53.0,,Z. Collins makes free throw 1 of 1,17,21
1,0:37.0,Personal foul by Z. Collins (drawn by W. Barton),,17,21
1,0:23.0,M. Plumlee misses 3-pt jump shot from 42 ft,,17,21
1,0:21.0,,Defensive rebound by Z. Collins,17,21
1,0:04.0,,A. Aminu makes 2-pt layup at rim (assist by D. Lillard),17,23
2,11:34.0,W. Barton misses 2-pt layup from 2 ft,,17,23
2,11:34.0,Offensive rebound by Team,,17,23
2,11:32.0,Shooting foul by E. Turner (drawn by P. Millsap),,17,23
2,11:32.0,P. Millsap misses free throw 1 of 2,,17,23
2,11:32.0,Offensive rebound by Team,,17,23
2,11:32.0,P. Millsap misses free throw 2 of 2,,17,23
2,11:30.0,,Defensive rebound by E. Turner,17,23
2,11:22.0,,E. Turner misses 2-pt jump shot from 11 ft,17,23
2,11:19.0,Defensive rebound by P. Millsap,,17,23
2,11:12.0,P. Millsap misses 2-pt jump shot from 11 ft,,17,23
2,11:11.0,,Defensive rebound by C. McCollum,17,23
2,11:02.0,,S. Curry makes 3-pt jump shot from 23 ft (assist by R. Hood),17,26
2,10:48.0,M. Morris misses 2-pt jump shot from 14 ft,,17,26
2,10:46.0,,Defensive rebound by R. Hood,17,26
2,10:38.0,,C. McCollum misses 3-pt jump shot from 25 ft,17,26
2,10:37.0,Defensive rebound by Team,,17,26
2,10:25.0,Shooting foul by C. McCollum (drawn by M. Plumlee),,17,26
2,10:25.0,M. Plumlee makes free throw 1 of 2,,18,26
2,10:25.0,M. Plumlee makes free throw 2 of 2,,19,26
