QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,ATLANTA_ACTION,LA CLIPPERS_SCORE,ATLANTA_SCORE
1,11:44.0,T. Harris makes 2-pt jump shot from 22 ft (assist by M. Gortat),,2,0
1,11:23.0,,T. Prince misses 3-pt jump shot from 26 ft,2,0
1,11:21.0,Defensive rebound by T. Harris,,2,0
1,11:14.0,T. Harris misses 2-pt layup from 3 ft,,2,0
1,11:10.0,Offensive rebound by M. Gortat,,2,0
1,11:09.0,M. Gortat misses 2-pt layup from 2 ft,,2,0
1,11:07.0,,Defensive rebound by A. Len,2,0
1,10:59.0,,T. Young makes 2-pt layup from 1 ft,2,2
1,10:43.0,T. Harris makes 3-pt jump shot from 25 ft (assist by M. Gortat),,5,2
1,10:28.0,,A. Len makes 2-pt layup from 2 ft (assist by T. Young),5,4
1,10:14.0,S. Gilgeous-Alexander makes 2-pt layup from 1 ft,,7,4
1,10:03.0,,T. Young makes 2-pt layup from 1 ft,7,6
1,9:51.0,M. Gortat misses 2-pt layup from 2 ft (block by K. Bazemore),,7,6
1,9:51.0,,Defensive rebound by Team,7,6
1,9:40.0,,Turnover by K. Bazemore (bad pass; steal by A. Bradley),7,6
1,9:38.0,Turnover by P. Beverley (traveling),,7,6
1,9:28.0,,Turnover by K. Bazemore (bad pass; steal by S. Gilgeous-Alexander),7,6
1,9:23.0,S. Gilgeous-Alexander misses 2-pt layup from 3 ft,,7,6
1,9:21.0,Offensive rebound by P. Beverley,,7,6
1,9:17.0,M. Gortat misses 2-pt dunk from 2 ft,,7,6
1,9:17.0,,Defensive rebound by A. Len,7,6
1,9:09.0,,A. Len misses 2-pt jump shot from 22 ft,7,6
1,9:06.0,Defensive rebound by M. Gortat,,7,6
1,8:52.0,P. Beverley makes 2-pt jump shot from 21 ft,,9,6
1,8:36.0,,Turnover by A. Len (3 sec),9,6
1,8:25.0,T. Harris makes 2-pt jump shot from 20 ft,,11,6
1,8:16.0,,Turnover by T. Young (bad pass; steal by T. Harris),11,6
1,8:05.0,S. Gilgeous-Alexander makes 2-pt layup from 1 ft,,13,6
1,7:55.0,,T. Young makes 3-pt jump shot from 26 ft,13,9
1,7:55.0,,Shooting foul by T. Harris (drawn by T. Young),13,9
1,7:55.0,,T. Young makes free throw 1 of 1,13,10
1,7:45.0,Personal foul by A. Len (drawn by M. Gortat),,13,10
1,7:45.0,,J. Collins enters the game for O. Spellman,13,10
1,7:36.0,T. Harris makes 2-pt layup from 1 ft,,15,10
1,7:26.0,,T. Young misses 3-pt jump shot from 28 ft,15,10
1,7:22.0,,Offensive rebound by K. Bazemore,15,10
1,7:22.0,,K. Bazemore makes 2-pt jump shot from 17 ft,15,12
1,7:01.0,P. Beverley misses 3-pt jump shot from 26 ft,,15,12
1,6:58.0,,Defensive rebound by K. Bazemore,15,12
1,6:47.0,,T. Prince makes 2-pt jump shot from 14 ft (assist by J. Collins),15,14
1,6:34.0,A. Bradley misses 2-pt layup from 1 ft,,15,14
1,6:33.0,,Defensive rebound by Team,15,14
1,6:33.0,Loose ball foul by M. Gortat (drawn by T. Prince),,15,14
1,6:33.0,,Atlanta full timeout,15,14
1,6:33.0,,D. Dedmon enters the game for K. Bazemore,15,14
1,6:33.0,,K. Huerter enters the game for A. Len,15,14
1,6:24.0,,Shooting foul by P. Beverley (drawn by T. Young),15,14
1,6:24.0,,T. Young makes free throw 1 of 2,15,15
1,6:24.0,,T. Young makes free throw 2 of 2,15,16
1,6:12.0,A. Bradley misses 2-pt jump shot from 15 ft,,15,16
1,6:06.0,Offensive rebound by M. Gortat,,15,16
1,6:06.0,M. Gortat makes 2-pt layup at rim,,17,16
1,5:55.0,,D. Dedmon makes 2-pt dunk from 1 ft (assist by T. Young),17,18
1,5:40.0,T. Harris makes 3-pt jump shot from 25 ft (assist by P. Beverley),,20,18
1,5:24.0,,J. Collins makes 2-pt dunk from 1 ft (assist by T. Young),20,20
1,5:08.0,T. Harris misses 3-pt jump shot from 26 ft,,20,20
1,5:04.0,,Defensive rebound by K. Huerter,20,20
1,4:59.0,,D. Dedmon misses 2-pt hook shot from 7 ft,20,20
1,4:55.0,Defensive rebound by M. Gortat,,20,20
1,4:42.0,S. Gilgeous-Alexander misses 2-pt layup from 1 ft,,20,20
1,4:38.0,,Defensive rebound by T. Prince,20,20
1,4:31.0,,J. Collins makes 2-pt jump shot from 17 ft,20,22
1,4:21.0,M. Gortat makes 2-pt layup from 2 ft (assist by S. Gilgeous-Alexander),,22,22
1,4:09.0,,J. Collins makes 2-pt dunk from 1 ft (assist by T. Young),22,24
1,4:09.0,LA Clippers full timeout,,22,24
1,4:09.0,M. Harrell enters the game for P. Beverley,,22,24
1,4:09.0,M. Scott enters the game for A. Bradley,,22,24
1,4:09.0,L. Williams enters the game for M. Gortat,,22,24
1,4:09.0,,D. Bembry enters the game for T. Prince,22,24
1,4:09.0,,J. Lin enters the game for T. Young,22,24
1,3:47.0,M. Scott misses 3-pt jump shot from 25 ft (block by D. Dedmon),,22,24
1,3:46.0,Offensive rebound by M. Harrell,,22,24
1,3:46.0,Shooting foul by K. Huerter (drawn by M. Harrell),,22,24
1,3:46.0,M. Harrell makes free throw 1 of 2,,23,24
1,3:46.0,,V. Carter enters the game for J. Collins,23,24
1,3:46.0,M. Harrell makes free throw 2 of 2,,24,24
1,3:31.0,,Offensive foul by K. Huerter (drawn by L. Williams),24,24
1,3:31.0,,Turnover by K. Huerter (offensive foul),24,24
1,3:24.0,L. Williams misses 2-pt jump shot from 21 ft,,24,24
1,3:20.0,,Defensive rebound by D. Dedmon,24,24
1,3:13.0,,K. Huerter makes 3-pt jump shot from 27 ft,24,27
1,2:56.0,Turnover by S. Gilgeous-Alexander (bad pass; steal by D. Dedmon),,24,27
1,2:51.0,,J. Lin misses 2-pt layup from 2 ft,24,27
1,2:47.0,Defensive rebound by M. Scott,,24,27
1,2:43.0,Turnover by L. Williams (bad pass),,24,27
1,2:43.0,T. Wallace enters the game for S. Gilgeous-Alexander,,24,27
1,2:30.0,,Personal foul by T. Harris (drawn by D. Bembry),24,27
1,2:30.0,S. Thornwell enters the game for T. Harris,,24,27
1,2:30.0,,J. Anderson enters the game for K. Huerter,24,27
1,2:20.0,,D. Dedmon makes 2-pt dunk from 1 ft (assist by V. Carter),24,29
1,1:55.0,S. Thornwell misses 3-pt jump shot from 24 ft,,24,29
1,1:53.0,,Defensive rebound by D. Dedmon,24,29
1,1:35.0,,J. Anderson misses 3-pt jump shot from 23 ft,24,29
1,1:30.0,Defensive rebound by S. Thornwell,,24,29
1,1:25.0,L. Williams misses 2-pt layup from 1 ft (block by D. Dedmon),,24,29
1,1:22.0,Offensive rebound by L. Williams,,24,29
1,1:22.0,Shooting foul by J. Anderson (drawn by M. Harrell),,24,29
1,1:22.0,,Violation by Team (delay of game),24,29
1,1:22.0,M. Harrell makes free throw 1 of 2,,25,29
1,1:22.0,M. Harrell makes free throw 2 of 2,,26,29
1,1:12.0,,D. Bembry misses 2-pt layup from 1 ft,26,29
1,1:07.0,Defensive rebound by T. Wallace,,26,29
1,1:05.0,M. Scott makes 3-pt jump shot from 25 ft (assist by S. Thornwell),,29,29
1,0:51.0,,D. Dedmon makes 2-pt jump shot from 15 ft (assist by J. Lin),29,31
1,0:41.0,L. Williams misses 2-pt jump shot from 17 ft,,29,31
1,0:38.0,,Defensive rebound by D. Dedmon,29,31
1,0:33.0,,D. Dedmon makes 3-pt jump shot from 26 ft (assist by D. Bembry),29,34
1,0:12.0,M. Scott misses 2-pt layup from 3 ft,,29,34
1,0:08.0,,Defensive rebound by V. Carter,29,34
1,0:05.0,,J. Lin misses 3-pt jump shot from 25 ft,29,34
1,0:05.0,Defensive rebound by T. Wallace,,29,34
1,0:00.0,T. Wallace misses 3-pt jump shot from 31 ft,,29,34
1,0:00.0,Offensive rebound by Team,,29,34
2,11:49.0,,T. Young misses 3-pt jump shot from 28 ft,29,34
