QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,WASHINGTON_ACTION,MILWAUKEE_SCORE,WASHINGTON_SCORE
1,11:40.0,Turnover by B. Lopez (bad pass; steal by T. Ariza),,0,0
1,11:32.0,,T. Ariza makes 2-pt layup from 2 ft,0,2
1,11:19.0,Turnover by K. Middleton (bad pass; steal by O. Porter),,0,2
1,11:15.0,,T. Satoranský makes 2-pt dunk at rim (assist by B. Beal),0,4
1,11:15.0,,Shooting foul by B. Lopez (drawn by T. Satoranský),0,4
1,11:15.0,Milwaukee full timeout,,0,4
1,11:15.0,,T. Satoranský makes free throw 1 of 1,0,5
1,10:59.0,G. Antetokounmpo makes 2-pt dunk at rim,,2,5
1,10:44.0,,T. Ariza misses 2-pt jump shot from 15 ft,2,5
1,10:39.0,,Offensive rebound by T. Bryant,2,5
1,10:39.0,,T. Bryant makes 2-pt dunk at rim,2,7
1,10:37.0,Personal foul by T. Ariza (drawn by K. Middleton),,2,7
1,10:27.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by K. Middleton),,4,7
1,10:27.0,,O. Porter misses 2-pt jump shot from 15 ft,4,7
1,10:27.0,Defensive rebound by M. Brogdon,,4,7
1,10:04.0,M. Brogdon misses 2-pt layup from 3 ft (block by B. Beal),,4,7
1,10:03.0,,Defensive rebound by B. Beal,4,7
1,10:01.0,,Turnover by B. Beal (bad pass; steal by B. Lopez),4,7
1,9:53.0,M. Brogdon makes 3-pt jump shot from 24 ft,,7,7
1,9:38.0,,O. Porter makes 2-pt jump shot from 9 ft (assist by T. Satoranský),7,9
1,9:29.0,K. Middleton makes 2-pt layup from 3 ft (assist by G. Antetokounmpo),,9,9
1,9:15.0,,T. Bryant misses 2-pt jump shot from 16 ft,9,9
1,9:13.0,Defensive rebound by K. Middleton,,9,9
1,9:06.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,11,9
1,9:06.0,Shooting foul by T. Satoranský (drawn by G. Antetokounmpo),,11,9
1,9:06.0,G. Antetokounmpo makes free throw 1 of 1,,12,9
1,8:54.0,,T. Bryant misses 2-pt jump shot from 20 ft,12,9
1,8:51.0,Defensive rebound by M. Brogdon,,12,9
1,8:38.0,K. Middleton makes 3-pt jump shot from 26 ft (assist by T. Snell),,15,9
1,8:26.0,,T. Satoranský misses 2-pt jump shot from 13 ft,15,9
1,8:26.0,Defensive rebound by K. Middleton,,15,9
1,8:19.0,Turnover by K. Middleton (bad pass; steal by O. Porter),,15,9
1,8:07.0,,B. Beal makes 2-pt layup from 3 ft (assist by T. Satoranský),15,11
1,7:55.0,T. Snell makes 2-pt layup from 1 ft (assist by M. Brogdon),,17,11
1,7:47.0,,O. Porter misses 2-pt jump shot from 18 ft,17,11
1,7:44.0,Defensive rebound by M. Brogdon,,17,11
1,7:39.0,M. Brogdon misses 2-pt layup from 1 ft,,17,11
1,7:36.0,,Defensive rebound by T. Satoranský,17,11
