QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,ATLANTA_ACTION,CHARLOTTE_SCORE,ATLANTA_SCORE
1,11:49.0,,Turnover by T. Prince (bad pass; steal by M. Williams),0,0
1,11:42.0,J. Lamb makes 3-pt jump shot from 25 ft (assist by K. Walker),,3,0
1,11:26.0,,K. Huerter misses 2-pt layup from 2 ft (block by J. Lamb),3,0
1,11:26.0,,Offensive rebound by Team,3,0
1,11:16.0,,T. Prince misses 3-pt jump shot from 23 ft,3,0
1,11:10.0,Defensive rebound by C. Zeller,,3,0
1,11:05.0,M. Williams makes 3-pt jump shot from 25 ft (assist by K. Walker),,6,0
1,10:40.0,,D. Dedmon misses 3-pt jump shot from 25 ft,6,0
1,10:38.0,,Offensive rebound by Team,6,0
1,10:35.0,,T. Young misses 3-pt jump shot from 24 ft,6,0
1,10:33.0,Defensive rebound by M. Williams,,6,0
1,10:28.0,C. Zeller makes 2-pt dunk from 1 ft (assist by N. Batum),,8,0
1,10:13.0,,K. Huerter misses 2-pt layup from 1 ft,8,0
1,10:11.0,,Offensive rebound by J. Collins,8,0
1,10:11.0,,J. Collins makes 2-pt dunk from 1 ft,8,2
1,10:00.0,N. Batum makes 3-pt jump shot from 25 ft (assist by C. Zeller),,11,2
1,9:47.0,,J. Collins makes 2-pt layup at rim (assist by T. Young),11,4
1,9:33.0,K. Walker makes 2-pt jump shot from 17 ft,,13,4
1,9:20.0,,T. Young makes 3-pt jump shot from 26 ft,13,7
1,9:02.0,K. Walker makes 3-pt jump shot from 26 ft (assist by J. Lamb),,16,7
1,9:00.0,,Atlanta full timeout,16,7
1,8:46.0,,T. Prince misses 3-pt jump shot from 22 ft,16,7
1,8:44.0,Defensive rebound by C. Zeller,,16,7
1,8:39.0,Shooting foul by K. Huerter (drawn by K. Walker),,16,7
1,8:39.0,K. Walker makes free throw 1 of 2,,17,7
1,8:39.0,K. Walker makes free throw 2 of 2,,18,7
1,8:24.0,,D. Dedmon makes 3-pt jump shot from 24 ft (assist by T. Young),18,10
1,8:03.0,J. Lamb makes 2-pt jump shot from 16 ft,,20,10
1,7:47.0,,D. Dedmon makes 3-pt jump shot from 23 ft (assist by T. Prince),20,13
1,7:32.0,M. Williams makes 3-pt jump shot from 24 ft (assist by N. Batum),,23,13
1,7:25.0,,J. Collins makes 2-pt dunk from 1 ft (assist by T. Young),23,15
1,7:10.0,N. Batum misses 2-pt jump shot from 15 ft,,23,15
1,7:07.0,Offensive rebound by C. Zeller,,23,15
1,7:04.0,Turnover by C. Zeller (bad pass; steal by J. Collins),,23,15
1,7:02.0,,K. Huerter makes 2-pt dunk from 1 ft,23,17
1,6:47.0,C. Zeller misses 3-pt jump shot from 25 ft,,23,17
1,6:44.0,,Defensive rebound by T. Prince,23,17
1,6:38.0,,K. Huerter makes 2-pt dunk from 2 ft (assist by T. Young),23,19
1,6:38.0,Charlotte full timeout,,23,19
1,6:38.0,M. Bridges enters the game for N. Batum,,23,19
1,6:38.0,M. Kidd-Gilchrist enters the game for C. Zeller,,23,19
1,6:25.0,J. Lamb makes 3-pt jump shot from 23 ft (assist by K. Walker),,26,19
1,6:04.0,,Turnover by T. Prince (bad pass; steal by J. Lamb),26,19
1,6:00.0,J. Lamb makes 2-pt dunk from 1 ft,,28,19
1,5:43.0,,K. Huerter makes 2-pt jump shot from 13 ft,28,21
1,5:23.0,M. Williams makes 2-pt jump shot from 7 ft,,30,21
1,5:07.0,,J. Collins makes 2-pt jump shot from 10 ft,30,23
1,4:55.0,K. Walker makes 3-pt jump shot from 25 ft,,33,23
1,4:44.0,,Offensive foul by J. Collins (drawn by K. Walker),33,23
1,4:44.0,,Turnover by J. Collins (offensive foul),33,23
1,4:44.0,,D. Bembry enters the game for D. Dedmon,33,23
1,4:44.0,,J. Lin enters the game for T. Prince,33,23
1,4:44.0,,O. Spellman enters the game for T. Young,33,23
1,4:38.0,Personal foul by J. Lin (drawn by K. Walker),,33,23
1,4:30.0,K. Walker misses 2-pt jump shot from 20 ft,,33,23
1,4:28.0,Offensive rebound by M. Kidd-Gilchrist,,33,23
