QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,MIAMI_ACTION,LA CLIPPERS_SCORE,MIAMI_SCORE
1,11:44.0,T. Harris misses 3-pt jump shot from 26 ft,,0,0
1,11:40.0,Offensive rebound by M. Gortat,,0,0
1,11:37.0,M. Gortat misses 2-pt jump shot from 5 ft,,0,0
1,11:34.0,,Defensive rebound by H. Whiteside,0,0
1,11:19.0,,J. Winslow makes 2-pt layup from 3 ft (assist by J. Richardson),0,2
1,11:07.0,Turnover by A. Bradley (lost ball; steal by J. Richardson),,0,2
1,10:53.0,,H. Whiteside makes 2-pt layup from 4 ft (assist by J. Winslow),0,4
1,10:40.0,T. Harris makes 2-pt jump shot from 19 ft,,2,4
1,10:31.0,,H. Whiteside makes 2-pt dunk from 3 ft (assist by T. Johnson),2,6
1,10:03.0,S. Gilgeous-Alexander makes 2-pt jump shot from 13 ft,,4,6
1,9:45.0,,Turnover by H. Whiteside (bad pass),4,6
1,9:36.0,M. Gortat misses 2-pt hook shot from 6 ft,,4,6
1,9:33.0,,Defensive rebound by H. Whiteside,4,6
1,9:28.0,,J. Richardson makes 3-pt jump shot from 25 ft (assist by J. Winslow),4,9
1,9:12.0,A. Bradley makes 3-pt jump shot from 26 ft,,7,9
1,8:59.0,,H. Whiteside misses 2-pt jump shot from 5 ft,7,9
1,8:56.0,Defensive rebound by T. Harris,,7,9
1,8:50.0,T. Harris makes 2-pt jump shot from 17 ft,,9,9
1,8:39.0,,J. Richardson misses 2-pt jump shot from 12 ft,9,9
1,8:33.0,Defensive rebound by P. Beverley,,9,9
1,8:30.0,M. Gortat makes 2-pt layup from 3 ft (assist by S. Gilgeous-Alexander),,11,9
1,8:15.0,,J. Winslow makes 2-pt layup from 4 ft,11,11
1,8:00.0,S. Gilgeous-Alexander makes 2-pt jump shot from 19 ft (assist by M. Gortat),,13,11
1,7:41.0,,J. Winslow misses 2-pt layup from 3 ft,13,11
1,7:36.0,Defensive rebound by S. Gilgeous-Alexander,,13,11
1,7:36.0,Offensive foul by S. Gilgeous-Alexander (drawn by T. Johnson),,13,11
1,7:36.0,Turnover by S. Gilgeous-Alexander (offensive foul),,13,11
1,7:24.0,,J. Richardson makes 3-pt jump shot from 26 ft,13,14
1,7:10.0,S. Gilgeous-Alexander makes 2-pt layup from 3 ft,,15,14
1,6:46.0,,J. Winslow misses 3-pt jump shot from 25 ft,15,14
1,6:39.0,,Offensive rebound by J. Johnson,15,14
1,6:39.0,,J. Johnson misses 2-pt layup at rim,15,14
1,6:39.0,Defensive rebound by M. Gortat,,15,14
1,6:21.0,A. Bradley misses 3-pt jump shot from 23 ft,,15,14
1,6:18.0,,Defensive rebound by H. Whiteside,15,14
1,6:12.0,,H. Whiteside makes 2-pt hook shot from 5 ft (assist by T. Johnson),15,16
1,6:11.0,LA Clippers full timeout,,15,16
1,5:59.0,A. Bradley misses 3-pt jump shot from 26 ft,,15,16
1,5:55.0,,Defensive rebound by T. Johnson,15,16
1,5:33.0,,J. Johnson misses 2-pt jump shot from 7 ft,15,16
1,5:31.0,,Offensive rebound by H. Whiteside,15,16
1,5:29.0,,H. Whiteside misses 2-pt jump shot from 7 ft,15,16
1,5:26.0,Defensive rebound by M. Gortat,,15,16
1,5:13.0,P. Beverley misses 2-pt layup from 3 ft,,15,16
1,5:11.0,,Defensive rebound by J. Richardson,15,16
1,5:08.0,,T. Johnson makes 2-pt layup from 4 ft (assist by J. Johnson),15,18
1,4:51.0,Def 3 sec tech foul by Team,,15,18
1,4:51.0,T. Harris makes technical free throw,,16,18
1,4:51.0,M. Harrell enters the game for P. Beverley,,16,18
1,4:51.0,L. Williams enters the game for M. Gortat,,16,18
1,4:51.0,,D. Wade enters the game for J. Richardson,16,18
1,4:34.0,L. Williams makes 2-pt jump shot from 5 ft,,18,18
1,4:24.0,,H. Whiteside makes 2-pt dunk from 4 ft (assist by T. Johnson),18,20
1,4:15.0,L. Williams misses 3-pt jump shot from 26 ft,,18,20
1,4:12.0,,Defensive rebound by H. Whiteside,18,20
1,3:56.0,,T. Johnson misses 3-pt jump shot from 25 ft,18,20
1,3:52.0,Defensive rebound by M. Harrell,,18,20
1,3:51.0,Offensive foul by T. Harris (drawn by T. Johnson),,18,20
1,3:51.0,Turnover by T. Harris (offensive foul),,18,20
1,3:51.0,,D. Waiters enters the game for T. Johnson,18,20
1,3:36.0,,D. Waiters makes 2-pt layup from 2 ft,18,22
1,3:11.0,S. Gilgeous-Alexander misses 2-pt jump shot from 16 ft,,18,22
1,3:08.0,,Defensive rebound by H. Whiteside,18,22
1,3:05.0,,J. Winslow makes 2-pt layup from 3 ft (assist by H. Whiteside),18,24
1,2:52.0,T. Harris makes 2-pt jump shot from 14 ft (assist by M. Harrell),,20,24
1,2:39.0,,Turnover by J. Winslow (lost ball; steal by S. Gilgeous-Alexander),20,24
1,2:29.0,T. Harris makes 2-pt jump shot from 15 ft,,22,24
1,2:29.0,,Miami full timeout,22,24
1,2:29.0,P. Beverley enters the game for A. Bradley,,22,24
1,2:29.0,,B. Adebayo enters the game for J. Johnson,22,24
1,2:29.0,,D. Jones enters the game for H. Whiteside,22,24
1,2:29.0,,J. Richardson enters the game for J. Winslow,22,24
1,2:13.0,,D. Wade misses 2-pt jump shot from 6 ft,22,24
1,2:11.0,,Offensive rebound by B. Adebayo,22,24
1,2:08.0,,J. Richardson misses 3-pt jump shot from 25 ft,22,24
1,2:04.0,Defensive rebound by S. Gilgeous-Alexander,,22,24
1,1:48.0,T. Harris misses 2-pt jump shot from 17 ft,,22,24
1,1:44.0,,Defensive rebound by D. Wade,22,24
1,1:37.0,,D. Wade makes 2-pt layup from 3 ft,22,26
1,1:37.0,,Shooting foul by P. Beverley (drawn by D. Wade),22,26
1,1:37.0,J. Robinson enters the game for S. Gilgeous-Alexander,,22,26
1,1:37.0,,D. Wade makes free throw 1 of 1,22,27
1,1:18.0,L. Williams makes 2-pt layup from 4 ft,,24,27
1,1:07.0,,Shooting foul by J. Robinson (drawn by D. Waiters),24,27
1,1:07.0,,D. Waiters misses free throw 1 of 2,24,27
1,1:07.0,,Offensive rebound by Team,24,27
1,1:07.0,,D. Waiters makes free throw 2 of 2,24,28
1,1:07.0,J. Motley enters the game for T. Harris,,24,28
1,1:00.0,L. Williams misses 3-pt jump shot from 27 ft,,24,28
1,0:57.0,Offensive rebound by M. Harrell,,24,28
1,0:56.0,M. Harrell misses 2-pt layup from 2 ft,,24,28
1,0:54.0,Offensive rebound by Team,,24,28
1,0:48.0,J. Robinson makes 3-pt jump shot from 26 ft (assist by L. Williams),,27,28
1,0:30.0,,D. Wade misses 3-pt jump shot from 26 ft,27,28
1,0:29.0,Defensive rebound by Team,,27,28
1,0:29.0,,Loose ball foul by D. Jones (drawn by L. Williams),27,28
1,0:13.0,J. Motley misses 2-pt layup from 4 ft,,27,28
1,0:12.0,,Defensive rebound by Team,27,28
1,0:00.0,,D. Waiters makes 3-pt jump shot from 26 ft,27,31
2,11:48.0,,D. Wade makes 2-pt layup from 3 ft (assist by D. Waiters),27,33
2,11:48.0,,Shooting foul by J. Robinson (drawn by D. Wade),27,33
2,11:48.0,,D. Wade misses free throw 1 of 1,27,33
2,11:43.0,Defensive rebound by J. Motley,,27,33
2,11:28.0,J. Motley makes 2-pt jump shot from 4 ft (assist by L. Williams),,29,33
2,11:17.0,,B. Adebayo misses 2-pt layup from 4 ft (block by M. Harrell),29,33
2,11:17.0,,Offensive rebound by Team,29,33
2,11:07.0,,J. Richardson misses 3-pt jump shot from 24 ft (block by L. Williams),29,33
2,11:06.0,Defensive rebound by P. Beverley,,29,33
2,10:50.0,L. Williams misses 2-pt jump shot from 10 ft,,29,33
2,10:45.0,,Defensive rebound by B. Adebayo,29,33
2,10:38.0,,B. Adebayo makes 2-pt dunk from 4 ft (assist by D. Waiters),29,35
2,10:17.0,J. Motley misses 2-pt jump shot from 7 ft,,29,35
2,10:13.0,,Defensive rebound by J. Richardson,29,35
2,10:05.0,,D. Wade makes 2-pt jump shot from 13 ft,29,37
2,9:57.0,L. Williams misses 2-pt layup from 3 ft,,29,37
2,9:57.0,Offensive rebound by J. Motley,,29,37
2,9:51.0,L. Williams makes 3-pt jump shot from 23 ft (assist by J. Motley),,32,37
2,9:35.0,,Turnover by B. Adebayo (bad pass),32,37
2,9:25.0,Shooting foul by B. Adebayo (drawn by J. Motley),,32,37
2,9:25.0,J. Motley misses free throw 1 of 2,,32,37
2,9:25.0,Offensive rebound by Team,,32,37
2,9:25.0,J. Motley makes free throw 2 of 2,,33,37
2,9:15.0,,Shooting foul by L. Williams (drawn by D. Jones),33,37
2,9:15.0,,D. Jones makes free throw 1 of 2,33,38
2,9:15.0,,D. Jones misses free throw 2 of 2,33,38
2,9:11.0,Defensive rebound by M. Harrell,,33,38
2,9:04.0,Turnover by J. Motley (lost ball; steal by D. Wade),,33,38
2,9:00.0,,Turnover by D. Wade (bad pass),33,38
2,8:49.0,L. Williams misses 2-pt jump shot from 15 ft,,33,38
2,8:47.0,,Defensive rebound by J. Richardson,33,38
2,8:43.0,,Personal foul by J. Robinson (drawn by J. Richardson),33,38
2,8:43.0,T. Harris enters the game for J. Motley,,33,38
2,8:34.0,,D. Wade misses 2-pt jump shot from 9 ft,33,38
2,8:33.0,Defensive rebound by J. Robinson,,33,38
2,8:22.0,J. Robinson misses 2-pt jump shot from 15 ft,,33,38
2,8:20.0,,Defensive rebound by B. Adebayo,33,38
2,8:11.0,,D. Wade makes 2-pt layup from 2 ft (assist by J. Richardson),33,40
2,7:52.0,J. Robinson misses 3-pt jump shot from 26 ft,,33,40
2,7:47.0,,Defensive rebound by D. Jones,33,40
2,7:47.0,,Offensive foul by D. Jones (drawn by J. Robinson),33,40
2,7:47.0,,Turnover by D. Jones (offensive foul),33,40
2,7:47.0,A. Bradley enters the game for J. Robinson,,33,40
2,7:47.0,,J. Winslow enters the game for D. Wade,33,40
2,7:38.0,P. Beverley misses 3-pt jump shot from 25 ft,,33,40
2,7:36.0,,Defensive rebound by J. Richardson,33,40
2,7:26.0,,D. Waiters misses 3-pt jump shot from 25 ft,33,40
2,7:23.0,,Offensive rebound by B. Adebayo,33,40
2,7:19.0,,J. Richardson misses 3-pt jump shot from 24 ft,33,40
2,7:17.0,Defensive rebound by L. Williams,,33,40
2,7:11.0,M. Harrell makes 2-pt dunk from 3 ft (assist by T. Harris),,35,40
2,7:10.0,,Miami full timeout,35,40
2,7:10.0,M. Gortat enters the game for M. Harrell,,35,40
2,7:10.0,,J. Johnson enters the game for D. Jones,35,40
2,7:10.0,,T. Johnson enters the game for J. Richardson,35,40
2,6:52.0,,T. Johnson makes 2-pt jump shot from 9 ft,35,42
2,6:35.0,T. Harris misses 3-pt jump shot from 25 ft,,35,42
2,6:35.0,Offensive rebound by Team,,35,42
2,6:35.0,,Loose ball foul by B. Adebayo (drawn by M. Gortat),35,42
2,6:35.0,,H. Whiteside enters the game for B. Adebayo,35,42
2,6:27.0,T. Harris makes 2-pt jump shot from 6 ft,,37,42
2,6:08.0,,J. Johnson makes 3-pt jump shot from 23 ft (assist by D. Waiters),37,45
2,5:43.0,T. Harris makes 3-pt jump shot from 29 ft (assist by L. Williams),,40,45
2,5:31.0,,Personal foul by P. Beverley (drawn by D. Waiters),40,45
2,5:31.0,S. Gilgeous-Alexander enters the game for L. Williams,,40,45
2,5:26.0,,T. Johnson misses 3-pt jump shot from 26 ft,40,45
