QUARTER,TIME_REMAINING,ATLANTA_ACTION,DENVER_ACTION,ATLANTA_SCORE,DENVER_SCORE
1,5:47.0,,J. Hernangómez makes free throw 1 of 2,5,17
1,5:47.0,,J. Hernangómez makes free throw 2 of 2,5,18
1,5:33.0,V. Carter makes 3-pt jump shot from 22 ft (assist by J. Lin),,8,18
1,5:24.0,,J. Murray makes 3-pt jump shot from 23 ft (assist by G. Harris),8,21
1,5:09.0,J. Lin misses 3-pt jump shot from 26 ft,,8,21
1,5:07.0,,Defensive rebound by P. Millsap,8,21
1,4:57.0,,J. Hernangómez misses 3-pt jump shot from 25 ft,8,21
1,4:50.0,Defensive rebound by M. Plumlee,,8,21
1,4:50.0,Turnover by M. Plumlee (bad pass; steal by N. Jokić),,8,21
1,4:45.0,,Turnover by J. Murray (bad pass; steal by K. Huerter),8,21
1,4:41.0,T. Young misses 2-pt layup from 3 ft,,8,21
1,4:41.0,,Defensive rebound by Team,8,21
1,4:41.0,T. Dorsey enters the game for T. Young,,8,21
1,4:32.0,,Personal foul by M. Plumlee (drawn by N. Jokić),8,21
1,4:32.0,A. Poythress enters the game for M. Plumlee,,8,21
1,4:32.0,,T. Lyles enters the game for P. Millsap,8,21
1,4:28.0,,G. Harris makes 2-pt layup from 3 ft,8,23
1,4:05.0,T. Dorsey misses 3-pt jump shot from 23 ft,,8,23
1,4:01.0,,Defensive rebound by T. Lyles,8,23
1,3:46.0,,N. Jokić makes 2-pt layup from 2 ft,8,25
1,3:42.0,Personal foul by N. Jokić (drawn by J. Lin),,8,25
1,3:42.0,,M. Plumlee enters the game for N. Jokić,8,25
1,3:38.0,Personal foul by T. Lyles (drawn by V. Carter),,8,25
1,3:32.0,K. Huerter makes 3-pt jump shot from 23 ft (assist by A. Poythress),,11,25
1,3:13.0,,G. Harris makes 2-pt layup from 4 ft,11,27
1,3:03.0,Turnover by A. Poythress (bad pass),,11,27
1,3:03.0,,M. Beasley enters the game for G. Harris,11,27
1,3:03.0,,M. Morris enters the game for J. Hernangómez,11,27
1,2:42.0,,M. Plumlee misses 2-pt hook shot from 7 ft,11,27
1,2:39.0,Defensive rebound by J. Lin,,11,27
1,2:35.0,A. Poythress makes 2-pt layup from 2 ft (assist by J. Lin),,13,27
1,2:15.0,,Personal foul by A. Poythress (drawn by M. Plumlee),13,27
1,2:15.0,,Denver full timeout,13,27
1,2:15.0,O. Spellman enters the game for V. Carter,,13,27
1,2:15.0,,Away from play foul by T. Dorsey (drawn by M. Morris),13,27
1,2:15.0,,J. Murray makes free throw 1 of 1,13,28
1,2:06.0,,M. Beasley makes 2-pt dunk from 1 ft (assist by J. Murray),13,30
1,1:55.0,Turnover by J. Lin (bad pass; steal by M. Beasley),,13,30
1,1:50.0,,J. Murray misses 2-pt layup from 2 ft,13,30
1,1:47.0,Defensive rebound by O. Spellman,,13,30
1,1:43.0,K. Huerter makes 3-pt jump shot from 27 ft (assist by O. Spellman),,16,30
1,1:25.0,,T. Lyles makes 2-pt layup from 2 ft (assist by M. Beasley),16,32
1,1:17.0,Shooting foul by M. Plumlee (drawn by O. Spellman),,16,32
1,1:17.0,O. Spellman makes free throw 1 of 2,,17,32
1,1:17.0,O. Spellman makes free throw 2 of 2,,18,32
1,1:05.0,,Turnover by M. Plumlee (traveling),18,32
1,0:58.0,J. Lin makes 2-pt layup from 4 ft,,20,32
1,0:58.0,Shooting foul by M. Plumlee (drawn by J. Lin),,20,32
1,0:58.0,J. Lin makes free throw 1 of 1,,21,32
1,0:42.0,Violation by Team (kicked ball),,21,32
1,0:35.0,,Personal foul by O. Spellman (drawn by T. Lyles),21,32
1,0:35.0,,T. Lyles misses free throw 1 of 2,21,32
1,0:35.0,,Offensive rebound by Team,21,32
1,0:35.0,,P. Millsap enters the game for M. Plumlee,21,32
1,0:35.0,,T. Lyles makes free throw 2 of 2,21,33
1,0:27.0,J. Lin misses 2-pt jump shot from 7 ft,,21,33
1,0:23.0,Offensive rebound by J. Lin,,21,33
1,0:13.0,J. Lin misses 3-pt jump shot from 27 ft,,21,33
1,0:09.0,Offensive rebound by A. Poythress,,21,33
1,0:09.0,A. Poythress makes 2-pt layup at rim,,23,33
1,0:00.0,,T. Lyles makes 2-pt layup from 3 ft (assist by J. Murray),23,35
2,11:44.0,,J. Murray misses 2-pt jump shot from 16 ft,23,35
2,11:41.0,Defensive rebound by A. Len,,23,35
