QUARTER,TIME_REMAINING,BOSTON_ACTION,SACRAMENTO_ACTION,BOSTON_SCORE,SACRAMENTO_SCORE
1,11:45.0,M. Morris makes 2-pt jump shot from 14 ft (assist by T. Rozier),,2,0
1,11:27.0,,Turnover by B. Bogdanović (bad pass; steal by M. Smart),2,0
1,11:22.0,Turnover by M. Smart (bad pass; steal by B. Bogdanović),,2,0
1,11:15.0,,W. Cauley-Stein makes 2-pt layup from 1 ft (assist by B. Hield),2,2
1,11:03.0,M. Smart makes 3-pt jump shot from 26 ft (assist by J. Tatum),,5,2
1,10:48.0,,D. Fox misses 2-pt jump shot from 9 ft,5,2
1,10:45.0,Defensive rebound by A. Horford,,5,2
1,10:39.0,M. Smart misses 3-pt jump shot from 26 ft,,5,2
1,10:35.0,,Defensive rebound by B. Hield,5,2
1,10:22.0,,W. Cauley-Stein makes 2-pt layup from 2 ft (assist by B. Bogdanović),5,4
1,10:00.0,J. Tatum makes 2-pt jump shot from 15 ft,,7,4
1,9:48.0,,B. Hield misses 3-pt jump shot from 26 ft,7,4
1,9:45.0,Defensive rebound by J. Tatum,,7,4
1,9:36.0,J. Tatum makes 2-pt jump shot from 19 ft,,9,4
1,9:22.0,,B. Hield makes 2-pt jump shot from 18 ft (assist by W. Cauley-Stein),9,6
1,9:07.0,A. Horford makes 2-pt jump shot from 18 ft (assist by T. Rozier),,11,6
1,8:49.0,,B. Hield misses 2-pt layup from 4 ft,11,6
1,8:47.0,Defensive rebound by A. Horford,,11,6
1,8:42.0,M. Morris misses 3-pt jump shot from 25 ft,,11,6
1,8:38.0,,Defensive rebound by D. Fox,11,6
1,8:31.0,,Turnover by W. Cauley-Stein (lost ball; steal by T. Rozier),11,6
1,8:13.0,T. Rozier makes 3-pt jump shot from 26 ft (assist by M. Morris),,14,6
1,8:00.0,,W. Cauley-Stein makes 2-pt jump shot from 15 ft (assist by D. Fox),14,8
1,7:39.0,J. Tatum misses 2-pt jump shot from 10 ft,,14,8
1,7:37.0,,Defensive rebound by W. Cauley-Stein,14,8
1,7:31.0,,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by D. Fox),14,10
1,7:08.0,T. Rozier misses 3-pt jump shot from 23 ft,,14,10
1,7:05.0,,Defensive rebound by B. Hield,14,10
1,7:01.0,,H. Barnes misses 3-pt jump shot from 25 ft,14,10
1,6:59.0,,Offensive rebound by B. Bogdanović,14,10
1,6:52.0,,H. Barnes makes 2-pt layup from 2 ft (assist by B. Bogdanović),14,12
1,6:52.0,Boston full timeout,,14,12
1,6:37.0,T. Rozier misses 3-pt jump shot from 25 ft,,14,12
1,6:34.0,,Defensive rebound by H. Barnes,14,12
1,6:24.0,,Personal foul by M. Morris (drawn by H. Barnes),14,12
1,6:24.0,A. Baynes enters the game for A. Horford,,14,12
1,6:24.0,J. Brown enters the game for M. Morris,,14,12
1,6:24.0,G. Hayward enters the game for J. Tatum,,14,12
1,6:11.0,,B. Hield makes 2-pt jump shot from 15 ft (assist by W. Cauley-Stein),14,14
1,5:59.0,Personal foul by B. Bogdanović (drawn by A. Baynes),,14,14
1,5:49.0,J. Brown makes 3-pt jump shot from 26 ft (assist by G. Hayward),,17,14
1,5:33.0,,H. Barnes misses 2-pt jump shot from 16 ft,17,14
1,5:30.0,Defensive rebound by T. Rozier,,17,14
1,5:27.0,J. Brown misses 3-pt jump shot from 28 ft,,17,14
1,5:23.0,,Defensive rebound by W. Cauley-Stein,17,14
1,5:15.0,,B. Hield makes 2-pt jump shot from 15 ft,17,16
1,4:51.0,M. Smart misses 3-pt jump shot from 25 ft,,17,16
1,4:47.0,,Defensive rebound by W. Cauley-Stein,17,16
1,4:35.0,,Shooting foul by A. Baynes (drawn by W. Cauley-Stein),17,16
1,4:35.0,M. Morris enters the game for M. Smart,,17,16
1,4:35.0,,N. Bjelica enters the game for B. Bogdanović,17,16
1,4:35.0,,W. Cauley-Stein makes free throw 1 of 2,17,17
1,4:35.0,,W. Cauley-Stein misses free throw 2 of 2,17,17
1,4:31.0,Defensive rebound by G. Hayward,,17,17
1,4:23.0,Personal foul by H. Barnes (drawn by G. Hayward),,17,17
1,4:19.0,G. Hayward misses 3-pt jump shot from 25 ft,,17,17
1,4:19.0,,Defensive rebound by W. Cauley-Stein,17,17
1,4:19.0,,H. Giles enters the game for W. Cauley-Stein,17,17
1,4:07.0,,B. Hield misses 2-pt jump shot from 17 ft,17,17
1,4:03.0,Defensive rebound by T. Rozier,,17,17
1,3:56.0,T. Rozier makes 2-pt jump shot from 15 ft,,19,17
1,3:36.0,,Sacramento full timeout,19,17
1,3:31.0,,B. Hield makes 3-pt jump shot from 25 ft (assist by H. Giles),19,20
1,3:13.0,Turnover by J. Brown (lost ball; steal by H. Barnes),,19,20
1,3:06.0,,D. Fox makes 2-pt jump shot from 6 ft,19,22
1,2:59.0,Offensive foul by A. Baynes (drawn by D. Fox),,19,22
1,2:59.0,Turnover by A. Baynes (offensive foul),,19,22
1,2:59.0,,Y. Ferrell enters the game for D. Fox,19,22
1,2:42.0,,B. Hield misses 2-pt jump shot from 19 ft,19,22
1,2:39.0,Defensive rebound by M. Morris,,19,22
1,2:33.0,M. Morris misses 2-pt layup from 2 ft,,19,22
1,2:30.0,,Defensive rebound by N. Bjelica,19,22
1,2:24.0,,Turnover by N. Bjelica (out of bounds lost ball),19,22
1,2:08.0,G. Hayward misses 2-pt jump shot from 19 ft,,19,22
1,2:05.0,,Defensive rebound by N. Bjelica,19,22
1,1:55.0,,H. Giles makes 2-pt hook shot from 5 ft,19,24
1,1:31.0,T. Rozier makes 2-pt layup from 2 ft (assist by M. Morris),,21,24
1,1:16.0,,H. Barnes makes 3-pt jump shot from 25 ft,21,27
1,1:03.0,M. Morris misses 3-pt jump shot from 25 ft,,21,27
1,0:59.0,,Defensive rebound by H. Giles,21,27
1,0:53.0,,Y. Ferrell misses 2-pt jump shot from 18 ft,21,27
1,0:51.0,,Offensive rebound by Y. Ferrell,21,27
