QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,NEW ORLEANS_ACTION,MILWAUKEE_SCORE,NEW ORLEANS_SCORE
1,11:46.0,,J. Randle misses 2-pt layup from 2 ft,0,0
1,11:44.0,Defensive rebound by K. Middleton,,0,0
1,11:37.0,E. Bledsoe misses 2-pt layup from 3 ft,,0,0
1,11:35.0,,Defensive rebound by E. Payton,0,0
1,11:24.0,,Turnover by F. Jackson (bad pass),0,0
1,11:11.0,B. Lopez makes 2-pt hook shot from 5 ft (assist by K. Middleton),,2,0
1,10:59.0,,J. Randle makes 3-pt jump shot from 24 ft (assist by A. Davis),2,3
1,10:50.0,G. Antetokounmpo misses 2-pt layup from 2 ft,,2,3
1,10:50.0,,Defensive rebound by A. Davis,2,3
1,10:44.0,,K. Williams misses 3-pt jump shot from 25 ft,2,3
1,10:41.0,Defensive rebound by B. Lopez,,2,3
1,10:30.0,K. Middleton misses 2-pt jump shot from 16 ft,,2,3
1,10:27.0,,Defensive rebound by E. Payton,2,3
1,10:25.0,,Turnover by A. Davis (step out of bounds),2,3
1,10:13.0,B. Lopez makes 2-pt jump shot from 10 ft (assist by E. Bledsoe),,4,3
1,10:05.0,,J. Randle misses 3-pt jump shot from 26 ft,4,3
1,10:02.0,Defensive rebound by K. Middleton,,4,3
1,9:56.0,E. Bledsoe misses 3-pt jump shot from 27 ft,,4,3
1,9:52.0,,Defensive rebound by A. Davis,4,3
1,9:47.0,,J. Randle makes 2-pt layup from 2 ft (assist by E. Payton),4,5
1,9:36.0,B. Lopez misses 3-pt jump shot from 27 ft,,4,5
1,9:34.0,,Defensive rebound by E. Payton,4,5
1,9:25.0,,Turnover by F. Jackson (out of bounds lost ball),4,5
1,9:13.0,Shooting foul by A. Davis (drawn by G. Antetokounmpo),,4,5
1,9:13.0,G. Antetokounmpo makes free throw 1 of 2,,5,5
1,9:13.0,G. Antetokounmpo makes free throw 2 of 2,,6,5
1,8:55.0,,E. Payton makes 2-pt jump shot from 8 ft (assist by J. Randle),6,7
1,8:48.0,Offensive foul by G. Antetokounmpo (drawn by A. Davis),,6,7
1,8:48.0,Turnover by G. Antetokounmpo (offensive foul),,6,7
1,8:34.0,,Turnover by A. Davis (bad pass),6,7
1,8:21.0,K. Middleton makes 2-pt jump shot from 17 ft,,8,7
1,8:11.0,,F. Jackson misses 3-pt jump shot from 25 ft,8,7
1,8:08.0,,Offensive rebound by Team,8,7
1,8:06.0,,J. Randle makes 2-pt jump shot from 17 ft (assist by E. Payton),8,9
1,7:59.0,Turnover by K. Middleton (out of bounds lost ball),,8,9
1,7:43.0,,A. Davis misses 2-pt dunk from 1 ft,8,9
1,7:41.0,,Offensive rebound by E. Payton,8,9
1,7:39.0,,E. Payton makes 2-pt layup from 2 ft,8,11
1,7:25.0,B. Lopez misses 2-pt jump shot from 22 ft,,8,11
1,7:22.0,,Defensive rebound by A. Davis,8,11
1,7:16.0,,J. Randle makes 2-pt layup from 2 ft (assist by E. Payton),8,13
1,7:16.0,Milwaukee full timeout,,8,13
1,7:16.0,N. Mirotić enters the game for M. Brogdon,,8,13
1,7:08.0,G. Antetokounmpo makes 2-pt jump shot from 18 ft,,10,13
1,6:52.0,,J. Randle misses 3-pt jump shot from 26 ft,10,13
1,6:49.0,Defensive rebound by B. Lopez,,10,13
1,6:49.0,Personal foul by K. Williams (drawn by B. Lopez),,10,13
1,6:38.0,E. Bledsoe misses 3-pt jump shot from 25 ft,,10,13
1,6:36.0,,Defensive rebound by A. Davis,10,13
1,6:34.0,,Shooting foul by B. Lopez (drawn by J. Randle),10,13
1,6:34.0,,J. Randle makes free throw 1 of 2,10,14
1,6:34.0,,J. Randle makes free throw 2 of 2,10,15
1,6:18.0,Shooting foul by J. Randle (drawn by K. Middleton),,10,15
1,6:18.0,K. Middleton makes free throw 1 of 2,,11,15
1,6:18.0,P. Connaughton enters the game for G. Antetokounmpo,,11,15
1,6:18.0,K. Middleton makes free throw 2 of 2,,12,15
1,6:09.0,,A. Davis misses 2-pt jump shot from 13 ft,12,15
1,6:06.0,Defensive rebound by P. Connaughton,,12,15
1,6:02.0,B. Lopez misses 3-pt jump shot from 26 ft,,12,15
1,5:57.0,,Defensive rebound by A. Davis,12,15
1,5:51.0,,E. Payton misses 3-pt jump shot from 25 ft,12,15
1,5:50.0,Defensive rebound by Team,,12,15
1,5:28.0,E. Bledsoe misses 2-pt jump shot from 7 ft,,12,15
1,5:26.0,,Defensive rebound by E. Payton,12,15
1,5:22.0,,F. Jackson misses 3-pt jump shot from 23 ft,12,15
1,5:19.0,Defensive rebound by E. Bledsoe,,12,15
1,5:15.0,E. Bledsoe misses 2-pt layup from 5 ft,,12,15
1,5:14.0,,Defensive rebound by Team,12,15
1,5:14.0,,D. Miller enters the game for A. Davis,12,15
1,5:03.0,,E. Payton makes 2-pt dunk from 1 ft (assist by J. Randle),12,17
1,4:50.0,E. Bledsoe misses 2-pt jump shot from 6 ft,,12,17
