QUARTER,TIME_REMAINING,ATLANTA_ACTION,HOUSTON_ACTION,ATLANTA_SCORE,HOUSTON_SCORE
1,11:42.0,K. Bazemore makes 2-pt layup from 4 ft,,2,0
1,11:21.0,,C. Capela misses 2-pt layup from 7 ft (block by D. Dedmon),2,0
1,11:21.0,,Offensive rebound by Team,2,0
1,11:15.0,,J. Harden makes 2-pt jump shot from 2 ft,2,2
1,10:54.0,Turnover by K. Bazemore (bad pass; steal by P. Tucker),,2,2
1,10:47.0,,K. Faried makes 2-pt hook shot from 7 ft (assist by J. Harden),2,4
1,10:36.0,K. Huerter makes 3-pt jump shot from 28 ft (assist by T. Young),,5,4
1,10:19.0,,C. Capela makes 2-pt dunk from 2 ft (assist by C. Paul),5,6
1,10:05.0,T. Young misses 2-pt jump shot from 10 ft,,5,6
1,10:04.0,,Defensive rebound by Team,5,6
1,9:57.0,,J. Harden makes 2-pt jump shot from 4 ft,5,8
1,9:40.0,K. Bazemore misses 2-pt layup from 3 ft,,5,8
1,9:39.0,,Defensive rebound by P. Tucker,5,8
1,9:35.0,,Turnover by J. Harden (bad pass; steal by D. Dedmon),5,8
1,9:33.0,Shooting foul by P. Tucker (drawn by K. Bazemore),,5,8
1,9:33.0,K. Bazemore makes free throw 1 of 2,,6,8
1,9:33.0,K. Bazemore makes free throw 2 of 2,,7,8
1,9:20.0,,K. Faried makes 3-pt jump shot from 23 ft (assist by J. Harden),7,11
1,9:03.0,T. Young makes 3-pt jump shot from 27 ft (assist by D. Dedmon),,10,11
1,8:52.0,,Personal foul by D. Dedmon (drawn by C. Capela),10,11
1,8:41.0,,J. Harden misses 3-pt jump shot from 26 ft,10,11
1,8:38.0,Defensive rebound by J. Collins,,10,11
1,8:32.0,T. Young misses 2-pt layup from 4 ft (block by K. Faried),,10,11
1,8:28.0,,Defensive rebound by J. Harden,10,11
1,8:25.0,,P. Tucker makes 3-pt jump shot from 22 ft (assist by C. Paul),10,14
1,8:12.0,Offensive foul by K. Bazemore (drawn by P. Tucker),,10,14
1,8:12.0,Turnover by K. Bazemore (offensive foul),,10,14
1,8:12.0,,E. Gordon enters the game for C. Capela,10,14
1,7:59.0,,P. Tucker misses 3-pt jump shot from 24 ft,10,14
1,7:56.0,Defensive rebound by K. Huerter,,10,14
