QUARTER,TIME_REMAINING,INDIANA_ACTION,BOSTON_ACTION,INDIANA_SCORE,BOSTON_SCORE
1,1:34.0,,M. Morris misses 3-pt jump shot from 25 ft,20,18
1,1:31.0,,Offensive rebound by J. Brown,20,18
1,1:20.0,,G. Hayward misses 2-pt jump shot from 10 ft,20,18
1,1:18.0,Defensive rebound by T. Evans,,20,18
1,1:06.0,D. Sabonis misses 2-pt jump shot from 14 ft,,20,18
1,1:04.0,,Defensive rebound by A. Baynes,20,18
1,0:58.0,,Offensive foul by G. Hayward (drawn by D. McDermott),20,18
1,0:58.0,,Turnover by G. Hayward (offensive foul),20,18
1,0:58.0,T. Leaf enters the game for M. Turner,,20,18
1,0:39.0,T. Evans misses 3-pt jump shot from 26 ft,,20,18
1,0:37.0,,Defensive rebound by M. Morris,20,18
1,0:24.0,,G. Hayward misses 3-pt jump shot from 25 ft,20,18
1,0:17.0,,Offensive rebound by Team,20,18
1,0:17.0,Loose ball foul by C. Joseph (drawn by M. Morris),,20,18
1,0:17.0,,M. Morris makes free throw 1 of 2,20,19
1,0:17.0,,M. Morris makes free throw 2 of 2,20,20
1,0:09.0,Personal take foul by G. Hayward (drawn by T. Evans),,20,20
1,0:04.0,Turnover by D. Sabonis (bad pass; steal by G. Hayward),,20,20
1,0:01.0,,T. Rozier misses 3-pt jump shot from 23 ft,20,20
1,0:00.0,,Offensive rebound by Team,20,20
2,11:44.0,,J. Brown misses 2-pt layup from 5 ft (block by D. McDermott),20,20
2,11:41.0,Defensive rebound by T. Evans,,20,20
2,11:37.0,T. Leaf misses 2-pt layup from 2 ft (block by A. Baynes),,20,20
2,11:35.0,,Defensive rebound by G. Hayward,20,20
2,11:29.0,,G. Hayward makes 2-pt layup from 3 ft,20,22
2,11:09.0,Shooting foul by A. Baynes (drawn by T. Evans),,20,22
2,11:09.0,T. Evans makes free throw 1 of 2,,21,22
2,11:09.0,T. Evans misses free throw 2 of 2,,21,22
2,11:09.0,,Defensive rebound by M. Morris,21,22
2,10:50.0,,G. Hayward misses 2-pt jump shot from 10 ft,21,22
2,10:48.0,Defensive rebound by D. Sabonis,,21,22
2,10:43.0,T. Evans makes 2-pt layup from 2 ft,,23,22
2,10:34.0,,M. Morris misses 3-pt jump shot from 26 ft,23,22
2,10:32.0,Defensive rebound by D. McDermott,,23,22
2,10:25.0,Turnover by T. Evans (bad pass),,23,22
2,10:02.0,,J. Brown misses 3-pt jump shot from 26 ft,23,22
2,10:00.0,Defensive rebound by T. Evans,,23,22
2,9:53.0,T. Evans misses 2-pt layup from 5 ft,,23,22
2,9:52.0,Offensive rebound by D. McDermott,,23,22
2,9:51.0,D. McDermott misses 2-pt layup at rim,,23,22
2,9:48.0,Offensive rebound by D. McDermott,,23,22
2,9:45.0,T. Evans makes 3-pt jump shot from 26 ft (assist by C. Joseph),,26,22
2,9:24.0,,T. Rozier misses 2-pt jump shot from 9 ft,26,22
2,9:22.0,Defensive rebound by T. Evans,,26,22
2,9:13.0,T. Leaf misses 3-pt jump shot from 26 ft,,26,22
2,9:11.0,Offensive rebound by D. McDermott,,26,22
2,9:10.0,C. Joseph makes 3-pt jump shot from 26 ft (assist by D. McDermott),,29,22
2,9:08.0,,Boston full timeout,29,22
2,9:08.0,,A. Horford enters the game for A. Baynes,29,22
2,9:08.0,,K. Irving enters the game for G. Hayward,29,22
2,9:08.0,,D. Theis enters the game for M. Morris,29,22
2,8:58.0,,K. Irving makes 2-pt jump shot from 15 ft,29,24
2,8:31.0,D. McDermott misses 3-pt jump shot from 25 ft,,29,24
2,8:27.0,,Defensive rebound by J. Brown,29,24
2,8:20.0,,Turnover by J. Brown (bad pass),29,24
2,8:20.0,T. Young enters the game for T. Leaf,,29,24
2,8:07.0,Def 3 sec tech foul by Team,,29,24
