QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,MINNESOTA_ACTION,GOLDEN STATE_SCORE,MINNESOTA_SCORE
1,11:47.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by K. Durant),,3,0
1,11:19.0,,K. Towns misses 2-pt jump shot from 18 ft,3,0
1,11:18.0,Defensive rebound by K. Thompson,,3,0
1,11:12.0,K. Durant makes 2-pt jump shot from 16 ft (assist by D. Green),,5,0
1,10:48.0,,Shooting foul by D. Green (drawn by D. Šarić),5,0
1,10:48.0,,D. Šarić makes free throw 1 of 2,5,1
1,10:48.0,,D. Šarić makes free throw 2 of 2,5,2
1,10:38.0,K. Thompson makes 2-pt jump shot from 9 ft (assist by S. Curry),,7,2
1,10:29.0,,K. Towns makes 3-pt jump shot from 25 ft (assist by T. Jones),7,5
1,10:16.0,S. Curry misses 2-pt layup from 1 ft,,7,5
1,10:14.0,,Defensive rebound by K. Towns,7,5
1,10:09.0,,A. Wiggins misses 3-pt jump shot from 26 ft,7,5
1,10:07.0,Defensive rebound by A. Bogut,,7,5
1,9:52.0,A. Bogut misses 2-pt dunk at rim,,7,5
1,9:50.0,,Defensive rebound by K. Towns,7,5
1,9:39.0,,D. Šarić makes 2-pt jump shot from 21 ft (assist by T. Jones),7,7
1,9:32.0,Turnover by K. Thompson (step out of bounds),,7,7
1,9:21.0,,T. Jones makes 2-pt jump shot from 8 ft,7,9
1,9:08.0,Turnover by D. Green (bad pass; steal by K. Towns),,7,9
1,9:08.0,,Personal foul by K. Thompson (drawn by K. Towns),7,9
1,8:56.0,,K. Towns makes 2-pt dunk from 1 ft (assist by T. Jones),7,11
1,8:34.0,K. Durant misses 2-pt jump shot from 14 ft,,7,11
1,8:32.0,,Defensive rebound by J. Okogie,7,11
1,8:27.0,,J. Okogie makes 2-pt layup from 1 ft,7,13
1,8:27.0,Golden State full timeout,,7,13
1,8:15.0,K. Durant misses 2-pt jump shot from 10 ft,,7,13
1,8:12.0,,Defensive rebound by D. Šarić,7,13
1,7:55.0,,K. Towns misses 2-pt jump shot from 21 ft,7,13
1,7:52.0,Defensive rebound by D. Green,,7,13
1,7:45.0,A. Bogut makes 2-pt layup from 1 ft (assist by K. Thompson),,9,13
1,7:31.0,,A. Wiggins misses 3-pt jump shot from 25 ft (block by D. Green),9,13
1,7:27.0,,Offensive rebound by K. Towns,9,13
1,7:26.0,,J. Okogie makes 3-pt jump shot from 26 ft (assist by A. Wiggins),9,16
1,7:13.0,D. Green misses 3-pt jump shot from 25 ft,,9,16
1,7:11.0,,Defensive rebound by K. Towns,9,16
1,7:03.0,,T. Jones makes 2-pt layup from 1 ft (assist by K. Towns),9,18
1,6:43.0,S. Curry misses 2-pt jump shot from 21 ft,,9,18
1,6:41.0,,Defensive rebound by D. Šarić,9,18
1,6:32.0,,K. Towns makes 2-pt layup from 1 ft,9,20
1,6:25.0,Turnover by D. Green (bad pass; steal by J. Okogie),,9,20
1,6:18.0,,A. Wiggins makes 2-pt layup at rim (assist by T. Jones),9,22
1,6:09.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by D. Green),,12,22
1,6:09.0,Shooting foul by J. Okogie (drawn by K. Thompson),,12,22
1,6:09.0,K. Looney enters the game for A. Bogut,,12,22
1,6:09.0,K. Thompson misses free throw 1 of 1,,12,22
1,6:07.0,,Defensive rebound by K. Towns,12,22
1,5:55.0,,Turnover by K. Towns (bad pass; steal by S. Curry),12,22
1,5:51.0,K. Thompson makes 2-pt dunk from 1 ft (assist by S. Curry),,14,22
1,5:35.0,,J. Okogie misses 3-pt jump shot from 25 ft,14,22
1,5:35.0,,Offensive rebound by K. Towns,14,22
1,5:29.0,,D. Šarić misses 3-pt jump shot from 23 ft,14,22
1,5:26.0,Defensive rebound by K. Durant,,14,22
1,5:24.0,Shooting foul by D. Šarić (drawn by D. Green),,14,22
1,5:24.0,D. Green makes free throw 1 of 2,,15,22
1,5:24.0,A. McKinnie enters the game for K. Durant,,15,22
1,5:24.0,D. Green misses free throw 2 of 2,,15,22
1,5:22.0,,Defensive rebound by A. Wiggins,15,22
1,5:09.0,,Shooting foul by K. Looney (drawn by A. Wiggins),15,22
1,5:09.0,,A. Wiggins makes free throw 1 of 2,15,23
1,5:09.0,,T. Gibson enters the game for D. Šarić,15,23
1,5:09.0,,A. Wiggins misses free throw 2 of 2,15,23
1,5:07.0,Defensive rebound by A. McKinnie,,15,23
1,4:55.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by D. Green),,18,23
1,4:39.0,,T. Gibson misses 2-pt jump shot from 14 ft,18,23
1,4:36.0,Defensive rebound by D. Green,,18,23
1,4:32.0,Shooting foul by J. Okogie (drawn by K. Thompson),,18,23
1,4:32.0,K. Thompson makes free throw 1 of 3,,19,23
1,4:32.0,K. Thompson misses free throw 2 of 3,,19,23
1,4:32.0,Offensive rebound by Team,,19,23
1,4:32.0,,K. Bates-Diop enters the game for J. Okogie,19,23
1,4:32.0,,A. Tolliver enters the game for K. Towns,19,23
1,4:32.0,K. Thompson makes free throw 3 of 3,,20,23
1,4:11.0,,K. Bates-Diop misses 3-pt jump shot from 26 ft (block by D. Green),20,23
1,4:07.0,Defensive rebound by A. McKinnie,,20,23
1,3:55.0,D. Green misses 3-pt jump shot from 25 ft,,20,23
1,3:53.0,,Defensive rebound by A. Tolliver,20,23
1,3:37.0,,T. Jones misses 2-pt jump shot from 15 ft,20,23
1,3:34.0,,Offensive rebound by Team,20,23
1,3:34.0,A. Iguodala enters the game for K. Thompson,,20,23
1,3:31.0,,A. Wiggins misses 2-pt jump shot from 2 ft (block by D. Green),20,23
1,3:28.0,,Offensive rebound by T. Jones,20,23
1,3:27.0,,T. Jones misses 2-pt jump shot from 13 ft,20,23
1,3:26.0,,Offensive rebound by A. Wiggins,20,23
1,3:25.0,,T. Jones makes 2-pt layup from 2 ft (assist by A. Wiggins),20,25
1,3:14.0,S. Curry makes 3-pt jump shot from 24 ft (assist by D. Green),,23,25
1,2:55.0,,Turnover by A. Wiggins (traveling),23,25
1,2:55.0,,Minnesota full timeout,23,25
1,2:39.0,K. Looney makes 2-pt dunk from 1 ft (assist by S. Curry),,25,25
1,2:13.0,,A. Wiggins misses 3-pt jump shot from 25 ft,25,25
1,2:10.0,Defensive rebound by S. Curry,,25,25
1,2:07.0,S. Curry misses 3-pt jump shot from 25 ft,,25,25
1,2:04.0,Offensive rebound by S. Curry,,25,25
1,1:56.0,S. Curry makes 3-pt jump shot from 24 ft (assist by A. Iguodala),,28,25
1,1:44.0,,T. Jones misses 2-pt jump shot from 9 ft,28,25
