QUARTER,TIME_REMAINING,DALLAS_ACTION,MILWAUKEE_ACTION,DALLAS_SCORE,MILWAUKEE_SCORE
1,11:41.0,L. Dončić misses 2-pt layup from 2 ft (block by B. Lopez),,0,0
1,11:38.0,,Defensive rebound by B. Lopez,0,0
1,11:34.0,,G. Antetokounmpo makes 2-pt layup from 2 ft,0,2
1,11:24.0,L. Dončić misses 2-pt jump shot from 18 ft,,0,2
1,11:21.0,,Defensive rebound by B. Lopez,0,2
1,11:18.0,,E. Bledsoe misses 3-pt jump shot from 27 ft,0,2
1,11:15.0,Defensive rebound by W. Matthews,,0,2
1,11:07.0,W. Matthews misses 2-pt layup from 5 ft (block by B. Lopez),,0,2
1,11:03.0,,Defensive rebound by B. Lopez,0,2
1,10:59.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by K. Middleton),0,4
1,10:59.0,Dallas full timeout,,0,4
1,10:41.0,L. Dončić misses 2-pt jump shot from 9 ft (block by B. Lopez),,0,4
1,10:37.0,Offensive rebound by L. Dončić,,0,4
1,10:36.0,D. Jordan makes 2-pt dunk from 1 ft (assist by L. Dončić),,2,4
1,10:28.0,,Offensive foul by G. Antetokounmpo (drawn by J. Brunson),2,4
1,10:28.0,,Turnover by G. Antetokounmpo (offensive foul),2,4
1,10:16.0,W. Matthews misses 3-pt jump shot from 23 ft,,2,4
1,10:13.0,,Defensive rebound by M. Brogdon,2,4
1,10:01.0,,G. Antetokounmpo misses 2-pt jump shot from 14 ft,2,4
1,9:59.0,,Offensive rebound by G. Antetokounmpo,2,4
1,9:53.0,,M. Brogdon makes 2-pt jump shot from 16 ft (assist by G. Antetokounmpo),2,6
1,9:43.0,J. Brunson misses 2-pt jump shot from 13 ft,,2,6
1,9:42.0,Offensive rebound by Team,,2,6
1,9:36.0,L. Dončić misses 2-pt jump shot from 14 ft,,2,6
1,9:34.0,,Defensive rebound by G. Antetokounmpo,2,6
1,9:27.0,,K. Middleton misses 3-pt jump shot from 28 ft,2,6
1,9:25.0,Defensive rebound by L. Dončić,,2,6
1,9:16.0,H. Barnes misses 3-pt jump shot from 23 ft,,2,6
1,9:14.0,Offensive rebound by D. Jordan,,2,6
1,9:07.0,L. Dončić makes 2-pt jump shot from 13 ft,,4,6
1,8:54.0,,B. Lopez makes 3-pt jump shot from 29 ft (assist by K. Middleton),4,9
1,8:44.0,J. Brunson makes 2-pt jump shot from 14 ft,,6,9
1,8:30.0,,B. Lopez misses 3-pt jump shot from 23 ft,6,9
1,8:26.0,Defensive rebound by J. Brunson,,6,9
1,8:09.0,D. Jordan misses 2-pt jump shot from 13 ft,,6,9
1,8:06.0,,Defensive rebound by G. Antetokounmpo,6,9
1,8:03.0,,K. Middleton misses 2-pt layup from 3 ft (block by W. Matthews),6,9
1,8:03.0,,Offensive rebound by Team,6,9
1,7:57.0,,B. Lopez makes 3-pt jump shot from 28 ft (assist by E. Bledsoe),6,12
1,7:41.0,H. Barnes misses 3-pt jump shot from 27 ft,,6,12
1,7:38.0,Offensive rebound by L. Dončić,,6,12
1,7:36.0,J. Brunson makes 3-pt jump shot from 27 ft (assist by L. Dončić),,9,12
1,7:24.0,,E. Bledsoe misses 2-pt jump shot from 6 ft,9,12
1,7:21.0,Defensive rebound by D. Jordan,,9,12
1,7:11.0,Personal foul by K. Middleton (drawn by W. Matthews),,9,12
1,7:11.0,,S. Brown enters the game for G. Antetokounmpo,9,12
1,7:11.0,,D. Wilson enters the game for M. Brogdon,9,12
1,7:05.0,Turnover by D. Jordan (bad pass; steal by E. Bledsoe),,9,12
1,7:00.0,,S. Brown makes 2-pt layup from 2 ft (assist by D. Wilson),9,14
1,6:43.0,J. Brunson misses 2-pt jump shot from 20 ft,,9,14
1,6:39.0,,Defensive rebound by K. Middleton,9,14
1,6:31.0,,K. Middleton misses 3-pt jump shot from 26 ft,9,14
1,6:28.0,Defensive rebound by D. Jordan,,9,14
1,6:24.0,L. Dončić misses 3-pt jump shot from 27 ft,,9,14
1,6:20.0,,Defensive rebound by D. Wilson,9,14
1,6:07.0,,B. Lopez makes 3-pt jump shot from 25 ft (assist by S. Brown),9,17
1,6:06.0,Dallas full timeout,,9,17
1,6:06.0,D. Finney-Smith enters the game for L. Dončić,,9,17
1,5:46.0,W. Matthews misses 3-pt jump shot from 22 ft,,9,17
1,5:43.0,,Defensive rebound by S. Brown,9,17
1,5:36.0,,B. Lopez misses 3-pt jump shot from 29 ft,9,17
1,5:32.0,Defensive rebound by H. Barnes,,9,17
1,5:26.0,H. Barnes misses 3-pt jump shot from 27 ft,,9,17
1,5:21.0,,Defensive rebound by E. Bledsoe,9,17
1,5:17.0,,E. Bledsoe makes 2-pt layup from 2 ft,9,19
1,5:17.0,,Shooting foul by J. Brunson (drawn by E. Bledsoe),9,19
1,5:17.0,D. Harris enters the game for D. Jordan,,9,19
