QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,TORONTO_ACTION,SACRAMENTO_SCORE,TORONTO_SCORE
1,11:49.0,Personal foul by K. Lowry (drawn by Y. Ferrell),,0,0
1,11:39.0,B. Hield misses 2-pt layup from 2 ft,,0,0
1,11:38.0,Offensive rebound by Team,,0,0
1,11:32.0,Y. Ferrell misses 2-pt jump shot from 17 ft,,0,0
1,11:30.0,,Defensive rebound by S. Ibaka,0,0
1,11:11.0,,P. Siakam misses 2-pt layup from 4 ft,0,0
1,11:09.0,Defensive rebound by W. Cauley-Stein,,0,0
1,11:02.0,M. Bagley makes 2-pt hook shot from 3 ft (assist by B. Bogdanović),,2,0
1,10:40.0,,D. Green makes 3-pt jump shot from 25 ft (assist by F. VanVleet),2,3
1,10:30.0,B. Hield makes 3-pt jump shot from 24 ft (assist by Y. Ferrell),,5,3
1,10:09.0,,Turnover by P. Siakam (bad pass; steal by B. Bogdanović),5,3
1,10:03.0,Y. Ferrell makes 3-pt jump shot from 24 ft (assist by B. Bogdanović),,8,3
1,9:51.0,,S. Ibaka makes 2-pt dunk from 2 ft (assist by K. Lowry),8,5
1,9:40.0,Y. Ferrell misses 2-pt jump shot from 9 ft,,8,5
1,9:35.0,,Defensive rebound by K. Lowry,8,5
1,9:31.0,,Shooting foul by W. Cauley-Stein (drawn by S. Ibaka),8,5
1,9:31.0,,S. Ibaka makes free throw 1 of 2,8,6
1,9:31.0,,S. Ibaka makes free throw 2 of 2,8,7
1,9:21.0,Shooting foul by F. VanVleet (drawn by B. Hield),,8,7
1,9:21.0,B. Hield makes free throw 1 of 2,,9,7
1,9:21.0,B. Hield makes free throw 2 of 2,,10,7
1,9:04.0,,P. Siakam makes 3-pt jump shot from 23 ft (assist by K. Lowry),10,10
1,8:53.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by W. Cauley-Stein),,12,10
1,8:35.0,,F. VanVleet makes 3-pt jump shot from 25 ft (assist by D. Green),12,13
1,8:19.0,M. Bagley makes 2-pt hook shot from 5 ft (assist by Y. Ferrell),,14,13
1,8:08.0,,S. Ibaka misses 3-pt jump shot from 26 ft,14,13
1,8:04.0,Defensive rebound by M. Bagley,,14,13
1,7:55.0,M. Bagley misses 2-pt layup from 2 ft,,14,13
1,7:53.0,,Defensive rebound by S. Ibaka,14,13
1,7:50.0,,F. VanVleet makes 2-pt layup from 3 ft (assist by K. Lowry),14,15
1,7:43.0,B. Bogdanović misses 2-pt layup from 1 ft,,14,15
1,7:41.0,,Defensive rebound by S. Ibaka,14,15
1,7:38.0,,F. VanVleet makes 3-pt jump shot from 25 ft (assist by K. Lowry),14,18
1,7:18.0,B. Hield misses 2-pt jump shot from 17 ft,,14,18
1,7:15.0,,Defensive rebound by P. Siakam,14,18
1,7:07.0,,P. Siakam misses 2-pt hook shot from 3 ft,14,18
1,7:04.0,Defensive rebound by W. Cauley-Stein,,14,18
1,6:54.0,B. Hield misses 3-pt jump shot from 24 ft,,14,18
1,6:52.0,,Defensive rebound by S. Ibaka,14,18
1,6:45.0,,Turnover by K. Lowry (bad pass; steal by B. Bogdanović),14,18
1,6:41.0,Y. Ferrell misses 2-pt layup from 2 ft,,14,18
1,6:37.0,Offensive rebound by Y. Ferrell,,14,18
1,6:35.0,B. Hield makes 2-pt layup from 2 ft (assist by Y. Ferrell),,16,18
1,6:25.0,,Toronto full timeout,16,18
1,6:25.0,H. Giles enters the game for W. Cauley-Stein,,16,18
1,6:12.0,,S. Ibaka misses 2-pt dunk from 2 ft,16,18
1,6:10.0,,Offensive rebound by K. Lowry,16,18
1,6:09.0,,F. VanVleet misses 3-pt jump shot from 26 ft,16,18
1,6:07.0,,Offensive rebound by Team,16,18
1,6:07.0,Loose ball foul by B. Hield (drawn by S. Ibaka),,16,18
1,5:53.0,,K. Lowry makes 2-pt jump shot from 17 ft,16,20
1,5:36.0,B. Bogdanović makes 2-pt jump shot from 14 ft,,18,20
1,5:20.0,,S. Ibaka makes 2-pt jump shot from 12 ft (assist by F. VanVleet),18,22
1,5:09.0,H. Giles makes 2-pt jump shot from 13 ft (assist by B. Bogdanović),,20,22
1,5:01.0,,D. Green misses 3-pt jump shot from 26 ft,20,22
1,4:58.0,Defensive rebound by Y. Ferrell,,20,22
1,4:49.0,Personal foul by D. Green (drawn by B. Bogdanović),,20,22
1,4:40.0,M. Bagley misses 2-pt jump shot from 16 ft,,20,22
1,4:38.0,,Defensive rebound by F. VanVleet,20,22
1,4:26.0,,K. Lowry misses 3-pt jump shot from 23 ft,20,22
1,4:23.0,Defensive rebound by Y. Ferrell,,20,22
1,4:21.0,Y. Ferrell misses 3-pt jump shot from 25 ft,,20,22
1,4:18.0,,Defensive rebound by K. Lowry,20,22
1,4:05.0,,F. VanVleet misses 2-pt hook shot from 6 ft,20,22
1,4:03.0,,Offensive rebound by F. VanVleet,20,22
1,3:54.0,,Turnover by K. Lowry (bad pass; steal by B. Bogdanović),20,22
1,3:48.0,B. Hield makes 2-pt jump shot from 17 ft (assist by B. Bogdanović),,22,22
1,3:32.0,,S. Ibaka misses 3-pt jump shot from 26 ft,22,22
1,3:31.0,Defensive rebound by B. Bogdanović,,22,22
1,3:18.0,H. Giles makes 2-pt layup from 2 ft (assist by B. Bogdanović),,24,22
1,3:08.0,,K. Lowry misses 3-pt jump shot from 25 ft,24,22
1,3:06.0,Defensive rebound by B. Hield,,24,22
1,2:59.0,Y. Ferrell makes 3-pt jump shot from 25 ft (assist by B. Hield),,27,22
1,2:48.0,,Toronto full timeout,27,22
1,2:48.0,J. Jackson enters the game for B. Bogdanović,,27,22
1,2:48.0,F. Mason enters the game for Y. Ferrell,,27,22
1,2:48.0,,G. Monroe enters the game for D. Green,27,22
1,2:48.0,,N. Powell enters the game for S. Ibaka,27,22
1,2:48.0,,D. Wright enters the game for K. Lowry,27,22
1,2:32.0,,N. Powell makes 3-pt jump shot from 25 ft (assist by D. Wright),27,25
1,2:14.0,Def 3 sec tech foul by Team,,27,25
1,2:14.0,B. Hield makes technical free throw,,28,25
1,2:05.0,M. Bagley makes 2-pt hook shot from 3 ft (assist by F. Mason),,30,25
1,1:59.0,,Personal foul by M. Bagley (drawn by P. Siakam),30,25
1,1:54.0,,Personal foul by H. Giles (drawn by N. Powell),30,25
1,1:54.0,,N. Powell makes free throw 1 of 2,30,26
1,1:54.0,,N. Powell misses free throw 2 of 2,30,26
1,1:52.0,Defensive rebound by M. Bagley,,30,26
1,1:38.0,M. Bagley misses 2-pt jump shot from 10 ft,,30,26
1,1:36.0,,Defensive rebound by G. Monroe,30,26
1,1:26.0,,F. VanVleet makes 2-pt layup from 3 ft,30,28
1,1:26.0,,Shooting foul by F. Mason (drawn by F. VanVleet),30,28
1,1:26.0,,C. Miles enters the game for P. Siakam,30,28
1,1:26.0,,F. VanVleet makes free throw 1 of 1,30,29
1,1:14.0,Personal foul by D. Wright (drawn by F. Mason),,30,29
1,1:04.0,J. Jackson misses 3-pt jump shot from 24 ft,,30,29
1,1:01.0,,Defensive rebound by C. Miles,30,29
1,0:54.0,,G. Monroe misses 2-pt layup from 2 ft,30,29
1,0:52.0,Defensive rebound by M. Bagley,,30,29
1,0:48.0,F. Mason makes 2-pt layup from 2 ft,,32,29
1,0:31.0,,F. VanVleet misses 3-pt jump shot from 28 ft,32,29
1,0:28.0,Defensive rebound by M. Bagley,,32,29
1,0:10.0,M. Bagley makes 2-pt layup from 2 ft,,34,29
1,0:01.0,,N. Powell misses 3-pt jump shot from 26 ft,34,29
1,0:01.0,,Offensive rebound by Team,34,29
2,11:45.0,,K. Lowry makes 2-pt layup from 2 ft (assist by G. Monroe),34,31
2,11:45.0,,Shooting foul by B. McLemore (drawn by K. Lowry),34,31
2,11:45.0,,K. Lowry makes free throw 1 of 1,34,32
2,11:33.0,Shooting foul by G. Monroe (drawn by K. Koufos),,34,32
2,11:33.0,K. Koufos misses free throw 1 of 2,,34,32
2,11:33.0,Offensive rebound by Team,,34,32
2,11:33.0,K. Koufos makes free throw 2 of 2,,35,32
2,11:19.0,,C. Miles makes 3-pt jump shot from 24 ft (assist by D. Wright),35,35
2,11:08.0,K. Koufos makes 2-pt jump shot from 12 ft (assist by F. Mason),,37,35
2,11:01.0,,N. Powell makes 2-pt layup from 2 ft (assist by K. Lowry),37,37
2,10:52.0,H. Giles misses 2-pt layup from 5 ft,,37,37
2,10:48.0,,Defensive rebound by K. Lowry,37,37
2,10:44.0,,C. Miles makes 3-pt jump shot from 25 ft (assist by N. Powell),37,40
2,10:36.0,Sacramento full timeout,,37,40
2,10:36.0,B. Bogdanović enters the game for H. Giles,,37,40
2,10:31.0,Offensive foul by K. Koufos (drawn by N. Powell),,37,40
2,10:31.0,Turnover by K. Koufos (offensive foul),,37,40
2,10:22.0,,Offensive foul by G. Monroe (drawn by J. Jackson),37,40
2,10:22.0,,Turnover by G. Monroe (offensive foul),37,40
2,10:04.0,F. Mason misses 2-pt jump shot from 11 ft,,37,40
2,10:03.0,Offensive rebound by Team,,37,40
2,10:00.0,Turnover by B. McLemore (bad pass; steal by G. Monroe),,37,40
2,9:56.0,,D. Wright misses 2-pt layup from 8 ft (block by K. Koufos),37,40
2,9:55.0,,Offensive rebound by Team,37,40
2,9:40.0,,G. Monroe misses 2-pt hook shot from 3 ft,37,40
2,9:38.0,Defensive rebound by B. McLemore,,37,40
2,9:26.0,Turnover by F. Mason (step out of bounds),,37,40
2,9:15.0,,D. Wright misses 2-pt layup from 4 ft,37,40
2,9:13.0,,Offensive rebound by G. Monroe,37,40
2,9:12.0,,Shooting foul by K. Koufos (drawn by G. Monroe),37,40
2,9:12.0,,G. Monroe misses free throw 1 of 2,37,40
2,9:12.0,,Offensive rebound by Team,37,40
2,9:12.0,Y. Ferrell enters the game for F. Mason,,37,40
2,9:12.0,,G. Monroe misses free throw 2 of 2,37,40
2,9:10.0,Defensive rebound by K. Koufos,,37,40
2,8:54.0,J. Jackson misses 3-pt jump shot from 25 ft,,37,40
2,8:50.0,Offensive rebound by B. McLemore,,37,40
