QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,LA CLIPPERS_ACTION,CHARLOTTE_SCORE,LA CLIPPERS_SCORE
1,11:45.0,,Turnover by A. Bradley (bad pass),0,0
1,11:30.0,K. Walker misses 3-pt jump shot from 26 ft,,0,0
1,11:27.0,,Defensive rebound by M. Gortat,0,0
1,11:19.0,,D. Gallinari makes 3-pt jump shot from 24 ft (assist by T. Harris),0,3
1,11:10.0,N. Batum makes 3-pt jump shot from 26 ft (assist by K. Walker),,3,3
1,10:54.0,,A. Bradley misses 2-pt jump shot from 20 ft,3,3
1,10:54.0,Defensive rebound by B. Biyombo,,3,3
1,10:38.0,M. Williams makes 3-pt jump shot from 25 ft (assist by N. Batum),,6,3
1,10:26.0,,T. Harris makes 3-pt jump shot from 25 ft (assist by D. Gallinari),6,6
1,10:15.0,K. Walker misses 3-pt jump shot from 25 ft,,6,6
1,10:14.0,,Defensive rebound by Team,6,6
1,9:58.0,,A. Bradley misses 2-pt jump shot from 10 ft,6,6
1,9:55.0,Defensive rebound by M. Williams,,6,6
1,9:42.0,M. Williams misses 3-pt jump shot from 25 ft,,6,6
1,9:40.0,,Defensive rebound by M. Gortat,6,6
1,9:36.0,,Personal foul by J. Lamb (drawn by T. Harris),6,6
1,9:23.0,,D. Gallinari makes 2-pt jump shot from 19 ft,6,8
1,9:11.0,J. Lamb makes 2-pt jump shot from 1 ft (assist by K. Walker),,8,8
1,8:59.0,,A. Bradley misses 2-pt layup from 3 ft (block by N. Batum),8,8
1,8:53.0,,Offensive rebound by M. Gortat,8,8
1,8:53.0,,M. Gortat makes 2-pt layup from 1 ft,8,10
1,8:46.0,Personal foul by T. Harris (drawn by K. Walker),,8,10
1,8:37.0,B. Biyombo makes 2-pt layup from 2 ft (assist by K. Walker),,10,10
1,8:24.0,,D. Gallinari misses 3-pt jump shot from 25 ft,10,10
1,8:20.0,Defensive rebound by J. Lamb,,10,10
1,8:13.0,J. Lamb misses 2-pt jump shot from 8 ft (block by S. Gilgeous-Alexander),,10,10
1,8:09.0,Offensive rebound by J. Lamb,,10,10
1,8:07.0,M. Williams misses 3-pt jump shot from 23 ft,,10,10
1,8:04.0,Offensive rebound by B. Biyombo,,10,10
1,7:58.0,J. Lamb makes 2-pt jump shot from 8 ft (assist by N. Batum),,12,10
1,7:46.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 16 ft,12,10
1,7:43.0,Defensive rebound by N. Batum,,12,10
1,7:36.0,Personal foul by S. Gilgeous-Alexander (drawn by J. Lamb),,12,10
1,7:36.0,W. Hernangómez enters the game for B. Biyombo,,12,10
1,7:27.0,J. Lamb makes 2-pt jump shot from 13 ft (assist by K. Walker),,14,10
1,7:16.0,,M. Gortat makes 2-pt hook shot from 5 ft (assist by D. Gallinari),14,12
1,7:05.0,K. Walker makes 2-pt layup from 2 ft,,16,12
1,7:05.0,,Violation by Team (def goaltending),16,12
1,6:47.0,,Shooting foul by W. Hernangómez (drawn by S. Gilgeous-Alexander),16,12
1,6:47.0,,LA Clippers full timeout,16,12
1,6:47.0,,S. Gilgeous-Alexander makes free throw 1 of 2,16,13
1,6:47.0,,S. Gilgeous-Alexander makes free throw 2 of 2,16,14
1,6:40.0,Personal foul by M. Gortat (drawn by W. Hernangómez),,16,14
1,6:32.0,J. Lamb misses 2-pt jump shot from 22 ft,,16,14
1,6:30.0,,Defensive rebound by T. Harris,16,14
1,6:24.0,,D. Gallinari makes 2-pt dunk from 1 ft (assist by A. Bradley),16,16
1,6:03.0,J. Lamb makes 2-pt jump shot from 2 ft,,18,16
1,5:53.0,,T. Harris misses 2-pt jump shot from 15 ft,18,16
1,5:50.0,Defensive rebound by J. Lamb,,18,16
1,5:35.0,K. Walker misses 2-pt layup from 2 ft (block by M. Gortat),,18,16
1,5:30.0,Offensive rebound by K. Walker,,18,16
1,5:29.0,Turnover by K. Walker (bad pass; steal by S. Gilgeous-Alexander),,18,16
1,5:24.0,,T. Harris makes 2-pt dunk from 1 ft (assist by S. Gilgeous-Alexander),18,18
1,5:08.0,J. Lamb misses 2-pt layup from 3 ft (block by M. Gortat),,18,18
1,5:06.0,,Defensive rebound by M. Gortat,18,18
1,5:02.0,,A. Bradley misses 3-pt jump shot from 23 ft,18,18
1,4:59.0,,Offensive rebound by Team,18,18
1,4:59.0,D. Graham enters the game for J. Lamb,,18,18
1,4:59.0,M. Kidd-Gilchrist enters the game for M. Williams,,18,18
1,4:53.0,,T. Harris misses 2-pt jump shot from 18 ft,18,18
1,4:49.0,Defensive rebound by K. Walker,,18,18
1,4:42.0,M. Kidd-Gilchrist misses 2-pt hook shot from 5 ft,,18,18
1,4:41.0,Offensive rebound by Team,,18,18
1,4:28.0,K. Walker misses 2-pt layup from 2 ft,,18,18
1,4:28.0,Offensive rebound by W. Hernangómez,,18,18
1,4:27.0,W. Hernangómez makes 2-pt layup from 2 ft,,20,18
1,4:27.0,Shooting foul by D. Gallinari (drawn by W. Hernangómez),,20,18
1,4:27.0,,M. Harrell enters the game for S. Gilgeous-Alexander,20,18
1,4:27.0,,L. Williams enters the game for M. Gortat,20,18
1,4:27.0,W. Hernangómez makes free throw 1 of 1,,21,18
1,4:19.0,,D. Gallinari makes 3-pt jump shot from 26 ft (assist by M. Harrell),21,21
1,4:00.0,K. Walker misses 2-pt layup from 1 ft (block by A. Bradley),,21,21
1,3:57.0,,Defensive rebound by T. Harris,21,21
1,3:37.0,,T. Harris misses 3-pt jump shot from 26 ft,21,21
1,3:33.0,Defensive rebound by N. Batum,,21,21
1,3:29.0,N. Batum misses 3-pt jump shot from 25 ft,,21,21
1,3:24.0,,Defensive rebound by L. Williams,21,21
1,3:14.0,,D. Gallinari makes 2-pt jump shot from 19 ft,21,23
1,3:12.0,Charlotte full timeout,,21,23
1,3:12.0,T. Parker enters the game for K. Walker,,21,23
1,3:12.0,,P. Beverley enters the game for A. Bradley,21,23
1,3:01.0,D. Graham misses 3-pt jump shot from 25 ft,,21,23
1,2:57.0,,Defensive rebound by M. Harrell,21,23
1,2:46.0,,T. Harris misses 3-pt jump shot from 23 ft,21,23
1,2:45.0,,Offensive rebound by Team,21,23
1,2:45.0,Loose ball foul by M. Kidd-Gilchrist (drawn by D. Gallinari),,21,23
1,2:40.0,,T. Harris makes 2-pt dunk from 1 ft (assist by L. Williams),21,25
1,2:25.0,T. Parker misses 2-pt jump shot from 8 ft,,21,25
1,2:22.0,,Defensive rebound by L. Williams,21,25
1,2:21.0,,Shooting foul by D. Graham (drawn by L. Williams),21,25
1,2:21.0,,L. Williams makes free throw 1 of 2,21,26
1,2:21.0,,T. Wallace enters the game for D. Gallinari,21,26
1,2:21.0,,L. Williams makes free throw 2 of 2,21,27
1,2:04.0,T. Parker makes 2-pt jump shot from 18 ft (assist by N. Batum),,23,27
1,1:53.0,,L. Williams makes 2-pt jump shot from 11 ft,23,29
1,1:40.0,Turnover by T. Parker (bad pass; steal by M. Harrell),,23,29
1,1:36.0,,Turnover by P. Beverley (bad pass; steal by D. Graham),23,29
1,1:32.0,Shooting foul by P. Beverley (drawn by M. Kidd-Gilchrist),,23,29
1,1:32.0,M. Kidd-Gilchrist makes free throw 1 of 2,,24,29
1,1:32.0,,M. Scott enters the game for T. Harris,24,29
1,1:32.0,M. Kidd-Gilchrist misses free throw 2 of 2,,24,29
1,1:30.0,,Defensive rebound by M. Harrell,24,29
1,1:18.0,,Shooting foul by M. Kidd-Gilchrist (drawn by M. Harrell),24,29
1,1:18.0,,M. Harrell misses free throw 1 of 2,24,29
1,1:18.0,,Offensive rebound by Team,24,29
1,1:18.0,M. Williams enters the game for M. Kidd-Gilchrist,,24,29
1,1:18.0,,M. Harrell makes free throw 2 of 2,24,30
1,1:06.0,W. Hernangómez misses 2-pt jump shot from 4 ft,,24,30
1,1:04.0,,Defensive rebound by P. Beverley,24,30
1,1:02.0,,L. Williams makes 2-pt jump shot from 9 ft (assist by P. Beverley),24,32
1,1:02.0,,Shooting foul by D. Graham (drawn by L. Williams),24,32
1,1:02.0,,L. Williams makes free throw 1 of 1,24,33
1,0:53.0,T. Parker misses 2-pt layup from 2 ft,,24,33
1,0:50.0,,Defensive rebound by M. Harrell,24,33
1,0:45.0,,M. Scott misses 3-pt jump shot from 25 ft,24,33
1,0:41.0,Defensive rebound by W. Hernangómez,,24,33
1,0:35.0,D. Graham misses 2-pt layup from 2 ft,,24,33
1,0:33.0,,Defensive rebound by P. Beverley,24,33
1,0:25.0,,L. Williams misses 2-pt jump shot from 22 ft,24,33
1,0:22.0,Defensive rebound by D. Graham,,24,33
1,0:07.0,Turnover by T. Parker (traveling),,24,33
1,0:04.0,,M. Harrell misses 2-pt layup from 2 ft,24,33
1,0:03.0,Defensive rebound by M. Williams,,24,33
1,0:00.0,M. Williams misses 3-pt jump shot from 39 ft,,24,33
1,0:00.0,Offensive rebound by Team,,24,33
2,11:42.0,J. Lamb makes 3-pt jump shot from 26 ft (assist by T. Parker),,27,33
2,11:18.0,,T. Wallace misses 2-pt layup from 2 ft (block by M. Bridges),27,33
2,11:15.0,Defensive rebound by M. Bridges,,27,33
2,11:14.0,M. Monk makes 3-pt jump shot from 25 ft (assist by T. Parker),,30,33
2,11:02.0,,L. Williams misses 2-pt jump shot from 20 ft,30,33
2,10:58.0,Defensive rebound by M. Monk,,30,33
2,10:48.0,J. Lamb misses 2-pt jump shot from 5 ft,,30,33
2,10:45.0,,Defensive rebound by M. Harrell,30,33
2,10:35.0,,Shooting foul by J. Lamb (drawn by M. Harrell),30,33
2,10:35.0,,M. Harrell makes free throw 1 of 2,30,34
