QUARTER,TIME_REMAINING,BOSTON_ACTION,INDIANA_ACTION,BOSTON_SCORE,INDIANA_SCORE
1,11:50.0,A. Baynes makes 3-pt jump shot from 23 ft (assist by K. Irving),,3,0
1,11:27.0,,T. Young misses 3-pt jump shot from 28 ft,3,0
1,11:24.0,Defensive rebound by J. Tatum,,3,0
1,11:02.0,A. Baynes makes 2-pt dunk from 1 ft (assist by A. Horford),,5,0
1,10:44.0,,M. Turner misses 2-pt layup from 1 ft,5,0
1,10:38.0,Defensive rebound by A. Baynes,,5,0
1,10:31.0,J. Tatum misses 3-pt jump shot from 26 ft,,5,0
1,10:28.0,,Defensive rebound by T. Young,5,0
1,10:13.0,,W. Matthews makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),5,3
1,9:58.0,K. Irving misses 2-pt jump shot from 21 ft,,5,3
1,9:56.0,,Defensive rebound by W. Matthews,5,3
1,9:40.0,,W. Matthews misses 2-pt jump shot from 8 ft,5,3
1,9:36.0,Defensive rebound by A. Baynes,,5,3
1,9:32.0,K. Irving makes 2-pt layup from 1 ft,,7,3
1,9:19.0,,T. Young misses 2-pt hook shot from 7 ft,7,3
1,9:17.0,Defensive rebound by A. Baynes,,7,3
1,9:13.0,K. Irving makes 3-pt jump shot from 29 ft,,10,3
1,8:43.0,,C. Joseph misses 2-pt layup at rim,10,3
1,8:42.0,,Offensive rebound by T. Young,10,3
1,8:42.0,,T. Young makes 2-pt layup at rim,10,5
1,8:27.0,A. Baynes misses 2-pt layup from 1 ft,,10,5
1,8:25.0,,Defensive rebound by M. Turner,10,5
1,8:21.0,,Shooting foul by J. Tatum (drawn by B. Bogdanović),10,5
1,8:21.0,,B. Bogdanović makes free throw 1 of 2,10,6
1,8:21.0,,B. Bogdanović makes free throw 2 of 2,10,7
1,8:02.0,K. Irving misses 2-pt jump shot from 19 ft,,10,7
1,7:59.0,,Defensive rebound by T. Young,10,7
1,7:50.0,,T. Young makes 2-pt layup from 3 ft (assist by C. Joseph),10,9
1,7:35.0,A. Horford makes 2-pt jump shot from 20 ft (assist by M. Smart),,12,9
1,7:24.0,,M. Turner makes 3-pt jump shot from 26 ft (assist by C. Joseph),12,12
1,7:01.0,J. Tatum misses 2-pt jump shot from 8 ft,,12,12
1,6:57.0,,Defensive rebound by W. Matthews,12,12
1,6:55.0,,W. Matthews misses 3-pt jump shot from 27 ft,12,12
1,6:53.0,Defensive rebound by Team,,12,12
1,6:53.0,,Indiana full timeout,12,12
1,6:53.0,G. Hayward enters the game for A. Baynes,,12,12
1,6:53.0,M. Morris enters the game for M. Smart,,12,12
1,6:37.0,M. Morris misses 2-pt layup from 2 ft,,12,12
1,6:36.0,Offensive rebound by M. Morris,,12,12
1,6:35.0,M. Morris makes 2-pt layup from 2 ft,,14,12
1,6:22.0,,Shooting foul by K. Irving (drawn by T. Young),14,12
1,6:22.0,,T. Young misses free throw 1 of 2,14,12
1,6:22.0,,Offensive rebound by Team,14,12
1,6:22.0,,T. Young misses free throw 2 of 2,14,12
1,6:21.0,Defensive rebound by J. Tatum,,14,12
1,6:07.0,M. Morris misses 3-pt jump shot from 27 ft,,14,12
1,6:04.0,,Defensive rebound by B. Bogdanović,14,12
1,5:48.0,,C. Joseph misses 3-pt jump shot from 26 ft,14,12
1,5:45.0,Defensive rebound by J. Tatum,,14,12
1,5:40.0,A. Horford makes 2-pt jump shot from 21 ft (assist by J. Tatum),,16,12
1,5:26.0,,W. Matthews makes 2-pt layup from 2 ft (assist by C. Joseph),16,14
1,5:16.0,K. Irving makes 2-pt jump shot from 2 ft,,18,14
1,4:59.0,,T. Young misses 2-pt jump shot from 5 ft,18,14
1,4:56.0,,M. Turner makes 2-pt layup from 2 ft,18,16
1,4:56.0,,Offensive rebound by M. Turner,18,16
1,4:44.0,K. Irving makes 2-pt jump shot from 9 ft,,20,16
1,4:27.0,,W. Matthews misses 3-pt jump shot from 28 ft,20,16
1,4:25.0,Defensive rebound by A. Horford,,20,16
1,4:20.0,Offensive foul by M. Morris (drawn by W. Matthews),,20,16
1,4:20.0,Turnover by M. Morris (offensive foul),,20,16
1,4:20.0,,T. Evans enters the game for W. Matthews,20,16
1,4:20.0,,D. Sabonis enters the game for T. Young,20,16
1,4:10.0,,B. Bogdanović misses 3-pt jump shot from 27 ft,20,16
1,4:07.0,Defensive rebound by A. Horford,,20,16
1,4:01.0,M. Morris misses 3-pt jump shot from 28 ft,,20,16
1,3:58.0,,Defensive rebound by T. Evans,20,16
1,3:35.0,,D. Sabonis misses 2-pt jump shot from 15 ft (block by J. Tatum),20,16
1,3:32.0,Defensive rebound by K. Irving,,20,16
1,3:24.0,Turnover by A. Horford (lost ball; steal by C. Joseph),,20,16
1,3:18.0,,D. Sabonis makes 2-pt layup from 1 ft (assist by C. Joseph),20,18
1,3:18.0,Boston full timeout,,20,18
1,3:18.0,A. Baynes enters the game for A. Horford,,20,18
1,3:18.0,M. Smart enters the game for J. Tatum,,20,18
1,3:18.0,,D. McDermott enters the game for B. Bogdanović,20,18
1,3:05.0,Turnover by G. Hayward (bad pass; steal by D. Sabonis),,20,18
1,2:50.0,,D. Sabonis makes 2-pt jump shot from 8 ft,20,20
1,2:34.0,K. Irving misses 2-pt layup from 1 ft,,20,20
1,2:32.0,,Defensive rebound by C. Joseph,20,20
1,2:27.0,,D. McDermott makes 3-pt jump shot from 23 ft (assist by C. Joseph),20,23
1,2:16.0,K. Irving makes 2-pt jump shot from 16 ft,,22,23
1,1:59.0,,C. Joseph misses 2-pt jump shot from 14 ft,22,23
1,1:54.0,,Offensive rebound by D. Sabonis,22,23
1,1:54.0,,D. Sabonis makes 2-pt layup at rim,22,25
1,1:44.0,A. Baynes makes 2-pt dunk at rim (assist by M. Smart),,24,25
1,1:34.0,,C. Joseph misses 2-pt jump shot from 10 ft,24,25
1,1:31.0,Defensive rebound by A. Baynes,,24,25
1,1:25.0,K. Irving misses 3-pt jump shot from 26 ft,,24,25
1,1:21.0,,Defensive rebound by M. Turner,24,25
1,1:02.0,,D. Sabonis makes 2-pt jump shot from 2 ft (assist by C. Joseph),24,27
1,0:43.0,M. Smart misses 3-pt jump shot from 26 ft,,24,27
1,0:40.0,,Defensive rebound by C. Joseph,24,27
1,0:32.0,,M. Turner misses 2-pt layup from 1 ft (block by A. Baynes),24,27
1,0:31.0,Defensive rebound by Team,,24,27
1,0:31.0,T. Rozier enters the game for K. Irving,,24,27
1,0:31.0,,A. Holiday enters the game for C. Joseph,24,27
1,0:31.0,,T. Leaf enters the game for M. Turner,24,27
