QUARTER,TIME_REMAINING,NEW YORK_ACTION,DETROIT_ACTION,NEW YORK_SCORE,DETROIT_SCORE
1,11:48.0,,R. Bullock misses 3-pt jump shot from 24 ft,0,0
1,11:43.0,Defensive rebound by N. Vonleh,,0,0
1,11:26.0,E. Freedom makes 2-pt layup from 1 ft (assist by T. Hardaway),,2,0
1,11:13.0,,A. Drummond misses 2-pt layup from 6 ft,2,0
1,11:10.0,Defensive rebound by E. Freedom,,2,0
1,10:52.0,N. Vonleh misses 2-pt layup from 3 ft,,2,0
1,10:50.0,,Defensive rebound by A. Drummond,2,0
1,10:36.0,,G. Robinson misses 3-pt jump shot from 27 ft,2,0
1,10:31.0,Defensive rebound by N. Vonleh,,2,0
1,10:23.0,T. Hardaway misses 2-pt jump shot from 9 ft,,2,0
1,10:20.0,Offensive rebound by T. Hardaway,,2,0
1,10:19.0,T. Hardaway misses 2-pt layup from 2 ft,,2,0
1,10:19.0,,Defensive rebound by Team,2,0
1,10:04.0,,Turnover by A. Drummond (bad pass),2,0
1,9:53.0,Turnover by E. Mudiay (out of bounds lost ball),,2,0
1,9:36.0,,R. Jackson makes 3-pt jump shot from 26 ft (assist by B. Griffin),2,3
1,9:25.0,E. Mudiay misses 2-pt layup from 2 ft,,2,3
1,9:23.0,,Defensive rebound by A. Drummond,2,3
1,9:16.0,,R. Bullock misses 3-pt jump shot from 26 ft,2,3
1,9:12.0,Defensive rebound by M. Hezonja,,2,3
1,9:01.0,N. Vonleh makes 2-pt layup from 2 ft,,4,3
1,8:45.0,,R. Jackson makes 2-pt jump shot from 13 ft,4,5
1,8:24.0,Personal foul by A. Drummond (drawn by E. Freedom),,4,5
1,8:18.0,T. Hardaway makes 2-pt layup from 4 ft (assist by E. Freedom),,6,5
1,8:02.0,,R. Bullock misses 3-pt jump shot from 28 ft,6,5
1,7:59.0,Defensive rebound by E. Mudiay,,6,5
1,7:56.0,E. Mudiay misses 2-pt layup from 2 ft (block by G. Robinson),,6,5
1,7:51.0,Offensive rebound by E. Freedom,,6,5
1,7:51.0,E. Freedom makes 2-pt layup from 2 ft,,8,5
1,7:43.0,,B. Griffin misses 3-pt jump shot from 26 ft,8,5
1,7:40.0,Defensive rebound by E. Mudiay,,8,5
1,7:38.0,Personal foul by G. Robinson (drawn by T. Hardaway),,8,5
1,7:26.0,E. Freedom misses 2-pt layup from 12 ft,,8,5
1,7:24.0,,Defensive rebound by G. Robinson,8,5
1,7:17.0,,Turnover by R. Bullock (bad pass; steal by T. Hardaway),8,5
1,7:10.0,T. Hardaway makes 3-pt jump shot from 25 ft (assist by N. Vonleh),,11,5
1,6:56.0,,Shooting foul by T. Hardaway (drawn by A. Drummond),11,5
1,6:56.0,,Detroit full timeout,11,5
1,6:56.0,,A. Drummond misses free throw 1 of 2,11,5
1,6:56.0,,Offensive rebound by Team,11,5
1,6:56.0,,A. Drummond misses free throw 2 of 2,11,5
1,6:56.0,Defensive rebound by E. Freedom,,11,5
1,6:43.0,Shooting foul by G. Robinson (drawn by T. Hardaway),,11,5
1,6:43.0,T. Hardaway makes free throw 1 of 2,,12,5
1,6:43.0,,L. Galloway enters the game for G. Robinson,12,5
1,6:43.0,T. Hardaway makes free throw 2 of 2,,13,5
1,6:27.0,,B. Griffin makes 2-pt jump shot from 11 ft,13,7
1,6:14.0,E. Freedom makes 2-pt layup from 3 ft,,15,7
1,5:59.0,,R. Jackson misses 2-pt jump shot from 8 ft,15,7
1,5:57.0,Defensive rebound by T. Hardaway,,15,7
1,5:53.0,T. Hardaway misses 2-pt layup from 6 ft,,15,7
1,5:49.0,Offensive rebound by T. Hardaway,,15,7
1,5:47.0,T. Hardaway misses 2-pt jump shot from 18 ft,,15,7
1,5:47.0,,Defensive rebound by R. Bullock,15,7
1,5:39.0,,Shooting foul by N. Vonleh (drawn by B. Griffin),15,7
1,5:39.0,F. Ntilikina enters the game for M. Hezonja,,15,7
1,5:39.0,,I. Smith enters the game for R. Jackson,15,7
1,5:39.0,,B. Griffin makes free throw 1 of 2,15,8
1,5:39.0,,B. Griffin makes free throw 2 of 2,15,9
1,5:16.0,E. Mudiay misses 2-pt jump shot from 8 ft,,15,9
1,5:12.0,Offensive rebound by E. Freedom,,15,9
1,5:12.0,E. Freedom misses 2-pt layup from 1 ft,,15,9
1,5:12.0,Offensive rebound by E. Freedom,,15,9
1,5:11.0,E. Freedom misses 2-pt layup from 4 ft,,15,9
1,5:09.0,,Defensive rebound by I. Smith,15,9
1,4:58.0,,Personal foul by N. Vonleh (drawn by B. Griffin),15,9
1,4:58.0,T. Burke enters the game for E. Mudiay,,15,9
1,4:58.0,M. Robinson enters the game for N. Vonleh,,15,9
1,4:48.0,,B. Griffin misses 2-pt layup from 2 ft,15,9
1,4:48.0,Defensive rebound by E. Freedom,,15,9
1,4:39.0,E. Freedom misses 3-pt jump shot from 26 ft,,15,9
1,4:34.0,,Defensive rebound by A. Drummond,15,9
1,4:28.0,,B. Griffin makes 2-pt layup from 3 ft,15,11
1,4:28.0,,Shooting foul by E. Freedom (drawn by B. Griffin),15,11
1,4:28.0,,B. Griffin makes free throw 1 of 1,15,12
1,4:19.0,T. Burke misses 2-pt layup from 2 ft,,15,12
1,4:16.0,,Defensive rebound by A. Drummond,15,12
1,4:09.0,,Offensive foul by A. Drummond (drawn by M. Robinson),15,12
1,4:09.0,,Turnover by A. Drummond (offensive foul),15,12
1,4:09.0,,Z. Pachulia enters the game for A. Drummond,15,12
1,3:57.0,Turnover by F. Ntilikina (traveling),,15,12
1,3:41.0,,Shooting foul by M. Robinson (drawn by B. Griffin),15,12
1,3:41.0,,B. Griffin makes free throw 1 of 2,15,13
1,3:41.0,,B. Brown enters the game for R. Bullock,15,13
1,3:41.0,,B. Griffin makes free throw 2 of 2,15,14
1,3:26.0,T. Burke misses 3-pt jump shot from 25 ft,,15,14
1,3:22.0,Offensive rebound by E. Freedom,,15,14
1,3:22.0,E. Freedom misses 2-pt hook shot from 4 ft,,15,14
1,3:22.0,,Defensive rebound by B. Brown,15,14
1,3:06.0,,B. Griffin misses 3-pt jump shot from 27 ft,15,14
1,3:03.0,Defensive rebound by E. Freedom,,15,14
1,2:56.0,T. Burke misses 2-pt jump shot from 18 ft,,15,14
1,2:52.0,Offensive rebound by M. Robinson,,15,14
1,2:51.0,M. Robinson makes 2-pt layup from 4 ft,,17,14
1,2:45.0,,L. Galloway makes 3-pt jump shot from 23 ft (assist by I. Smith),17,17
1,2:32.0,T. Hardaway misses 2-pt jump shot from 7 ft,,17,17
1,2:32.0,Offensive rebound by M. Robinson,,17,17
1,2:25.0,M. Robinson misses 2-pt layup from 2 ft,,17,17
1,2:25.0,,Defensive rebound by I. Smith,17,17
1,2:21.0,,Turnover by I. Smith (lost ball; steal by T. Hardaway),17,17
1,2:14.0,Personal foul by Z. Pachulia (drawn by E. Freedom),,17,17
1,2:14.0,New York full timeout,,17,17
1,2:14.0,K. Knox enters the game for T. Hardaway,,17,17
1,2:14.0,A. Trier enters the game for E. Freedom,,17,17
1,2:14.0,,S. Johnson enters the game for B. Griffin,17,17
1,2:01.0,K. Knox misses 2-pt jump shot from 18 ft,,17,17
1,1:58.0,,Defensive rebound by Z. Pachulia,17,17
1,1:37.0,,S. Johnson makes 3-pt jump shot from 29 ft (assist by I. Smith),17,20
1,1:12.0,T. Burke misses 2-pt jump shot from 8 ft,,17,20
1,1:09.0,Offensive rebound by M. Robinson,,17,20
1,1:08.0,M. Robinson misses 2-pt layup from 4 ft (block by S. Johnson),,17,20
1,1:06.0,,Defensive rebound by S. Johnson,17,20
1,1:04.0,,S. Johnson makes 2-pt layup from 1 ft,17,22
1,0:55.0,Personal foul by S. Johnson (drawn by A. Trier),,17,22
1,0:55.0,A. Trier misses free throw 1 of 2,,17,22
1,0:55.0,Offensive rebound by Team,,17,22
1,0:55.0,A. Trier makes free throw 2 of 2,,18,22
1,0:43.0,,L. Galloway misses 3-pt jump shot from 24 ft,18,22
1,0:41.0,Defensive rebound by M. Robinson,,18,22
1,0:31.0,Personal foul by B. Brown (drawn by A. Trier),,18,22
1,0:31.0,A. Trier makes free throw 1 of 2,,19,22
1,0:31.0,A. Trier misses free throw 2 of 2,,19,22
1,0:30.0,,Defensive rebound by S. Johnson,19,22
1,0:16.0,,Personal foul by M. Robinson (drawn by Z. Pachulia),19,22
1,0:16.0,,Z. Pachulia makes free throw 1 of 2,19,23
1,0:16.0,,Z. Pachulia makes free throw 2 of 2,19,24
1,0:02.0,T. Burke misses 2-pt jump shot from 19 ft,,19,24
1,0:02.0,,Defensive rebound by Z. Pachulia,19,24
2,11:47.0,A. Trier makes 2-pt jump shot from 18 ft,,21,24
2,11:29.0,,L. Galloway makes 2-pt jump shot from 12 ft (assist by I. Smith),21,26
2,11:21.0,Turnover by A. Trier (bad pass; steal by L. Galloway),,21,26
2,11:14.0,,S. Johnson makes 2-pt layup from 1 ft,21,28
2,10:59.0,K. Knox misses 3-pt jump shot from 25 ft,,21,28
2,10:55.0,,Defensive rebound by S. Johnson,21,28
2,10:50.0,,S. Johnson misses 2-pt layup from 6 ft (block by M. Robinson),21,28
2,10:47.0,Defensive rebound by A. Trier,,21,28
2,10:46.0,Shooting foul by I. Smith (drawn by K. Knox),,21,28
2,10:46.0,K. Knox makes free throw 1 of 2,,22,28
2,10:46.0,K. Knox misses free throw 2 of 2,,22,28
2,10:44.0,,Defensive rebound by B. Brown,22,28
2,10:25.0,,B. Brown misses 2-pt layup from 2 ft,22,28
2,10:25.0,Defensive rebound by Team,,22,28
2,10:16.0,F. Ntilikina misses 2-pt jump shot from 10 ft,,22,28
2,10:16.0,,Defensive rebound by Z. Pachulia,22,28
2,10:11.0,,L. Galloway makes 2-pt layup from 4 ft (assist by I. Smith),22,30
2,10:11.0,,Shooting foul by F. Ntilikina (drawn by L. Galloway),22,30
2,10:11.0,,L. Galloway makes free throw 1 of 1,22,31
2,9:56.0,Personal foul by L. Galloway (drawn by M. Robinson),,22,31
2,9:53.0,Turnover by M. Robinson (bad pass),,22,31
2,9:53.0,Violation by Team (delay of game),,22,31
2,9:39.0,,L. Galloway misses 3-pt jump shot from 26 ft,22,31
2,9:36.0,Defensive rebound by K. Knox,,22,31
2,9:29.0,K. Knox misses 2-pt jump shot from 20 ft,,22,31
2,9:26.0,,Defensive rebound by B. Brown,22,31
2,9:24.0,,Turnover by B. Brown (bad pass),22,31
2,9:15.0,Shooting foul by I. Smith (drawn by T. Burke),,22,31
2,9:15.0,T. Burke makes free throw 1 of 2,,23,31
2,9:15.0,T. Burke makes free throw 2 of 2,,24,31
2,9:03.0,,L. Galloway misses 2-pt jump shot from 19 ft,24,31
2,9:00.0,Defensive rebound by T. Burke,,24,31
2,8:56.0,Shooting foul by I. Smith (drawn by T. Burke),,24,31
2,8:56.0,T. Burke makes free throw 1 of 2,,25,31
2,8:56.0,,R. Jackson enters the game for I. Smith,25,31
2,8:56.0,T. Burke makes free throw 2 of 2,,26,31
2,8:40.0,,Z. Pachulia makes 2-pt layup from 3 ft (assist by S. Johnson),26,33
2,8:40.0,,Shooting foul by K. Knox (drawn by Z. Pachulia),26,33
2,8:40.0,,Z. Pachulia makes free throw 1 of 1,26,34
2,8:28.0,A. Trier makes 2-pt layup from 2 ft,,28,34
2,8:19.0,,R. Jackson makes 2-pt jump shot from 8 ft,28,36
2,8:05.0,K. Knox misses 3-pt jump shot from 23 ft,,28,36
2,8:05.0,,Defensive rebound by L. Galloway,28,36
2,7:43.0,,R. Jackson misses 2-pt jump shot from 5 ft,28,36
2,7:41.0,Defensive rebound by A. Trier,,28,36
2,7:35.0,T. Burke misses 3-pt jump shot from 23 ft,,28,36
2,7:32.0,,Defensive rebound by R. Jackson,28,36
2,7:31.0,,Shooting foul by F. Ntilikina (drawn by S. Johnson),28,36
2,7:31.0,,S. Johnson misses free throw 1 of 2,28,36
2,7:31.0,,Offensive rebound by Team,28,36
2,7:31.0,T. Hardaway enters the game for T. Burke,,28,36
2,7:31.0,E. Freedom enters the game for K. Knox,,28,36
2,7:31.0,E. Mudiay enters the game for F. Ntilikina,,28,36
2,7:31.0,N. Vonleh enters the game for M. Robinson,,28,36
2,7:31.0,,B. Griffin enters the game for B. Brown,28,36
2,7:31.0,,S. Johnson misses free throw 2 of 2,28,36
2,7:24.0,Defensive rebound by N. Vonleh,,28,36
2,7:14.0,E. Mudiay misses 2-pt jump shot from 17 ft,,28,36
