QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,DALLAS_ACTION,NEW ORLEANS_SCORE,DALLAS_SCORE
1,11:47.0,A. Davis makes 2-pt dunk from 1 ft (assist by J. Holiday),,2,0
1,11:27.0,,H. Barnes makes 3-pt jump shot from 23 ft (assist by L. Dončić),2,3
1,10:58.0,J. Holiday makes 3-pt jump shot from 24 ft (assist by J. Randle),,5,3
1,10:44.0,,Turnover by M. Kleber (bad pass; steal by D. Miller),5,3
1,10:36.0,J. Randle misses 2-pt jump shot from 20 ft,,5,3
1,10:33.0,,Defensive rebound by D. Jordan,5,3
1,10:23.0,,Offensive foul by D. Jordan (drawn by J. Randle),5,3
1,10:23.0,,Turnover by D. Jordan (offensive foul),5,3
1,10:02.0,T. Frazier misses 2-pt jump shot from 19 ft,,5,3
1,10:00.0,,Defensive rebound by L. Dončić,5,3
1,9:58.0,,Turnover by W. Matthews (step out of bounds),5,3
1,9:40.0,A. Davis misses 3-pt jump shot from 25 ft,,5,3
1,9:37.0,,Defensive rebound by W. Matthews,5,3
1,9:26.0,,D. Jordan makes 2-pt layup from 1 ft,5,5
1,9:14.0,Turnover by D. Miller (bad pass),,5,5
1,9:01.0,,W. Matthews makes 2-pt hook shot from 6 ft,5,7
1,8:51.0,J. Holiday misses 3-pt jump shot from 25 ft,,5,7
1,8:49.0,,Defensive rebound by M. Kleber,5,7
1,8:40.0,,L. Dončić misses 2-pt layup from 1 ft,5,7
1,8:38.0,Defensive rebound by J. Randle,,5,7
1,8:24.0,A. Davis makes 2-pt layup from 1 ft (assist by T. Frazier),,7,7
1,8:04.0,,L. Dončić misses 2-pt jump shot from 4 ft (block by J. Holiday),7,7
1,8:04.0,,Offensive rebound by L. Dončić,7,7
1,8:04.0,,Shooting foul by A. Davis (drawn by L. Dončić),7,7
1,8:04.0,,L. Dončić makes free throw 1 of 2,7,8
1,8:04.0,,L. Dončić makes free throw 2 of 2,7,9
1,7:56.0,A. Davis makes 2-pt dunk from 1 ft (assist by J. Holiday),,9,9
1,7:35.0,,H. Barnes misses 2-pt jump shot from 19 ft,9,9
1,7:30.0,Defensive rebound by A. Davis,,9,9
1,7:26.0,Shooting foul by L. Dončić (drawn by J. Holiday),,9,9
1,7:26.0,J. Holiday misses free throw 1 of 2,,9,9
1,7:26.0,Offensive rebound by Team,,9,9
1,7:26.0,J. Holiday makes free throw 2 of 2,,10,9
1,7:15.0,,D. Jordan makes 2-pt dunk from 1 ft,10,11
1,7:03.0,J. Randle makes 2-pt hook shot from 7 ft (assist by T. Frazier),,12,11
1,7:03.0,Shooting foul by M. Kleber (drawn by J. Randle),,12,11
1,7:03.0,J. Randle makes free throw 1 of 1,,13,11
1,6:46.0,,W. Matthews misses 2-pt jump shot from 6 ft (block by A. Davis),13,11
1,6:43.0,Defensive rebound by A. Davis,,13,11
1,6:39.0,J. Holiday makes 2-pt jump shot from 8 ft,,15,11
1,6:37.0,,Dallas full timeout,15,11
1,6:37.0,E. Moore enters the game for T. Frazier,,15,11
1,6:22.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by L. Dončić),15,13
