QUARTER,TIME_REMAINING,DENVER_ACTION,MILWAUKEE_ACTION,DENVER_SCORE,MILWAUKEE_SCORE
1,11:44.0,,Turnover by B. Lopez (bad pass; steal by G. Harris),0,0
1,11:39.0,J. Hernangómez makes 3-pt jump shot from 28 ft (assist by J. Murray),,3,0
1,11:24.0,,E. Bledsoe makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),3,2
1,11:00.0,P. Millsap misses 3-pt jump shot from 27 ft,,3,2
1,10:58.0,,Defensive rebound by B. Lopez,3,2
1,10:47.0,,Turnover by E. Bledsoe (bad pass),3,2
1,10:36.0,N. Jokić misses 2-pt layup from 4 ft,,3,2
1,10:34.0,Offensive rebound by N. Jokić,,3,2
1,10:33.0,N. Jokić misses 2-pt layup from 3 ft,,3,2
1,10:33.0,,Defensive rebound by B. Lopez,3,2
1,10:18.0,,K. Middleton misses 3-pt jump shot from 23 ft,3,2
1,10:18.0,Defensive rebound by P. Millsap,,3,2
1,10:10.0,Turnover by P. Millsap (bad pass; steal by E. Bledsoe),,3,2
1,10:06.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,3,4
1,9:48.0,J. Murray makes 2-pt jump shot from 5 ft (assist by N. Jokić),,5,4
1,9:40.0,,M. Brogdon misses 3-pt jump shot from 26 ft,5,4
1,9:40.0,Defensive rebound by J. Murray,,5,4
1,9:30.0,P. Millsap misses 2-pt jump shot from 9 ft,,5,4
1,9:26.0,Offensive rebound by J. Murray,,5,4
1,9:22.0,J. Murray misses 3-pt jump shot from 27 ft,,5,4
1,9:20.0,,Defensive rebound by B. Lopez,5,4
1,9:13.0,,Shooting foul by P. Millsap (drawn by G. Antetokounmpo),5,4
1,9:13.0,,G. Antetokounmpo misses free throw 1 of 2,5,4
1,9:13.0,,Offensive rebound by Team,5,4
1,9:13.0,,G. Antetokounmpo makes free throw 2 of 2,5,5
1,9:03.0,J. Murray misses 2-pt jump shot from 10 ft,,5,5
1,9:00.0,,Defensive rebound by B. Lopez,5,5
1,8:56.0,,G. Antetokounmpo misses 2-pt layup from 2 ft,5,5
1,8:54.0,Defensive rebound by P. Millsap,,5,5
1,8:46.0,J. Murray misses 3-pt jump shot from 23 ft,,5,5
1,8:43.0,,Defensive rebound by B. Lopez,5,5
1,8:37.0,,B. Lopez misses 3-pt jump shot from 29 ft,5,5
1,8:33.0,Defensive rebound by J. Hernangómez,,5,5
1,8:31.0,Personal foul by K. Middleton (drawn by J. Hernangómez),,5,5
1,8:21.0,J. Hernangómez misses 3-pt jump shot from 23 ft,,5,5
1,8:19.0,,Defensive rebound by G. Antetokounmpo,5,5
1,8:09.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. Bledsoe),5,7
1,7:48.0,N. Jokić makes 2-pt layup from 1 ft (assist by G. Harris),,7,7
1,7:35.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,7,7
1,7:32.0,Defensive rebound by J. Murray,,7,7
1,7:26.0,G. Harris misses 3-pt jump shot from 27 ft,,7,7
1,7:22.0,,Defensive rebound by B. Lopez,7,7
1,7:12.0,,K. Middleton misses 2-pt jump shot from 11 ft (block by P. Millsap),7,7
1,7:09.0,Defensive rebound by J. Hernangómez,,7,7
1,7:05.0,N. Jokić makes 2-pt layup from 1 ft (assist by G. Harris),,9,7
1,7:05.0,,Milwaukee full timeout,9,7
1,7:05.0,,P. Connaughton enters the game for M. Brogdon,9,7
1,6:50.0,,K. Middleton misses 2-pt jump shot from 20 ft,9,7
1,6:48.0,Defensive rebound by J. Murray,,9,7
1,6:45.0,Turnover by G. Harris (out of bounds lost ball),,9,7
1,6:30.0,,K. Middleton makes 2-pt dunk from 1 ft (assist by P. Connaughton),9,9
1,6:13.0,N. Jokić misses 3-pt jump shot from 27 ft,,9,9
1,6:09.0,,Defensive rebound by E. Bledsoe,9,9
1,6:03.0,,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by E. Bledsoe),9,11
1,5:46.0,G. Harris makes 2-pt jump shot from 13 ft (assist by J. Murray),,11,11
1,5:32.0,,B. Lopez makes 2-pt dunk from 1 ft,11,13
1,5:18.0,N. Jokić makes 2-pt jump shot from 14 ft (assist by G. Harris),,13,13
1,5:12.0,,K. Middleton makes 2-pt layup from 1 ft,13,15
1,5:12.0,Denver full timeout,,13,15
1,5:12.0,M. Morris enters the game for J. Murray,,13,15
1,5:12.0,,E. İlyasova enters the game for G. Antetokounmpo,13,15
1,4:57.0,G. Harris makes 2-pt jump shot from 14 ft (assist by P. Millsap),,15,15
1,4:44.0,,B. Lopez misses 2-pt layup from 3 ft,15,15
1,4:40.0,,Offensive rebound by B. Lopez,15,15
1,4:40.0,,B. Lopez misses 2-pt layup at rim,15,15
1,4:40.0,Defensive rebound by J. Hernangómez,,15,15
1,4:31.0,M. Morris misses 3-pt jump shot from 23 ft,,15,15
1,4:28.0,Offensive rebound by N. Jokić,,15,15
1,4:18.0,J. Hernangómez misses 2-pt layup from 1 ft,,15,15
1,4:16.0,Offensive rebound by P. Millsap,,15,15
1,4:13.0,M. Morris makes 2-pt jump shot from 11 ft (assist by G. Harris),,17,15
1,3:52.0,,E. Bledsoe misses 2-pt layup from 1 ft,17,15
1,3:50.0,Defensive rebound by J. Hernangómez,,17,15
1,3:40.0,G. Harris makes 2-pt jump shot from 13 ft,,19,15
1,3:18.0,,K. Middleton misses 2-pt jump shot from 15 ft,19,15
1,3:16.0,Defensive rebound by P. Millsap,,19,15
1,3:11.0,P. Millsap makes 2-pt jump shot from 14 ft,,21,15
1,2:57.0,,E. Bledsoe makes 2-pt layup from 1 ft,21,17
1,2:57.0,,Shooting foul by J. Hernangómez (drawn by E. Bledsoe),21,17
1,2:57.0,T. Lyles enters the game for P. Millsap,,21,17
1,2:57.0,,G. Antetokounmpo enters the game for B. Lopez,21,17
1,2:57.0,,T. Snell enters the game for K. Middleton,21,17
1,2:57.0,,E. Bledsoe makes free throw 1 of 1,21,18
1,2:37.0,G. Harris makes 3-pt jump shot from 23 ft (assist by M. Morris),,24,18
1,2:28.0,,T. Snell misses 3-pt jump shot from 24 ft,24,18
1,2:26.0,,Offensive rebound by E. Bledsoe,24,18
1,2:22.0,,Turnover by E. Bledsoe (bad pass; steal by J. Hernangómez),24,18
1,2:12.0,J. Hernangómez misses 2-pt layup from 5 ft,,24,18
1,2:12.0,Offensive rebound by Team,,24,18
1,2:12.0,M. Plumlee enters the game for N. Jokić,,24,18
1,2:12.0,,M. Brogdon enters the game for E. Bledsoe,24,18
1,2:01.0,Shooting foul by E. İlyasova (drawn by M. Plumlee),,24,18
1,2:01.0,M. Plumlee misses free throw 1 of 2,,24,18
1,2:01.0,Offensive rebound by Team,,24,18
1,2:01.0,M. Beasley enters the game for J. Hernangómez,,24,18
1,2:01.0,M. Plumlee makes free throw 2 of 2,,25,18
1,1:46.0,,Shooting foul by M. Plumlee (drawn by G. Antetokounmpo),25,18
1,1:46.0,,G. Antetokounmpo makes free throw 1 of 2,25,19
1,1:46.0,,G. Antetokounmpo misses free throw 2 of 2,25,19
1,1:43.0,Defensive rebound by M. Beasley,,25,19
1,1:32.0,Turnover by G. Harris (bad pass),,25,19
1,1:32.0,J. Murray enters the game for G. Harris,,25,19
1,1:22.0,,P. Connaughton makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),25,22
1,1:07.0,T. Lyles misses 3-pt jump shot from 27 ft,,25,22
1,1:05.0,,Defensive rebound by P. Connaughton,25,22
1,1:00.0,,E. İlyasova makes 3-pt jump shot from 27 ft (assist by P. Connaughton),25,25
1,0:52.0,M. Plumlee makes 2-pt dunk from 2 ft (assist by J. Murray),,27,25
1,0:44.0,,Turnover by G. Antetokounmpo (bad pass; steal by M. Beasley),27,25
1,0:41.0,J. Murray makes 2-pt layup from 1 ft (assist by M. Beasley),,29,25
1,0:35.0,,Offensive foul by G. Antetokounmpo (drawn by M. Plumlee),29,25
1,0:35.0,,Turnover by G. Antetokounmpo (offensive foul),29,25
1,0:18.0,Turnover by M. Morris (traveling),,29,25
1,0:18.0,,M. Brogdon misses 2-pt layup from 3 ft,29,25
1,0:18.0,Defensive rebound by M. Plumlee,,29,25
2,11:47.0,M. Morris makes 2-pt layup from 3 ft (assist by J. Murray),,31,25
2,11:37.0,,Personal foul by M. Plumlee (drawn by G. Antetokounmpo),31,25
2,11:20.0,,M. Brogdon misses 2-pt jump shot from 12 ft (block by M. Plumlee),31,25
2,11:20.0,,Offensive rebound by Team,31,25
2,11:20.0,,Turnover by Team (shot clock),31,25
2,10:57.0,T. Lyles misses 3-pt jump shot from 28 ft,,31,25
2,10:52.0,,Defensive rebound by K. Middleton,31,25
2,10:45.0,,T. Snell misses 3-pt jump shot from 26 ft,31,25
2,10:42.0,Defensive rebound by M. Beasley,,31,25
2,10:36.0,J. Murray makes 2-pt jump shot from 13 ft,,33,25
2,10:29.0,,Personal foul by J. Murray (drawn by G. Antetokounmpo),33,25
2,10:19.0,,Turnover by G. Antetokounmpo (traveling),33,25
2,10:06.0,T. Lyles misses 3-pt jump shot from 27 ft,,33,25
2,10:02.0,Offensive rebound by M. Plumlee,,33,25
2,9:59.0,M. Beasley makes 3-pt jump shot from 27 ft (assist by M. Morris),,36,25
2,9:40.0,,Turnover by M. Brogdon (bad pass),36,25
2,9:23.0,Turnover by M. Plumlee (bad pass; steal by K. Middleton),,36,25
2,9:17.0,,M. Brogdon makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),36,27
2,9:06.0,J. Murray makes 3-pt jump shot from 28 ft (assist by T. Lyles),,39,27
2,8:51.0,,G. Antetokounmpo misses 2-pt hook shot from 7 ft,39,27
2,8:48.0,Defensive rebound by M. Plumlee,,39,27
2,8:38.0,M. Beasley misses 3-pt jump shot from 28 ft,,39,27
2,8:35.0,,Defensive rebound by T. Snell,39,27
2,8:31.0,,T. Snell misses 2-pt layup from 2 ft,39,27
2,8:29.0,Defensive rebound by M. Morris,,39,27
2,8:20.0,M. Beasley makes 3-pt jump shot from 24 ft (assist by M. Morris),,42,27
2,8:19.0,,Milwaukee full timeout,42,27
2,8:19.0,,E. Bledsoe enters the game for M. Brogdon,42,27
2,8:19.0,,S. Brown enters the game for T. Maker,42,27
2,8:19.0,,E. İlyasova enters the game for T. Snell,42,27
2,8:04.0,,E. Bledsoe misses 3-pt jump shot from 26 ft,42,27
2,8:01.0,Defensive rebound by T. Lyles,,42,27
2,7:49.0,T. Lyles makes 2-pt jump shot from 8 ft (assist by M. Beasley),,44,27
2,7:41.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by K. Middleton),44,29
2,7:23.0,T. Lyles makes 2-pt jump shot from 19 ft,,46,29
2,7:07.0,,S. Brown misses 3-pt jump shot from 26 ft,46,29
2,7:07.0,Defensive rebound by T. Lyles,,46,29
2,6:46.0,Turnover by M. Plumlee (bad pass; steal by K. Middleton),,46,29
2,6:41.0,,K. Middleton makes 2-pt jump shot from 11 ft,46,31
2,6:22.0,Offensive foul by T. Lyles (drawn by E. İlyasova),,46,31
2,6:22.0,Turnover by T. Lyles (offensive foul),,46,31
2,6:22.0,G. Harris enters the game for T. Lyles,,46,31
2,6:22.0,N. Jokić enters the game for J. Murray,,46,31
2,6:22.0,P. Millsap enters the game for M. Plumlee,,46,31
2,6:22.0,,B. Lopez enters the game for G. Antetokounmpo,46,31
2,6:09.0,,K. Middleton misses 3-pt jump shot from 26 ft,46,31
2,6:07.0,,Offensive rebound by Team,46,31
2,6:07.0,J. Hernangómez enters the game for M. Beasley,,46,31
2,6:03.0,,B. Lopez misses 3-pt jump shot from 27 ft,46,31
2,5:59.0,,Offensive rebound by E. Bledsoe,46,31
2,5:56.0,,E. Bledsoe makes 2-pt layup from 1 ft,46,33
2,5:33.0,J. Hernangómez misses 3-pt jump shot from 26 ft,,46,33
2,5:31.0,Offensive rebound by Team,,46,33
2,5:31.0,Personal foul by B. Lopez (drawn by J. Hernangómez),,46,33
2,5:31.0,J. Murray enters the game for M. Morris,,46,33
2,5:26.0,G. Harris misses 3-pt jump shot from 27 ft,,46,33
2,5:24.0,,Defensive rebound by K. Middleton,46,33
2,5:05.0,,Turnover by S. Brown (bad pass; steal by G. Harris),46,33
2,5:04.0,Turnover by G. Harris (bad pass; steal by B. Lopez),,46,33
2,4:54.0,,Shooting foul by P. Millsap (drawn by E. Bledsoe),46,33
2,4:54.0,,E. Bledsoe misses free throw 1 of 2,46,33
2,4:54.0,,Offensive rebound by Team,46,33
2,4:54.0,,T. Snell enters the game for K. Middleton,46,33
2,4:54.0,,E. Bledsoe makes free throw 2 of 2,46,34
2,4:35.0,J. Murray makes 2-pt layup from 1 ft (assist by N. Jokić),,48,34
2,4:21.0,,E. İlyasova misses 2-pt layup from 2 ft,48,34
2,4:18.0,Defensive rebound by P. Millsap,,48,34
2,4:13.0,Personal foul by S. Brown (drawn by P. Millsap),,48,34
2,4:05.0,J. Murray misses 2-pt jump shot from 18 ft,,48,34
2,4:03.0,,Defensive rebound by E. İlyasova,48,34
2,3:51.0,,Turnover by T. Snell (bad pass; steal by N. Jokić),48,34
2,3:42.0,Personal foul by B. Lopez (drawn by N. Jokić),,48,34
2,3:42.0,,G. Antetokounmpo enters the game for E. İlyasova,48,34
2,3:30.0,P. Millsap misses 3-pt jump shot from 24 ft,,48,34
2,3:26.0,,Defensive rebound by E. Bledsoe,48,34
2,3:20.0,,S. Brown misses 2-pt layup from 3 ft,48,34
2,3:12.0,,Offensive rebound by S. Brown,48,34
2,3:10.0,,S. Brown makes 2-pt layup from 1 ft,48,36
2,3:05.0,J. Hernangómez misses 2-pt layup from 3 ft,,48,36
2,3:03.0,Offensive rebound by J. Hernangómez,,48,36
2,3:02.0,J. Hernangómez makes 2-pt layup from 1 ft,,50,36
2,3:02.0,Shooting foul by S. Brown (drawn by J. Hernangómez),,50,36
2,3:02.0,J. Hernangómez makes free throw 1 of 1,,51,36
2,2:57.0,,Shooting foul by G. Harris (drawn by E. Bledsoe),51,36
2,2:57.0,Denver full timeout,,51,36
2,2:57.0,,E. Bledsoe misses free throw 1 of 2,51,36
2,2:57.0,,Offensive rebound by Team,51,36
2,2:57.0,,E. Bledsoe misses free throw 2 of 2,51,36
2,2:51.0,Defensive rebound by N. Jokić,,51,36
2,2:39.0,P. Millsap makes 2-pt jump shot from 5 ft (assist by N. Jokić),,53,36
2,2:27.0,,S. Brown misses 3-pt jump shot from 26 ft,53,36
2,2:24.0,Defensive rebound by J. Murray,,53,36
2,2:22.0,Violation by Team (kicked ball),,53,36
2,2:22.0,,M. Brogdon enters the game for E. Bledsoe,53,36
2,2:22.0,,K. Middleton enters the game for S. Brown,53,36
2,2:00.0,,M. Brogdon makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),53,38
2,1:42.0,N. Jokić misses 2-pt layup from 2 ft,,53,38
2,1:39.0,,Defensive rebound by M. Brogdon,53,38
2,1:34.0,,G. Antetokounmpo misses 3-pt jump shot from 25 ft,53,38
2,1:30.0,,Offensive rebound by T. Snell,53,38
2,1:27.0,,T. Snell makes 3-pt jump shot from 25 ft (assist by M. Brogdon),53,41
2,1:05.0,J. Murray misses 2-pt jump shot from 8 ft,,53,41
2,1:03.0,,Defensive rebound by G. Antetokounmpo,53,41
2,0:58.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft,53,43
2,0:44.0,P. Millsap misses 3-pt jump shot from 24 ft,,53,43
2,0:40.0,,Defensive rebound by M. Brogdon,53,43
2,0:30.0,,M. Brogdon misses 2-pt jump shot from 7 ft (block by J. Murray),53,43
2,0:30.0,Defensive rebound by Team,,53,43
2,0:30.0,,P. Connaughton enters the game for T. Snell,53,43
2,0:22.0,N. Jokić makes 3-pt jump shot from 26 ft (assist by J. Murray),,56,43
2,0:01.0,,B. Lopez makes 3-pt jump shot from 26 ft (assist by M. Brogdon),56,46
2,0:00.0,J. Hernangómez misses 2-pt jump shot from 19 ft,,56,46
2,0:00.0,Offensive rebound by Team,,56,46
3,11:47.0,P. Millsap misses 2-pt layup from 2 ft (block by B. Lopez),,56,46
3,11:43.0,,Defensive rebound by K. Middleton,56,46
3,11:36.0,,G. Antetokounmpo misses 2-pt jump shot from 9 ft,56,46
3,11:33.0,Defensive rebound by J. Murray,,56,46
3,11:23.0,N. Jokić misses 2-pt jump shot from 14 ft,,56,46
3,11:22.0,Offensive rebound by Team,,56,46
3,11:22.0,,Loose ball foul by G. Antetokounmpo (drawn by G. Harris),56,46
3,11:18.0,J. Murray misses 3-pt jump shot from 27 ft,,56,46
3,11:15.0,,Defensive rebound by G. Antetokounmpo,56,46
3,11:11.0,,M. Brogdon makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),56,48
3,11:11.0,,Shooting foul by G. Harris (drawn by M. Brogdon),56,48
3,11:11.0,,M. Brogdon makes free throw 1 of 1,56,49
3,10:55.0,N. Jokić makes 3-pt jump shot from 25 ft (assist by G. Harris),,59,49
3,10:37.0,,M. Brogdon misses 2-pt hook shot from 5 ft,59,49
3,10:34.0,Defensive rebound by P. Millsap,,59,49
3,10:26.0,Turnover by N. Jokić (bad pass),,59,49
3,10:16.0,,Shooting foul by J. Hernangómez (drawn by K. Middleton),59,49
3,10:16.0,,K. Middleton makes free throw 1 of 3,59,50
3,10:16.0,,K. Middleton makes free throw 2 of 3,59,51
3,10:16.0,,K. Middleton makes free throw 3 of 3,59,52
3,10:06.0,G. Harris misses 2-pt layup from 1 ft,,59,52
3,10:03.0,,Defensive rebound by M. Brogdon,59,52
3,9:54.0,,G. Antetokounmpo makes 2-pt layup from 3 ft (assist by M. Brogdon),59,54
3,9:54.0,Denver full timeout,,59,54
3,9:43.0,N. Jokić misses 2-pt jump shot from 14 ft,,59,54
3,9:40.0,Offensive rebound by J. Hernangómez,,59,54
3,9:37.0,P. Millsap makes 2-pt layup from 1 ft (assist by J. Murray),,61,54
3,9:19.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,61,54
3,9:18.0,Defensive rebound by Team,,61,54
3,9:01.0,G. Harris misses 3-pt jump shot from 26 ft,,61,54
3,8:58.0,Offensive rebound by P. Millsap,,61,54
3,8:58.0,Offensive foul by J. Hernangómez (drawn by K. Middleton),,61,54
3,8:58.0,Turnover by J. Hernangómez (offensive foul),,61,54
3,8:42.0,,B. Lopez misses 3-pt jump shot from 27 ft,61,54
3,8:38.0,,Offensive rebound by M. Brogdon,61,54
3,8:31.0,,Shooting foul by J. Hernangómez (drawn by M. Brogdon),61,54
3,8:31.0,,M. Brogdon misses free throw 1 of 2,61,54
3,8:31.0,,Offensive rebound by Team,61,54
3,8:31.0,,M. Brogdon makes free throw 2 of 2,61,55
3,8:25.0,,Technical foul by,61,55
3,8:25.0,,K. Middleton makes technical free throw,61,56
3,8:13.0,J. Murray makes 3-pt jump shot from 24 ft (assist by N. Jokić),,64,56
3,8:05.0,,K. Middleton misses 3-pt jump shot from 29 ft,64,56
3,8:05.0,Defensive rebound by P. Millsap,,64,56
3,7:59.0,Personal foul by G. Antetokounmpo (drawn by N. Jokić),,64,56
3,7:50.0,Turnover by J. Murray (off goaltending),,64,56
3,7:29.0,,G. Antetokounmpo makes 2-pt layup from 2 ft,64,58
3,7:13.0,N. Jokić misses 3-pt jump shot from 28 ft,,64,58
3,7:09.0,,Defensive rebound by G. Antetokounmpo,64,58
3,7:04.0,,G. Antetokounmpo misses 2-pt layup from 1 ft,64,58
3,7:02.0,,Offensive rebound by G. Antetokounmpo,64,58
3,7:02.0,,Turnover by E. Bledsoe (bad pass),64,58
3,7:02.0,M. Beasley enters the game for J. Hernangómez,,64,58
3,6:47.0,N. Jokić misses 3-pt jump shot from 27 ft,,64,58
3,6:43.0,,Defensive rebound by K. Middleton,64,58
3,6:36.0,,G. Antetokounmpo makes 2-pt dunk at rim,64,60
3,6:22.0,Turnover by N. Jokić (bad pass; steal by E. Bledsoe),,64,60
3,6:14.0,,Turnover by G. Antetokounmpo (lost ball; steal by P. Millsap),64,60
3,5:51.0,Turnover by Team (shot clock),,64,60
3,5:51.0,M. Morris enters the game for J. Murray,,64,60
3,5:40.0,,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by E. Bledsoe),64,62
3,5:39.0,Denver full timeout,,64,62
3,5:27.0,N. Jokić makes 2-pt layup from 1 ft (assist by M. Morris),,66,62
3,5:07.0,,B. Lopez misses 3-pt jump shot from 28 ft,66,62
3,5:04.0,Defensive rebound by M. Beasley,,66,62
3,4:52.0,G. Harris makes 2-pt jump shot from 7 ft (assist by N. Jokić),,68,62
3,4:42.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,68,62
3,4:39.0,Defensive rebound by M. Beasley,,68,62
3,4:21.0,G. Harris misses 2-pt jump shot from 12 ft,,68,62
3,4:19.0,,Defensive rebound by B. Lopez,68,62
3,4:18.0,,Personal foul by M. Morris (drawn by G. Antetokounmpo),68,62
3,4:18.0,,P. Connaughton enters the game for M. Brogdon,68,62
3,4:18.0,,E. İlyasova enters the game for B. Lopez,68,62
3,4:13.0,,K. Middleton misses 3-pt jump shot from 27 ft,68,62
3,4:09.0,Defensive rebound by N. Jokić,,68,62
3,4:00.0,Shooting foul by K. Middleton (drawn by P. Millsap),,68,62
3,4:00.0,P. Millsap makes free throw 1 of 2,,69,62
3,4:00.0,P. Millsap makes free throw 2 of 2,,70,62
3,3:46.0,,K. Middleton misses 3-pt jump shot from 24 ft,70,62
3,3:46.0,,Offensive rebound by Team,70,62
3,3:46.0,Loose ball foul by P. Millsap (drawn by G. Antetokounmpo),,70,62
3,3:46.0,,G. Antetokounmpo makes free throw 1 of 2,70,63
3,3:46.0,,T. Snell enters the game for K. Middleton,70,63
3,3:46.0,,G. Antetokounmpo misses free throw 2 of 2,70,63
3,3:40.0,,Offensive rebound by E. İlyasova,70,63
3,3:40.0,,E. İlyasova misses 2-pt layup from 1 ft,70,63
3,3:36.0,,Offensive rebound by E. İlyasova,70,63
3,3:36.0,,E. İlyasova makes 2-pt layup from 1 ft,70,65
3,3:18.0,M. Beasley misses 3-pt jump shot from 25 ft,,70,65
3,3:15.0,,Defensive rebound by P. Connaughton,70,65
