QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,WASHINGTON_ACTION,MILWAUKEE_SCORE,WASHINGTON_SCORE
1,11:36.0,B. Lopez makes 3-pt jump shot from 31 ft (assist by M. Brogdon),,3,0
1,11:18.0,,B. Beal makes 2-pt jump shot from 7 ft (assist by T. Ariza),3,2
1,11:09.0,M. Brogdon misses 2-pt jump shot from 8 ft,,3,2
1,11:08.0,,Defensive rebound by T. Satoranský,3,2
1,11:01.0,,T. Satoranský makes 2-pt jump shot from 16 ft,3,4
1,10:45.0,E. İlyasova makes 2-pt layup from 2 ft (assist by E. Bledsoe),,5,4
1,10:24.0,,J. Green makes 2-pt jump shot from 19 ft,5,6
1,10:09.0,E. Bledsoe misses 2-pt layup from 5 ft,,5,6
1,10:07.0,Offensive rebound by E. Bledsoe,,5,6
1,10:07.0,E. Bledsoe misses 2-pt layup from 5 ft,,5,6
1,10:05.0,,Defensive rebound by J. Green,5,6
1,9:56.0,,B. Beal misses 2-pt jump shot from 18 ft,5,6
1,9:54.0,Defensive rebound by E. İlyasova,,5,6
1,9:48.0,K. Middleton misses 3-pt jump shot from 26 ft,,5,6
1,9:45.0,,Defensive rebound by T. Bryant,5,6
1,9:37.0,,T. Satoranský makes 2-pt jump shot from 9 ft,5,8
1,9:24.0,M. Brogdon misses 2-pt jump shot from 17 ft,,5,8
1,9:24.0,,Defensive rebound by T. Satoranský,5,8
1,9:11.0,,Personal foul by E. İlyasova (drawn by T. Satoranský),5,8
1,9:06.0,,T. Bryant makes 3-pt jump shot from 26 ft,5,11
1,8:47.0,Shooting foul by J. Green (drawn by K. Middleton),,5,11
1,8:47.0,K. Middleton makes free throw 1 of 2,,6,11
1,8:47.0,K. Middleton makes free throw 2 of 2,,7,11
1,8:34.0,,J. Green makes 3-pt jump shot from 27 ft (assist by T. Satoranský),7,14
1,8:22.0,B. Lopez makes 2-pt dunk from 1 ft (assist by E. Bledsoe),,9,14
1,8:12.0,,T. Satoranský misses 2-pt jump shot from 10 ft,9,14
1,8:10.0,,Offensive rebound by T. Satoranský,9,14
1,8:09.0,,T. Bryant makes 2-pt dunk from 3 ft (assist by T. Satoranský),9,16
1,8:09.0,Milwaukee full timeout,,9,16
1,7:58.0,B. Lopez makes 3-pt jump shot from 30 ft (assist by E. Bledsoe),,12,16
1,7:33.0,,T. Ariza misses 3-pt jump shot from 24 ft,12,16
1,7:32.0,,Offensive rebound by B. Beal,12,16
1,7:32.0,,Personal foul by E. İlyasova (drawn by B. Beal),12,16
1,7:32.0,D. Wilson enters the game for E. İlyasova,,12,16
1,7:25.0,,T. Bryant misses 2-pt dunk from 10 ft (block by B. Lopez),12,16
1,7:22.0,Defensive rebound by M. Brogdon,,12,16
1,7:21.0,E. Bledsoe makes 2-pt layup from 1 ft (assist by M. Brogdon),,14,16
1,7:09.0,,Personal foul by K. Middleton (drawn by B. Beal),14,16
1,7:09.0,S. Brown enters the game for M. Brogdon,,14,16
1,7:04.0,,Turnover by B. Beal (traveling),14,16
1,6:52.0,E. Bledsoe misses 2-pt layup at rim,,14,16
1,6:49.0,,Defensive rebound by J. Green,14,16
1,6:45.0,,B. Beal makes 3-pt jump shot from 26 ft (assist by T. Satoranský),14,19
1,6:29.0,B. Lopez misses 3-pt jump shot from 28 ft,,14,19
1,6:26.0,,Defensive rebound by T. Satoranský,14,19
