QUARTER,TIME_REMAINING,HOUSTON_ACTION,CHICAGO_ACTION,HOUSTON_SCORE,CHICAGO_SCORE
1,11:46.0,P. Tucker misses 3-pt jump shot from 24 ft,,0,0
1,11:42.0,Offensive rebound by J. Ennis,,0,0
1,11:32.0,J. Ennis makes 3-pt jump shot from 27 ft (assist by C. Paul),,3,0
1,11:16.0,,J. Parker misses 2-pt jump shot from 18 ft,3,0
1,11:14.0,Defensive rebound by C. Capela,,3,0
1,11:05.0,P. Tucker misses 3-pt jump shot from 24 ft,,3,0
1,11:03.0,,Defensive rebound by J. Holiday,3,0
1,10:56.0,,C. Payne misses 3-pt jump shot from 25 ft,3,0
1,10:53.0,Defensive rebound by C. Paul,,3,0
1,10:49.0,J. Ennis makes 2-pt layup from 2 ft (assist by J. Harden),,5,0
1,10:33.0,,W. Carter makes 2-pt hook shot from 8 ft (assist by Z. LaVine),5,2
1,10:18.0,C. Capela misses 2-pt jump shot from 2 ft,,5,2
1,10:17.0,Offensive rebound by C. Capela,,5,2
1,10:17.0,C. Capela misses 2-pt layup from 2 ft,,5,2
1,10:17.0,Offensive rebound by C. Capela,,5,2
1,10:17.0,Shooting foul by Z. LaVine (drawn by C. Capela),,5,2
1,10:17.0,C. Capela makes free throw 1 of 2,,6,2
1,10:17.0,C. Capela misses free throw 2 of 2,,6,2
1,10:15.0,,Defensive rebound by W. Carter,6,2
1,10:00.0,,J. Parker misses 2-pt layup from 2 ft (block by J. Ennis),6,2
1,9:55.0,Defensive rebound by P. Tucker,,6,2
1,9:41.0,C. Paul misses 3-pt jump shot from 26 ft,,6,2
1,9:39.0,,Defensive rebound by J. Holiday,6,2
1,9:28.0,,W. Carter misses 2-pt hook shot from 8 ft,6,2
1,9:28.0,Defensive rebound by P. Tucker,,6,2
1,9:10.0,J. Harden misses 2-pt layup from 9 ft,,6,2
1,9:10.0,Offensive rebound by P. Tucker,,6,2
1,9:09.0,P. Tucker misses 2-pt layup from 1 ft,,6,2
1,9:08.0,,Defensive rebound by Z. LaVine,6,2
1,8:48.0,,Z. LaVine makes 2-pt layup from 1 ft,6,4
1,8:37.0,Turnover by C. Paul (bad pass; steal by W. Carter),,6,4
1,8:34.0,,Turnover by J. Parker (bad pass; steal by J. Harden),6,4
1,8:27.0,J. Ennis makes 3-pt jump shot from 25 ft (assist by J. Harden),,9,4
1,8:15.0,,Personal foul by C. Paul (drawn by C. Payne),9,4
1,8:15.0,C. Anthony enters the game for J. Ennis,,9,4
1,8:04.0,,J. Parker makes 3-pt jump shot from 26 ft (assist by J. Holiday),9,7
1,7:49.0,C. Anthony makes 3-pt jump shot from 26 ft (assist by J. Harden),,12,7
1,7:32.0,,Z. LaVine makes 3-pt jump shot from 25 ft,12,10
1,7:16.0,C. Paul misses 2-pt jump shot from 7 ft,,12,10
1,7:13.0,,Defensive rebound by W. Carter,12,10
1,7:12.0,Technical foul by C. Paul,,12,10
