QUARTER,TIME_REMAINING,WASHINGTON_ACTION,DENVER_ACTION,WASHINGTON_SCORE,DENVER_SCORE
1,11:37.0,,N. Jokić makes 2-pt hook shot from 3 ft (assist by P. Millsap),0,2
1,11:26.0,Turnover by B. Beal (bad pass; steal by G. Harris),,0,2
1,11:22.0,,G. Harris misses 3-pt jump shot from 25 ft,0,2
1,11:19.0,Defensive rebound by B. Portis,,0,2
1,11:06.0,T. Bryant misses 2-pt jump shot from 13 ft,,0,2
1,11:04.0,Offensive rebound by T. Brown,,0,2
1,10:53.0,Shooting foul by P. Millsap (drawn by T. Bryant),,0,2
1,10:53.0,T. Bryant makes free throw 1 of 2,,1,2
1,10:53.0,T. Bryant makes free throw 2 of 2,,2,2
1,10:42.0,,N. Jokić makes 2-pt layup from 2 ft (assist by J. Murray),2,4
1,10:42.0,,Shooting foul by T. Bryant (drawn by N. Jokić),2,4
1,10:42.0,,N. Jokić misses free throw 1 of 1,2,4
1,10:40.0,Defensive rebound by B. Portis,,2,4
1,10:31.0,Shooting foul by W. Barton (drawn by B. Beal),,2,4
1,10:31.0,B. Beal makes free throw 1 of 2,,3,4
1,10:31.0,B. Beal makes free throw 2 of 2,,4,4
1,10:16.0,,N. Jokić makes 2-pt layup from 2 ft (assist by P. Millsap),4,6
1,10:08.0,B. Beal makes 2-pt layup from 2 ft,,6,6
1,9:58.0,,W. Barton misses 3-pt jump shot from 25 ft,6,6
1,9:55.0,Defensive rebound by B. Portis,,6,6
1,9:46.0,T. Satoranský misses 2-pt jump shot from 9 ft,,6,6
1,9:42.0,,Defensive rebound by J. Murray,6,6
1,9:27.0,,W. Barton misses 3-pt jump shot from 25 ft,6,6
1,9:24.0,Defensive rebound by T. Bryant,,6,6
1,9:15.0,B. Beal misses 3-pt jump shot from 23 ft,,6,6
1,9:12.0,,Defensive rebound by P. Millsap,6,6
1,9:07.0,,G. Harris misses 3-pt jump shot from 23 ft,6,6
1,9:02.0,,Offensive rebound by N. Jokić,6,6
1,9:02.0,,N. Jokić makes 2-pt layup from 1 ft,6,8
1,8:51.0,Turnover by T. Satoranský (bad pass; steal by N. Jokić),,6,8
1,8:47.0,,N. Jokić makes 2-pt layup from 1 ft,6,10
1,8:47.0,Washington full timeout,,6,10
