QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,UTAH_ACTION,SACRAMENTO_SCORE,UTAH_SCORE
1,11:43.0,,R. Gobert makes 2-pt dunk from 5 ft (assist by D. Mitchell),0,2
1,11:21.0,N. Bjelica misses 2-pt hook shot from 10 ft,,0,2
1,11:17.0,,Defensive rebound by R. Gobert,0,2
1,11:09.0,,R. Gobert misses 2-pt layup from 2 ft,0,2
1,11:06.0,Defensive rebound by M. Bagley,,0,2
1,10:58.0,D. Fox misses 2-pt jump shot from 7 ft,,0,2
1,10:54.0,,Defensive rebound by R. Rubio,0,2
1,10:44.0,,Personal foul by D. Fox (drawn by R. Rubio),0,2
1,10:37.0,,R. Rubio makes 2-pt jump shot from 9 ft (assist by J. Ingles),0,4
1,10:37.0,,Shooting foul by D. Fox (drawn by R. Rubio),0,4
1,10:37.0,,R. Rubio misses free throw 1 of 1,0,4
1,10:36.0,Defensive rebound by H. Barnes,,0,4
1,10:28.0,Turnover by H. Barnes (bad pass; steal by J. Ingles),,0,4
1,10:19.0,,D. Mitchell makes 2-pt layup from 2 ft (assist by J. Ingles),0,6
1,9:58.0,N. Bjelica misses 2-pt layup from 3 ft,,0,6
1,9:56.0,,Defensive rebound by R. Gobert,0,6
1,9:53.0,,Personal foul by N. Bjelica (drawn by J. Crowder),0,6
1,9:45.0,,Personal foul by M. Bagley (drawn by R. Gobert),0,6
1,9:45.0,,Technical foul by,0,6
1,9:45.0,,R. Rubio makes technical free throw,0,7
1,9:39.0,,J. Ingles makes 3-pt jump shot from 25 ft,0,10
1,9:38.0,Sacramento full timeout,,0,10
1,9:37.0,Personal foul by J. Crowder (drawn by D. Fox),,0,10
1,9:24.0,M. Bagley misses 2-pt jump shot from 8 ft,,0,10
1,9:15.0,Offensive rebound by M. Bagley,,0,10
1,9:15.0,M. Bagley misses 2-pt layup at rim,,0,10
1,9:14.0,,Defensive rebound by R. Gobert,0,10
1,9:12.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by J. Ingles),0,13
1,8:57.0,Shooting foul by R. Gobert (drawn by M. Bagley),,0,13
1,8:57.0,Offensive rebound by Team,,0,13
1,8:57.0,M. Bagley misses free throw 1 of 2,,0,13
1,8:57.0,M. Bagley makes free throw 2 of 2,,1,13
1,8:40.0,,J. Crowder misses 3-pt jump shot from 26 ft,1,13
1,8:37.0,Defensive rebound by D. Fox,,1,13
1,8:32.0,B. Hield misses 2-pt jump shot from 14 ft,,1,13
1,8:29.0,,Defensive rebound by R. Rubio,1,13
1,8:25.0,,Turnover by R. Rubio (bad pass),1,13
1,8:19.0,D. Fox misses 2-pt jump shot from 21 ft,,1,13
1,8:18.0,Offensive rebound by Team,,1,13
1,8:18.0,,Loose ball foul by J. Crowder (drawn by N. Bjelica),1,13
1,8:18.0,,T. Sefolosha enters the game for J. Crowder,1,13
1,8:11.0,Turnover by M. Bagley (bad pass; steal by R. Gobert),,1,13
1,8:05.0,,R. Gobert misses 2-pt layup from 4 ft (block by M. Bagley),1,13
1,8:05.0,,Offensive rebound by Team,1,13
1,7:54.0,,T. Sefolosha misses 2-pt layup from 2 ft,1,13
1,7:52.0,Defensive rebound by M. Bagley,,1,13
1,7:49.0,Personal foul by R. Rubio (drawn by B. Hield),,1,13
1,7:41.0,B. Hield misses 2-pt layup from 9 ft (block by R. Gobert),,1,13
1,7:37.0,,Defensive rebound by D. Mitchell,1,13
1,7:36.0,,Shooting foul by D. Fox (drawn by R. Rubio),1,13
1,7:36.0,,Offensive rebound by Team,1,13
1,7:36.0,,R. Rubio misses free throw 1 of 2,1,13
1,7:36.0,Y. Ferrell enters the game for D. Fox,,1,13
1,7:36.0,,R. Rubio makes free throw 2 of 2,1,14
1,7:23.0,M. Bagley misses 2-pt jump shot from 18 ft,,1,14
1,7:20.0,,Defensive rebound by T. Sefolosha,1,14
1,7:13.0,,D. Mitchell makes 2-pt layup from 3 ft,1,16
1,7:06.0,Personal foul by T. Sefolosha (drawn by N. Bjelica),,1,16
1,7:06.0,N. Bjelica makes free throw 1 of 2,,2,16
1,7:06.0,,R. O'Neale enters the game for R. Rubio,2,16
1,7:06.0,N. Bjelica makes free throw 2 of 2,,3,16
1,6:46.0,,Shooting foul by M. Bagley (drawn by R. Gobert),3,16
1,6:46.0,,R. Gobert makes free throw 1 of 2,3,17
1,6:46.0,K. Koufos enters the game for N. Bjelica,,3,17
1,6:46.0,,R. Gobert makes free throw 2 of 2,3,18
1,6:37.0,B. Hield makes 3-pt jump shot from 26 ft (assist by Y. Ferrell),,6,18
1,6:24.0,,D. Mitchell misses 3-pt jump shot from 25 ft,6,18
1,6:21.0,Defensive rebound by H. Barnes,,6,18
1,6:13.0,H. Barnes makes 2-pt jump shot from 13 ft (assist by Y. Ferrell),,8,18
1,5:56.0,,Turnover by J. Ingles (lost ball; steal by H. Barnes),8,18
1,5:52.0,M. Bagley misses 2-pt layup from 6 ft,,8,18
1,5:52.0,Offensive rebound by Team,,8,18
1,5:52.0,Turnover by M. Bagley (traveling),,8,18
1,5:52.0,,G. Allen enters the game for J. Ingles,8,18
1,5:39.0,,G. Allen makes 2-pt jump shot from 6 ft (assist by D. Mitchell),8,20
1,5:18.0,B. Hield makes 2-pt jump shot from 15 ft,,10,20
1,4:55.0,,D. Mitchell misses 2-pt jump shot from 7 ft,10,20
1,4:53.0,Defensive rebound by H. Barnes,,10,20
1,4:48.0,B. Hield misses 3-pt jump shot from 26 ft,,10,20
1,4:45.0,Offensive rebound by B. Hield,,10,20
