QUARTER,TIME_REMAINING,CLEVELAND_ACTION,GOLDEN STATE_ACTION,CLEVELAND_SCORE,GOLDEN STATE_SCORE
1,12:00.0,,Violation by Team (delay of game),0,0
1,11:46.0,,D. Green makes 3-pt jump shot from 27 ft (assist by S. Curry),0,3
1,11:25.0,C. Sexton misses 2-pt jump shot from 21 ft,,0,3
1,11:22.0,,Defensive rebound by A. Bogut,0,3
1,11:13.0,,D. Green makes 3-pt jump shot from 23 ft (assist by K. Thompson),0,6
1,10:46.0,C. Osman misses 2-pt jump shot from 18 ft,,0,6
1,10:45.0,,Defensive rebound by A. Bogut,0,6
1,10:38.0,,D. Green misses 3-pt jump shot from 28 ft,0,6
1,10:36.0,Defensive rebound by C. Sexton,,0,6
1,10:23.0,L. Nance misses 2-pt hook shot from 13 ft,,0,6
1,10:22.0,,Defensive rebound by D. Green,0,6
1,10:17.0,,Turnover by D. Green (bad pass; steal by L. Nance),0,6
1,10:16.0,B. Knight misses 3-pt jump shot from 23 ft,,0,6
1,10:14.0,Offensive rebound by C. Osman,,0,6
1,10:14.0,C. Osman makes 2-pt layup from 1 ft,,2,6
1,10:14.0,Shooting foul by A. Bogut (drawn by C. Osman),,2,6
1,10:14.0,C. Osman makes free throw 1 of 1,,3,6
1,10:02.0,,K. Durant makes 2-pt jump shot from 17 ft (assist by D. Green),3,8
1,9:52.0,T. Thompson makes 2-pt jump shot from 8 ft (assist by C. Sexton),,5,8
1,9:35.0,,K. Thompson misses 2-pt jump shot from 22 ft,5,8
1,9:34.0,Defensive rebound by C. Osman,,5,8
1,9:30.0,C. Osman makes 2-pt layup from 2 ft,,7,8
1,9:18.0,,Personal foul by L. Nance (drawn by D. Green),7,8
1,9:12.0,,A. Bogut makes 2-pt dunk from 1 ft (assist by S. Curry),7,10
1,9:02.0,C. Sexton misses 3-pt jump shot from 26 ft,,7,10
1,9:00.0,,Defensive rebound by A. Bogut,7,10
1,8:48.0,,S. Curry misses 2-pt layup from 2 ft,7,10
1,8:46.0,,Offensive rebound by S. Curry,7,10
1,8:43.0,,S. Curry makes 2-pt layup from 1 ft,7,12
1,8:28.0,T. Thompson makes 2-pt hook shot from 6 ft,,9,12
1,8:15.0,,K. Thompson makes 2-pt jump shot from 16 ft,9,14
1,7:50.0,T. Thompson misses 2-pt hook shot from 8 ft,,9,14
1,7:48.0,Offensive rebound by L. Nance,,9,14
1,7:48.0,Turnover by Team (shot clock),,9,14
1,7:37.0,,K. Thompson misses 3-pt jump shot from 28 ft,9,14
1,7:35.0,Defensive rebound by L. Nance,,9,14
1,7:23.0,C. Osman misses 3-pt jump shot from 26 ft,,9,14
1,7:21.0,,Defensive rebound by D. Green,9,14
1,7:10.0,,A. Bogut misses 2-pt hook shot from 9 ft,9,14
1,7:09.0,Defensive rebound by T. Thompson,,9,14
1,6:51.0,C. Sexton misses 2-pt jump shot from 18 ft,,9,14
1,6:50.0,,Defensive rebound by D. Green,9,14
1,6:44.0,,S. Curry makes 3-pt jump shot from 28 ft (assist by D. Green),9,17
1,6:42.0,Cleveland full timeout,,9,17
1,6:42.0,J. Clarkson enters the game for B. Knight,,9,17
1,6:21.0,Turnover by T. Thompson (lost ball; steal by D. Green),,9,17
1,6:10.0,,Turnover by S. Curry (bad pass; steal by C. Osman),9,17
1,5:58.0,J. Clarkson misses 2-pt hook shot from 7 ft,,9,17
1,5:57.0,,Defensive rebound by K. Thompson,9,17
1,5:50.0,,Turnover by K. Thompson (traveling),9,17
1,5:50.0,A. Žižić enters the game for T. Thompson,,9,17
1,5:24.0,C. Sexton misses 2-pt jump shot from 11 ft (block by D. Green),,9,17
1,5:22.0,,Defensive rebound by S. Curry,9,17
1,5:16.0,,Shooting foul by C. Sexton (drawn by S. Curry),9,17
1,5:16.0,,S. Curry makes free throw 1 of 3,9,18
1,5:16.0,,S. Curry makes free throw 2 of 3,9,19
1,5:16.0,,S. Curry makes free throw 3 of 3,9,20
1,4:58.0,C. Sexton makes 3-pt jump shot from 27 ft (assist by J. Clarkson),,12,20
1,4:40.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by K. Durant),12,23
1,4:20.0,Turnover by L. Nance (bad pass),,12,23
1,4:20.0,D. Nwaba enters the game for L. Nance,,12,23
1,4:20.0,,S. Livingston enters the game for A. Bogut,12,23
1,4:20.0,,K. Looney enters the game for K. Thompson,12,23
1,4:07.0,,S. Curry misses 2-pt jump shot from 19 ft,12,23
1,4:06.0,Defensive rebound by D. Nwaba,,12,23
1,3:50.0,C. Osman makes 2-pt jump shot from 14 ft,,14,23
1,3:47.0,,Turnover by S. Curry (bad pass),14,23
1,3:28.0,Shooting foul by K. Looney (drawn by A. Žižić),,14,23
1,3:28.0,A. Žižić makes free throw 1 of 2,,15,23
1,3:28.0,A. Žižić makes free throw 2 of 2,,16,23
1,3:14.0,,K. Looney makes 2-pt dunk from 1 ft (assist by K. Durant),16,25
1,2:51.0,D. Nwaba misses 3-pt jump shot from 24 ft,,16,25
1,2:49.0,Offensive rebound by A. Žižić,,16,25
1,2:47.0,A. Žižić makes 2-pt layup from 2 ft,,18,25
1,2:26.0,,D. Green misses 2-pt jump shot from 7 ft,18,25
1,2:25.0,,Offensive rebound by K. Looney,18,25
1,2:25.0,,K. Looney makes 2-pt layup at rim,18,27
1,2:11.0,A. Žižić misses 2-pt hook shot from 9 ft,,18,27
1,2:10.0,,Defensive rebound by K. Durant,18,27
1,1:58.0,,K. Durant makes 2-pt jump shot from 18 ft,18,29
1,1:43.0,A. Žižić makes 2-pt layup from 2 ft (assist by D. Nwaba),,20,29
1,1:43.0,,Golden State full timeout,20,29
1,1:43.0,B. Knight enters the game for C. Osman,,20,29
1,1:43.0,N. Stauskas enters the game for C. Sexton,,20,29
1,1:43.0,,A. McKinnie enters the game for K. Durant,20,29
1,1:25.0,,A. McKinnie misses 3-pt jump shot from 27 ft,20,29
1,1:23.0,Defensive rebound by A. Žižić,,20,29
