QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,UTAH_ACTION,NEW ORLEANS_SCORE,UTAH_SCORE
4,4:51.0,,D. Mitchell misses 2-pt jump shot from 17 ft,101,103
4,4:48.0,,Offensive rebound by R. Gobert,101,103
4,4:48.0,,Shooting foul by J. Randle (drawn by R. Gobert),101,103
4,4:48.0,,R. Gobert makes free throw 1 of 2,101,104
4,4:48.0,,J. Crowder enters the game for R. Rubio,101,104
4,4:48.0,,J. Ingles enters the game for T. Sefolosha,101,104
4,4:48.0,,R. Gobert makes free throw 2 of 2,101,105
4,4:38.0,D. Miller makes 3-pt jump shot from 25 ft (assist by E. Payton),,104,105
4,4:24.0,,Turnover by D. Mitchell (bad pass; steal by E. Payton),104,105
4,4:08.0,E. Payton makes 2-pt layup from 3 ft,,106,105
4,4:07.0,,Utah full timeout,106,105
4,4:07.0,,R. O'Neale enters the game for K. Korver,106,105
4,3:52.0,,Turnover by J. Ingles (bad pass; steal by J. Randle),106,105
4,3:35.0,K. Williams makes 3-pt jump shot from 25 ft (assist by E. Payton),,109,105
4,3:22.0,,Turnover by D. Mitchell (offensive foul),109,105
4,3:22.0,,Offensive foul by D. Mitchell (drawn by K. Williams),109,105
4,3:22.0,New Orleans full timeout,,109,105
4,3:06.0,J. Randle makes 2-pt layup from 3 ft,,111,105
4,2:40.0,,R. Gobert misses 2-pt layup from 2 ft (block by J. Randle),111,105
4,2:40.0,,Offensive rebound by Team,111,105
4,2:40.0,J. Holiday enters the game for E. Moore,,111,105
4,2:39.0,,D. Mitchell misses 3-pt jump shot from 24 ft,111,105
4,2:35.0,Defensive rebound by J. Holiday,,111,105
4,2:18.0,J. Randle misses 2-pt layup from 3 ft,,111,105
4,2:16.0,,Defensive rebound by R. O'Neale,111,105
4,2:05.0,,Turnover by J. Ingles (lost ball; steal by J. Holiday),111,105
4,1:58.0,New Orleans full timeout,,111,105
4,1:58.0,,R. Rubio enters the game for R. O'Neale,111,105
4,1:44.0,J. Holiday misses 2-pt layup from 3 ft (block by R. Gobert),,111,105
4,1:42.0,,Defensive rebound by J. Ingles,111,105
4,1:41.0,,D. Mitchell makes 2-pt layup from 3 ft,111,107
4,1:41.0,,Shooting foul by E. Payton (drawn by D. Mitchell),111,107
4,1:41.0,,D. Mitchell makes free throw 1 of 1,111,108
4,1:27.0,J. Holiday misses 2-pt jump shot from 10 ft,,111,108
4,1:24.0,,Defensive rebound by J. Ingles,111,108
4,1:15.0,,D. Mitchell misses 3-pt jump shot from 24 ft,111,108
4,1:12.0,,R. Gobert makes 2-pt layup at rim,111,110
4,1:12.0,,Offensive rebound by R. Gobert,111,110
4,0:53.0,J. Randle misses 2-pt jump shot from 7 ft (block by R. Gobert),,111,110
4,0:50.0,,Defensive rebound by J. Ingles,111,110
4,0:43.0,,D. Mitchell makes 2-pt layup from 2 ft,111,112
4,0:43.0,New Orleans full timeout,,111,112
4,0:29.0,J. Holiday misses 2-pt layup from 9 ft,,111,112
4,0:26.0,Offensive rebound by E. Payton,,111,112
4,0:24.0,E. Payton makes 2-pt layup from 2 ft,,113,112
4,0:03.0,,D. Mitchell misses 2-pt jump shot from 13 ft,113,112
4,0:00.0,Defensive rebound by J. Randle,,113,112
4,0:00.0,Personal take foul by R. Gobert (drawn by J. Randle),,113,112
4,0:00.0,J. Randle makes free throw 1 of 2,,114,112
4,0:00.0,J. Randle makes free throw 2 of 2,,115,112
4,0:00.0,,Utah full timeout,115,112
4,0:00.0,A. Davis enters the game for J. Randle,,115,112
4,0:00.0,,K. Korver enters the game for J. Crowder,115,112
4,0:00.0,,Utah full timeout,115,112
4,0:00.0,,Turnover by D. Mitchell (bad pass),115,112
