QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,UTAH_ACTION,NEW ORLEANS_SCORE,UTAH_SCORE
1,2:22.0,,J. Crowder misses 3-pt jump shot from 26 ft,19,26
1,2:17.0,New Orleans full timeout,,19,26
1,2:17.0,,D. Favors enters the game for R. Gobert,19,26
1,2:17.0,,J. Ingles enters the game for D. Mitchell,19,26
1,2:10.0,D. Miller misses 3-pt jump shot from 25 ft,,19,26
1,2:06.0,,Defensive rebound by R. O'Neale,19,26
1,1:57.0,,J. Crowder makes 2-pt dunk from 1 ft (assist by J. Ingles),19,28
1,1:50.0,E. Moore misses 2-pt layup from 2 ft (block by D. Favors),,19,28
1,1:46.0,,Defensive rebound by R. O'Neale,19,28
1,1:44.0,,J. Crowder makes 2-pt layup from 2 ft (assist by R. O'Neale),19,30
1,1:33.0,Shooting foul by D. Favors (drawn by J. Randle),,19,30
1,1:33.0,J. Randle misses free throw 1 of 2,,19,30
1,1:33.0,Offensive rebound by Team,,19,30
1,1:33.0,J. Randle makes free throw 2 of 2,,20,30
1,1:24.0,,J. Crowder misses 3-pt jump shot from 25 ft,20,30
1,1:21.0,,Offensive rebound by D. Favors,20,30
1,1:11.0,,D. Favors misses 2-pt layup from 2 ft,20,30
1,1:08.0,Defensive rebound by J. Randle,,20,30
1,1:05.0,J. Randle makes 2-pt layup from 6 ft,,22,30
1,0:53.0,,J. Crowder misses 3-pt jump shot from 23 ft,22,30
1,0:50.0,Defensive rebound by E. Payton,,22,30
1,0:44.0,E. Moore makes 2-pt jump shot from 10 ft (assist by E. Payton),,24,30
1,0:34.0,,Personal foul by E. Moore (drawn by J. Ingles),24,30
1,0:34.0,F. Jackson enters the game for E. Payton,,24,30
1,0:34.0,K. Williams enters the game for J. Randle,,24,30
1,0:31.0,,K. Korver misses 3-pt jump shot from 25 ft,24,30
1,0:31.0,Defensive rebound by K. Williams,,24,30
1,0:24.0,F. Jackson misses 2-pt jump shot from 16 ft,,24,30
1,0:24.0,Offensive rebound by K. Williams,,24,30
1,0:19.0,D. Miller misses 3-pt jump shot from 25 ft,,24,30
1,0:14.0,,Defensive rebound by K. Korver,24,30
1,0:00.0,,K. Korver makes 3-pt jump shot from 23 ft (assist by J. Ingles),24,33
2,11:47.0,F. Jackson misses 2-pt layup from 10 ft,,24,33
2,11:44.0,,Defensive rebound by J. Crowder,24,33
2,11:23.0,,Turnover by J. Ingles (bad pass; steal by A. Davis),24,33
2,11:17.0,E. Moore makes 3-pt jump shot from 25 ft (assist by K. Williams),,27,33
2,11:04.0,,Turnover by D. Favors (bad pass; steal by A. Davis),27,33
2,10:56.0,K. Williams misses 2-pt jump shot from 18 ft,,27,33
2,10:53.0,Offensive rebound by K. Williams,,27,33
2,10:53.0,K. Williams misses 2-pt layup at rim,,27,33
