QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,WASHINGTON_ACTION,GOLDEN STATE_SCORE,WASHINGTON_SCORE
1,11:46.0,K. Durant makes 2-pt layup from 1 ft (assist by D. Green),,2,0
1,11:33.0,,T. Satoranský misses 2-pt jump shot from 4 ft,2,0
1,11:31.0,Defensive rebound by D. Cousins,,2,0
1,11:23.0,D. Cousins makes 2-pt layup from 3 ft (assist by K. Durant),,4,0
1,11:10.0,,B. Beal misses 3-pt jump shot from 26 ft,4,0
1,11:07.0,,Offensive rebound by T. Satoranský,4,0
1,11:01.0,,T. Satoranský makes 3-pt jump shot from 23 ft (assist by J. Green),4,3
1,10:45.0,S. Curry misses 3-pt jump shot from 27 ft,,4,3
1,10:45.0,,Defensive rebound by T. Bryant,4,3
1,10:35.0,,T. Ariza makes 3-pt jump shot from 23 ft,4,6
1,10:20.0,K. Thompson makes 2-pt dunk from 3 ft (assist by D. Cousins),,6,6
1,10:04.0,,J. Green misses 3-pt jump shot from 24 ft,6,6
1,10:01.0,Defensive rebound by D. Green,,6,6
1,9:54.0,D. Cousins makes 2-pt layup from 3 ft (assist by D. Green),,8,6
1,9:36.0,,J. Green misses 3-pt jump shot from 22 ft,8,6
1,9:34.0,,Offensive rebound by T. Bryant,8,6
1,9:31.0,,T. Ariza misses 3-pt jump shot from 26 ft,8,6
1,9:27.0,,Offensive rebound by T. Bryant,8,6
1,9:25.0,,B. Beal misses 3-pt jump shot from 25 ft,8,6
1,9:20.0,Defensive rebound by S. Curry,,8,6
1,9:16.0,S. Curry makes 2-pt layup from 6 ft,,10,6
1,9:01.0,,T. Ariza makes 2-pt layup from 2 ft (assist by T. Bryant),10,8
1,8:48.0,Personal foul by J. Green (drawn by K. Thompson),,10,8
1,8:40.0,K. Durant misses 3-pt jump shot from 26 ft,,10,8
1,8:36.0,,Defensive rebound by Team,10,8
1,8:31.0,,T. Bryant makes 3-pt jump shot from 27 ft (assist by T. Satoranský),10,11
1,8:17.0,Turnover by D. Green (out of bounds lost ball),,10,11
1,8:12.0,,Personal foul by K. Thompson (drawn by B. Beal),10,11
1,8:04.0,,Turnover by T. Bryant (bad pass),10,11
1,7:48.0,K. Durant misses 2-pt layup from 1 ft,,10,11
1,7:48.0,Offensive rebound by D. Green,,10,11
1,7:41.0,K. Thompson misses 3-pt jump shot from 26 ft,,10,11
1,7:40.0,,Defensive rebound by Team,10,11
1,7:25.0,,T. Ariza misses 3-pt jump shot from 23 ft,10,11
1,7:23.0,Defensive rebound by D. Green,,10,11
1,7:20.0,K. Durant makes 2-pt jump shot from 20 ft,,12,11
1,6:57.0,,B. Beal misses 2-pt jump shot from 10 ft (block by K. Durant),12,11
1,6:53.0,Defensive rebound by D. Green,,12,11
1,6:51.0,K. Durant makes 2-pt dunk from 4 ft (assist by D. Green),,14,11
1,6:51.0,,Washington full timeout,14,11
1,6:34.0,,J. Green makes 3-pt jump shot from 26 ft (assist by B. Beal),14,14
1,6:18.0,K. Thompson makes 3-pt jump shot from 27 ft (assist by D. Green),,17,14
1,6:01.0,,B. Beal makes 2-pt layup from 2 ft (assist by T. Bryant),17,16
1,5:51.0,K. Thompson misses 3-pt jump shot from 23 ft,,17,16
1,5:49.0,,Defensive rebound by T. Ariza,17,16
1,5:40.0,,T. Satoranský makes 3-pt jump shot from 24 ft (assist by T. Bryant),17,19
1,5:23.0,K. Durant misses 2-pt jump shot from 21 ft,,17,19
1,5:20.0,,Defensive rebound by T. Bryant,17,19
1,5:17.0,,T. Ariza makes 2-pt dunk from 1 ft (assist by T. Satoranský),17,21
1,5:17.0,Golden State full timeout,,17,21
1,5:17.0,A. Iguodala enters the game for D. Cousins,,17,21
1,5:17.0,K. Looney enters the game for D. Green,,17,21
1,5:17.0,,O. Porter enters the game for T. Bryant,17,21
1,5:06.0,Turnover by K. Durant (lost ball; steal by T. Satoranský),,17,21
1,4:59.0,,Shooting foul by K. Durant (drawn by J. Green),17,21
1,4:59.0,,J. Green misses free throw 1 of 2,17,21
1,4:59.0,,Offensive rebound by Team,17,21
1,4:59.0,,J. Green makes free throw 2 of 2,17,22
1,4:48.0,K. Looney makes 2-pt dunk from 2 ft (assist by K. Thompson),,19,22
1,4:33.0,,B. Beal misses 2-pt layup from 2 ft,19,22
1,4:30.0,Defensive rebound by K. Looney,,19,22
1,4:24.0,S. Curry misses 2-pt layup from 7 ft,,19,22
1,4:20.0,Offensive rebound by K. Looney,,19,22
1,4:20.0,K. Looney misses 2-pt layup from 1 ft,,19,22
1,4:19.0,,Defensive rebound by B. Beal,19,22
1,4:12.0,,T. Ariza misses 2-pt dunk from 1 ft (block by K. Durant),19,22
1,4:10.0,Defensive rebound by K. Looney,,19,22
1,4:04.0,A. Iguodala makes 2-pt dunk from 1 ft (assist by K. Thompson),,21,22
1,3:45.0,,T. Satoranský misses 2-pt jump shot from 3 ft,21,22
1,3:44.0,,Offensive rebound by O. Porter,21,22
1,3:44.0,,O. Porter misses 2-pt layup from 2 ft (block by K. Durant),21,22
1,3:43.0,Defensive rebound by K. Thompson,,21,22
1,3:27.0,Shooting foul by J. Green (drawn by A. Iguodala),,21,22
1,3:27.0,A. Iguodala makes free throw 1 of 2,,22,22
1,3:27.0,A. McKinnie enters the game for K. Thompson,,22,22
1,3:27.0,,S. Dekker enters the game for J. Green,22,22
1,3:27.0,,C. Randle enters the game for T. Satoranský,22,22
1,3:27.0,A. Iguodala makes free throw 2 of 2,,23,22
1,3:11.0,,Turnover by O. Porter (lost ball; steal by K. Durant),23,22
1,3:06.0,A. McKinnie makes 2-pt layup from 3 ft (assist by A. Iguodala),,25,22
1,2:48.0,,Shooting foul by A. McKinnie (drawn by B. Beal),25,22
1,2:48.0,,B. Beal makes free throw 1 of 2,25,23
1,2:48.0,,B. Beal makes free throw 2 of 2,25,24
1,2:37.0,S. Curry makes 2-pt jump shot from 10 ft,,27,24
1,2:37.0,Shooting foul by C. Randle (drawn by S. Curry),,27,24
1,2:37.0,S. Curry makes free throw 1 of 1,,28,24
1,2:21.0,,O. Porter misses 2-pt jump shot from 14 ft,28,24
1,2:18.0,Defensive rebound by A. McKinnie,,28,24
1,2:11.0,Shooting foul by B. Beal (drawn by A. Iguodala),,28,24
1,2:11.0,A. Iguodala makes free throw 1 of 2,,29,24
1,2:11.0,,T. Brown enters the game for T. Ariza,29,24
1,2:11.0,A. Iguodala misses free throw 2 of 2,,29,24
1,2:08.0,Offensive rebound by K. Looney,,29,24
1,2:02.0,S. Curry misses 3-pt jump shot from 36 ft,,29,24
1,1:59.0,Offensive rebound by A. McKinnie,,29,24
1,1:48.0,A. McKinnie makes 2-pt layup from 2 ft (assist by A. Iguodala),,31,24
1,1:35.0,,B. Beal makes 2-pt layup from 2 ft (assist by O. Porter),31,26
1,1:22.0,S. Curry makes 2-pt layup from 4 ft,,33,26
1,0:59.0,,O. Porter misses 3-pt jump shot from 28 ft,33,26
1,0:56.0,Defensive rebound by A. McKinnie,,33,26
1,0:49.0,Shooting foul by T. Brown (drawn by S. Curry),,33,26
1,0:49.0,S. Curry makes free throw 1 of 2,,34,26
1,0:49.0,S. Curry makes free throw 2 of 2,,35,26
1,0:34.0,,C. Randle misses 2-pt jump shot from 13 ft,35,26
