QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,CHICAGO_ACTION,MILWAUKEE_SCORE,CHICAGO_SCORE
1,11:43.0,,L. Markkanen misses 3-pt jump shot from 26 ft,0,0
1,11:38.0,Defensive rebound by M. Brogdon,,0,0
1,11:20.0,K. Middleton misses 3-pt jump shot from 27 ft,,0,0
1,11:16.0,,Defensive rebound by Z. LaVine,0,0
1,11:11.0,,Personal foul by E. Bledsoe (drawn by Z. LaVine),0,0
1,11:05.0,,Z. LaVine misses 2-pt jump shot from 13 ft,0,0
1,11:01.0,Defensive rebound by G. Antetokounmpo,,0,0
1,10:56.0,B. Lopez makes 3-pt jump shot from 28 ft (assist by G. Antetokounmpo),,3,0
1,10:36.0,,L. Markkanen misses 2-pt layup from 4 ft,3,0
1,10:34.0,Defensive rebound by G. Antetokounmpo,,3,0
1,10:21.0,K. Middleton makes 2-pt jump shot from 10 ft,,5,0
1,10:02.0,,O. Porter makes 2-pt jump shot from 12 ft (assist by R. Lopez),5,2
1,9:52.0,B. Lopez misses 3-pt jump shot from 26 ft,,5,2
1,9:50.0,,Defensive rebound by L. Markkanen,5,2
1,9:37.0,,R. Lopez misses 2-pt dunk from 1 ft,5,2
1,9:35.0,Defensive rebound by G. Antetokounmpo,,5,2
1,9:35.0,Offensive foul by G. Antetokounmpo (drawn by L. Markkanen),,5,2
1,9:35.0,Turnover by G. Antetokounmpo (offensive foul),,5,2
1,9:23.0,,L. Markkanen misses 2-pt layup from 5 ft (block by B. Lopez),5,2
1,9:20.0,Defensive rebound by B. Lopez,,5,2
1,9:16.0,E. Bledsoe misses 3-pt jump shot from 25 ft,,5,2
1,9:14.0,,Defensive rebound by O. Porter,5,2
1,9:05.0,,L. Markkanen makes 3-pt jump shot from 23 ft (assist by K. Dunn),5,5
1,8:52.0,E. Bledsoe misses 3-pt jump shot from 25 ft,,5,5
1,8:49.0,,Defensive rebound by L. Markkanen,5,5
1,8:42.0,,L. Markkanen misses 2-pt layup from 2 ft,5,5
1,8:38.0,Defensive rebound by G. Antetokounmpo,,5,5
1,8:37.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,7,5
1,8:37.0,Shooting foul by R. Lopez (drawn by G. Antetokounmpo),,7,5
1,8:37.0,G. Antetokounmpo makes free throw 1 of 1,,8,5
1,8:28.0,,R. Lopez makes 2-pt hook shot from 6 ft (assist by K. Dunn),8,7
1,8:18.0,M. Brogdon misses 2-pt layup from 4 ft (block by Z. LaVine),,8,7
1,8:18.0,,Defensive rebound by L. Markkanen,8,7
1,8:10.0,,Z. LaVine makes 2-pt layup from 2 ft (assist by L. Markkanen),8,9
1,8:01.0,Def 3 sec tech foul by Team,,8,9
1,8:01.0,K. Middleton makes technical free throw,,9,9
1,7:55.0,G. Antetokounmpo misses 2-pt layup from 3 ft,,9,9
1,7:49.0,Offensive rebound by G. Antetokounmpo,,9,9
1,7:49.0,Turnover by G. Antetokounmpo (lost ball; steal by Z. LaVine),,9,9
1,7:44.0,,Z. LaVine misses 2-pt layup from 2 ft,9,9
1,7:39.0,,Offensive rebound by L. Markkanen,9,9
1,7:39.0,,L. Markkanen makes 2-pt dunk at rim,9,11
1,7:22.0,K. Middleton misses 3-pt jump shot from 25 ft,,9,11
1,7:19.0,,Defensive rebound by Z. LaVine,9,11
1,7:04.0,,R. Lopez misses 2-pt hook shot from 5 ft,9,11
1,7:02.0,Defensive rebound by K. Middleton,,9,11
1,6:53.0,Personal foul by L. Markkanen (drawn by G. Antetokounmpo),,9,11
1,6:53.0,,Chicago full timeout,9,11
1,6:53.0,S. Brown enters the game for M. Brogdon,,9,11
1,6:42.0,B. Lopez misses 2-pt jump shot from 5 ft,,9,11
1,6:38.0,,Defensive rebound by R. Lopez,9,11
1,6:20.0,,O. Porter misses 2-pt jump shot from 12 ft,9,11
1,6:18.0,,Offensive rebound by O. Porter,9,11
1,6:16.0,,K. Dunn misses 2-pt jump shot from 16 ft,9,11
1,6:13.0,Defensive rebound by G. Antetokounmpo,,9,11
1,6:03.0,G. Antetokounmpo misses 2-pt jump shot from 13 ft,,9,11
1,6:00.0,,Defensive rebound by O. Porter,9,11
1,5:46.0,,Z. LaVine makes 2-pt layup from 1 ft (assist by L. Markkanen),9,13
1,5:29.0,K. Middleton makes 2-pt jump shot from 17 ft,,11,13
1,5:15.0,,Personal foul by S. Brown (drawn by R. Lopez),11,13
1,5:15.0,G. Hill enters the game for G. Antetokounmpo,,11,13
1,5:15.0,D. Wilson enters the game for E. Bledsoe,,11,13
1,5:15.0,,W. Selden enters the game for O. Porter,11,13
1,5:08.0,,L. Markkanen misses 3-pt jump shot from 25 ft,11,13
1,5:04.0,Defensive rebound by G. Hill,,11,13
1,4:57.0,B. Lopez misses 3-pt jump shot from 25 ft,,11,13
1,4:54.0,,Defensive rebound by L. Markkanen,11,13
1,4:39.0,,W. Selden misses 3-pt jump shot from 23 ft,11,13
1,4:34.0,Defensive rebound by B. Lopez,,11,13
1,4:25.0,B. Lopez misses 3-pt jump shot from 27 ft,,11,13
1,4:22.0,,Defensive rebound by L. Markkanen,11,13
1,4:12.0,,Z. LaVine makes 3-pt jump shot from 24 ft (assist by K. Dunn),11,16
1,3:53.0,S. Brown misses 3-pt jump shot from 25 ft,,11,16
1,3:49.0,,Defensive rebound by K. Dunn,11,16
1,3:44.0,,K. Dunn misses 2-pt jump shot from 10 ft,11,16
1,3:42.0,Defensive rebound by B. Lopez,,11,16
1,3:37.0,Milwaukee full timeout,,11,16
1,3:37.0,E. İlyasova enters the game for B. Lopez,,11,16
1,3:37.0,,T. Luwawu-Cabarrot enters the game for Z. LaVine,11,16
1,3:27.0,Turnover by D. Wilson (step out of bounds),,11,16
1,3:27.0,M. Brogdon enters the game for K. Middleton,,11,16
1,3:18.0,,L. Markkanen misses 3-pt jump shot from 26 ft,11,16
1,3:14.0,Defensive rebound by G. Hill,,11,16
1,3:00.0,M. Brogdon misses 3-pt jump shot from 25 ft,,11,16
1,2:56.0,Offensive rebound by E. İlyasova,,11,16
1,2:45.0,E. İlyasova misses 2-pt layup from 2 ft (block by R. Lopez),,11,16
1,2:41.0,,Defensive rebound by W. Selden,11,16
1,2:36.0,,W. Selden misses 2-pt layup from 4 ft (block by G. Hill),11,16
1,2:36.0,Defensive rebound by G. Hill,,11,16
1,2:16.0,E. İlyasova makes 3-pt jump shot from 25 ft (assist by M. Brogdon),,14,16
1,2:03.0,,Personal foul by E. İlyasova (drawn by R. Lopez),14,16
1,2:03.0,,S. Harrison enters the game for L. Markkanen,14,16
1,1:56.0,,K. Dunn misses 3-pt jump shot from 25 ft,14,16
1,1:50.0,,Offensive rebound by R. Lopez,14,16
1,1:50.0,,R. Lopez makes 2-pt layup at rim,14,18
1,1:38.0,D. Wilson misses 3-pt jump shot from 26 ft,,14,18
1,1:35.0,Offensive rebound by S. Brown,,14,18
1,1:34.0,S. Brown misses 2-pt layup from 1 ft,,14,18
1,1:33.0,,Defensive rebound by W. Selden,14,18
1,1:33.0,G. Antetokounmpo enters the game for S. Brown,,14,18
1,1:33.0,T. Snell enters the game for D. Wilson,,14,18
1,1:16.0,,R. Lopez misses 2-pt jump shot from 3 ft,14,18
1,1:14.0,Defensive rebound by T. Snell,,14,18
1,1:02.0,E. İlyasova makes 2-pt layup from 2 ft (assist by T. Snell),,16,18
