QUARTER,TIME_REMAINING,ATLANTA_ACTION,DALLAS_ACTION,ATLANTA_SCORE,DALLAS_SCORE
1,11:45.0,,D. Jordan misses 2-pt hook shot from 3 ft,0,0
1,11:43.0,Defensive rebound by D. Dedmon,,0,0
1,11:31.0,K. Bazemore misses 2-pt jump shot from 19 ft,,0,0
1,11:29.0,,Defensive rebound by D. Jordan,0,0
1,11:14.0,,H. Barnes makes 3-pt jump shot from 25 ft,0,3
1,10:58.0,J. Collins misses 3-pt jump shot from 25 ft,,0,3
1,10:56.0,,Defensive rebound by L. Dončić,0,3
1,10:52.0,,L. Dončić makes 2-pt layup from 1 ft,0,5
1,10:28.0,K. Bazemore makes 3-pt jump shot from 23 ft (assist by T. Young),,3,5
1,10:11.0,,Personal foul by D. Dedmon (drawn by D. Jordan),3,5
1,10:01.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by W. Matthews),3,7
1,9:51.0,T. Young misses 2-pt layup from 1 ft,,3,7
1,9:49.0,Offensive rebound by J. Collins,,3,7
1,9:48.0,J. Collins makes 2-pt layup at rim,,5,7
1,9:40.0,,H. Barnes makes 3-pt jump shot from 23 ft (assist by J. Brunson),5,10
1,9:32.0,Personal foul by J. Brunson (drawn by T. Young),,5,10
1,9:27.0,K. Huerter misses 2-pt jump shot from 12 ft,,5,10
1,9:24.0,,Defensive rebound by D. Jordan,5,10
1,9:18.0,,Shooting foul by K. Bazemore (drawn by L. Dončić),5,10
1,9:18.0,,L. Dončić makes free throw 1 of 2,5,11
1,9:18.0,,L. Dončić makes free throw 2 of 2,5,12
1,9:05.0,J. Collins misses 2-pt jump shot from 6 ft,,5,12
1,9:03.0,Offensive rebound by Team,,5,12
1,8:51.0,K. Bazemore makes 2-pt jump shot from 17 ft,,7,12
1,8:39.0,,Personal foul by T. Young (drawn by L. Dončić),7,12
1,8:36.0,,L. Dončić misses 3-pt jump shot from 26 ft,7,12
1,8:32.0,Defensive rebound by K. Bazemore,,7,12
1,8:32.0,Personal foul by H. Barnes (drawn by J. Collins),,7,12
1,8:25.0,D. Dedmon makes 2-pt jump shot from 3 ft (assist by T. Young),,9,12
1,8:08.0,,Turnover by D. Jordan (offensive foul),9,12
1,8:08.0,,Offensive foul by D. Jordan (drawn by J. Collins),9,12
1,7:54.0,D. Dedmon misses 3-pt jump shot from 25 ft,,9,12
1,7:51.0,,Defensive rebound by L. Dončić,9,12
1,7:44.0,,H. Barnes makes 3-pt jump shot from 27 ft (assist by L. Dončić),9,15
1,7:16.0,J. Collins misses 2-pt hook shot from 2 ft,,9,15
1,7:15.0,Offensive rebound by J. Collins,,9,15
1,7:14.0,J. Collins misses 2-pt layup from 1 ft,,9,15
1,7:13.0,,Defensive rebound by D. Jordan,9,15
1,7:06.0,,L. Dončić makes 2-pt jump shot from 9 ft,9,17
1,6:58.0,Atlanta full timeout,,9,17
1,6:58.0,D. Bembry enters the game for D. Dedmon,,9,17
1,6:58.0,A. Len enters the game for K. Huerter,,9,17
1,6:51.0,K. Bazemore misses 2-pt layup from 4 ft,,9,17
1,6:49.0,Offensive rebound by J. Collins,,9,17
1,6:47.0,J. Collins makes 2-pt dunk from 1 ft,,11,17
1,6:29.0,,Turnover by W. Matthews (lost ball; steal by T. Young),11,17
1,6:28.0,Personal take foul by W. Matthews (drawn by T. Young),,11,17
1,6:19.0,,Violation by Team (kicked ball),11,17
1,6:07.0,J. Collins makes 2-pt layup from 1 ft (assist by T. Young),,13,17
1,5:58.0,,J. Brunson makes 2-pt jump shot from 10 ft,13,19
1,5:46.0,Turnover by J. Collins (bad pass),,13,19
1,5:46.0,J. Anderson enters the game for T. Young,,13,19
1,5:33.0,,L. Dončić misses 2-pt jump shot from 14 ft,13,19
1,5:30.0,Defensive rebound by J. Collins,,13,19
1,5:23.0,Personal foul by W. Matthews (drawn by J. Collins),,13,19
1,5:23.0,V. Carter enters the game for J. Collins,,13,19
1,5:23.0,,D. Harris enters the game for W. Matthews,13,19
1,5:18.0,A. Len misses 3-pt jump shot from 25 ft,,13,19
1,5:15.0,,Defensive rebound by L. Dončić,13,19
1,5:04.0,,D. Jordan misses 2-pt layup from 1 ft,13,19
1,5:02.0,Defensive rebound by A. Len,,13,19
1,4:57.0,D. Bembry misses 3-pt jump shot from 25 ft,,13,19
1,4:54.0,,Defensive rebound by D. Jordan,13,19
1,4:46.0,,Shooting foul by D. Bembry (drawn by L. Dončić),13,19
1,4:46.0,,L. Dončić makes free throw 1 of 2,13,20
1,4:46.0,,J. Barea enters the game for J. Brunson,13,20
1,4:46.0,,L. Dončić makes free throw 2 of 2,13,21
1,4:34.0,K. Bazemore makes 2-pt jump shot from 17 ft (assist by A. Len),,15,21
1,4:17.0,,J. Barea misses 3-pt jump shot from 26 ft,15,21
1,4:13.0,Defensive rebound by K. Bazemore,,15,21
1,4:09.0,K. Bazemore makes 2-pt jump shot from 18 ft,,17,21
1,4:08.0,,Dallas full timeout,17,21
1,4:08.0,,D. Finney-Smith enters the game for L. Dončić,17,21
1,3:56.0,,Turnover by D. Jordan (traveling),17,21
1,3:43.0,A. Len makes 2-pt layup at rim (assist by K. Bazemore),,19,21
1,3:24.0,,J. Barea misses 2-pt jump shot from 12 ft,19,21
1,3:24.0,,Offensive rebound by Team,19,21
1,3:24.0,Loose ball foul by A. Len (drawn by D. Jordan),,19,21
1,3:24.0,,D. Jordan misses free throw 1 of 2,19,21
1,3:24.0,,Offensive rebound by Team,19,21
1,3:24.0,T. Dorsey enters the game for K. Bazemore,,19,21
1,3:24.0,,M. Kleber enters the game for H. Barnes,19,21
1,3:24.0,,D. Jordan makes free throw 2 of 2,19,22
1,3:14.0,Turnover by D. Bembry (lost ball; steal by D. Harris),,19,22
1,3:00.0,,D. Harris misses 3-pt jump shot from 25 ft,19,22
1,2:56.0,Defensive rebound by V. Carter,,19,22
1,2:52.0,T. Dorsey makes 2-pt layup from 1 ft (assist by V. Carter),,21,22
1,2:38.0,,Personal foul by T. Dorsey (drawn by D. Harris),21,22
1,2:38.0,,D. Harris misses free throw 1 of 2,21,22
1,2:38.0,,Offensive rebound by Team,21,22
1,2:38.0,,D. Powell enters the game for D. Jordan,21,22
1,2:38.0,,D. Harris makes free throw 2 of 2,21,23
1,2:26.0,J. Anderson misses 3-pt jump shot from 25 ft,,21,23
1,2:24.0,,Defensive rebound by D. Finney-Smith,21,23
1,2:17.0,,J. Barea makes 2-pt jump shot from 9 ft,21,25
1,2:01.0,D. Bembry misses 2-pt jump shot from 9 ft,,21,25
1,1:58.0,,Defensive rebound by M. Kleber,21,25
1,1:51.0,,D. Finney-Smith misses 3-pt jump shot from 26 ft,21,25
1,1:48.0,Defensive rebound by J. Anderson,,21,25
1,1:43.0,V. Carter makes 3-pt jump shot from 24 ft (assist by D. Bembry),,24,25
1,1:22.0,,M. Kleber misses 3-pt jump shot from 25 ft,24,25
1,1:19.0,Defensive rebound by D. Bembry,,24,25
1,1:16.0,Turnover by D. Bembry (bad pass; steal by D. Harris),,24,25
1,1:05.0,,J. Barea makes 3-pt jump shot from 26 ft,24,28
1,0:40.0,T. Dorsey misses 2-pt layup from 2 ft,,24,28
1,0:39.0,Offensive rebound by J. Anderson,,24,28
1,0:39.0,J. Anderson makes 2-pt dunk at rim,,26,28
1,0:30.0,,D. Powell misses 3-pt jump shot from 25 ft,26,28
1,0:30.0,Defensive rebound by D. Bembry,,26,28
1,0:09.0,V. Carter misses 3-pt jump shot from 25 ft,,26,28
1,0:06.0,,Defensive rebound by D. Powell,26,28
1,0:02.0,,Turnover by J. Barea (bad pass; steal by J. Anderson),26,28
1,0:01.0,Turnover by J. Anderson (lost ball; steal by D. Finney-Smith),,26,28
1,0:01.0,,M. Kleber misses 2-pt layup from 4 ft,26,28
1,0:00.0,,Offensive rebound by Team,26,28
2,11:47.0,T. Young makes 3-pt jump shot from 26 ft,,29,28
2,11:27.0,,Turnover by D. Powell (traveling),29,28
2,11:09.0,T. Young makes 3-pt jump shot from 24 ft,,32,28
2,10:53.0,,D. Powell makes 2-pt layup from 1 ft (assist by J. Barea),32,30
2,10:41.0,T. Young misses 3-pt jump shot from 30 ft,,32,30
2,10:39.0,,Defensive rebound by M. Kleber,32,30
2,10:25.0,,D. Powell misses 2-pt layup from 2 ft,32,30
2,10:24.0,,Offensive rebound by Team,32,30
2,10:18.0,,J. Barea misses 2-pt jump shot from 6 ft,32,30
2,10:15.0,Defensive rebound by T. Dorsey,,32,30
2,10:04.0,K. Huerter misses 2-pt layup from 4 ft,,32,30
2,10:01.0,Offensive rebound by J. Collins,,32,30
2,10:01.0,J. Collins misses 2-pt layup at rim,,32,30
2,9:58.0,Offensive rebound by T. Dorsey,,32,30
2,9:55.0,Offensive foul by J. Collins (drawn by D. Finney-Smith),,32,30
2,9:55.0,Turnover by J. Collins (offensive foul),,32,30
2,9:47.0,,Turnover by J. Barea (bad pass),32,30
2,9:32.0,Turnover by K. Huerter (bad pass; steal by M. Kleber),,32,30
2,9:18.0,,J. Barea makes 2-pt layup from 2 ft,32,32
2,9:07.0,T. Dorsey misses 3-pt jump shot from 23 ft,,32,32
2,9:05.0,Offensive rebound by Team,,32,32
2,9:05.0,,Loose ball foul by D. Powell (drawn by J. Collins),32,32
2,8:55.0,J. Collins misses 3-pt jump shot from 23 ft,,32,32
2,8:51.0,,Defensive rebound by D. Harris,32,32
2,8:42.0,,J. Barea misses 3-pt jump shot from 26 ft,32,32
2,8:42.0,Defensive rebound by Team,,32,32
2,8:27.0,J. Collins misses 2-pt layup from 4 ft (block by M. Kleber),,32,32
2,8:26.0,Offensive rebound by J. Collins,,32,32
2,8:25.0,J. Collins misses 2-pt layup from 3 ft (block by M. Kleber),,32,32
2,8:24.0,Offensive rebound by T. Dorsey,,32,32
2,8:23.0,Shooting foul by D. Powell (drawn by T. Dorsey),,32,32
