QUARTER,TIME_REMAINING,BROOKLYN_ACTION,PHILADELPHIA_ACTION,BROOKLYN_SCORE,PHILADELPHIA_SCORE
1,11:37.0,R. Hollis-Jefferson misses 2-pt jump shot from 13 ft,,0,0
1,11:35.0,,Defensive rebound by J. Embiid,0,0
1,11:23.0,,Shooting foul by J. Allen (drawn by J. Embiid),0,0
1,11:23.0,,J. Embiid makes free throw 1 of 2,0,1
1,11:23.0,,J. Embiid makes free throw 2 of 2,0,2
1,11:12.0,A. Crabbe misses 3-pt jump shot from 26 ft,,0,2
1,11:09.0,,Defensive rebound by J. Embiid,0,2
1,10:58.0,,F. Korkmaz makes 3-pt jump shot from 28 ft (assist by J. Embiid),0,5
1,10:40.0,D. Russell misses 3-pt jump shot from 26 ft,,0,5
1,10:38.0,Offensive rebound by J. Allen,,0,5
1,10:36.0,J. Harris misses 2-pt jump shot from 10 ft,,0,5
1,10:32.0,,Defensive rebound by F. Korkmaz,0,5
1,10:22.0,,J. Embiid misses 2-pt jump shot from 2 ft,0,5
1,10:19.0,Defensive rebound by J. Allen,,0,5
1,10:18.0,Turnover by J. Allen (lost ball; steal by B. Simmons),,0,5
1,10:14.0,,Turnover by B. Simmons (bad pass; steal by A. Crabbe),0,5
1,10:11.0,R. Hollis-Jefferson makes 2-pt layup from 4 ft (assist by D. Russell),,2,5
1,10:11.0,Shooting foul by J. Redick (drawn by R. Hollis-Jefferson),,2,5
1,10:11.0,R. Hollis-Jefferson makes free throw 1 of 1,,3,5
1,9:51.0,,W. Chandler misses 2-pt jump shot from 8 ft (block by J. Harris),3,5
1,9:48.0,,Offensive rebound by B. Simmons,3,5
1,9:45.0,,B. Simmons makes 2-pt layup from 3 ft,3,7
1,9:37.0,D. Russell makes 3-pt jump shot from 26 ft,,6,7
1,9:19.0,,W. Chandler makes 3-pt jump shot from 23 ft (assist by F. Korkmaz),6,10
1,9:07.0,Shooting foul by F. Korkmaz (drawn by J. Allen),,6,10
1,9:07.0,J. Allen makes free throw 1 of 2,,7,10
1,9:07.0,J. Allen makes free throw 2 of 2,,8,10
1,8:57.0,,B. Simmons misses 2-pt layup from 1 ft,8,10
1,8:57.0,,Offensive rebound by B. Simmons,8,10
1,8:56.0,,B. Simmons misses 2-pt layup at rim,8,10
1,8:53.0,Defensive rebound by J. Harris,,8,10
1,8:44.0,J. Allen makes 2-pt dunk at rim (assist by J. Harris),,10,10
1,8:27.0,,F. Korkmaz misses 3-pt jump shot from 26 ft,10,10
1,8:25.0,Defensive rebound by A. Crabbe,,10,10
1,8:15.0,R. Hollis-Jefferson misses 2-pt jump shot from 5 ft,,10,10
1,8:13.0,,Defensive rebound by J. Embiid,10,10
1,8:07.0,,J. Redick makes 3-pt jump shot from 28 ft (assist by B. Simmons),10,13
1,8:06.0,Brooklyn full timeout,,10,13
1,7:55.0,A. Crabbe makes 2-pt jump shot from 16 ft (assist by D. Russell),,12,13
1,7:36.0,,J. Embiid misses 2-pt jump shot from 4 ft,12,13
1,7:31.0,,Offensive rebound by J. Embiid,12,13
1,7:31.0,,J. Embiid makes 2-pt layup at rim,12,15
1,7:25.0,A. Crabbe misses 3-pt jump shot from 26 ft,,12,15
1,7:21.0,,Defensive rebound by W. Chandler,12,15
1,7:17.0,,F. Korkmaz makes 2-pt jump shot from 8 ft (assist by W. Chandler),12,17
1,7:05.0,D. Russell makes 2-pt layup at rim,,14,17
1,6:55.0,,J. Redick misses 3-pt jump shot from 26 ft,14,17
1,6:53.0,,Offensive rebound by J. Redick,14,17
1,6:41.0,,J. Embiid makes 2-pt layup from 2 ft,14,19
1,6:32.0,Turnover by D. Russell (bad pass; steal by B. Simmons),,14,19
1,6:18.0,,Turnover by J. Embiid (lost ball; steal by A. Crabbe),14,19
1,6:08.0,Turnover by R. Hollis-Jefferson (lost ball; steal by B. Simmons),,14,19
1,6:03.0,,J. Embiid makes 2-pt layup from 1 ft (assist by B. Simmons),14,21
1,5:49.0,J. Allen makes 2-pt dunk from 1 ft (assist by R. Hollis-Jefferson),,16,21
1,5:35.0,,Turnover by W. Chandler (bad pass; steal by R. Hollis-Jefferson),16,21
1,5:32.0,Turnover by R. Hollis-Jefferson (lost ball; steal by F. Korkmaz),,16,21
1,5:26.0,,F. Korkmaz makes 2-pt dunk from 2 ft,16,23
1,5:09.0,D. Russell misses 2-pt jump shot from 16 ft,,16,23
1,5:07.0,,Defensive rebound by J. Embiid,16,23
1,5:02.0,,B. Simmons misses 2-pt jump shot from 5 ft,16,23
1,5:01.0,,Offensive rebound by B. Simmons,16,23
1,5:01.0,,B. Simmons makes 2-pt layup from 3 ft,16,25
1,5:01.0,Brooklyn full timeout,,16,25
1,5:01.0,E. Davis enters the game for J. Allen,,16,25
1,5:01.0,S. Dinwiddie enters the game for D. Russell,,16,25
1,5:01.0,,A. Johnson enters the game for W. Chandler,16,25
1,5:01.0,,T. McConnell enters the game for J. Embiid,16,25
1,5:01.0,,L. Shamet enters the game for J. Redick,16,25
1,4:57.0,Personal foul by L. Shamet (drawn by J. Harris),,16,25
1,4:40.0,S. Dinwiddie misses 2-pt layup from 4 ft,,16,25
1,4:38.0,Offensive rebound by E. Davis,,16,25
1,4:36.0,E. Davis misses 2-pt layup from 3 ft,,16,25
1,4:34.0,,Defensive rebound by B. Simmons,16,25
1,4:30.0,,B. Simmons misses 2-pt layup from 1 ft,16,25
1,4:28.0,Defensive rebound by R. Hollis-Jefferson,,16,25
1,4:20.0,A. Crabbe makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie),,19,25
1,4:04.0,,Personal foul by J. Harris (drawn by F. Korkmaz),19,25
1,4:04.0,D. Carroll enters the game for J. Harris,,19,25
1,4:04.0,R. Kurucs enters the game for R. Hollis-Jefferson,,19,25
1,4:04.0,,S. Milton enters the game for F. Korkmaz,19,25
1,3:56.0,,T. McConnell misses 2-pt jump shot from 8 ft,19,25
1,3:53.0,Defensive rebound by R. Kurucs,,19,25
1,3:42.0,S. Dinwiddie makes 2-pt jump shot from 4 ft,,21,25
1,3:28.0,,T. McConnell makes 2-pt jump shot from 11 ft,21,27
1,3:14.0,A. Crabbe misses 3-pt jump shot from 27 ft,,21,27
1,3:12.0,,Defensive rebound by B. Simmons,21,27
1,3:05.0,,L. Shamet misses 2-pt jump shot from 14 ft,21,27
1,3:01.0,Defensive rebound by D. Carroll,,21,27
1,2:53.0,Shooting foul by A. Johnson (drawn by S. Dinwiddie),,21,27
1,2:53.0,S. Dinwiddie misses free throw 1 of 2,,21,27
1,2:53.0,Offensive rebound by Team,,21,27
1,2:53.0,D. Russell enters the game for A. Crabbe,,21,27
1,2:53.0,,W. Chandler enters the game for A. Johnson,21,27
1,2:53.0,,J. Embiid enters the game for L. Shamet,21,27
1,2:53.0,,J. Redick enters the game for B. Simmons,21,27
1,2:53.0,S. Dinwiddie makes free throw 2 of 2,,22,27
1,2:42.0,,J. Redick misses 2-pt jump shot from 18 ft,22,27
1,2:40.0,,Offensive rebound by Team,22,27
1,2:40.0,Loose ball foul by E. Davis (drawn by J. Embiid),,22,27
1,2:27.0,,J. Embiid misses 2-pt hook shot from 7 ft,22,27
1,2:25.0,Defensive rebound by E. Davis,,22,27
1,2:13.0,,Violation by Team (kicked ball),22,27
1,2:07.0,Shooting foul by S. Milton (drawn by D. Carroll),,22,27
1,2:07.0,D. Carroll makes free throw 1 of 2,,23,27
1,2:07.0,D. Carroll makes free throw 2 of 2,,24,27
1,1:56.0,,J. Redick misses 2-pt jump shot from 15 ft,24,27
1,1:51.0,Defensive rebound by E. Davis,,24,27
1,1:45.0,R. Kurucs makes 2-pt layup from 4 ft (assist by D. Carroll),,26,27
1,1:45.0,Shooting foul by S. Milton (drawn by R. Kurucs),,26,27
1,1:45.0,R. Kurucs makes free throw 1 of 1,,27,27
1,1:29.0,,Turnover by J. Embiid (traveling),27,27
1,1:09.0,R. Kurucs makes 2-pt layup from 2 ft (assist by D. Russell),,29,27
1,0:55.0,,J. Embiid makes 2-pt hook shot from 3 ft (assist by S. Milton),29,29
1,0:49.0,S. Dinwiddie makes 2-pt layup from 2 ft (assist by D. Russell),,31,29
1,0:34.0,,J. Redick misses 3-pt jump shot from 26 ft,31,29
1,0:31.0,Defensive rebound by E. Davis,,31,29
1,0:28.0,D. Carroll misses 3-pt jump shot from 26 ft,,31,29
1,0:24.0,,Defensive rebound by J. Redick,31,29
1,0:24.0,Loose ball foul by R. Kurucs (drawn by J. Redick),,31,29
1,0:24.0,J. Harris enters the game for D. Russell,,31,29
1,0:24.0,,F. Korkmaz enters the game for S. Milton,31,29
1,0:01.0,,Turnover by F. Korkmaz (offensive foul),31,29
1,0:01.0,,Offensive foul by F. Korkmaz (drawn by R. Kurucs),31,29
2,11:49.0,,Personal foul by J. Dudley (drawn by J. Embiid),31,29
2,11:41.0,,Turnover by T. McConnell (out of bounds lost ball),31,29
2,11:16.0,Turnover by Team (shot clock),,31,29
2,11:05.0,,T. McConnell makes 2-pt layup from 2 ft,31,31
2,10:51.0,D. Russell makes 2-pt jump shot from 12 ft,,33,31
2,10:39.0,,J. Redick misses 3-pt jump shot from 25 ft,33,31
2,10:39.0,Defensive rebound by E. Davis,,33,31
2,10:26.0,D. Russell misses 2-pt jump shot from 20 ft,,33,31
2,10:24.0,,Defensive rebound by J. Embiid,33,31
2,10:17.0,,T. McConnell makes 2-pt jump shot from 11 ft,33,33
2,9:50.0,D. Russell makes 2-pt layup from 4 ft,,35,33
2,9:31.0,,W. Chandler misses 3-pt jump shot from 27 ft,35,33
2,9:27.0,Defensive rebound by D. Carroll,,35,33
2,9:17.0,Shooting foul by J. Embiid (drawn by D. Carroll),,35,33
2,9:17.0,D. Carroll makes free throw 1 of 2,,36,33
2,9:17.0,S. Dinwiddie enters the game for R. Kurucs,,36,33
2,9:17.0,,L. Shamet enters the game for J. Redick,36,33
2,9:17.0,D. Carroll makes free throw 2 of 2,,37,33
2,9:01.0,,Philadelphia full timeout,37,33
2,8:54.0,,J. Embiid misses 2-pt jump shot from 17 ft,37,33
2,8:51.0,Defensive rebound by D. Carroll,,37,33
2,8:39.0,D. Carroll misses 3-pt jump shot from 25 ft,,37,33
2,8:35.0,,Defensive rebound by T. McConnell,37,33
2,8:16.0,,J. Embiid makes 2-pt hook shot from 4 ft,37,35
2,8:05.0,D. Russell misses 2-pt jump shot from 17 ft,,37,35
2,8:04.0,,Defensive rebound by J. Embiid,37,35
2,7:53.0,,F. Korkmaz misses 2-pt jump shot from 16 ft,37,35
2,7:49.0,Defensive rebound by S. Dinwiddie,,37,35
2,7:44.0,S. Dinwiddie misses 2-pt jump shot from 22 ft,,37,35
2,7:42.0,Offensive rebound by D. Carroll,,37,35
2,7:40.0,D. Carroll makes 2-pt layup from 2 ft,,39,35
2,7:32.0,,T. McConnell makes 2-pt layup from 1 ft (assist by W. Chandler),39,37
2,7:15.0,Turnover by D. Russell (out of bounds lost ball),,39,37
2,7:15.0,J. Harris enters the game for D. Russell,,39,37
2,7:15.0,,A. Johnson enters the game for J. Embiid,39,37
2,7:15.0,,B. Simmons enters the game for T. McConnell,39,37
2,7:01.0,,F. Korkmaz makes 2-pt jump shot from 5 ft (assist by B. Simmons),39,39
2,6:50.0,J. Dudley makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie),,42,39
2,6:39.0,,A. Johnson misses 3-pt jump shot from 26 ft,42,39
2,6:36.0,Defensive rebound by E. Davis,,42,39
2,6:25.0,Shooting foul by A. Johnson (drawn by S. Dinwiddie),,42,39
2,6:25.0,S. Dinwiddie makes free throw 1 of 2,,43,39
2,6:25.0,J. Allen enters the game for E. Davis,,43,39
2,6:25.0,S. Dinwiddie makes free throw 2 of 2,,44,39
2,6:16.0,,A. Johnson makes 2-pt jump shot from 15 ft,44,41
2,6:16.0,,J. Redick enters the game for F. Korkmaz,44,41
2,5:51.0,S. Dinwiddie misses 2-pt jump shot from 9 ft,,44,41
2,5:46.0,,Defensive rebound by Team,44,41
2,5:44.0,,Turnover by L. Shamet (traveling),44,41
2,5:23.0,J. Harris makes 2-pt layup from 2 ft (assist by S. Dinwiddie),,46,41
2,5:14.0,,W. Chandler misses 3-pt jump shot from 28 ft,46,41
2,5:11.0,Defensive rebound by J. Allen,,46,41
2,5:08.0,Personal foul by B. Simmons (drawn by S. Dinwiddie),,46,41
2,5:08.0,A. Crabbe enters the game for D. Carroll,,46,41
2,4:53.0,Shooting foul by J. Redick (drawn by J. Dudley),,46,41
2,4:53.0,J. Dudley misses free throw 1 of 2,,46,41
2,4:53.0,Offensive rebound by Team,,46,41
2,4:53.0,J. Dudley misses free throw 2 of 2,,46,41
2,4:50.0,,Defensive rebound by Team,46,41
2,4:41.0,,A. Johnson misses 3-pt jump shot from 23 ft,46,41
2,4:37.0,Defensive rebound by A. Crabbe,,46,41
2,4:27.0,A. Crabbe makes 3-pt jump shot from 24 ft (assist by S. Dinwiddie),,49,41
2,4:26.0,,Philadelphia full timeout,49,41
2,4:26.0,E. Davis enters the game for J. Allen,,49,41
2,4:26.0,,J. Embiid enters the game for W. Chandler,49,41
2,4:26.0,,T. McConnell enters the game for A. Johnson,49,41
2,4:17.0,,B. Simmons makes 2-pt layup from 1 ft (assist by T. McConnell),49,43
2,3:59.0,J. Harris makes 2-pt jump shot from 11 ft (assist by J. Dudley),,51,43
2,3:44.0,,J. Embiid makes 2-pt jump shot from 14 ft (assist by B. Simmons),51,45
2,3:23.0,A. Crabbe misses 3-pt jump shot from 27 ft,,51,45
2,3:16.0,Offensive rebound by J. Dudley,,51,45
2,3:16.0,J. Harris misses 2-pt jump shot from 3 ft (block by J. Embiid),,51,45
2,3:16.0,Offensive rebound by Team,,51,45
2,3:06.0,E. Davis misses 2-pt layup from 2 ft,,51,45
2,3:04.0,,Defensive rebound by B. Simmons,51,45
2,3:02.0,,Personal take foul by J. Dudley (drawn by B. Simmons),51,45
2,3:02.0,R. Hollis-Jefferson enters the game for J. Dudley,,51,45
2,2:54.0,,J. Embiid makes 2-pt layup from 1 ft (assist by B. Simmons),51,47
2,2:46.0,Turnover by R. Hollis-Jefferson (bad pass; steal by J. Embiid),,51,47
2,2:40.0,,B. Simmons makes 2-pt dunk at rim (assist by T. McConnell),51,49
2,2:26.0,S. Dinwiddie makes 2-pt layup from 3 ft,,53,49
2,2:15.0,,Turnover by J. Embiid (lost ball; steal by R. Hollis-Jefferson),53,49
2,2:06.0,Shooting foul by T. McConnell (drawn by E. Davis),,53,49
2,2:06.0,E. Davis makes free throw 1 of 2,,54,49
2,2:06.0,E. Davis misses free throw 2 of 2,,54,49
2,2:03.0,,Defensive rebound by J. Embiid,54,49
2,1:53.0,,B. Simmons misses 2-pt jump shot from 9 ft,54,49
2,1:50.0,,Offensive rebound by J. Embiid,54,49
2,1:43.0,,J. Embiid makes 2-pt hook shot from 5 ft,54,51
2,1:43.0,,Shooting foul by E. Davis (drawn by J. Embiid),54,51
2,1:43.0,,J. Embiid misses free throw 1 of 1,54,51
2,1:43.0,Defensive rebound by R. Hollis-Jefferson,,54,51
2,1:24.0,S. Dinwiddie makes 3-pt jump shot from 25 ft,,57,51
2,1:09.0,,J. Redick misses 3-pt jump shot from 23 ft,57,51
2,1:05.0,Defensive rebound by E. Davis,,57,51
2,0:59.0,S. Dinwiddie misses 3-pt jump shot from 26 ft,,57,51
2,0:57.0,,Defensive rebound by J. Embiid,57,51
2,0:47.0,,J. Embiid misses 2-pt hook shot from 6 ft,57,51
2,0:46.0,,Offensive rebound by J. Embiid,57,51
2,0:45.0,,J. Embiid makes 2-pt layup from 3 ft,57,53
2,0:35.0,S. Dinwiddie misses 2-pt jump shot from 16 ft,,57,53
2,0:33.0,,Defensive rebound by J. Embiid,57,53
2,0:28.0,,J. Embiid makes 3-pt jump shot from 25 ft (assist by L. Shamet),57,56
2,0:03.0,R. Hollis-Jefferson misses 2-pt jump shot from 9 ft (block by B. Simmons),,57,56
2,0:03.0,,Defensive rebound by J. Embiid,57,56
3,11:43.0,,Personal foul by A. Crabbe (drawn by J. Embiid),57,56
3,11:38.0,,Personal foul by J. Allen (drawn by J. Embiid),57,56
3,11:27.0,,W. Chandler misses 3-pt jump shot from 27 ft,57,56
3,11:23.0,Defensive rebound by A. Crabbe,,57,56
3,11:14.0,R. Hollis-Jefferson misses 2-pt jump shot from 8 ft,,57,56
3,11:11.0,,Defensive rebound by J. Embiid,57,56
3,11:04.0,,Personal foul by J. Harris (drawn by B. Simmons),57,56
3,11:00.0,,Personal foul by R. Hollis-Jefferson (drawn by B. Simmons),57,56
3,10:51.0,,Turnover by B. Simmons (lost ball; steal by R. Hollis-Jefferson),57,56
3,10:36.0,Turnover by D. Russell (bad pass; steal by B. Simmons),,57,56
3,10:34.0,,B. Simmons makes 2-pt dunk from 2 ft,57,58
3,10:19.0,J. Harris misses 3-pt jump shot from 25 ft,,57,58
3,10:17.0,Offensive rebound by A. Crabbe,,57,58
3,10:09.0,R. Hollis-Jefferson misses 2-pt jump shot from 6 ft,,57,58
3,10:06.0,,Defensive rebound by B. Simmons,57,58
3,9:56.0,,Turnover by J. Embiid (lost ball; steal by R. Hollis-Jefferson),57,58
3,9:49.0,Shooting foul by J. Embiid (drawn by J. Harris),,57,58
3,9:49.0,J. Harris makes free throw 1 of 2,,58,58
3,9:49.0,E. Davis enters the game for J. Allen,,58,58
3,9:49.0,J. Harris makes free throw 2 of 2,,59,58
3,9:35.0,,W. Chandler makes 3-pt jump shot from 24 ft (assist by F. Korkmaz),59,61
3,9:15.0,Turnover by E. Davis (bad pass; steal by F. Korkmaz),,59,61
3,9:12.0,,F. Korkmaz makes 2-pt layup from 1 ft,59,63
3,9:02.0,Personal foul by W. Chandler (drawn by R. Hollis-Jefferson),,59,63
3,8:52.0,A. Crabbe misses 2-pt jump shot from 9 ft,,59,63
