QUARTER,TIME_REMAINING,WASHINGTON_ACTION,PORTLAND_ACTION,WASHINGTON_SCORE,PORTLAND_SCORE
1,11:48.0,,J. Layman makes 2-pt dunk at rim (assist by D. Lillard),0,2
1,11:31.0,O. Porter makes 2-pt jump shot from 17 ft,,2,2
1,11:20.0,,C. McCollum misses 2-pt jump shot from 3 ft,2,2
1,11:19.0,Defensive rebound by B. Beal,,2,2
1,11:08.0,M. Morris misses 3-pt jump shot from 24 ft,,2,2
1,11:06.0,,Defensive rebound by J. Nurkić,2,2
1,10:57.0,Violation by Team (kicked ball),,2,2
1,10:50.0,,C. McCollum misses 3-pt jump shot from 26 ft,2,2
1,10:47.0,,Offensive rebound by J. Nurkić,2,2
1,10:47.0,,J. Nurkić misses 2-pt layup from 1 ft,2,2
1,10:47.0,,Offensive rebound by Team,2,2
1,10:41.0,,Shooting foul by I. Mahinmi (drawn by D. Lillard),2,2
1,10:41.0,,D. Lillard makes free throw 1 of 2,2,3
1,10:41.0,,D. Lillard makes free throw 2 of 2,2,4
1,10:32.0,Personal foul by J. Layman (drawn by B. Beal),,2,4
1,10:24.0,Def 3 sec tech foul by Team,,2,4
1,10:24.0,B. Beal misses technical free throw,,2,4
1,10:24.0,Offensive rebound by Team,,2,4
1,10:20.0,B. Beal misses 2-pt jump shot from 20 ft,,2,4
1,10:17.0,Offensive rebound by M. Morris,,2,4
1,10:11.0,J. Wall misses 2-pt jump shot from 15 ft,,2,4
1,10:07.0,,Defensive rebound by A. Aminu,2,4
1,10:00.0,,A. Aminu misses 3-pt jump shot from 23 ft,2,4
1,9:58.0,Defensive rebound by M. Morris,,2,4
1,9:51.0,B. Beal makes 2-pt jump shot from 15 ft,,4,4
1,9:25.0,,C. McCollum misses 2-pt jump shot from 10 ft,4,4
1,9:23.0,Defensive rebound by B. Beal,,4,4
1,9:12.0,M. Morris makes 3-pt jump shot from 25 ft (assist by J. Wall),,7,4
1,8:54.0,,J. Nurkić makes 2-pt hook shot from 7 ft (assist by D. Lillard),7,6
1,8:35.0,I. Mahinmi misses 3-pt jump shot from 22 ft,,7,6
1,8:33.0,,Defensive rebound by A. Aminu,7,6
1,8:28.0,,J. Layman makes 2-pt dunk at rim (assist by J. Nurkić),7,8
1,8:11.0,M. Morris makes 3-pt jump shot from 24 ft (assist by I. Mahinmi),,10,8
1,8:00.0,,Shooting foul by I. Mahinmi (drawn by D. Lillard),10,8
1,8:00.0,,D. Lillard makes free throw 1 of 2,10,9
1,8:00.0,J. Smith enters the game for I. Mahinmi,,10,9
1,8:00.0,,D. Lillard misses free throw 2 of 2,10,9
1,7:57.0,,Offensive rebound by J. Nurkić,10,9
1,7:53.0,,A. Aminu makes 2-pt layup from 1 ft (assist by J. Nurkić),10,11
1,7:41.0,B. Beal makes 2-pt layup from 1 ft,,12,11
1,7:25.0,,C. McCollum misses 3-pt jump shot from 25 ft,12,11
1,7:24.0,Defensive rebound by O. Porter,,12,11
1,7:19.0,Turnover by J. Wall (traveling),,12,11
1,7:04.0,,Turnover by D. Lillard (bad pass),12,11
1,6:52.0,B. Beal misses 2-pt jump shot from 16 ft,,12,11
1,6:49.0,,Defensive rebound by J. Nurkić,12,11
1,6:41.0,,Turnover by J. Layman (out of bounds lost ball),12,11
1,6:41.0,,Portland full timeout,12,11
1,6:30.0,O. Porter misses 3-pt jump shot from 24 ft,,12,11
1,6:26.0,Offensive rebound by M. Morris,,12,11
1,6:24.0,Turnover by M. Morris (bad pass; steal by D. Lillard),,12,11
1,6:20.0,,Turnover by D. Lillard (bad pass; steal by O. Porter),12,11
1,6:16.0,M. Morris makes 2-pt dunk from 1 ft (assist by B. Beal),,14,11
1,5:50.0,,J. Nurkić makes 2-pt hook shot from 3 ft,14,13
1,5:38.0,J. Wall makes 2-pt layup from 2 ft,,16,13
1,5:25.0,,C. McCollum misses 2-pt layup from 1 ft,16,13
1,5:25.0,,Offensive rebound by Team,16,13
1,5:25.0,,E. Turner enters the game for J. Layman,16,13
1,5:20.0,,A. Aminu makes 2-pt dunk at rim,16,15
