QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MILWAUKEE_ACTION,BROOKLYN_SCORE,MILWAUKEE_SCORE
1,11:41.0,,B. Lopez misses 3-pt jump shot from 27 ft,0,0
1,11:37.0,Defensive rebound by S. Dinwiddie,,0,0
1,11:25.0,J. Harris makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie),,3,0
1,11:16.0,,B. Lopez makes 2-pt jump shot from 7 ft,3,2
1,11:16.0,,Shooting foul by S. Dinwiddie (drawn by B. Lopez),3,2
1,11:16.0,,B. Lopez makes free throw 1 of 1,3,3
1,11:03.0,J. Allen makes 2-pt hook shot from 2 ft (assist by S. Dinwiddie),,5,3
1,10:54.0,,B. Lopez misses 3-pt jump shot from 26 ft,5,3
1,10:51.0,Defensive rebound by J. Harris,,5,3
1,10:37.0,S. Dinwiddie makes 3-pt jump shot from 24 ft (assist by R. Hollis-Jefferson),,8,3
1,10:17.0,,B. Lopez misses 2-pt hook shot from 10 ft,8,3
1,10:14.0,Defensive rebound by R. Hollis-Jefferson,,8,3
1,10:08.0,Brooklyn full timeout,,8,3
1,10:03.0,Shooting foul by K. Middleton (drawn by R. Kurucs),,8,3
1,10:03.0,R. Kurucs makes free throw 1 of 2,,9,3
1,10:03.0,R. Kurucs makes free throw 2 of 2,,10,3
1,9:45.0,,M. Brogdon makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),10,6
1,9:28.0,R. Kurucs misses 3-pt jump shot from 26 ft,,10,6
1,9:25.0,,Defensive rebound by M. Brogdon,10,6
1,9:19.0,,G. Antetokounmpo misses 2-pt dunk from 4 ft (block by J. Allen),10,6
1,9:15.0,Defensive rebound by S. Dinwiddie,,10,6
1,9:10.0,S. Dinwiddie makes 3-pt jump shot from 28 ft,,13,6
1,9:01.0,,Personal foul by R. Hollis-Jefferson (drawn by G. Antetokounmpo),13,6
1,9:01.0,J. Dudley enters the game for R. Hollis-Jefferson,,13,6
1,8:51.0,,Turnover by M. Brogdon (out of bounds lost ball),13,6
1,8:37.0,Turnover by R. Kurucs (traveling),,13,6
1,8:26.0,,B. Lopez makes 3-pt jump shot from 27 ft (assist by E. Bledsoe),13,9
1,8:14.0,Turnover by R. Kurucs (traveling),,13,9
1,8:10.0,,Turnover by E. Bledsoe (bad pass),13,9
1,8:00.0,J. Harris misses 2-pt layup from 2 ft,,13,9
1,8:00.0,,Defensive rebound by G. Antetokounmpo,13,9
1,7:54.0,,G. Antetokounmpo makes 2-pt dunk at rim,13,11
1,7:40.0,Turnover by J. Dudley (bad pass; steal by G. Antetokounmpo),,13,11
1,7:35.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft,13,13
1,7:35.0,Brooklyn full timeout,,13,13
1,7:35.0,,S. Brown enters the game for M. Brogdon,13,13
1,7:19.0,Personal foul by E. Bledsoe (drawn by S. Dinwiddie),,13,13
1,7:10.0,J. Harris makes 2-pt layup from 2 ft (assist by R. Kurucs),,15,13
1,7:00.0,,K. Middleton misses 3-pt jump shot from 27 ft,15,13
1,6:57.0,Defensive rebound by J. Allen,,15,13
