QUARTER,TIME_REMAINING,BROOKLYN_ACTION,PHILADELPHIA_ACTION,BROOKLYN_SCORE,PHILADELPHIA_SCORE
1,11:54.0,,Turnover by J. Redick (bad pass; steal by D. Russell),0,0
1,11:51.0,D. Russell makes 2-pt layup from 1 ft,,2,0
1,11:38.0,,J. Butler makes 3-pt jump shot from 27 ft (assist by B. Simmons),2,3
1,11:22.0,J. Harris makes 2-pt layup from 2 ft (assist by D. Russell),,4,3
1,11:11.0,,J. Embiid misses 2-pt dunk from 7 ft,4,3
1,11:11.0,,Offensive rebound by J. Embiid,4,3
1,11:11.0,,J. Embiid makes 2-pt layup from 1 ft,4,5
1,11:11.0,,Violation by Team (delay of game),4,5
1,10:57.0,D. Russell misses 2-pt jump shot from 12 ft,,4,5
1,10:54.0,,Defensive rebound by J. Embiid,4,5
1,10:50.0,,Shooting foul by D. Carroll (drawn by B. Simmons),4,5
1,10:50.0,,B. Simmons misses free throw 1 of 2,4,5
1,10:50.0,,Offensive rebound by Team,4,5
1,10:50.0,,B. Simmons misses free throw 2 of 2,4,5
1,10:48.0,Defensive rebound by J. Allen,,4,5
1,10:33.0,J. Allen makes 2-pt dunk from 1 ft (assist by R. Kurucs),,6,5
1,10:23.0,,B. Simmons makes 2-pt dunk from 1 ft (assist by J. Embiid),6,7
1,10:12.0,D. Carroll misses 3-pt jump shot from 26 ft,,6,7
1,10:10.0,Offensive rebound by J. Allen,,6,7
1,10:09.0,J. Allen misses 2-pt layup from 1 ft,,6,7
1,10:07.0,,Defensive rebound by J. Butler,6,7
1,10:01.0,,J. Embiid makes 3-pt jump shot from 26 ft (assist by T. Harris),6,10
1,9:43.0,J. Harris makes 3-pt jump shot from 27 ft (assist by D. Russell),,9,10
1,9:25.0,,J. Butler misses 2-pt jump shot from 12 ft,9,10
1,9:23.0,,Offensive rebound by J. Embiid,9,10
1,9:22.0,,J. Embiid misses 2-pt hook shot from 2 ft,9,10
1,9:20.0,Defensive rebound by J. Harris,,9,10
1,9:10.0,D. Russell misses 2-pt jump shot from 16 ft,,9,10
1,9:07.0,,Defensive rebound by J. Butler,9,10
1,9:00.0,,J. Embiid makes 3-pt jump shot from 26 ft,9,13
1,8:49.0,R. Kurucs misses 2-pt layup from 1 ft,,9,13
1,8:47.0,,Defensive rebound by T. Harris,9,13
1,8:39.0,,J. Embiid makes 2-pt layup from 2 ft,9,15
1,8:26.0,J. Harris makes 2-pt layup from 1 ft (assist by D. Russell),,11,15
1,8:17.0,,T. Harris misses 3-pt jump shot from 26 ft,11,15
1,8:15.0,Defensive rebound by J. Allen,,11,15
1,8:09.0,D. Carroll misses 3-pt jump shot from 25 ft,,11,15
1,8:08.0,,Defensive rebound by J. Embiid,11,15
1,8:01.0,,B. Simmons misses 2-pt layup at rim,11,15
1,8:00.0,Defensive rebound by R. Kurucs,,11,15
1,7:46.0,D. Russell misses 2-pt jump shot from 21 ft,,11,15
1,7:44.0,Offensive rebound by D. Russell,,11,15
1,7:41.0,Turnover by D. Russell (bad pass; steal by J. Butler),,11,15
1,7:33.0,,Shooting foul by R. Kurucs (drawn by J. Embiid),11,15
1,7:33.0,,J. Embiid makes free throw 1 of 2,11,16
1,7:33.0,,J. Embiid misses free throw 2 of 2,11,16
1,7:31.0,Defensive rebound by R. Kurucs,,11,16
1,7:20.0,Turnover by J. Allen (lost ball; steal by J. Embiid),,11,16
1,7:10.0,,J. Embiid makes 3-pt jump shot from 23 ft,11,19
1,7:09.0,Brooklyn full timeout,,11,19
1,7:09.0,,B. Marjanović enters the game for J. Embiid,11,19
1,7:09.0,,T. McConnell enters the game for J. Redick,11,19
1,7:09.0,,M. Scott enters the game for B. Simmons,11,19
1,6:55.0,D. Russell misses 2-pt layup from 1 ft,,11,19
1,6:52.0,Offensive rebound by J. Allen,,11,19
1,6:47.0,Turnover by D. Carroll (lost ball; steal by J. Butler),,11,19
1,6:25.0,,T. Harris misses 2-pt jump shot from 12 ft,11,19
1,6:23.0,Defensive rebound by R. Kurucs,,11,19
1,6:19.0,D. Carroll misses 2-pt layup from 1 ft (block by J. Butler),,11,19
1,6:18.0,Offensive rebound by Team,,11,19
1,6:18.0,S. Dinwiddie enters the game for D. Carroll,,11,19
1,6:05.0,J. Harris misses 2-pt jump shot from 10 ft,,11,19
1,6:02.0,,Defensive rebound by T. Harris,11,19
1,5:44.0,,M. Scott makes 2-pt jump shot from 7 ft,11,21
1,5:23.0,D. Russell misses 2-pt layup from 2 ft,,11,21
1,5:20.0,Offensive rebound by D. Russell,,11,21
1,5:19.0,D. Russell misses 2-pt jump shot from 8 ft,,11,21
1,5:17.0,,Defensive rebound by J. Butler,11,21
1,5:13.0,,M. Scott makes 3-pt jump shot from 27 ft (assist by J. Butler),11,24
1,4:51.0,J. Allen makes 2-pt layup from 3 ft (assist by S. Dinwiddie),,13,24
1,4:25.0,,J. Butler misses 2-pt jump shot from 11 ft,13,24
1,4:23.0,Defensive rebound by S. Dinwiddie,,13,24
1,4:19.0,R. Kurucs misses 3-pt jump shot from 25 ft,,13,24
1,4:15.0,,Defensive rebound by B. Marjanović,13,24
1,4:08.0,,B. Marjanović makes 3-pt jump shot from 27 ft (assist by T. McConnell),13,27
1,3:47.0,D. Russell makes 2-pt jump shot from 7 ft (assist by J. Allen),,15,27
1,3:24.0,,T. McConnell misses 3-pt jump shot from 23 ft,15,27
1,3:21.0,,Offensive rebound by T. Harris,15,27
1,3:16.0,,Shooting foul by J. Allen (drawn by B. Marjanović),15,27
1,3:16.0,,B. Marjanović makes free throw 1 of 2,15,28
1,3:16.0,E. Davis enters the game for J. Allen,,15,28
1,3:16.0,J. Dudley enters the game for R. Kurucs,,15,28
1,3:16.0,C. LeVert enters the game for D. Russell,,15,28
1,3:16.0,,S. Milton enters the game for J. Butler,15,28
1,3:16.0,,J. Redick enters the game for T. Harris,15,28
1,3:16.0,,B. Simmons enters the game for T. McConnell,15,28
1,3:16.0,,B. Marjanović misses free throw 2 of 2,15,28
1,3:16.0,Defensive rebound by Team,,15,28
1,3:16.0,,J. Embiid enters the game for B. Marjanović,15,28
1,2:58.0,S. Dinwiddie makes 3-pt jump shot from 27 ft,,18,28
1,2:57.0,,Philadelphia full timeout,18,28
1,2:57.0,D. Carroll enters the game for J. Harris,,18,28
1,2:47.0,,J. Embiid misses 2-pt jump shot from 21 ft,18,28
1,2:41.0,Defensive rebound by E. Davis,,18,28
1,2:26.0,E. Davis makes 2-pt jump shot from 8 ft (assist by C. LeVert),,20,28
1,2:15.0,,J. Redick makes 2-pt jump shot from 23 ft,20,30
1,1:54.0,S. Dinwiddie makes 2-pt layup from 2 ft,,22,30
1,1:54.0,Shooting foul by J. Redick (drawn by S. Dinwiddie),,22,30
1,1:54.0,S. Dinwiddie makes free throw 1 of 1,,23,30
1,1:41.0,,M. Scott makes 3-pt jump shot from 26 ft (assist by J. Embiid),23,33
1,1:13.0,C. LeVert misses 2-pt jump shot from 8 ft,,23,33
1,1:09.0,,Defensive rebound by M. Scott,23,33
1,1:05.0,,J. Redick makes 3-pt jump shot from 27 ft (assist by B. Simmons),23,36
1,0:50.0,D. Carroll misses 3-pt jump shot from 24 ft,,23,36
1,0:48.0,,Defensive rebound by S. Milton,23,36
1,0:38.0,,Turnover by S. Milton (step out of bounds),23,36
1,0:28.0,S. Dinwiddie misses 3-pt jump shot from 26 ft,,23,36
1,0:27.0,,Defensive rebound by Team,23,36
