QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,INDIANA_ACTION,CHARLOTTE_SCORE,INDIANA_SCORE
1,11:35.0,,W. Matthews misses 2-pt jump shot from 11 ft,0,0
1,11:29.0,Defensive rebound by N. Batum,,0,0
1,11:12.0,C. Zeller makes 2-pt jump shot from 3 ft (assist by N. Batum),,2,0
1,10:56.0,,T. Young makes 2-pt hook shot from 5 ft (assist by D. Collison),2,2
1,10:40.0,,Violation by Team (kicked ball),2,2
1,10:34.0,M. Williams makes 3-pt jump shot from 27 ft (assist by N. Batum),,5,2
1,10:18.0,,B. Bogdanović misses 2-pt layup from 3 ft (block by C. Zeller),5,2
1,10:18.0,,Offensive rebound by Team,5,2
1,10:09.0,,M. Turner misses 2-pt jump shot from 9 ft,5,2
1,10:07.0,Defensive rebound by C. Zeller,,5,2
1,10:00.0,J. Lamb misses 3-pt jump shot from 27 ft,,5,2
1,9:57.0,Offensive rebound by C. Zeller,,5,2
1,9:54.0,K. Walker makes 2-pt layup from 1 ft (assist by C. Zeller),,7,2
1,9:38.0,,B. Bogdanović misses 2-pt jump shot from 7 ft,7,2
1,9:36.0,Defensive rebound by M. Williams,,7,2
1,9:26.0,K. Walker misses 3-pt jump shot from 25 ft,,7,2
1,9:23.0,Offensive rebound by M. Williams,,7,2
1,9:14.0,J. Lamb misses 2-pt jump shot from 7 ft,,7,2
1,9:12.0,Offensive rebound by J. Lamb,,7,2
1,8:58.0,K. Walker misses 2-pt jump shot from 15 ft,,7,2
1,8:54.0,,Defensive rebound by T. Young,7,2
1,8:36.0,,D. Collison makes 2-pt jump shot from 19 ft,7,4
1,8:18.0,J. Lamb makes 2-pt jump shot from 5 ft,,9,4
1,8:18.0,Shooting foul by W. Matthews (drawn by J. Lamb),,9,4
1,8:18.0,J. Lamb makes free throw 1 of 1,,10,4
1,7:59.0,,Turnover by D. Collison (bad pass),10,4
1,7:48.0,K. Walker misses 2-pt jump shot from 17 ft,,10,4
1,7:45.0,,Defensive rebound by W. Matthews,10,4
1,7:34.0,,T. Young makes 2-pt layup from 2 ft (assist by D. Collison),10,6
1,7:14.0,N. Batum misses 3-pt jump shot from 24 ft,,10,6
1,7:13.0,,Defensive rebound by Team,10,6
1,6:57.0,,D. Collison makes 2-pt jump shot from 17 ft,10,8
1,6:37.0,M. Williams misses 3-pt jump shot from 27 ft,,10,8
1,6:34.0,,Defensive rebound by M. Turner,10,8
1,6:23.0,,Shooting foul by M. Williams (drawn by M. Turner),10,8
1,6:23.0,,Indiana full timeout,10,8
1,6:23.0,M. Bridges enters the game for N. Batum,,10,8
