QUARTER,TIME_REMAINING,ORLANDO_ACTION,TORONTO_ACTION,ORLANDO_SCORE,TORONTO_SCORE
1,11:46.0,N. Vučević makes 2-pt hook shot from 1 ft (assist by A. Gordon),,2,0
1,11:29.0,,M. Gasol misses 2-pt layup from 2 ft,2,0
1,11:26.0,Defensive rebound by N. Vučević,,2,0
1,11:18.0,D. Augustin makes 3-pt jump shot from 25 ft (assist by E. Fournier),,5,0
1,11:00.0,,K. Lowry misses 3-pt jump shot from 26 ft,5,0
1,10:57.0,Defensive rebound by N. Vučević,,5,0
1,10:45.0,A. Gordon makes 2-pt dunk from 1 ft (assist by J. Isaac),,7,0
1,10:22.0,,P. Siakam misses 3-pt jump shot from 26 ft,7,0
1,10:18.0,Defensive rebound by A. Gordon,,7,0
1,10:11.0,Turnover by D. Augustin (bad pass; steal by K. Lowry),,7,0
1,10:00.0,,D. Green makes 2-pt jump shot from 8 ft (assist by K. Leonard),7,2
1,9:50.0,N. Vučević misses 2-pt hook shot from 7 ft,,7,2
1,9:47.0,,Defensive rebound by M. Gasol,7,2
1,9:43.0,,D. Green makes 3-pt jump shot from 25 ft (assist by K. Lowry),7,5
1,9:27.0,J. Isaac makes 3-pt jump shot from 23 ft (assist by N. Vučević),,10,5
1,9:11.0,,Turnover by P. Siakam (lost ball; steal by J. Isaac),10,5
1,9:05.0,E. Fournier makes 2-pt layup from 1 ft (assist by D. Augustin),,12,5
1,8:54.0,,K. Leonard misses 2-pt jump shot from 18 ft (block by A. Gordon),12,5
1,8:53.0,,Offensive rebound by Team,12,5
1,8:51.0,,M. Gasol makes 3-pt jump shot from 26 ft (assist by K. Lowry),12,8
1,8:31.0,Turnover by N. Vučević (lost ball; steal by K. Lowry),,12,8
1,8:21.0,,M. Gasol makes 2-pt jump shot from 9 ft (assist by K. Lowry),12,10
1,8:03.0,A. Gordon makes 2-pt jump shot from 10 ft (assist by N. Vučević),,14,10
1,7:55.0,,P. Siakam misses 2-pt jump shot from 9 ft (block by J. Isaac),14,10
1,7:51.0,Defensive rebound by E. Fournier,,14,10
1,7:49.0,N. Vučević misses 3-pt jump shot from 25 ft,,14,10
1,7:49.0,,Defensive rebound by K. Lowry,14,10
1,7:38.0,,P. Siakam misses 2-pt layup from 5 ft,14,10
1,7:35.0,Defensive rebound by N. Vučević,,14,10
1,7:31.0,J. Isaac makes 3-pt jump shot from 24 ft (assist by D. Augustin),,17,10
1,7:12.0,,D. Green makes 2-pt jump shot from 17 ft (assist by K. Lowry),17,12
1,6:54.0,D. Augustin misses 2-pt hook shot from 6 ft,,17,12
1,6:52.0,Offensive rebound by N. Vučević,,17,12
1,6:47.0,E. Fournier misses 3-pt jump shot from 25 ft,,17,12
1,6:43.0,Offensive rebound by N. Vučević,,17,12
1,6:42.0,N. Vučević makes 2-pt layup from 1 ft,,19,12
1,6:28.0,,M. Gasol misses 2-pt layup from 2 ft (block by A. Gordon),19,12
1,6:26.0,Defensive rebound by D. Augustin,,19,12
1,6:25.0,E. Fournier makes 2-pt dunk from 1 ft (assist by D. Augustin),,21,12
1,6:25.0,,Toronto full timeout,21,12
1,6:15.0,,D. Green makes 3-pt jump shot from 26 ft (assist by K. Leonard),21,15
1,5:57.0,E. Fournier makes 3-pt jump shot from 25 ft (assist by N. Vučević),,24,15
1,5:57.0,W. Iwundu enters the game for J. Isaac,,24,15
1,5:43.0,,D. Green makes 3-pt jump shot from 26 ft (assist by K. Lowry),24,18
1,5:21.0,Shooting foul by M. Gasol (drawn by N. Vučević),,24,18
1,5:21.0,N. Vučević makes free throw 1 of 2,,25,18
1,5:21.0,N. Vučević misses free throw 2 of 2,,25,18
1,5:19.0,,Defensive rebound by K. Leonard,25,18
1,5:07.0,,D. Green misses 3-pt jump shot from 23 ft,25,18
1,5:02.0,Defensive rebound by D. Augustin,,25,18
1,5:01.0,Personal foul by D. Green (drawn by D. Augustin),,25,18
1,5:01.0,T. Ross enters the game for E. Fournier,,25,18
1,4:48.0,W. Iwundu makes 2-pt jump shot from 20 ft (assist by A. Gordon),,27,18
1,4:18.0,,K. Lowry makes 3-pt jump shot from 24 ft (assist by K. Leonard),27,21
1,3:49.0,W. Iwundu makes 3-pt jump shot from 25 ft (assist by A. Gordon),,30,21
1,3:37.0,,K. Leonard makes 2-pt layup from 1 ft,30,23
1,3:21.0,D. Augustin makes 2-pt jump shot from 15 ft,,32,23
1,3:07.0,,Def 3 sec tech foul by Team,32,23
1,3:07.0,,K. Leonard makes technical free throw,32,24
1,3:07.0,M. Carter-Williams enters the game for D. Augustin,,32,24
1,3:07.0,,S. Ibaka enters the game for K. Lowry,32,24
1,3:07.0,,F. VanVleet enters the game for P. Siakam,32,24
1,3:00.0,,D. Green makes 3-pt jump shot from 24 ft (assist by K. Leonard),32,27
1,2:43.0,M. Carter-Williams misses 2-pt layup from 4 ft (block by D. Green),,32,27
1,2:43.0,Offensive rebound by Team,,32,27
1,2:43.0,Orlando full timeout,,32,27
1,2:43.0,K. Birch enters the game for A. Gordon,,32,27
1,2:43.0,J. Isaac enters the game for N. Vučević,,32,27
1,2:43.0,,N. Powell enters the game for K. Leonard,32,27
1,2:33.0,T. Ross misses 3-pt jump shot from 26 ft,,32,27
