QUARTER,TIME_REMAINING,DETROIT_ACTION,PHILADELPHIA_ACTION,DETROIT_SCORE,PHILADELPHIA_SCORE
1,11:44.0,L. Kennard makes 3-pt jump shot from 27 ft (assist by A. Drummond),,3,0
1,11:30.0,,Turnover by J. Embiid (lost ball; steal by R. Jackson),3,0
1,11:21.0,Turnover by L. Kennard (bad pass),,3,0
1,11:02.0,,J. Butler misses 3-pt jump shot from 25 ft,3,0
1,10:58.0,Defensive rebound by A. Drummond,,3,0
1,10:46.0,L. Kennard makes 2-pt layup from 1 ft (assist by A. Drummond),,5,0
1,10:27.0,,Shooting foul by R. Jackson (drawn by J. Redick),5,0
1,10:27.0,,J. Redick makes free throw 1 of 3,5,1
1,10:27.0,,J. Redick makes free throw 2 of 3,5,2
1,10:27.0,,J. Redick makes free throw 3 of 3,5,3
1,10:14.0,J. Leuer makes 2-pt jump shot from 8 ft (assist by R. Jackson),,7,3
1,9:58.0,,B. Simmons makes 2-pt dunk from 2 ft,7,5
1,9:49.0,A. Drummond makes 2-pt layup from 3 ft (assist by R. Jackson),,9,5
1,9:30.0,,J. Embiid makes 3-pt jump shot from 26 ft (assist by W. Chandler),9,8
1,9:16.0,R. Jackson makes 2-pt jump shot from 9 ft,,11,8
1,9:02.0,,W. Chandler misses 3-pt jump shot from 26 ft,11,8
1,9:00.0,Defensive rebound by A. Drummond,,11,8
1,8:50.0,L. Kennard misses 2-pt layup from 1 ft,,11,8
1,8:46.0,,Defensive rebound by J. Butler,11,8
1,8:42.0,,B. Simmons makes 2-pt layup from 3 ft,11,10
1,8:42.0,,Shooting foul by J. Leuer (drawn by B. Simmons),11,10
1,8:42.0,,B. Simmons makes free throw 1 of 1,11,11
1,8:20.0,B. Brown misses 2-pt layup from 3 ft,,11,11
1,8:20.0,Offensive rebound by Team,,11,11
1,8:20.0,,Loose ball foul by J. Butler (drawn by A. Drummond),11,11
1,8:07.0,B. Brown misses 3-pt jump shot from 28 ft,,11,11
1,8:04.0,,Defensive rebound by J. Embiid,11,11
1,8:00.0,,B. Simmons makes 2-pt dunk from 1 ft,11,13
1,7:47.0,Turnover by R. Jackson (bad pass; steal by B. Simmons),,11,13
1,7:44.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by J. Embiid),11,16
1,7:37.0,Detroit full timeout,,11,16
1,7:35.0,R. Jackson misses 3-pt jump shot from 24 ft,,11,16
1,7:31.0,,Defensive rebound by B. Simmons,11,16
1,7:26.0,,B. Simmons makes 2-pt hook shot from 9 ft,11,18
1,7:08.0,R. Jackson misses 2-pt layup from 2 ft,,11,18
1,7:06.0,Offensive rebound by A. Drummond,,11,18
1,7:04.0,A. Drummond misses 2-pt layup from 5 ft,,11,18
1,7:02.0,,Defensive rebound by B. Simmons,11,18
1,6:56.0,,W. Chandler makes 2-pt jump shot from 4 ft (assist by J. Redick),11,20
1,6:33.0,L. Kennard makes 2-pt layup from 1 ft,,13,20
1,6:15.0,,Def 3 sec tech foul by Team,13,20
1,6:15.0,,J. Redick makes technical free throw,13,21
1,6:15.0,,T. McConnell enters the game for W. Chandler,13,21
1,6:15.0,,M. Muscala enters the game for J. Embiid,13,21
1,6:15.0,,L. Shamet enters the game for J. Redick,13,21
1,6:05.0,,J. Butler misses 2-pt jump shot from 13 ft,13,21
1,6:01.0,,Offensive rebound by B. Simmons,13,21
1,5:58.0,,B. Simmons makes 2-pt layup from 1 ft,13,23
1,5:43.0,A. Drummond makes 2-pt layup from 1 ft (assist by R. Jackson),,15,23
1,5:28.0,,L. Shamet misses 3-pt jump shot from 26 ft,15,23
1,5:25.0,,Offensive rebound by J. Butler,15,23
1,5:22.0,,M. Muscala makes 2-pt layup from 3 ft (assist by B. Simmons),15,25
1,5:08.0,R. Jackson misses 3-pt jump shot from 25 ft,,15,25
1,5:06.0,,Defensive rebound by J. Butler,15,25
1,4:49.0,,L. Shamet misses 2-pt jump shot from 5 ft,15,25
1,4:47.0,Defensive rebound by B. Brown,,15,25
1,4:37.0,J. Leuer makes 2-pt layup from 1 ft (assist by B. Brown),,17,25
1,4:27.0,,M. Muscala makes 3-pt jump shot from 26 ft (assist by J. Butler),17,28
1,4:11.0,A. Drummond makes 2-pt dunk from 1 ft (assist by B. Brown),,19,28
1,4:10.0,,Philadelphia full timeout,19,28
1,4:10.0,J. Calderón enters the game for A. Drummond,,19,28
1,4:10.0,H. Ellenson enters the game for R. Jackson,,19,28
1,4:10.0,Z. Pachulia enters the game for J. Leuer,,19,28
1,3:56.0,,M. Muscala makes 3-pt jump shot from 26 ft (assist by J. Butler),19,31
1,3:56.0,,Shooting foul by Z. Pachulia (drawn by M. Muscala),19,31
1,3:56.0,,M. Muscala makes free throw 1 of 1,19,32
1,3:44.0,L. Kennard makes 2-pt jump shot from 16 ft (assist by Z. Pachulia),,21,32
1,3:36.0,,Offensive foul by M. Muscala (drawn by Z. Pachulia),21,32
1,3:36.0,,Turnover by M. Muscala (offensive foul),21,32
1,3:19.0,B. Brown misses 2-pt jump shot from 3 ft,,21,32
1,3:17.0,,Defensive rebound by T. McConnell,21,32
1,3:05.0,,J. Butler misses 2-pt jump shot from 10 ft,21,32
1,3:03.0,Defensive rebound by L. Kennard,,21,32
1,2:53.0,L. Kennard misses 2-pt jump shot from 15 ft,,21,32
1,2:49.0,,Defensive rebound by J. Butler,21,32
1,2:32.0,,T. McConnell misses 2-pt jump shot from 11 ft,21,32
1,2:29.0,Defensive rebound by L. Kennard,,21,32
1,2:29.0,L. Galloway enters the game for B. Brown,,21,32
1,2:29.0,G. Robinson enters the game for L. Kennard,,21,32
1,2:29.0,,W. Chandler enters the game for J. Butler,21,32
1,2:29.0,,J. Embiid enters the game for M. Muscala,21,32
1,2:29.0,,F. Korkmaz enters the game for L. Shamet,21,32
1,2:29.0,,J. Redick enters the game for B. Simmons,21,32
1,2:12.0,J. Calderón makes 2-pt jump shot from 16 ft,,23,32
1,1:55.0,,J. Redick misses 2-pt jump shot from 6 ft,23,32
1,1:53.0,Defensive rebound by H. Ellenson,,23,32
1,1:47.0,H. Ellenson makes 2-pt dunk at rim (assist by Z. Pachulia),,25,32
1,1:35.0,,J. Embiid misses 2-pt layup from 2 ft,25,32
1,1:33.0,Defensive rebound by H. Ellenson,,25,32
1,1:27.0,Z. Pachulia makes 2-pt layup from 2 ft (assist by G. Robinson),,27,32
1,1:10.0,,F. Korkmaz makes 3-pt jump shot from 25 ft (assist by T. McConnell),27,35
1,0:55.0,J. Calderón misses 2-pt jump shot from 15 ft,,27,35
1,0:53.0,,Defensive rebound by J. Embiid,27,35
1,0:45.0,,J. Embiid misses 3-pt jump shot from 26 ft,27,35
1,0:42.0,Defensive rebound by H. Ellenson,,27,35
1,0:32.0,Turnover by J. Calderón (bad pass; steal by F. Korkmaz),,27,35
1,0:13.0,,T. McConnell makes 3-pt jump shot from 26 ft (assist by W. Chandler),27,38
1,0:01.0,Shooting foul by T. McConnell (drawn by Z. Pachulia),,27,38
1,0:01.0,,Technical foul by T. McConnell,27,38
1,0:01.0,J. Calderón misses technical free throw,,27,38
1,0:01.0,Offensive rebound by Team,,27,38
1,0:01.0,Z. Pachulia makes free throw 1 of 2,,28,38
1,0:01.0,Z. Pachulia makes free throw 2 of 2,,29,38
1,0:01.0,,Turnover by T. McConnell (bad pass; steal by Z. Pachulia),29,38
1,0:00.0,Z. Pachulia misses 3-pt jump shot from 60 ft,,29,38
1,0:00.0,Offensive rebound by Team,,29,38
2,11:49.0,,J. Embiid misses 3-pt jump shot from 26 ft,29,38
2,11:46.0,Defensive rebound by H. Ellenson,,29,38
2,11:32.0,H. Ellenson misses 2-pt jump shot from 6 ft,,29,38
2,11:27.0,Offensive rebound by Z. Pachulia,,29,38
2,11:27.0,Z. Pachulia misses 2-pt layup from 1 ft,,29,38
2,11:26.0,Offensive rebound by Z. Pachulia,,29,38
2,11:23.0,Personal foul by W. Chandler (drawn by Z. Pachulia),,29,38
2,11:09.0,G. Robinson misses 2-pt jump shot from 9 ft,,29,38
2,11:06.0,,Defensive rebound by W. Chandler,29,38
2,10:55.0,,W. Chandler misses 2-pt jump shot from 12 ft,29,38
2,10:54.0,,Offensive rebound by Team,29,38
2,10:54.0,Loose ball foul by Z. Pachulia (drawn by J. Embiid),,29,38
2,10:54.0,,M. Muscala enters the game for W. Chandler,29,38
2,10:47.0,,J. Embiid makes 2-pt layup from 2 ft (assist by M. Muscala),29,40
2,10:29.0,L. Galloway misses 2-pt jump shot from 15 ft,,29,40
2,10:26.0,,Defensive rebound by M. Muscala,29,40
2,10:15.0,,J. Embiid makes 2-pt dunk from 1 ft (assist by J. Redick),29,42
2,9:59.0,H. Ellenson misses 3-pt jump shot from 24 ft,,29,42
2,9:56.0,,Defensive rebound by F. Korkmaz,29,42
2,9:51.0,,J. Redick makes 2-pt jump shot from 12 ft (assist by T. McConnell),29,44
2,9:44.0,Detroit full timeout,,29,44
2,9:44.0,A. Drummond enters the game for J. Calderón,,29,44
2,9:44.0,R. Jackson enters the game for Z. Pachulia,,29,44
2,9:29.0,A. Drummond makes 2-pt dunk from 1 ft (assist by R. Jackson),,31,44
2,9:10.0,,F. Korkmaz misses 2-pt dunk from 6 ft (block by A. Drummond),31,44
2,9:06.0,,Offensive rebound by T. McConnell,31,44
2,9:05.0,,M. Muscala misses 3-pt jump shot from 27 ft,31,44
2,9:03.0,Defensive rebound by A. Drummond,,31,44
2,8:50.0,R. Jackson makes 2-pt jump shot from 13 ft,,33,44
2,8:32.0,,Shooting foul by R. Jackson (drawn by J. Embiid),33,44
2,8:32.0,,J. Embiid makes free throw 1 of 2,33,45
2,8:32.0,J. Leuer enters the game for H. Ellenson,,33,45
2,8:32.0,,L. Shamet enters the game for J. Redick,33,45
2,8:32.0,,J. Embiid misses free throw 2 of 2,33,45
2,8:29.0,Defensive rebound by A. Drummond,,33,45
2,8:21.0,G. Robinson misses 2-pt layup from 1 ft,,33,45
2,8:19.0,,Defensive rebound by M. Muscala,33,45
2,8:10.0,,T. McConnell misses 3-pt jump shot from 23 ft,33,45
2,8:06.0,,Offensive rebound by M. Muscala,33,45
2,7:59.0,,L. Shamet makes 3-pt jump shot from 27 ft (assist by M. Muscala),33,48
2,7:49.0,Detroit full timeout,,33,48
2,7:49.0,L. Kennard enters the game for G. Robinson,,33,48
2,7:49.0,,W. Chandler enters the game for J. Embiid,33,48
2,7:49.0,,B. Simmons enters the game for T. McConnell,33,48
2,7:36.0,L. Kennard misses 3-pt jump shot from 25 ft,,33,48
2,7:32.0,,Defensive rebound by F. Korkmaz,33,48
2,7:19.0,,Turnover by W. Chandler (step out of bounds),33,48
2,7:10.0,Personal foul by L. Shamet (drawn by R. Jackson),,33,48
2,7:03.0,Personal foul by F. Korkmaz (drawn by A. Drummond),,33,48
2,6:54.0,R. Jackson misses 2-pt layup from 3 ft,,33,48
2,6:54.0,,Defensive rebound by Team,33,48
2,6:43.0,,L. Shamet misses 3-pt jump shot from 27 ft,33,48
2,6:39.0,Defensive rebound by R. Jackson,,33,48
2,6:35.0,Turnover by J. Leuer (out of bounds lost ball),,33,48
2,6:25.0,,B. Simmons misses 2-pt hook shot from 6 ft,33,48
2,6:23.0,Defensive rebound by A. Drummond,,33,48
2,6:07.0,Turnover by L. Kennard (lost ball; steal by W. Chandler),,33,48
2,6:04.0,,Personal foul by J. Leuer (drawn by B. Simmons),33,48
2,5:58.0,,Shooting foul by L. Kennard (drawn by B. Simmons),33,48
2,5:58.0,,B. Simmons misses free throw 1 of 2,33,48
