QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,WASHINGTON_ACTION,CHARLOTTE_SCORE,WASHINGTON_SCORE
1,11:46.0,K. Walker misses 2-pt jump shot from 21 ft,,0,0
1,11:42.0,,Defensive rebound by T. Ariza,0,0
1,11:27.0,,Turnover by J. Green (bad pass; steal by M. Bridges),0,0
1,11:21.0,K. Walker makes 2-pt layup from 3 ft,,2,0
1,11:06.0,,B. Beal makes 2-pt jump shot from 1 ft (assist by T. Ariza),2,2
1,10:53.0,B. Biyombo makes 2-pt layup from 2 ft (assist by N. Batum),,4,2
1,10:31.0,,T. Satoranský misses 3-pt jump shot from 25 ft,4,2
1,10:27.0,Defensive rebound by M. Bridges,,4,2
1,10:16.0,M. Bridges makes 2-pt hook shot from 7 ft (assist by N. Batum),,6,2
1,10:10.0,,Turnover by T. Ariza (lost ball; steal by K. Walker),6,2
1,10:03.0,K. Walker makes 3-pt jump shot from 25 ft,,9,2
1,9:48.0,,J. Green makes 2-pt layup from 1 ft (assist by B. Beal),9,4
1,9:37.0,K. Walker misses 2-pt layup from 2 ft,,9,4
1,9:37.0,Offensive rebound by Team,,9,4
1,9:35.0,Turnover by N. Batum (bad pass; steal by B. Beal),,9,4
1,9:31.0,,T. Satoranský makes 2-pt layup from 1 ft (assist by B. Beal),9,6
1,9:07.0,M. Williams misses 3-pt jump shot from 25 ft,,9,6
1,9:06.0,,Defensive rebound by Team,9,6
1,8:54.0,,Shooting foul by M. Bridges (drawn by T. Satoranský),9,6
1,8:54.0,,T. Satoranský makes free throw 1 of 2,9,7
1,8:54.0,,T. Satoranský makes free throw 2 of 2,9,8
1,8:44.0,N. Batum misses 2-pt layup from 2 ft (block by T. Ariza),,9,8
1,8:42.0,Offensive rebound by N. Batum,,9,8
1,8:40.0,N. Batum misses 2-pt layup from 4 ft,,9,8
1,8:36.0,Offensive rebound by N. Batum,,9,8
1,8:33.0,N. Batum makes 2-pt layup at rim,,11,8
1,8:29.0,,J. Green makes 2-pt layup from 1 ft (assist by T. Satoranský),11,10
1,8:19.0,Turnover by K. Walker (bad pass; steal by T. Ariza),,11,10
1,8:16.0,,Shooting foul by M. Williams (drawn by T. Ariza),11,10
1,8:16.0,,T. Ariza makes free throw 1 of 2,11,11
1,8:16.0,,T. Ariza makes free throw 2 of 2,11,12
1,8:09.0,Offensive foul by N. Batum (drawn by B. Beal),,11,12
1,8:09.0,Turnover by N. Batum (offensive foul),,11,12
1,7:51.0,,Turnover by B. Portis (3 sec),11,12
1,7:39.0,K. Walker misses 2-pt jump shot from 18 ft,,11,12
1,7:36.0,,Defensive rebound by J. Green,11,12
1,7:32.0,,Turnover by B. Beal (bad pass; steal by M. Williams),11,12
1,7:26.0,K. Walker misses 2-pt layup from 2 ft,,11,12
1,7:25.0,Offensive rebound by B. Biyombo,,11,12
1,7:24.0,B. Biyombo makes 2-pt layup from 3 ft,,13,12
1,7:05.0,,Offensive foul by B. Portis (drawn by K. Walker),13,12
1,7:05.0,,Turnover by B. Portis (offensive foul),13,12
1,7:05.0,J. Lamb enters the game for M. Bridges,,13,12
1,6:53.0,J. Lamb makes 3-pt jump shot from 26 ft (assist by M. Williams),,16,12
1,6:37.0,,B. Beal makes 2-pt jump shot from 6 ft,16,14
