QUARTER,TIME_REMAINING,PHOENIX_ACTION,SAN ANTONIO_ACTION,PHOENIX_SCORE,SAN ANTONIO_SCORE
1,11:38.0,D. Booker makes 3-pt jump shot from 25 ft (assist by E. Okobo),,3,0
1,11:22.0,,D. White makes 2-pt jump shot from 18 ft,3,2
1,11:02.0,E. Okobo makes 2-pt layup from 3 ft,,5,2
1,10:50.0,,L. Aldridge misses 2-pt jump shot from 14 ft,5,2
1,10:48.0,Defensive rebound by M. Bridges,,5,2
1,10:42.0,Turnover by E. Okobo (bad pass; steal by D. Bertāns),,5,2
1,10:37.0,,D. White misses 2-pt layup from 2 ft,5,2
1,10:35.0,Defensive rebound by J. Jackson,,5,2
1,10:28.0,Turnover by M. Bridges (lost ball; steal by D. Bertāns),,5,2
1,10:22.0,,D. Bertāns makes 3-pt jump shot from 25 ft,5,5
1,10:05.0,Shooting foul by D. White (drawn by D. Booker),,5,5
1,10:05.0,D. Booker makes free throw 1 of 2,,6,5
1,10:05.0,D. Booker makes free throw 2 of 2,,7,5
1,9:48.0,,L. Aldridge misses 2-pt jump shot from 10 ft,7,5
1,9:46.0,Defensive rebound by E. Okobo,,7,5
1,9:31.0,E. Okobo misses 3-pt jump shot from 25 ft,,7,5
1,9:28.0,,Defensive rebound by R. Gay,7,5
1,9:21.0,,R. Gay misses 2-pt jump shot from 18 ft,7,5
1,9:18.0,Defensive rebound by R. Holmes,,7,5
1,9:14.0,D. Booker misses 3-pt jump shot from 26 ft,,7,5
1,9:12.0,,Defensive rebound by L. Aldridge,7,5
1,9:00.0,,Shooting foul by R. Holmes (drawn by L. Aldridge),7,5
1,9:00.0,,L. Aldridge misses free throw 1 of 2,7,5
1,9:00.0,,Offensive rebound by Team,7,5
1,9:00.0,,L. Aldridge makes free throw 2 of 2,7,6
1,8:42.0,D. Booker misses 3-pt jump shot from 27 ft,,7,6
1,8:42.0,,Defensive rebound by Team,7,6
1,8:21.0,,D. Bertāns makes 3-pt jump shot from 27 ft (assist by R. Gay),7,9
1,8:16.0,Turnover by D. Booker (bad pass),,7,9
1,8:07.0,,B. Forbes misses 3-pt jump shot from 26 ft,7,9
1,8:02.0,Defensive rebound by E. Okobo,,7,9
1,7:54.0,J. Jackson misses 2-pt layup from 3 ft,,7,9
1,7:53.0,,Defensive rebound by D. White,7,9
1,7:53.0,,Personal foul by E. Okobo (drawn by D. White),7,9
