QUARTER,TIME_REMAINING,UTAH_ACTION,PORTLAND_ACTION,UTAH_SCORE,PORTLAND_SCORE
1,11:42.0,,A. Aminu misses 3-pt jump shot from 25 ft,0,0
1,11:41.0,Defensive rebound by Team,,0,0
1,11:25.0,R. Rubio misses 2-pt jump shot from 14 ft (block by M. Harkless),,0,0
1,11:22.0,,Defensive rebound by A. Aminu,0,0
1,11:09.0,,Turnover by C. McCollum (lost ball; steal by D. Mitchell),0,0
1,10:49.0,J. Ingles misses 2-pt jump shot from 7 ft,,0,0
1,10:47.0,Offensive rebound by Team,,0,0
1,10:35.0,R. Rubio misses 2-pt jump shot from 21 ft,,0,0
1,10:31.0,Offensive rebound by D. Favors,,0,0
1,10:31.0,D. Favors misses 2-pt layup from 1 ft,,0,0
1,10:30.0,,Defensive rebound by A. Aminu,0,0
1,10:20.0,,C. McCollum misses 2-pt jump shot from 21 ft,0,0
1,10:16.0,,Offensive rebound by J. Nurkić,0,0
1,10:13.0,,J. Nurkić makes 2-pt hook shot from 2 ft (assist by C. McCollum),0,2
1,9:59.0,J. Ingles makes 2-pt layup from 2 ft,,2,2
1,9:45.0,,A. Aminu misses 2-pt layup from 1 ft,2,2
1,9:44.0,,Offensive rebound by A. Aminu,2,2
1,9:44.0,,Shooting foul by D. Favors (drawn by A. Aminu),2,2
1,9:44.0,,A. Aminu makes free throw 1 of 2,2,3
1,9:44.0,,A. Aminu makes free throw 2 of 2,2,4
1,9:26.0,R. Gobert misses 2-pt layup from 2 ft,,2,4
1,9:26.0,Offensive rebound by Team,,2,4
1,9:18.0,J. Ingles makes 3-pt jump shot from 25 ft (assist by D. Mitchell),,5,4
1,9:01.0,,J. Nurkić misses 2-pt hook shot from 4 ft,5,4
1,8:58.0,Defensive rebound by J. Ingles,,5,4
1,8:53.0,Personal foul by M. Harkless (drawn by J. Ingles),,5,4
1,8:50.0,,Violation by Team (kicked ball),5,4
1,8:38.0,Turnover by R. Rubio (bad pass),,5,4
1,8:25.0,,A. Aminu misses 3-pt jump shot from 24 ft,5,4
1,8:24.0,Defensive rebound by J. Ingles,,5,4
1,8:19.0,Personal foul by M. Harkless (drawn by J. Ingles),,5,4
1,8:19.0,,E. Turner enters the game for M. Harkless,5,4
1,8:13.0,Shooting foul by E. Turner (drawn by J. Ingles),,5,4
1,8:13.0,J. Ingles misses free throw 1 of 3,,5,4
1,8:13.0,Offensive rebound by Team,,5,4
1,8:13.0,J. Ingles misses free throw 2 of 3,,5,4
1,8:13.0,Offensive rebound by Team,,5,4
1,8:13.0,J. Ingles makes free throw 3 of 3,,6,4
1,8:01.0,,D. Lillard makes 3-pt jump shot from 25 ft (assist by E. Turner),6,7
1,7:50.0,Offensive foul by R. Gobert (drawn by E. Turner),,6,7
1,7:50.0,Turnover by R. Gobert (offensive foul),,6,7
1,7:50.0,J. Crowder enters the game for D. Favors,,6,7
1,7:38.0,,Shooting foul by R. Rubio (drawn by D. Lillard),6,7
1,7:38.0,,D. Lillard misses free throw 1 of 2,6,7
1,7:38.0,,Offensive rebound by Team,6,7
1,7:38.0,K. Korver enters the game for J. Ingles,,6,7
1,7:38.0,,D. Lillard makes free throw 2 of 2,6,8
1,7:23.0,D. Mitchell misses 2-pt jump shot from 11 ft (block by E. Turner),,6,8
1,7:22.0,,Defensive rebound by J. Nurkić,6,8
1,7:16.0,,E. Turner makes 2-pt jump shot from 15 ft,6,10
1,7:01.0,R. Gobert makes 2-pt hook shot from 5 ft (assist by R. Rubio),,8,10
1,6:53.0,,C. McCollum misses 2-pt layup from 2 ft,8,10
1,6:52.0,Defensive rebound by R. Gobert,,8,10
1,6:41.0,K. Korver makes 3-pt jump shot from 24 ft (assist by R. Rubio),,11,10
1,6:20.0,,C. McCollum misses 3-pt jump shot from 25 ft,11,10
1,6:18.0,Defensive rebound by R. Gobert,,11,10
1,6:09.0,Turnover by R. Rubio (bad pass; steal by J. Nurkić),,11,10
1,6:01.0,,Shooting foul by D. Mitchell (drawn by C. McCollum),11,10
1,6:01.0,,Portland full timeout,11,10
1,6:01.0,,C. McCollum makes free throw 1 of 2,11,11
1,6:01.0,,C. McCollum makes free throw 2 of 2,11,12
1,5:48.0,Personal foul by C. McCollum (drawn by K. Korver),,11,12
1,5:39.0,R. Rubio makes 3-pt jump shot from 25 ft (assist by R. Gobert),,14,12
1,5:14.0,,A. Aminu makes 3-pt jump shot from 23 ft (assist by D. Lillard),14,15
1,5:05.0,K. Korver makes 2-pt jump shot from 14 ft (assist by R. Rubio),,16,15
1,4:51.0,,E. Turner makes 2-pt jump shot from 14 ft,16,17
1,4:38.0,R. Rubio misses 2-pt layup from 2 ft,,16,17
