QUARTER,TIME_REMAINING,PHOENIX_ACTION,SACRAMENTO_ACTION,PHOENIX_SCORE,SACRAMENTO_SCORE
1,11:54.0,,B. Hield makes 3-pt jump shot from 25 ft,0,3
1,11:38.0,D. Ayton misses 2-pt dunk from 2 ft,,0,3
1,11:35.0,,Defensive rebound by D. Fox,0,3
1,11:34.0,,Personal foul by M. Bridges (drawn by D. Fox),0,3
1,11:15.0,,N. Bjelica misses 3-pt jump shot from 23 ft,0,3
1,11:12.0,Defensive rebound by D. Ayton,,0,3
1,11:00.0,D. Booker misses 2-pt jump shot from 7 ft,,0,3
1,10:56.0,,Defensive rebound by N. Bjelica,0,3
1,10:48.0,,H. Barnes makes 2-pt jump shot from 12 ft (assist by B. Hield),0,5
1,10:29.0,D. Ayton makes 2-pt hook shot from 3 ft (assist by D. Melton),,2,5
1,10:21.0,,Turnover by D. Fox (bad pass; steal by D. Ayton),2,5
1,10:15.0,D. Ayton misses 2-pt layup from 2 ft,,2,5
1,10:15.0,Offensive rebound by D. Ayton,,2,5
1,10:11.0,D. Ayton makes 2-pt layup from 2 ft,,4,5
1,10:05.0,,H. Barnes misses 2-pt jump shot from 9 ft,4,5
1,10:05.0,Defensive rebound by Team,,4,5
1,9:53.0,D. Bender makes 2-pt layup from 3 ft (assist by D. Booker),,6,5
1,9:39.0,,D. Fox misses 2-pt layup from 2 ft,6,5
1,9:36.0,Defensive rebound by D. Melton,,6,5
1,9:28.0,D. Booker makes 2-pt jump shot from 3 ft,,8,5
1,9:28.0,Shooting foul by B. Hield (drawn by D. Booker),,8,5
1,9:28.0,D. Booker makes free throw 1 of 1,,9,5
1,9:20.0,,B. Hield misses 3-pt jump shot from 25 ft,9,5
1,9:15.0,Defensive rebound by M. Bridges,,9,5
1,9:05.0,M. Bridges makes 2-pt jump shot from 20 ft (assist by D. Booker),,11,5
1,8:53.0,,B. Hield misses 2-pt layup from 5 ft (block by D. Melton),11,5
1,8:53.0,,Offensive rebound by Team,11,5
1,8:52.0,,Personal foul by D. Bender (drawn by N. Bjelica),11,5
1,8:36.0,,Turnover by D. Fox (bad pass; steal by D. Booker),11,5
1,8:32.0,D. Booker makes 2-pt layup from 2 ft,,13,5
1,8:32.0,,Sacramento full timeout,13,5
1,8:15.0,,Turnover by D. Fox (bad pass; steal by D. Melton),13,5
1,7:57.0,D. Booker makes 3-pt jump shot from 25 ft (assist by D. Bender),,16,5
1,7:43.0,,B. Hield misses 3-pt jump shot from 25 ft,16,5
1,7:40.0,Defensive rebound by D. Ayton,,16,5
1,7:36.0,D. Booker makes 3-pt jump shot from 28 ft (assist by D. Melton),,19,5
1,7:24.0,,N. Bjelica makes 3-pt jump shot from 27 ft (assist by D. Fox),19,8
1,7:04.0,D. Ayton makes 2-pt dunk from 2 ft (assist by D. Booker),,21,8
1,6:47.0,,Turnover by N. Bjelica (lost ball; steal by D. Bender),21,8
1,6:41.0,Turnover by D. Ayton (step out of bounds),,21,8
1,6:41.0,,M. Bagley enters the game for W. Cauley-Stein,21,8
1,6:30.0,,N. Bjelica makes 2-pt layup from 2 ft (assist by D. Fox),21,10
1,6:15.0,D. Bender misses 3-pt jump shot from 26 ft,,21,10
1,6:13.0,Offensive rebound by D. Ayton,,21,10
1,6:01.0,D. Booker makes 2-pt jump shot from 16 ft,,23,10
1,5:48.0,,M. Bagley makes 2-pt dunk from 1 ft (assist by D. Fox),23,12
1,5:31.0,Turnover by D. Ayton (out of bounds lost ball),,23,12
1,5:31.0,R. Holmes enters the game for M. Bridges,,23,12
1,5:31.0,E. Okobo enters the game for D. Melton,,23,12
1,5:17.0,,M. Bagley misses 2-pt hook shot from 8 ft,23,12
1,5:14.0,Defensive rebound by D. Bender,,23,12
1,5:04.0,R. Holmes makes 2-pt dunk from 2 ft (assist by D. Bender),,25,12
1,4:49.0,,Turnover by B. Hield (lost ball; steal by D. Booker),25,12
1,4:45.0,D. Booker misses 3-pt jump shot from 25 ft,,25,12
1,4:42.0,,Defensive rebound by B. Hield,25,12
1,4:33.0,,D. Fox makes 2-pt jump shot from 19 ft,25,14
1,4:32.0,Phoenix full timeout,,25,14
1,4:32.0,M. Bridges enters the game for D. Ayton,,25,14
1,4:32.0,,B. Bogdanović enters the game for B. Hield,25,14
1,4:19.0,D. Booker makes 2-pt jump shot from 18 ft (assist by E. Okobo),,27,14
1,3:57.0,,M. Bagley misses 2-pt jump shot from 12 ft,27,14
1,3:57.0,,Offensive rebound by N. Bjelica,27,14
1,3:57.0,,Shooting foul by D. Bender (drawn by N. Bjelica),27,14
1,3:57.0,,N. Bjelica makes free throw 1 of 2,27,15
1,3:57.0,R. Spalding enters the game for D. Bender,,27,15
1,3:57.0,,N. Bjelica misses free throw 2 of 2,27,15
1,3:54.0,Defensive rebound by R. Spalding,,27,15
1,3:41.0,R. Holmes misses 2-pt hook shot from 6 ft,,27,15
1,3:39.0,,Defensive rebound by N. Bjelica,27,15
1,3:27.0,,M. Bagley makes 2-pt jump shot from 8 ft,27,17
1,3:08.0,Turnover by R. Spalding (bad pass; steal by M. Bagley),,27,17
1,2:54.0,,H. Barnes makes 2-pt layup from 2 ft,27,19
1,2:38.0,Turnover by R. Holmes (traveling),,27,19
1,2:22.0,,B. Bogdanović misses 2-pt jump shot from 10 ft,27,19
1,2:19.0,Defensive rebound by R. Holmes,,27,19
1,2:15.0,R. Spalding misses 2-pt dunk from 1 ft,,27,19
1,2:13.0,,Defensive rebound by D. Fox,27,19
1,2:10.0,,Personal foul by E. Okobo (drawn by D. Fox),27,19
1,2:10.0,,Violation by Team (delay of game),27,19
1,2:10.0,,Y. Ferrell enters the game for D. Fox,27,19
1,1:53.0,,N. Bjelica misses 2-pt jump shot from 7 ft,27,19
1,1:48.0,,Offensive rebound by N. Bjelica,27,19
1,1:48.0,,N. Bjelica misses 2-pt layup from 1 ft,27,19
1,1:48.0,Defensive rebound by E. Okobo,,27,19
1,1:43.0,D. Booker misses 3-pt jump shot from 28 ft,,27,19
1,1:40.0,,Defensive rebound by H. Barnes,27,19
1,1:36.0,,M. Bagley misses 2-pt jump shot from 15 ft,27,19
1,1:31.0,Defensive rebound by R. Spalding,,27,19
1,1:23.0,E. Okobo misses 3-pt jump shot from 25 ft,,27,19
1,1:19.0,,Defensive rebound by M. Bagley,27,19
1,1:11.0,,Turnover by B. Bogdanović (bad pass; steal by M. Bridges),27,19
1,1:08.0,M. Bridges makes 2-pt dunk from 1 ft,,29,19
1,0:53.0,,H. Barnes misses 3-pt jump shot from 25 ft,29,19
1,0:51.0,,Offensive rebound by M. Bagley,29,19
1,0:48.0,,M. Bagley misses 2-pt layup from 3 ft,29,19
1,0:48.0,,Offensive rebound by H. Barnes,29,19
1,0:47.0,,H. Barnes misses 2-pt layup from 1 ft,29,19
1,0:47.0,Defensive rebound by Team,,29,19
1,0:47.0,T. Daniels enters the game for M. Bridges,,29,19
1,0:29.0,D. Booker misses 3-pt jump shot from 25 ft,,29,19
1,0:26.0,Offensive rebound by R. Holmes,,29,19
1,0:24.0,R. Holmes misses 2-pt layup from 2 ft,,29,19
1,0:24.0,Offensive rebound by R. Spalding,,29,19
1,0:23.0,Shooting foul by H. Barnes (drawn by R. Spalding),,29,19
1,0:23.0,R. Spalding misses free throw 1 of 2,,29,19
1,0:23.0,Offensive rebound by Team,,29,19
1,0:23.0,D. Melton enters the game for D. Booker,,29,19
1,0:23.0,R. Spalding makes free throw 2 of 2,,30,19
1,0:01.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,30,19
1,0:01.0,Defensive rebound by Team,,30,19
1,0:01.0,,Loose ball foul by N. Bjelica (drawn by R. Holmes),30,19
1,0:01.0,R. Holmes makes free throw 1 of 2,,31,19
1,0:01.0,R. Holmes makes free throw 2 of 2,,32,19
1,0:00.0,,H. Barnes misses 3-pt jump shot from 41 ft,32,19
1,0:00.0,,Offensive rebound by Team,32,19
2,11:48.0,Offensive foul by J. Fredette (drawn by Y. Ferrell),,32,19
2,11:48.0,Turnover by J. Fredette (offensive foul),,32,19
2,11:32.0,,M. Bagley misses 2-pt hook shot from 6 ft,32,19
2,11:27.0,,Offensive rebound by K. Koufos,32,19
2,11:27.0,,K. Koufos makes 2-pt layup from 1 ft,32,21
2,11:12.0,D. Ayton misses 2-pt jump shot from 16 ft,,32,21
2,11:10.0,,Defensive rebound by Team,32,21
2,10:51.0,,M. Bagley misses 3-pt jump shot from 26 ft,32,21
2,10:49.0,Defensive rebound by T. Daniels,,32,21
2,10:38.0,E. Okobo misses 2-pt jump shot from 8 ft,,32,21
2,10:36.0,Offensive rebound by D. Ayton,,32,21
2,10:36.0,Shooting foul by M. Bagley (drawn by D. Ayton),,32,21
2,10:36.0,D. Ayton makes free throw 1 of 2,,33,21
2,10:36.0,D. Ayton misses free throw 2 of 2,,33,21
2,10:34.0,,Defensive rebound by K. Koufos,33,21
2,10:19.0,,Turnover by M. Bagley (out of bounds lost ball),33,21
2,10:08.0,Turnover by D. Ayton (traveling),,33,21
2,9:52.0,,Sacramento full timeout,33,21
2,9:52.0,,B. Hield enters the game for Y. Ferrell,33,21
2,9:42.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,33,21
2,9:40.0,Defensive rebound by R. Spalding,,33,21
2,9:26.0,D. Ayton misses 2-pt jump shot from 20 ft,,33,21
2,9:22.0,,Defensive rebound by B. Hield,33,21
2,9:13.0,,B. Hield misses 2-pt jump shot from 18 ft,33,21
2,9:09.0,Defensive rebound by J. Fredette,,33,21
2,9:03.0,R. Spalding misses 2-pt hook shot from 8 ft,,33,21
2,9:00.0,,Defensive rebound by B. Hield,33,21
2,8:45.0,,B. Bogdanović misses 2-pt jump shot from 10 ft,33,21
2,8:41.0,Defensive rebound by J. Fredette,,33,21
2,8:35.0,J. Fredette misses 3-pt jump shot from 25 ft,,33,21
2,8:32.0,,Defensive rebound by M. Bagley,33,21
2,8:20.0,,K. Koufos misses 2-pt jump shot from 10 ft,33,21
2,8:17.0,Defensive rebound by E. Okobo,,33,21
2,8:11.0,T. Daniels misses 3-pt jump shot from 28 ft,,33,21
2,8:07.0,,Defensive rebound by C. Brewer,33,21
2,8:04.0,,C. Brewer makes 2-pt layup from 1 ft,33,23
2,8:04.0,,Shooting foul by R. Spalding (drawn by C. Brewer),33,23
2,8:04.0,,C. Brewer makes free throw 1 of 1,33,24
2,7:47.0,D. Ayton misses 2-pt hook shot from 9 ft,,33,24
2,7:44.0,,Defensive rebound by C. Brewer,33,24
2,7:41.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by C. Brewer),33,27
2,7:39.0,Phoenix full timeout,,33,27
2,7:39.0,D. Bender enters the game for J. Fredette,,33,27
2,7:39.0,D. Booker enters the game for E. Okobo,,33,27
2,7:39.0,D. Melton enters the game for R. Spalding,,33,27
2,7:25.0,T. Daniels makes 3-pt jump shot from 25 ft (assist by D. Booker),,36,27
2,7:04.0,,Turnover by M. Bagley (lost ball; steal by D. Bender),36,27
2,6:58.0,Turnover by D. Melton (bad pass; steal by B. Bogdanović),,36,27
2,6:52.0,,B. Hield makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),36,30
2,6:32.0,T. Daniels makes 3-pt jump shot from 26 ft (assist by D. Booker),,39,30
2,6:22.0,,B. Hield makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),39,33
2,6:09.0,Shooting foul by B. Bogdanović (drawn by D. Booker),,39,33
2,6:09.0,D. Booker makes free throw 1 of 2,,40,33
2,6:09.0,R. Holmes enters the game for D. Ayton,,40,33
2,6:09.0,,N. Bjelica enters the game for M. Bagley,40,33
2,6:09.0,D. Booker makes free throw 2 of 2,,41,33
2,5:58.0,,K. Koufos misses 2-pt jump shot from 11 ft,41,33
2,5:56.0,Defensive rebound by R. Holmes,,41,33
2,5:46.0,D. Melton makes 3-pt jump shot from 23 ft (assist by D. Booker),,44,33
2,5:30.0,,B. Hield misses 3-pt jump shot from 25 ft,44,33
2,5:28.0,Defensive rebound by R. Holmes,,44,33
2,5:23.0,T. Daniels misses 3-pt jump shot from 27 ft,,44,33
2,5:20.0,,Defensive rebound by K. Koufos,44,33
2,5:12.0,,Shooting foul by D. Melton (drawn by C. Brewer),44,33
2,5:12.0,,C. Brewer misses free throw 1 of 2,44,33
2,5:12.0,,Offensive rebound by Team,44,33
2,5:12.0,M. Bridges enters the game for T. Daniels,,44,33
2,5:12.0,,W. Cauley-Stein enters the game for B. Bogdanović,44,33
2,5:12.0,,D. Fox enters the game for K. Koufos,44,33
2,5:12.0,,C. Brewer makes free throw 2 of 2,44,34
2,4:53.0,Shooting foul by W. Cauley-Stein (drawn by R. Holmes),,44,34
2,4:53.0,R. Holmes makes free throw 1 of 2,,45,34
2,4:53.0,,H. Barnes enters the game for C. Brewer,45,34
2,4:53.0,R. Holmes makes free throw 2 of 2,,46,34
2,4:35.0,,N. Bjelica misses 3-pt jump shot from 23 ft,46,34
2,4:32.0,Defensive rebound by D. Melton,,46,34
2,4:20.0,D. Bender misses 3-pt jump shot from 25 ft,,46,34
2,4:17.0,Offensive rebound by M. Bridges,,46,34
2,4:12.0,D. Booker misses 3-pt jump shot from 27 ft,,46,34
2,4:11.0,,Defensive rebound by N. Bjelica,46,34
2,4:04.0,,Offensive foul by B. Hield (drawn by D. Booker),46,34
2,4:04.0,,Turnover by B. Hield (offensive foul),46,34
2,3:55.0,D. Bender makes 2-pt layup from 2 ft (assist by R. Holmes),,48,34
2,3:48.0,,Personal foul by D. Melton (drawn by D. Fox),48,34
2,3:46.0,,Shooting foul by D. Melton (drawn by D. Fox),48,34
2,3:46.0,,D. Fox makes free throw 1 of 2,48,35
2,3:46.0,,D. Fox makes free throw 2 of 2,48,36
2,3:33.0,D. Melton misses 3-pt jump shot from 23 ft,,48,36
2,3:29.0,,Defensive rebound by H. Barnes,48,36
2,3:23.0,,H. Barnes makes 3-pt jump shot from 26 ft (assist by D. Fox),48,39
2,3:02.0,R. Holmes misses 2-pt layup from 4 ft (block by N. Bjelica),,48,39
2,3:02.0,Offensive rebound by Team,,48,39
2,2:57.0,R. Holmes misses 2-pt jump shot from 14 ft,,48,39
2,2:54.0,,Defensive rebound by N. Bjelica,48,39
2,2:46.0,,H. Barnes makes 3-pt jump shot from 25 ft (assist by D. Fox),48,42
2,2:45.0,Phoenix full timeout,,48,42
2,2:45.0,D. Ayton enters the game for R. Holmes,,48,42
2,2:45.0,T. Daniels enters the game for D. Melton,,48,42
2,2:45.0,Violation by Team (delay of game),,48,42
2,2:24.0,D. Booker misses 2-pt jump shot from 15 ft,,48,42
2,2:21.0,,Defensive rebound by H. Barnes,48,42
2,2:06.0,,Turnover by W. Cauley-Stein (lost ball; steal by M. Bridges),48,42
2,1:54.0,Turnover by M. Bridges (bad pass; steal by W. Cauley-Stein),,48,42
2,1:49.0,,B. Hield makes 3-pt jump shot from 25 ft (assist by N. Bjelica),48,45
2,1:33.0,Shooting foul by W. Cauley-Stein (drawn by D. Ayton),,48,45
2,1:33.0,D. Ayton misses free throw 1 of 2,,48,45
2,1:33.0,Offensive rebound by Team,,48,45
2,1:33.0,D. Ayton misses free throw 2 of 2,,48,45
2,1:33.0,,Defensive rebound by N. Bjelica,48,45
2,1:17.0,,B. Hield misses 3-pt jump shot from 25 ft,48,45
2,1:13.0,Defensive rebound by T. Daniels,,48,45
2,1:04.0,D. Booker misses 2-pt jump shot from 10 ft,,48,45
2,1:02.0,,Defensive rebound by N. Bjelica,48,45
2,0:56.0,,H. Barnes makes 2-pt dunk from 1 ft (assist by D. Fox),48,47
2,0:38.0,D. Booker misses 2-pt jump shot from 10 ft,,48,47
2,0:35.0,Offensive rebound by Team,,48,47
2,0:33.0,D. Booker makes 2-pt jump shot from 17 ft (assist by M. Bridges),,50,47
2,0:14.0,,B. Hield misses 3-pt jump shot from 23 ft,50,47
2,0:11.0,Defensive rebound by D. Booker,,50,47
2,0:02.0,D. Booker makes 2-pt layup from 2 ft,,52,47
2,0:02.0,Shooting foul by W. Cauley-Stein (drawn by D. Booker),,52,47
2,0:02.0,D. Booker makes free throw 1 of 1,,53,47
2,0:00.0,,H. Barnes misses 3-pt jump shot from 47 ft,53,47
2,0:00.0,,Offensive rebound by Team,53,47
3,11:37.0,M. Bridges misses 2-pt layup from 3 ft (block by B. Hield),,53,47
3,11:33.0,,Defensive rebound by D. Fox,53,47
3,11:17.0,,D. Fox misses 2-pt jump shot from 19 ft,53,47
3,11:13.0,Defensive rebound by D. Ayton,,53,47
3,10:55.0,Turnover by D. Booker (bad pass),,53,47
3,10:49.0,,Offensive foul by D. Fox (drawn by D. Melton),53,47
3,10:49.0,,Turnover by D. Fox (offensive foul),53,47
3,10:49.0,,Violation by Team (delay of game),53,47
3,10:49.0,,Violation by Team (delay of game),53,47
3,10:49.0,D. Booker makes technical free throw,,54,47
3,10:37.0,M. Bridges misses 3-pt jump shot from 25 ft,,54,47
3,10:31.0,,Defensive rebound by H. Barnes,54,47
3,10:28.0,,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by D. Fox),54,49
3,10:15.0,D. Booker misses 3-pt jump shot from 26 ft,,54,49
