QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,LA LAKERS_ACTION,SACRAMENTO_SCORE,LA LAKERS_SCORE
1,11:41.0,,J. Hart makes 3-pt jump shot from 22 ft (assist by K. Kuzma),0,3
1,11:23.0,I. Shumpert misses 3-pt jump shot from 26 ft,,0,3
1,11:17.0,,Defensive rebound by J. McGee,0,3
1,11:09.0,,K. Kuzma misses 3-pt jump shot from 26 ft,0,3
1,11:07.0,,Offensive rebound by B. Ingram,0,3
1,10:57.0,,J. Hart misses 3-pt jump shot from 26 ft,0,3
1,10:51.0,Defensive rebound by B. Hield,,0,3
1,10:46.0,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by D. Fox),,2,3
1,10:23.0,,K. Kuzma makes 3-pt jump shot from 26 ft (assist by L. Ball),2,6
1,10:12.0,B. Hield makes 3-pt jump shot from 23 ft (assist by I. Shumpert),,5,6
1,9:59.0,,Turnover by B. Ingram (bad pass),5,6
1,9:49.0,B. Hield misses 2-pt jump shot from 16 ft,,5,6
1,9:48.0,,Defensive rebound by Team,5,6
1,9:29.0,,J. McGee makes 2-pt hook shot from 5 ft,5,8
1,9:15.0,W. Cauley-Stein makes 2-pt layup from 2 ft (assist by I. Shumpert),,7,8
1,9:02.0,,B. Ingram makes 2-pt jump shot from 6 ft,7,10
1,8:45.0,B. Hield misses 3-pt jump shot from 26 ft,,7,10
1,8:39.0,,Defensive rebound by B. Ingram,7,10
1,8:34.0,,K. Kuzma misses 3-pt jump shot from 26 ft,7,10
1,8:29.0,Defensive rebound by D. Fox,,7,10
1,8:23.0,I. Shumpert makes 3-pt jump shot from 24 ft (assist by W. Cauley-Stein),,10,10
1,7:54.0,,B. Ingram makes 2-pt jump shot from 16 ft,10,12
1,7:40.0,B. Hield misses 2-pt jump shot from 9 ft,,10,12
1,7:37.0,,Defensive rebound by J. McGee,10,12
1,7:35.0,,J. Hart makes 2-pt layup from 2 ft (assist by B. Ingram),10,14
1,7:35.0,,Shooting foul by B. Hield (drawn by J. Hart),10,14
1,7:35.0,,J. Hart makes free throw 1 of 1,10,15
1,7:27.0,D. Fox makes 2-pt jump shot from 7 ft,,12,15
1,7:12.0,,J. McGee misses 2-pt layup from 2 ft,12,15
1,7:10.0,Defensive rebound by N. Bjelica,,12,15
1,7:08.0,Shooting foul by K. Kuzma (drawn by B. Hield),,12,15
1,7:08.0,B. Hield makes free throw 1 of 2,,13,15
1,7:08.0,,T. Chandler enters the game for J. McGee,13,15
1,7:08.0,B. Hield makes free throw 2 of 2,,14,15
1,6:52.0,,J. Hart misses 2-pt jump shot from 14 ft,14,15
1,6:48.0,Defensive rebound by B. Hield,,14,15
1,6:44.0,D. Fox makes 2-pt layup from 1 ft,,16,15
1,6:26.0,,K. Kuzma makes 3-pt jump shot from 25 ft (assist by B. Ingram),16,18
1,6:11.0,W. Cauley-Stein makes 2-pt jump shot from 1 ft (assist by D. Fox),,18,18
1,6:01.0,,K. Kuzma misses 2-pt jump shot from 19 ft,18,18
1,5:56.0,,Offensive rebound by T. Chandler,18,18
1,5:56.0,,T. Chandler makes 2-pt dunk from 1 ft,18,20
1,5:38.0,I. Shumpert makes 2-pt jump shot from 22 ft (assist by N. Bjelica),,20,20
1,5:29.0,,L. Ball misses 2-pt layup from 2 ft (block by W. Cauley-Stein),20,20
1,5:29.0,,Offensive rebound by Team,20,20
1,5:29.0,,LA Lakers full timeout,20,20
1,5:29.0,B. Bogdanović enters the game for D. Fox,,20,20
1,5:26.0,,K. Kuzma misses 2-pt layup from 3 ft,20,20
1,5:23.0,Defensive rebound by W. Cauley-Stein,,20,20
1,5:07.0,Def 3 sec tech foul by Team,,20,20
1,5:07.0,B. Hield makes technical free throw,,21,20
1,4:58.0,B. Bogdanović makes 2-pt layup from 2 ft,,23,20
1,4:42.0,,L. Ball misses 2-pt layup from 1 ft,23,20
1,4:39.0,Defensive rebound by W. Cauley-Stein,,23,20
1,4:38.0,Shooting foul by B. Ingram (drawn by I. Shumpert),,23,20
1,4:38.0,I. Shumpert misses free throw 1 of 2,,23,20
1,4:38.0,Offensive rebound by Team,,23,20
1,4:38.0,J. Jackson enters the game for N. Bjelica,,23,20
