QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,GOLDEN STATE_ACTION,PHILADELPHIA_SCORE,GOLDEN STATE_SCORE
1,11:45.0,J. Redick makes 3-pt jump shot from 25 ft (assist by J. Butler),,3,0
1,11:29.0,,K. Durant misses 2-pt jump shot from 19 ft,3,0
1,11:28.0,Defensive rebound by W. Chandler,,3,0
1,11:21.0,J. Embiid misses 3-pt jump shot from 26 ft,,3,0
1,11:19.0,,Defensive rebound by A. McKinnie,3,0
1,11:14.0,,Turnover by K. Durant (bad pass; steal by B. Simmons),3,0
1,11:10.0,Turnover by W. Chandler (out of bounds lost ball),,3,0
1,10:59.0,,A. McKinnie makes 2-pt layup from 2 ft (assist by D. Cousins),3,2
1,10:47.0,B. Simmons makes 2-pt hook shot from 6 ft (assist by J. Redick),,5,2
1,10:38.0,,S. Curry makes 2-pt layup from 3 ft (assist by D. Cousins),5,4
1,10:38.0,,Shooting foul by J. Redick (drawn by S. Curry),5,4
1,10:38.0,,S. Curry misses free throw 1 of 1,5,4
1,10:37.0,Defensive rebound by J. Embiid,,5,4
1,10:34.0,Turnover by J. Embiid (lost ball; steal by D. Cousins),,5,4
1,10:28.0,,D. Cousins misses 3-pt jump shot from 26 ft,5,4
1,10:26.0,Defensive rebound by B. Simmons,,5,4
1,10:22.0,J. Redick makes 3-pt jump shot from 26 ft (assist by B. Simmons),,8,4
1,10:01.0,,K. Durant makes 2-pt jump shot from 17 ft (assist by D. Cousins),8,6
1,9:54.0,Turnover by J. Embiid (bad pass; steal by S. Curry),,8,6
1,9:43.0,,K. Durant makes 2-pt dunk from 2 ft (assist by S. Curry),8,8
1,9:27.0,J. Embiid misses 2-pt jump shot from 13 ft,,8,8
1,9:26.0,Offensive rebound by B. Simmons,,8,8
1,9:23.0,Offensive foul by J. Embiid (drawn by D. Cousins),,8,8
1,9:23.0,Turnover by J. Embiid (offensive foul),,8,8
1,9:07.0,,A. McKinnie makes 2-pt dunk from 1 ft (assist by D. Cousins),8,10
1,8:56.0,J. Redick misses 3-pt jump shot from 26 ft,,8,10
1,8:54.0,Offensive rebound by B. Simmons,,8,10
1,8:53.0,Shooting foul by D. Cousins (drawn by B. Simmons),,8,10
1,8:53.0,B. Simmons makes free throw 1 of 2,,9,10
1,8:53.0,B. Simmons makes free throw 2 of 2,,10,10
1,8:30.0,,D. Cousins misses 2-pt jump shot from 19 ft,10,10
1,8:29.0,Defensive rebound by J. Butler,,10,10
1,8:21.0,W. Chandler misses 3-pt jump shot from 26 ft,,10,10
1,8:19.0,,Defensive rebound by D. Cousins,10,10
1,8:04.0,,D. Green makes 2-pt layup from 2 ft,10,12
1,7:44.0,Turnover by W. Chandler (traveling),,10,12
1,7:30.0,,D. Cousins makes 2-pt layup from 2 ft (assist by S. Curry),10,14
1,7:19.0,Turnover by B. Simmons (lost ball; steal by D. Green),,10,14
1,7:07.0,,S. Curry misses 2-pt layup from 2 ft,10,14
1,7:06.0,Defensive rebound by J. Butler,,10,14
1,6:58.0,Turnover by J. Embiid (step out of bounds),,10,14
1,6:58.0,,Golden State full timeout,10,14
1,6:58.0,J. Bolden enters the game for J. Butler,,10,14
1,6:58.0,T. McConnell enters the game for J. Embiid,,10,14
1,6:47.0,,Personal foul by W. Chandler (drawn by K. Durant),10,14
1,6:42.0,,S. Curry makes 3-pt jump shot from 27 ft (assist by D. Green),10,17
1,6:30.0,B. Simmons makes 2-pt dunk from 1 ft (assist by T. McConnell),,12,17
1,6:09.0,,D. Cousins misses 2-pt jump shot from 6 ft (block by J. Bolden),12,17
1,6:09.0,,Offensive rebound by Team,12,17
1,6:02.0,,D. Green misses 3-pt jump shot from 29 ft,12,17
1,6:00.0,,Offensive rebound by D. Cousins,12,17
1,5:57.0,,S. Curry makes 3-pt jump shot from 28 ft (assist by D. Cousins),12,20
1,5:57.0,,Shooting foul by J. Redick (drawn by S. Curry),12,20
1,5:57.0,L. Shamet enters the game for J. Redick,,12,20
1,5:57.0,,A. Iguodala enters the game for D. Cousins,12,20
1,5:57.0,,K. Looney enters the game for D. Green,12,20
1,5:57.0,,S. Curry makes free throw 1 of 1,12,21
1,5:31.0,W. Chandler misses 3-pt jump shot from 22 ft,,12,21
1,5:29.0,,Defensive rebound by A. Iguodala,12,21
1,5:25.0,,A. McKinnie makes 2-pt jump shot from 3 ft (assist by A. Iguodala),12,23
1,5:23.0,Philadelphia full timeout,,12,23
1,5:10.0,L. Shamet makes 3-pt jump shot from 25 ft (assist by W. Chandler),,15,23
1,4:49.0,,A. McKinnie makes 2-pt dunk from 1 ft (assist by A. Iguodala),15,25
1,4:27.0,B. Simmons makes 2-pt jump shot from 8 ft,,17,25
1,4:17.0,,S. Curry misses 2-pt jump shot from 22 ft,17,25
1,4:15.0,Defensive rebound by B. Simmons,,17,25
1,4:15.0,Personal foul by A. McKinnie (drawn by B. Simmons),,17,25
1,4:15.0,,S. Livingston enters the game for A. McKinnie,17,25
1,4:12.0,Personal foul by S. Livingston (drawn by L. Shamet),,17,25
1,4:04.0,Personal foul by S. Livingston (drawn by B. Simmons),,17,25
1,3:52.0,W. Chandler makes 3-pt jump shot from 27 ft (assist by L. Shamet),,20,25
1,3:30.0,,Turnover by S. Curry (bad pass; steal by B. Simmons),20,25
1,3:16.0,W. Chandler makes 2-pt jump shot from 15 ft (assist by B. Simmons),,22,25
1,3:03.0,,S. Curry makes 2-pt jump shot from 10 ft,22,27
1,2:50.0,J. Bolden makes 3-pt jump shot from 27 ft (assist by W. Chandler),,25,27
1,2:40.0,,Turnover by S. Curry (bad pass; steal by J. Bolden),25,27
1,2:36.0,B. Simmons makes 2-pt dunk from 1 ft (assist by W. Chandler),,27,27
1,2:36.0,,Golden State full timeout,27,27
1,2:36.0,C. Brewer enters the game for J. Bolden,,27,27
1,2:36.0,J. Butler enters the game for W. Chandler,,27,27
1,2:36.0,J. Embiid enters the game for T. McConnell,,27,27
1,2:36.0,M. Muscala enters the game for B. Simmons,,27,27
1,2:36.0,,Q. Cook enters the game for S. Curry,27,27
1,2:23.0,,K. Looney makes 2-pt dunk from 2 ft (assist by K. Durant),27,29
1,2:07.0,M. Muscala makes 2-pt hook shot from 3 ft (assist by L. Shamet),,29,29
1,1:58.0,,K. Durant makes 2-pt jump shot from 18 ft,29,31
1,1:41.0,Personal foul by K. Durant (drawn by J. Embiid),,29,31
1,1:41.0,J. Embiid misses free throw 1 of 2,,29,31
1,1:41.0,Offensive rebound by Team,,29,31
1,1:41.0,J. Embiid makes free throw 2 of 2,,30,31
1,1:27.0,,K. Looney makes 2-pt dunk from 2 ft (assist by K. Durant),30,33
1,1:14.0,C. Brewer misses 3-pt jump shot from 22 ft,,30,33
1,1:12.0,,Defensive rebound by K. Looney,30,33
1,0:57.0,,K. Durant misses 3-pt jump shot from 26 ft,30,33
1,0:55.0,Defensive rebound by J. Embiid,,30,33
1,0:41.0,J. Butler misses 3-pt jump shot from 26 ft,,30,33
1,0:39.0,Offensive rebound by J. Embiid,,30,33
1,0:36.0,C. Brewer misses 3-pt jump shot from 23 ft,,30,33
1,0:34.0,,Defensive rebound by Q. Cook,30,33
1,0:14.0,,K. Durant makes 2-pt layup from 7 ft,30,35
2,11:46.0,,S. Livingston misses 2-pt jump shot from 16 ft,30,35
2,11:45.0,Defensive rebound by M. Muscala,,30,35
2,11:28.0,C. Brewer makes 2-pt layup from 3 ft (assist by J. Embiid),,32,35
2,11:20.0,Violation by Team (kicked ball),,32,35
2,11:01.0,,Turnover by D. Cousins (lost ball; steal by J. Embiid),32,35
2,10:56.0,C. Brewer misses 2-pt jump shot from 5 ft (block by D. Green),,32,35
2,10:56.0,Offensive rebound by Team,,32,35
2,10:52.0,J. Embiid makes 2-pt jump shot from 13 ft (assist by J. Butler),,34,35
2,10:33.0,,D. Green misses 2-pt jump shot from 17 ft,34,35
2,10:30.0,Defensive rebound by J. Embiid,,34,35
2,10:22.0,Turnover by J. Embiid (bad pass),,34,35
2,10:06.0,,Q. Cook misses 3-pt jump shot from 23 ft,34,35
2,10:02.0,Defensive rebound by J. Embiid,,34,35
2,9:52.0,Turnover by J. Embiid (lost ball; steal by D. Cousins),,34,35
2,9:48.0,,Q. Cook misses 2-pt layup from 2 ft (block by L. Shamet),34,35
2,9:47.0,Defensive rebound by J. Butler,,34,35
2,9:42.0,L. Shamet makes 3-pt jump shot from 28 ft (assist by M. Muscala),,37,35
2,9:42.0,Shooting foul by Q. Cook (drawn by L. Shamet),,37,35
2,9:42.0,,A. McKinnie enters the game for A. Iguodala,37,35
2,9:42.0,L. Shamet makes free throw 1 of 1,,38,35
2,9:25.0,,D. Cousins misses 2-pt jump shot from 10 ft,38,35
2,9:24.0,Defensive rebound by J. Embiid,,38,35
2,9:04.0,J. Butler misses 2-pt layup from 7 ft (block by D. Green),,38,35
