QUARTER,TIME_REMAINING,DETROIT_ACTION,OKLAHOMA CITY_ACTION,DETROIT_SCORE,OKLAHOMA CITY_SCORE
1,11:43.0,Turnover by A. Drummond (off goaltending),,0,0
1,11:32.0,,S. Adams makes 2-pt dunk from 2 ft (assist by R. Westbrook),0,2
1,11:12.0,B. Griffin misses 3-pt jump shot from 25 ft,,0,2
1,11:09.0,Offensive rebound by A. Drummond,,0,2
1,11:06.0,W. Ellington misses 3-pt jump shot from 23 ft,,0,2
1,11:03.0,,Defensive rebound by R. Westbrook,0,2
1,10:59.0,,P. George misses 2-pt layup from 2 ft,0,2
1,10:59.0,,Offensive rebound by Team,0,2
1,10:54.0,,P. George makes 2-pt jump shot from 20 ft (assist by R. Westbrook),0,4
1,10:33.0,Turnover by A. Drummond (lost ball; steal by R. Westbrook),,0,4
1,10:27.0,,J. Grant makes 2-pt layup from 1 ft (assist by R. Westbrook),0,6
1,10:16.0,B. Griffin makes 3-pt jump shot from 25 ft,,3,6
1,10:07.0,,Turnover by R. Westbrook (bad pass; steal by A. Drummond),3,6
1,10:00.0,B. Griffin misses 3-pt jump shot from 25 ft,,3,6
1,9:57.0,,Defensive rebound by P. George,3,6
1,9:54.0,,Turnover by P. George (bad pass; steal by B. Brown),3,6
1,9:54.0,B. Brown makes 2-pt layup from 1 ft,,5,6
1,9:54.0,Shooting foul by P. George (drawn by B. Brown),,5,6
1,9:54.0,B. Brown makes free throw 1 of 1,,6,6
1,9:47.0,,P. George makes 2-pt jump shot from 17 ft (assist by R. Westbrook),6,8
1,9:35.0,B. Griffin makes 3-pt jump shot from 27 ft (assist by R. Jackson),,9,8
1,9:18.0,,Turnover by S. Adams (3 sec),9,8
1,9:04.0,R. Jackson makes 3-pt jump shot from 24 ft (assist by B. Brown),,12,8
1,8:53.0,,P. George misses 3-pt jump shot from 25 ft,12,8
1,8:50.0,Defensive rebound by A. Drummond,,12,8
1,8:42.0,Shooting foul by S. Adams (drawn by A. Drummond),,12,8
1,8:42.0,A. Drummond misses free throw 1 of 2,,12,8
1,8:42.0,Offensive rebound by Team,,12,8
1,8:42.0,A. Drummond misses free throw 2 of 2,,12,8
1,8:39.0,,Defensive rebound by R. Westbrook,12,8
1,8:31.0,,J. Grant misses 2-pt jump shot from 17 ft,12,8
1,8:28.0,Defensive rebound by A. Drummond,,12,8
1,8:20.0,Shooting foul by S. Adams (drawn by B. Griffin),,12,8
1,8:20.0,B. Griffin makes free throw 1 of 2,,13,8
1,8:20.0,B. Griffin makes free throw 2 of 2,,14,8
1,8:03.0,,P. George misses 2-pt layup from 2 ft (block by A. Drummond),14,8
1,8:02.0,,Offensive rebound by P. George,14,8
1,8:01.0,,P. George makes 2-pt layup from 2 ft,14,10
1,8:01.0,,Shooting foul by A. Drummond (drawn by P. George),14,10
1,8:01.0,,P. George makes free throw 1 of 1,14,11
1,7:47.0,W. Ellington misses 3-pt jump shot from 25 ft,,14,11
1,7:43.0,,Defensive rebound by R. Westbrook,14,11
1,7:34.0,,J. Grant makes 2-pt hook shot from 3 ft (assist by R. Westbrook),14,13
1,7:24.0,B. Griffin makes 3-pt jump shot from 24 ft,,17,13
1,7:13.0,,R. Westbrook misses 2-pt jump shot from 12 ft,17,13
1,7:11.0,Defensive rebound by B. Griffin,,17,13
1,6:52.0,B. Griffin makes 2-pt jump shot from 7 ft,,19,13
1,6:38.0,,R. Westbrook misses 2-pt layup from 2 ft,19,13
1,6:33.0,,Offensive rebound by S. Adams,19,13
1,6:33.0,,S. Adams misses 2-pt layup at rim,19,13
1,6:32.0,Defensive rebound by W. Ellington,,19,13
1,6:20.0,R. Jackson misses 2-pt layup from 4 ft (block by S. Adams),,19,13
1,6:18.0,,Defensive rebound by P. George,19,13
1,6:15.0,,J. Grant makes 2-pt layup from 2 ft (assist by P. George),19,15
1,6:07.0,Detroit full timeout,,19,15
1,5:58.0,Shooting foul by S. Adams (drawn by B. Griffin),,19,15
1,5:58.0,B. Griffin makes free throw 1 of 2,,20,15
1,5:58.0,,N. Noel enters the game for S. Adams,20,15
1,5:58.0,B. Griffin makes free throw 2 of 2,,21,15
1,5:47.0,,P. George misses 2-pt layup from 2 ft (block by A. Drummond),21,15
1,5:44.0,,Offensive rebound by P. George,21,15
1,5:42.0,,P. George misses 2-pt jump shot from 12 ft,21,15
1,5:42.0,Defensive rebound by B. Griffin,,21,15
1,5:31.0,R. Jackson misses 2-pt jump shot from 8 ft,,21,15
1,5:28.0,Offensive rebound by W. Ellington,,21,15
1,5:26.0,B. Griffin misses 3-pt jump shot from 25 ft,,21,15
1,5:23.0,Offensive rebound by A. Drummond,,21,15
1,5:21.0,Offensive foul by A. Drummond (drawn by J. Grant),,21,15
1,5:21.0,Turnover by A. Drummond (offensive foul),,21,15
1,5:21.0,Z. Pachulia enters the game for A. Drummond,,21,15
1,5:21.0,,D. Schröder enters the game for P. George,21,15
1,5:10.0,,Turnover by R. Westbrook (bad pass; steal by B. Brown),21,15
1,5:07.0,Turnover by B. Brown (lost ball; steal by N. Noel),,21,15
1,5:00.0,,R. Westbrook makes 2-pt layup from 1 ft (assist by D. Schröder),21,17
1,4:43.0,R. Jackson misses 3-pt jump shot from 26 ft,,21,17
1,4:39.0,,Defensive rebound by J. Grant,21,17
1,4:32.0,,J. Grant makes 3-pt jump shot from 25 ft (assist by R. Westbrook),21,20
1,4:17.0,Personal foul by N. Noel (drawn by B. Griffin),,21,20
1,4:17.0,B. Griffin makes free throw 1 of 2,,22,20
1,4:17.0,L. Galloway enters the game for B. Brown,,22,20
1,4:17.0,B. Griffin makes free throw 2 of 2,,23,20
1,4:05.0,,R. Westbrook misses 2-pt layup from 5 ft,23,20
1,4:03.0,Defensive rebound by L. Galloway,,23,20
1,3:57.0,W. Ellington makes 3-pt jump shot from 23 ft (assist by B. Griffin),,26,20
1,3:47.0,,J. Grant misses 3-pt jump shot from 25 ft,26,20
1,3:43.0,,Offensive rebound by D. Schröder,26,20
1,3:41.0,,D. Schröder misses 3-pt jump shot from 26 ft,26,20
1,3:38.0,Defensive rebound by B. Griffin,,26,20
1,3:26.0,L. Galloway misses 3-pt jump shot from 23 ft,,26,20
1,3:21.0,,Defensive rebound by R. Westbrook,26,20
1,3:15.0,,Shooting foul by R. Jackson (drawn by R. Westbrook),26,20
1,3:15.0,,R. Westbrook makes free throw 1 of 2,26,21
1,3:15.0,T. Maker enters the game for B. Griffin,,26,21
1,3:15.0,I. Smith enters the game for R. Jackson,,26,21
1,3:15.0,,M. Morris enters the game for J. Grant,26,21
1,3:15.0,,R. Westbrook makes free throw 2 of 2,26,22
1,2:54.0,Z. Pachulia makes 2-pt layup from 1 ft,,28,22
1,2:54.0,Shooting foul by T. Ferguson (drawn by Z. Pachulia),,28,22
1,2:54.0,,Oklahoma City full timeout,28,22
1,2:54.0,L. Kennard enters the game for W. Ellington,,28,22
1,2:54.0,,R. Felton enters the game for T. Ferguson,28,22
1,2:54.0,,P. George enters the game for R. Westbrook,28,22
1,2:54.0,Z. Pachulia makes free throw 1 of 1,,29,22
1,2:45.0,,D. Schröder makes 2-pt layup from 3 ft (assist by P. George),29,24
1,2:45.0,,Shooting foul by Z. Pachulia (drawn by D. Schröder),29,24
1,2:45.0,,D. Schröder makes free throw 1 of 1,29,25
1,2:28.0,Personal foul by M. Morris (drawn by T. Maker),,29,25
1,2:28.0,T. Maker makes free throw 1 of 2,,30,25
1,2:28.0,T. Maker misses free throw 2 of 2,,30,25
