QUARTER,TIME_REMAINING,BROOKLYN_ACTION,NEW YORK_ACTION,BROOKLYN_SCORE,NEW YORK_SCORE
1,11:34.0,D. Russell makes 3-pt jump shot from 29 ft (assist by J. Harris),,3,0
1,11:17.0,,F. Ntilikina makes 3-pt jump shot from 24 ft (assist by T. Hardaway),3,3
1,11:03.0,D. Russell makes 3-pt jump shot from 23 ft (assist by J. Allen),,6,3
1,10:47.0,,N. Vonleh misses 2-pt dunk from 1 ft (block by J. Allen),6,3
1,10:43.0,Defensive rebound by J. Dudley,,6,3
1,10:38.0,D. Russell misses 3-pt jump shot from 26 ft,,6,3
1,10:38.0,,Defensive rebound by N. Vonleh,6,3
1,10:22.0,,T. Hardaway misses 2-pt layup from 3 ft,6,3
1,10:20.0,Defensive rebound by J. Dudley,,6,3
1,10:14.0,D. Russell makes 2-pt layup from 2 ft,,8,3
1,9:58.0,,F. Ntilikina misses 2-pt layup from 6 ft,8,3
1,9:56.0,Defensive rebound by J. Allen,,8,3
1,9:45.0,J. Dudley misses 3-pt jump shot from 27 ft,,8,3
1,9:43.0,Offensive rebound by J. Allen,,8,3
1,9:38.0,J. Harris makes 3-pt jump shot from 27 ft (assist by J. Dudley),,11,3
1,9:37.0,,New York full timeout,11,3
1,9:22.0,,T. Hardaway misses 2-pt layup from 5 ft,11,3
1,9:18.0,,Offensive rebound by M. Robinson,11,3
1,9:18.0,,M. Robinson makes 2-pt dunk at rim,11,5
1,9:12.0,J. Harris makes 3-pt jump shot from 23 ft (assist by C. LeVert),,14,5
1,8:56.0,,F. Ntilikina makes 3-pt jump shot from 24 ft,14,8
1,8:51.0,Personal foul by F. Ntilikina (drawn by D. Russell),,14,8
1,8:45.0,C. LeVert misses 3-pt jump shot from 27 ft,,14,8
1,8:41.0,,Defensive rebound by N. Vonleh,14,8
1,8:37.0,,N. Vonleh misses 2-pt layup from 4 ft (block by J. Dudley),14,8
1,8:34.0,Defensive rebound by J. Allen,,14,8
1,8:30.0,Personal foul by N. Vonleh (drawn by D. Russell),,14,8
1,8:24.0,J. Harris misses 3-pt jump shot from 29 ft,,14,8
1,8:21.0,,Defensive rebound by F. Ntilikina,14,8
1,8:14.0,,F. Ntilikina misses 2-pt jump shot from 6 ft (block by J. Allen),14,8
1,8:14.0,,Offensive rebound by Team,14,8
1,8:05.0,,M. Robinson makes 2-pt layup from 4 ft (assist by F. Ntilikina),14,10
1,7:50.0,D. Russell misses 3-pt jump shot from 26 ft,,14,10
1,7:47.0,,Defensive rebound by N. Vonleh,14,10
1,7:42.0,,T. Hardaway misses 3-pt jump shot from 27 ft,14,10
1,7:39.0,Defensive rebound by Team,,14,10
1,7:20.0,J. Harris misses 2-pt layup from 4 ft,,14,10
1,7:18.0,Offensive rebound by J. Harris,,14,10
1,7:11.0,J. Dudley misses 3-pt jump shot from 24 ft,,14,10
1,7:11.0,,Defensive rebound by D. Dotson,14,10
1,6:59.0,,Turnover by T. Hardaway (bad pass; steal by J. Harris),14,10
1,6:54.0,C. LeVert misses 2-pt layup from 1 ft,,14,10
1,6:51.0,,Defensive rebound by N. Vonleh,14,10
1,6:40.0,,F. Ntilikina misses 3-pt jump shot from 25 ft,14,10
1,6:38.0,Defensive rebound by Team,,14,10
1,6:22.0,J. Allen makes 2-pt dunk from 1 ft (assist by C. LeVert),,16,10
1,6:11.0,,N. Vonleh makes 2-pt dunk from 1 ft (assist by T. Hardaway),16,12
1,6:09.0,Brooklyn full timeout,,16,12
1,6:09.0,A. Crabbe enters the game for J. Dudley,,16,12
1,6:09.0,R. Hollis-Jefferson enters the game for J. Harris,,16,12
1,6:09.0,,M. Hezonja enters the game for M. Robinson,16,12
1,5:58.0,C. LeVert makes 2-pt jump shot from 12 ft (assist by J. Allen),,18,12
1,5:42.0,,T. Hardaway makes 3-pt jump shot from 26 ft (assist by F. Ntilikina),18,15
1,5:42.0,,E. Freedom enters the game for N. Vonleh,18,15
