QUARTER,TIME_REMAINING,INDIANA_ACTION,PHILADELPHIA_ACTION,INDIANA_SCORE,PHILADELPHIA_SCORE
1,11:45.0,,B. Simmons makes 2-pt layup from 2 ft,0,2
1,11:37.0,T. Young misses 2-pt layup from 2 ft,,0,2
1,11:35.0,,Defensive rebound by B. Simmons,0,2
1,11:28.0,,J. Redick makes 2-pt jump shot from 17 ft (assist by J. Embiid),0,4
1,11:00.0,M. Turner misses 2-pt jump shot from 15 ft,,0,4
1,10:57.0,,Defensive rebound by B. Simmons,0,4
1,10:45.0,,F. Korkmaz misses 2-pt jump shot from 10 ft,0,4
1,10:40.0,,Offensive rebound by J. Embiid,0,4
1,10:40.0,,J. Embiid makes 2-pt layup from 1 ft,0,6
1,10:27.0,M. Turner misses 2-pt jump shot from 11 ft,,0,6
1,10:24.0,,Defensive rebound by B. Simmons,0,6
1,10:20.0,,Personal take foul by B. Bogdanović (drawn by B. Simmons),0,6
1,10:07.0,,J. Embiid misses 2-pt layup from 1 ft,0,6
1,10:07.0,,Offensive rebound by J. Embiid,0,6
1,10:07.0,,Shooting foul by M. Turner (drawn by J. Embiid),0,6
1,10:07.0,,J. Embiid misses free throw 1 of 2,0,6
1,10:07.0,,Offensive rebound by Team,0,6
1,10:07.0,,J. Embiid makes free throw 2 of 2,0,7
1,9:56.0,T. Young misses 2-pt jump shot from 13 ft,,0,7
1,9:53.0,,Defensive rebound by B. Simmons,0,7
1,9:47.0,,J. Redick makes 3-pt jump shot from 27 ft (assist by B. Simmons),0,10
1,9:33.0,D. Collison makes 2-pt layup from 2 ft,,2,10
1,9:22.0,,F. Korkmaz misses 3-pt jump shot from 24 ft,2,10
1,9:20.0,Defensive rebound by M. Turner,,2,10
1,9:11.0,T. Young misses 3-pt jump shot from 26 ft,,2,10
1,9:08.0,,Defensive rebound by Team,2,10
1,8:53.0,,J. Redick makes 2-pt jump shot from 21 ft,2,12
1,8:47.0,Personal take foul by F. Korkmaz (drawn by B. Bogdanović),,2,12
1,8:47.0,Indiana full timeout,,2,12
1,8:34.0,B. Bogdanović makes 2-pt jump shot from 8 ft,,4,12
1,8:22.0,,Turnover by J. Embiid (bad pass; steal by V. Oladipo),4,12
1,8:22.0,Clear path foul by J. Redick,,4,12
1,8:22.0,V. Oladipo makes clear path free throw 1 of 2,,5,12
1,8:22.0,V. Oladipo makes clear path free throw 2 of 2,,6,12
1,8:09.0,B. Bogdanović makes 2-pt layup from 3 ft (assist by D. Collison),,8,12
1,7:55.0,,W. Chandler misses 3-pt jump shot from 26 ft,8,12
1,7:51.0,,Offensive rebound by B. Simmons,8,12
1,7:48.0,,J. Embiid makes 2-pt dunk from 2 ft (assist by B. Simmons),8,14
1,7:41.0,B. Bogdanović misses 2-pt jump shot from 15 ft,,8,14
1,7:38.0,,Defensive rebound by J. Embiid,8,14
1,7:32.0,,F. Korkmaz makes 3-pt jump shot from 26 ft (assist by B. Simmons),8,17
1,7:04.0,V. Oladipo misses 2-pt layup from 3 ft,,8,17
1,7:01.0,,Defensive rebound by J. Embiid,8,17
