QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,CHICAGO_ACTION,LA CLIPPERS_SCORE,CHICAGO_SCORE
1,11:43.0,A. Bradley misses 2-pt jump shot from 4 ft,,0,0
1,11:41.0,,Defensive rebound by L. Markkanen,0,0
1,11:26.0,,Z. LaVine misses 2-pt layup from 2 ft,0,0
1,11:23.0,Defensive rebound by T. Harris,,0,0
1,11:20.0,S. Gilgeous-Alexander misses 2-pt layup from 2 ft (block by L. Markkanen),,0,0
1,11:20.0,Offensive rebound by Team,,0,0
1,11:08.0,T. Harris makes 3-pt jump shot from 25 ft (assist by P. Beverley),,3,0
1,10:50.0,,Shooting foul by S. Gilgeous-Alexander (drawn by C. Hutchison),3,0
1,10:50.0,,C. Hutchison makes free throw 1 of 2,3,1
1,10:50.0,,C. Hutchison misses free throw 2 of 2,3,1
1,10:47.0,Defensive rebound by M. Gortat,,3,1
1,10:35.0,A. Bradley misses 2-pt jump shot from 21 ft,,3,1
1,10:30.0,,Defensive rebound by C. Hutchison,3,1
1,10:27.0,,B. Portis misses 2-pt jump shot from 20 ft,3,1
1,10:25.0,Defensive rebound by P. Beverley,,3,1
1,10:20.0,Shooting foul by B. Portis (drawn by M. Gortat),,3,1
1,10:20.0,M. Gortat makes free throw 1 of 2,,4,1
1,10:20.0,M. Gortat makes free throw 2 of 2,,5,1
1,10:11.0,,B. Portis misses 2-pt layup from 4 ft,5,1
1,10:04.0,,Offensive rebound by B. Portis,5,1
1,10:04.0,,B. Portis misses 2-pt layup at rim,5,1
1,10:04.0,,Offensive rebound by B. Portis,5,1
1,10:01.0,,B. Portis makes 2-pt layup from 1 ft,5,3
1,9:56.0,A. Bradley misses 2-pt jump shot from 20 ft,,5,3
1,9:56.0,,Defensive rebound by C. Hutchison,5,3
1,9:46.0,,C. Hutchison misses 2-pt layup from 2 ft,5,3
1,9:43.0,Defensive rebound by P. Beverley,,5,3
1,9:31.0,S. Gilgeous-Alexander misses 3-pt jump shot from 23 ft,,5,3
1,9:31.0,Offensive rebound by Team,,5,3
1,9:31.0,,Loose ball foul by K. Dunn (drawn by M. Gortat),5,3
1,9:26.0,T. Harris makes 3-pt jump shot from 25 ft (assist by S. Gilgeous-Alexander),,8,3
1,9:04.0,,B. Portis misses 3-pt jump shot from 25 ft,8,3
1,9:00.0,Defensive rebound by T. Harris,,8,3
1,8:58.0,Turnover by T. Harris (bad pass),,8,3
1,8:43.0,,K. Dunn misses 2-pt jump shot from 12 ft,8,3
1,8:39.0,Defensive rebound by A. Bradley,,8,3
1,8:31.0,T. Harris misses 2-pt layup from 2 ft (block by L. Markkanen),,8,3
1,8:28.0,,Defensive rebound by B. Portis,8,3
1,8:26.0,,Z. LaVine makes 2-pt layup from 1 ft (assist by K. Dunn),8,5
1,8:17.0,P. Beverley misses 2-pt layup from 2 ft (block by L. Markkanen),,8,5
1,8:13.0,,Defensive rebound by B. Portis,8,5
1,8:05.0,,Z. LaVine misses 3-pt jump shot from 25 ft,8,5
1,8:01.0,,Offensive rebound by B. Portis,8,5
1,8:00.0,,B. Portis misses 2-pt layup from 2 ft,8,5
1,7:58.0,Defensive rebound by A. Bradley,,8,5
1,7:46.0,A. Bradley misses 2-pt jump shot from 17 ft,,8,5
1,7:43.0,,Defensive rebound by B. Portis,8,5
1,7:36.0,,Turnover by Z. LaVine (traveling),8,5
1,7:23.0,P. Beverley misses 3-pt jump shot from 24 ft,,8,5
1,7:19.0,,Defensive rebound by C. Hutchison,8,5
1,7:10.0,,L. Markkanen misses 3-pt jump shot from 26 ft,8,5
1,7:06.0,Defensive rebound by P. Beverley,,8,5
1,6:48.0,A. Bradley makes 2-pt layup from 2 ft (assist by T. Harris),,10,5
1,6:35.0,,Turnover by K. Dunn (bad pass),10,5
1,6:35.0,,Chicago full timeout,10,5
1,6:35.0,,R. Lopez enters the game for B. Portis,10,5
1,6:16.0,T. Harris makes 3-pt jump shot from 25 ft (assist by S. Gilgeous-Alexander),,13,5
1,6:03.0,,Z. LaVine makes 2-pt dunk at rim (assist by R. Lopez),13,7
1,5:42.0,M. Gortat misses 2-pt layup from 1 ft (block by R. Lopez),,13,7
1,5:40.0,,Defensive rebound by K. Dunn,13,7
1,5:34.0,,C. Hutchison makes 2-pt dunk from 1 ft,13,9
1,5:23.0,A. Bradley makes 2-pt layup from 2 ft (assist by S. Gilgeous-Alexander),,15,9
1,5:09.0,,R. Lopez misses 2-pt hook shot from 5 ft,15,9
1,5:06.0,Defensive rebound by M. Gortat,,15,9
1,4:59.0,M. Gortat misses 2-pt layup from 1 ft,,15,9
1,4:58.0,Offensive rebound by A. Bradley,,15,9
1,4:58.0,A. Bradley makes 2-pt layup from 1 ft,,17,9
1,4:58.0,,Chicago full timeout,17,9
1,4:58.0,M. Harrell enters the game for S. Gilgeous-Alexander,,17,9
1,4:58.0,L. Williams enters the game for M. Gortat,,17,9
1,4:58.0,,W. Selden enters the game for C. Hutchison,17,9
1,4:47.0,,R. Lopez misses 2-pt hook shot from 6 ft,17,9
1,4:47.0,Defensive rebound by P. Beverley,,17,9
1,4:36.0,T. Harris misses 2-pt layup from 2 ft,,17,9
1,4:34.0,,Defensive rebound by R. Lopez,17,9
1,4:30.0,,K. Dunn misses 2-pt jump shot from 21 ft,17,9
1,4:26.0,Defensive rebound by L. Williams,,17,9
1,4:12.0,Turnover by T. Harris (bad pass; steal by Z. LaVine),,17,9
1,4:06.0,,W. Selden misses 2-pt jump shot from 18 ft,17,9
1,4:01.0,Defensive rebound by T. Harris,,17,9
1,3:54.0,L. Williams misses 2-pt jump shot from 22 ft,,17,9
1,3:52.0,,Defensive rebound by L. Markkanen,17,9
1,3:42.0,,Shooting foul by M. Harrell (drawn by L. Markkanen),17,9
1,3:42.0,LA Clippers full timeout,,17,9
1,3:42.0,,R. Arcidiacono enters the game for K. Dunn,17,9
1,3:42.0,,L. Markkanen makes free throw 1 of 2,17,10
1,3:42.0,,L. Markkanen makes free throw 2 of 2,17,11
1,3:28.0,T. Harris makes 2-pt jump shot from 16 ft (assist by L. Williams),,19,11
1,3:05.0,,W. Selden misses 2-pt jump shot from 9 ft (block by P. Beverley),19,11
1,3:05.0,Defensive rebound by Team,,19,11
1,3:05.0,,Loose ball foul by W. Selden (drawn by P. Beverley),19,11
1,3:05.0,J. Robinson enters the game for P. Beverley,,19,11
1,3:05.0,,J. Parker enters the game for R. Lopez,19,11
1,3:05.0,,B. Portis enters the game for L. Markkanen,19,11
1,2:47.0,L. Williams misses 2-pt jump shot from 4 ft,,19,11
1,2:43.0,Offensive rebound by M. Harrell,,19,11
1,2:43.0,M. Harrell misses 2-pt layup from 1 ft,,19,11
1,2:42.0,,Defensive rebound by B. Portis,19,11
1,2:40.0,,Shooting foul by T. Harris (drawn by Z. LaVine),19,11
1,2:40.0,,Z. LaVine makes free throw 1 of 2,19,12
1,2:40.0,,Z. LaVine makes free throw 2 of 2,19,13
1,2:34.0,Shooting foul by J. Parker (drawn by L. Williams),,19,13
1,2:34.0,L. Williams misses free throw 1 of 2,,19,13
1,2:34.0,Offensive rebound by Team,,19,13
1,2:34.0,L. Williams makes free throw 2 of 2,,20,13
1,2:19.0,,J. Parker makes 3-pt jump shot from 23 ft (assist by Z. LaVine),20,16
1,2:02.0,M. Harrell makes 2-pt layup from 1 ft (assist by L. Williams),,22,16
1,1:49.0,,J. Parker misses 2-pt jump shot from 19 ft,22,16
1,1:47.0,Defensive rebound by T. Harris,,22,16
1,1:41.0,Turnover by T. Harris (bad pass; steal by J. Parker),,22,16
1,1:35.0,,Shooting foul by M. Harrell (drawn by Z. LaVine),22,16
1,1:35.0,,Z. LaVine makes free throw 1 of 2,22,17
1,1:35.0,,Z. LaVine makes free throw 2 of 2,22,18
1,1:15.0,J. Robinson makes 2-pt jump shot from 12 ft (assist by A. Bradley),,24,18
1,0:57.0,,Z. LaVine makes 2-pt jump shot from 17 ft,24,20
1,0:50.0,Shooting foul by W. Selden (drawn by L. Williams),,24,20
1,0:50.0,L. Williams makes free throw 1 of 2,,25,20
1,0:50.0,S. Gilgeous-Alexander enters the game for A. Bradley,,25,20
1,0:50.0,J. Motley enters the game for T. Harris,,25,20
1,0:50.0,,R. Lopez enters the game for B. Portis,25,20
1,0:50.0,L. Williams misses free throw 2 of 2,,25,20
1,0:49.0,,Defensive rebound by J. Parker,25,20
1,0:36.0,,Turnover by Z. LaVine (lost ball; steal by J. Robinson),25,20
1,0:18.0,J. Motley misses 2-pt jump shot from 8 ft,,25,20
1,0:14.0,Offensive rebound by J. Motley,,25,20
1,0:14.0,M. Harrell makes 2-pt dunk from 1 ft (assist by J. Motley),,27,20
1,0:03.0,,J. Parker misses 3-pt jump shot from 26 ft,27,20
1,0:00.0,Defensive rebound by J. Robinson,,27,20
2,11:52.0,,Personal foul by J. Robinson (drawn by R. Arcidiacono),27,20
2,11:34.0,,J. Parker makes 2-pt jump shot from 3 ft,27,22
2,11:19.0,L. Williams makes 3-pt jump shot from 26 ft (assist by S. Gilgeous-Alexander),,30,22
2,11:11.0,,Personal foul by J. Motley (drawn by J. Parker),30,22
2,11:03.0,,R. Arcidiacono misses 2-pt jump shot from 21 ft,30,22
2,10:59.0,Defensive rebound by L. Williams,,30,22
2,10:56.0,Turnover by L. Williams (bad pass; steal by W. Selden),,30,22
2,10:52.0,,J. Parker makes 2-pt layup from 2 ft,30,24
2,10:52.0,,Shooting foul by J. Motley (drawn by J. Parker),30,24
2,10:52.0,,J. Parker makes free throw 1 of 1,30,25
2,10:41.0,L. Williams makes 2-pt layup at rim,,32,25
