QUARTER,TIME_REMAINING,MIAMI_ACTION,SACRAMENTO_ACTION,MIAMI_SCORE,SACRAMENTO_SCORE
1,11:47.0,J. Richardson makes 2-pt layup from 2 ft (assist by K. Olynyk),,2,0
1,11:47.0,,Violation by Team (def goaltending),2,0
1,11:25.0,,B. Hield misses 2-pt jump shot from 16 ft,2,0
1,11:22.0,Defensive rebound by J. Winslow,,2,0
1,11:14.0,D. Waiters misses 2-pt layup from 2 ft (block by B. Hield),,2,0
1,11:14.0,Offensive rebound by Team,,2,0
1,11:11.0,J. Richardson misses 2-pt jump shot from 19 ft,,2,0
1,11:08.0,,Defensive rebound by Team,2,0
1,11:08.0,Loose ball foul by H. Whiteside (drawn by W. Cauley-Stein),,2,0
1,10:57.0,,Turnover by D. Fox (bad pass; steal by H. Whiteside),2,0
1,10:46.0,Turnover by K. Olynyk (bad pass; steal by W. Cauley-Stein),,2,0
1,10:38.0,,B. Hield misses 3-pt jump shot from 25 ft,2,0
1,10:35.0,Defensive rebound by H. Whiteside,,2,0
1,10:31.0,K. Olynyk makes 3-pt jump shot from 25 ft (assist by D. Waiters),,5,0
1,10:11.0,,N. Bjelica misses 2-pt layup from 3 ft,5,0
1,10:07.0,,Offensive rebound by N. Bjelica,5,0
1,10:07.0,,N. Bjelica misses 2-pt layup at rim,5,0
1,10:07.0,Defensive rebound by H. Whiteside,,5,0
1,9:56.0,H. Whiteside misses 2-pt hook shot from 5 ft,,5,0
1,9:53.0,,Defensive rebound by W. Cauley-Stein,5,0
1,9:43.0,,H. Barnes misses 2-pt jump shot from 17 ft,5,0
1,9:39.0,Defensive rebound by H. Whiteside,,5,0
1,9:25.0,D. Waiters misses 2-pt jump shot from 20 ft,,5,0
1,9:22.0,,Defensive rebound by W. Cauley-Stein,5,0
1,9:17.0,,D. Fox misses 2-pt layup from 3 ft (block by K. Olynyk),5,0
1,9:13.0,Defensive rebound by J. Winslow,,5,0
1,9:04.0,H. Whiteside misses 2-pt layup from 3 ft,,5,0
1,9:02.0,,Defensive rebound by W. Cauley-Stein,5,0
1,8:58.0,,N. Bjelica misses 3-pt jump shot from 23 ft,5,0
1,8:54.0,Defensive rebound by H. Whiteside,,5,0
1,8:40.0,H. Whiteside makes 2-pt dunk from 1 ft (assist by J. Richardson),,7,0
1,8:39.0,,Sacramento full timeout,7,0
1,8:26.0,,B. Hield makes 2-pt jump shot from 20 ft (assist by W. Cauley-Stein),7,2
1,8:09.0,H. Whiteside makes 2-pt hook shot from 6 ft,,9,2
1,7:54.0,,H. Barnes misses 2-pt jump shot from 9 ft,9,2
1,7:51.0,,Offensive rebound by N. Bjelica,9,2
1,7:51.0,,N. Bjelica makes 2-pt layup at rim,9,4
1,7:31.0,D. Waiters makes 3-pt jump shot from 26 ft (assist by J. Richardson),,12,4
1,7:20.0,,Shooting foul by J. Winslow (drawn by D. Fox),12,4
1,7:20.0,,D. Fox misses free throw 1 of 2,12,4
1,7:20.0,,Offensive rebound by Team,12,4
1,7:20.0,,D. Fox makes free throw 2 of 2,12,5
1,7:09.0,K. Olynyk makes 2-pt jump shot from 8 ft (assist by J. Winslow),,14,5
1,6:58.0,,H. Barnes misses 2-pt layup from 3 ft (block by H. Whiteside),14,5
1,6:55.0,Defensive rebound by H. Whiteside,,14,5
1,6:50.0,J. Winslow misses 2-pt jump shot from 10 ft,,14,5
