QUARTER,TIME_REMAINING,DENVER_ACTION,WASHINGTON_ACTION,DENVER_SCORE,WASHINGTON_SCORE
1,11:48.0,,B. Beal makes 2-pt jump shot from 6 ft,0,2
1,11:28.0,W. Barton makes 2-pt jump shot from 21 ft,,2,2
1,11:16.0,,B. Portis makes 3-pt jump shot from 25 ft (assist by T. Satoranský),2,5
1,10:56.0,G. Harris misses 2-pt jump shot from 7 ft,,2,5
1,10:53.0,Offensive rebound by G. Harris,,2,5
1,10:53.0,G. Harris makes 2-pt layup from 1 ft,,4,5
1,10:44.0,,B. Portis misses 3-pt jump shot from 23 ft,4,5
1,10:40.0,Defensive rebound by P. Millsap,,4,5
1,10:30.0,G. Harris misses 2-pt jump shot from 16 ft,,4,5
1,10:28.0,Offensive rebound by G. Harris,,4,5
1,10:17.0,P. Millsap makes 2-pt jump shot from 7 ft,,6,5
1,10:04.0,,T. Brown makes 2-pt layup from 2 ft (assist by B. Beal),6,7
1,9:50.0,G. Harris misses 2-pt layup from 3 ft,,6,7
1,9:47.0,,Defensive rebound by B. Portis,6,7
1,9:41.0,,T. Satoranský makes 3-pt jump shot from 26 ft (assist by B. Beal),6,10
1,9:20.0,J. Murray misses 2-pt jump shot from 19 ft,,6,10
1,9:18.0,,Defensive rebound by B. Portis,6,10
1,9:05.0,,T. Bryant makes 2-pt dunk at rim (assist by T. Satoranský),6,12
1,8:54.0,Personal foul by T. Bryant (drawn by J. Murray),,6,12
1,8:47.0,G. Harris makes 2-pt layup from 1 ft (assist by N. Jokić),,8,12
1,8:41.0,,T. Brown makes 2-pt layup from 1 ft (assist by B. Beal),8,14
1,8:40.0,Denver full timeout,,8,14
1,8:22.0,W. Barton misses 3-pt jump shot from 26 ft,,8,14
1,8:18.0,,Defensive rebound by T. Bryant,8,14
1,8:12.0,,T. Bryant makes 2-pt dunk from 1 ft (assist by B. Beal),8,16
1,7:56.0,N. Jokić makes 3-pt jump shot from 28 ft (assist by W. Barton),,11,16
1,7:44.0,,T. Satoranský makes 2-pt jump shot from 14 ft,11,18
1,7:33.0,G. Harris makes 3-pt jump shot from 23 ft (assist by N. Jokić),,14,18
1,7:18.0,,Personal foul by W. Barton (drawn by T. Satoranský),14,18
1,7:05.0,,B. Beal misses 2-pt layup from 2 ft,14,18
1,7:03.0,Defensive rebound by P. Millsap,,14,18
1,6:52.0,P. Millsap makes 2-pt jump shot from 5 ft (assist by N. Jokić),,16,18
1,6:46.0,,B. Portis makes 2-pt layup from 2 ft (assist by T. Brown),16,20
1,6:46.0,,Shooting foul by P. Millsap (drawn by B. Portis),16,20
1,6:46.0,,B. Portis makes free throw 1 of 1,16,21
1,6:38.0,Personal foul by T. Brown (drawn by N. Jokić),,16,21
1,6:26.0,W. Barton misses 3-pt jump shot from 23 ft,,16,21
1,6:20.0,,Defensive rebound by T. Bryant,16,21
1,6:19.0,,Personal foul by W. Barton (drawn by B. Beal),16,21
1,6:19.0,M. Beasley enters the game for W. Barton,,16,21
1,6:19.0,M. Morris enters the game for P. Millsap,,16,21
1,6:19.0,M. Plumlee enters the game for J. Murray,,16,21
1,6:01.0,,B. Portis misses 2-pt jump shot from 18 ft,16,21
1,5:58.0,Defensive rebound by N. Jokić,,16,21
1,5:42.0,N. Jokić makes 2-pt hook shot from 9 ft,,18,21
1,5:26.0,,T. Bryant makes 2-pt layup from 1 ft (assist by B. Beal),18,23
1,5:05.0,M. Morris makes 3-pt jump shot from 26 ft (assist by N. Jokić),,21,23
1,4:48.0,,B. Portis misses 3-pt jump shot from 25 ft,21,23
1,4:44.0,Defensive rebound by M. Plumlee,,21,23
1,4:29.0,N. Jokić misses 2-pt hook shot from 8 ft,,21,23
1,4:26.0,,Defensive rebound by T. Brown,21,23
1,4:13.0,,Turnover by B. Portis (lost ball; steal by G. Harris),21,23
1,4:07.0,M. Morris makes 3-pt jump shot from 25 ft (assist by G. Harris),,24,23
1,4:06.0,,Washington full timeout,24,23
1,4:06.0,,J. Green enters the game for T. Brown,24,23
1,4:06.0,,J. Parker enters the game for B. Portis,24,23
1,3:53.0,,B. Beal misses 3-pt jump shot from 25 ft,24,23
1,3:49.0,Defensive rebound by M. Beasley,,24,23
1,3:34.0,G. Harris misses 3-pt jump shot from 26 ft,,24,23
1,3:28.0,,Defensive rebound by T. Bryant,24,23
1,3:19.0,,J. Green misses 3-pt jump shot from 23 ft,24,23
1,3:17.0,,Offensive rebound by T. Bryant,24,23
