QUARTER,TIME_REMAINING,DENVER_ACTION,LA LAKERS_ACTION,DENVER_SCORE,LA LAKERS_SCORE
1,11:40.0,W. Barton makes 3-pt jump shot from 26 ft (assist by G. Harris),,3,0
1,11:16.0,,L. James misses 2-pt jump shot from 6 ft,3,0
1,11:15.0,Defensive rebound by N. Jokić,,3,0
1,11:03.0,W. Barton makes 3-pt jump shot from 24 ft (assist by J. Murray),,6,0
1,10:37.0,,J. McGee makes 2-pt dunk from 2 ft (assist by R. Rondo),6,2
1,10:15.0,J. Murray misses 3-pt jump shot from 27 ft,,6,2
1,10:11.0,,Defensive rebound by J. Hart,6,2
1,9:57.0,,Turnover by L. James (bad pass; steal by N. Jokić),6,2
1,9:52.0,P. Millsap misses 2-pt layup from 2 ft,,6,2
1,9:49.0,,Defensive rebound by R. Rondo,6,2
1,9:45.0,,Shooting foul by W. Barton (drawn by L. James),6,2
1,9:45.0,,L. James misses free throw 1 of 2,6,2
1,9:45.0,,Offensive rebound by Team,6,2
1,9:45.0,,L. James misses free throw 2 of 2,6,2
1,9:43.0,Defensive rebound by N. Jokić,,6,2
1,9:33.0,G. Harris makes 2-pt layup from 1 ft (assist by J. Murray),,8,2
1,9:19.0,,J. McGee makes 2-pt dunk from 1 ft (assist by L. James),8,4
1,9:08.0,W. Barton makes 2-pt layup from 2 ft (assist by J. Murray),,10,4
1,9:02.0,,Shooting foul by P. Millsap (drawn by L. James),10,4
1,9:02.0,,L. James misses free throw 1 of 2,10,4
1,9:02.0,,Offensive rebound by Team,10,4
1,9:02.0,,L. James misses free throw 2 of 2,10,4
1,9:00.0,Defensive rebound by J. Murray,,10,4
1,8:52.0,W. Barton misses 3-pt jump shot from 27 ft,,10,4
1,8:48.0,,Defensive rebound by J. McGee,10,4
1,8:41.0,,L. James makes 3-pt jump shot from 26 ft,10,7
1,8:28.0,Turnover by J. Murray (bad pass),,10,7
1,8:22.0,,L. James makes 3-pt jump shot from 28 ft,10,10
1,8:06.0,Shooting foul by J. McGee (drawn by N. Jokić),,10,10
1,8:06.0,N. Jokić misses free throw 1 of 2,,10,10
1,8:06.0,Offensive rebound by Team,,10,10
1,8:06.0,N. Jokić makes free throw 2 of 2,,11,10
1,7:55.0,,L. James misses 3-pt jump shot from 27 ft,11,10
1,7:51.0,Defensive rebound by J. Murray,,11,10
1,7:44.0,J. Murray makes 3-pt jump shot from 26 ft (assist by W. Barton),,14,10
1,7:15.0,,J. Hart misses 3-pt jump shot from 24 ft,14,10
1,7:13.0,Defensive rebound by J. Murray,,14,10
1,7:09.0,J. Murray makes 2-pt jump shot from 7 ft,,16,10
1,7:02.0,,LA Lakers full timeout,16,10
1,7:02.0,,L. Stephenson enters the game for J. Hart,16,10
1,6:51.0,,J. McGee makes 2-pt dunk from 2 ft (assist by R. Rondo),16,12
1,6:34.0,J. Murray makes 2-pt jump shot from 14 ft (assist by N. Jokić),,18,12
1,6:23.0,,L. Stephenson makes 3-pt jump shot from 24 ft (assist by R. Rondo),18,15
1,6:06.0,N. Jokić makes 2-pt layup from 2 ft (assist by G. Harris),,20,15
1,5:50.0,,R. Bullock makes 2-pt jump shot from 21 ft (assist by R. Rondo),20,17
1,5:31.0,P. Millsap makes 2-pt jump shot from 11 ft (assist by J. Murray),,22,17
1,5:20.0,,L. James misses 2-pt jump shot from 11 ft,22,17
1,5:17.0,Defensive rebound by W. Barton,,22,17
1,5:15.0,G. Harris makes 2-pt layup from 1 ft (assist by W. Barton),,24,17
1,5:04.0,,L. Stephenson misses 3-pt jump shot from 25 ft,24,17
1,5:01.0,Defensive rebound by J. Murray,,24,17
1,4:58.0,J. Murray misses 3-pt jump shot from 27 ft,,24,17
1,4:56.0,,Defensive rebound by L. James,24,17
1,4:50.0,,L. James misses 3-pt jump shot from 27 ft,24,17
1,4:47.0,Defensive rebound by N. Jokić,,24,17
1,4:47.0,Shooting foul by R. Bullock (drawn by P. Millsap),,24,17
1,4:47.0,P. Millsap makes free throw 1 of 2,,25,17
1,4:47.0,M. Beasley enters the game for G. Harris,,25,17
1,4:47.0,,M. Muscala enters the game for L. James,25,17
1,4:47.0,,M. Wagner enters the game for J. McGee,25,17
1,4:47.0,P. Millsap makes free throw 2 of 2,,26,17
1,4:34.0,,L. Stephenson misses 2-pt layup from 2 ft,26,17
1,4:32.0,Defensive rebound by N. Jokić,,26,17
1,4:29.0,W. Barton makes 3-pt jump shot from 27 ft (assist by N. Jokić),,29,17
1,4:28.0,,LA Lakers full timeout,29,17
1,4:28.0,M. Plumlee enters the game for P. Millsap,,29,17
1,4:13.0,,M. Muscala misses 3-pt jump shot from 24 ft,29,17
1,4:10.0,Defensive rebound by J. Murray,,29,17
1,4:01.0,M. Beasley misses 3-pt jump shot from 26 ft,,29,17
