QUARTER,TIME_REMAINING,DETROIT_ACTION,UTAH_ACTION,DETROIT_SCORE,UTAH_SCORE
1,11:44.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by J. Ingles),0,2
1,11:32.0,R. Bullock makes 3-pt jump shot from 25 ft (assist by B. Brown),,3,2
1,11:20.0,,Turnover by D. Mitchell (bad pass),3,2
1,11:10.0,Shooting foul by D. Mitchell (drawn by B. Brown),,3,2
1,11:10.0,B. Brown makes free throw 1 of 2,,4,2
1,11:10.0,B. Brown makes free throw 2 of 2,,5,2
1,10:59.0,,Turnover by J. Ingles (bad pass; steal by A. Drummond),5,2
1,10:51.0,A. Drummond makes 2-pt layup from 3 ft,,7,2
1,10:34.0,,D. Mitchell misses 2-pt jump shot from 14 ft,7,2
1,10:31.0,Defensive rebound by R. Jackson,,7,2
1,10:25.0,R. Jackson makes 2-pt jump shot from 6 ft,,9,2
1,10:25.0,,Utah full timeout,9,2
1,10:14.0,,D. Mitchell misses 2-pt jump shot from 20 ft,9,2
1,10:10.0,Defensive rebound by R. Jackson,,9,2
1,10:05.0,B. Brown misses 3-pt jump shot from 25 ft,,9,2
1,10:03.0,,Defensive rebound by D. Mitchell,9,2
1,9:45.0,,J. Ingles makes 3-pt jump shot from 28 ft (assist by R. O'Neale),9,5
1,9:24.0,B. Brown misses 2-pt layup from 4 ft,,9,5
1,9:21.0,,Defensive rebound by R. Gobert,9,5
1,9:08.0,,R. Gobert misses 2-pt hook shot from 6 ft,9,5
1,9:05.0,Defensive rebound by A. Drummond,,9,5
1,8:51.0,R. Bullock makes 3-pt jump shot from 24 ft (assist by B. Griffin),,12,5
1,8:39.0,,D. Mitchell makes 2-pt jump shot from 11 ft,12,7
1,8:26.0,R. Jackson misses 2-pt jump shot from 22 ft,,12,7
1,8:24.0,,Defensive rebound by R. Gobert,12,7
1,8:09.0,,D. Favors misses 3-pt jump shot from 23 ft,12,7
1,8:05.0,Defensive rebound by B. Griffin,,12,7
1,8:02.0,A. Drummond misses 2-pt layup from 2 ft,,12,7
1,8:00.0,Offensive rebound by B. Brown,,12,7
1,8:00.0,B. Brown misses 2-pt layup from 2 ft,,12,7
1,7:57.0,,Defensive rebound by D. Mitchell,12,7
1,7:48.0,,D. Mitchell makes 3-pt jump shot from 25 ft (assist by J. Ingles),12,10
1,7:38.0,Detroit full timeout,,12,10
1,7:38.0,,K. Korver enters the game for J. Ingles,12,10
1,7:32.0,B. Griffin misses 3-pt jump shot from 25 ft,,12,10
1,7:28.0,Offensive rebound by B. Brown,,12,10
1,7:15.0,R. Jackson misses 2-pt jump shot from 20 ft,,12,10
1,7:10.0,,Defensive rebound by R. Gobert,12,10
1,7:04.0,,R. Gobert misses 2-pt layup from 2 ft,12,10
1,7:00.0,Defensive rebound by B. Brown,,12,10
1,6:57.0,B. Griffin misses 3-pt jump shot from 25 ft,,12,10
1,6:53.0,,Defensive rebound by R. Gobert,12,10
1,6:42.0,,D. Mitchell makes 3-pt jump shot from 23 ft (assist by R. Gobert),12,13
1,6:16.0,R. Jackson makes 2-pt jump shot from 17 ft,,14,13
1,5:56.0,,Shooting foul by B. Brown (drawn by D. Mitchell),14,13
1,5:56.0,,D. Mitchell makes free throw 1 of 2,14,14
1,5:56.0,,J. Crowder enters the game for D. Favors,14,14
1,5:56.0,,D. Mitchell misses free throw 2 of 2,14,14
1,5:53.0,,Offensive rebound by R. Gobert,14,14
1,5:52.0,,R. Gobert misses 2-pt layup from 2 ft,14,14
1,5:49.0,,Offensive rebound by J. Crowder,14,14
1,5:49.0,,Turnover by J. Crowder (lost ball; steal by R. Jackson),14,14
1,5:49.0,Personal take foul by R. O'Neale (drawn by R. Jackson),,14,14
1,5:49.0,L. Galloway enters the game for B. Brown,,14,14
1,5:38.0,Shooting foul by R. O'Neale (drawn by R. Bullock),,14,14
1,5:38.0,R. Bullock makes free throw 1 of 3,,15,14
1,5:38.0,R. Bullock makes free throw 2 of 3,,16,14
1,5:38.0,R. Bullock makes free throw 3 of 3,,17,14
1,5:19.0,,J. Crowder misses 3-pt jump shot from 26 ft,17,14
1,5:16.0,Defensive rebound by A. Drummond,,17,14
1,5:11.0,B. Griffin misses 2-pt layup from 3 ft,,17,14
1,5:10.0,,Defensive rebound by R. Gobert,17,14
1,5:00.0,,K. Korver makes 3-pt jump shot from 27 ft (assist by R. Gobert),17,17
1,4:42.0,R. Bullock makes 2-pt dunk from 2 ft (assist by A. Drummond),,19,17
1,4:28.0,,K. Korver misses 3-pt jump shot from 25 ft,19,17
1,4:26.0,Defensive rebound by L. Galloway,,19,17
1,4:19.0,B. Griffin misses 3-pt jump shot from 24 ft,,19,17
1,4:17.0,,Defensive rebound by D. Mitchell,19,17
1,4:11.0,,Shooting foul by R. Bullock (drawn by R. Gobert),19,17
1,4:11.0,,R. Gobert misses free throw 1 of 2,19,17
1,4:11.0,,Offensive rebound by Team,19,17
1,4:11.0,I. Smith enters the game for R. Jackson,,19,17
1,4:11.0,,G. Allen enters the game for R. O'Neale,19,17
1,4:11.0,,R. Gobert makes free throw 2 of 2,19,18
1,3:50.0,A. Drummond misses 2-pt jump shot from 11 ft,,19,18
1,3:48.0,,Defensive rebound by R. Gobert,19,18
1,3:42.0,,Turnover by D. Mitchell (lost ball; steal by I. Smith),19,18
1,3:32.0,A. Drummond makes 2-pt dunk from 2 ft (assist by I. Smith),,21,18
1,3:19.0,,K. Korver misses 2-pt jump shot from 22 ft,21,18
1,3:18.0,,Offensive rebound by J. Crowder,21,18
1,3:18.0,,Shooting foul by R. Bullock (drawn by J. Crowder),21,18
1,3:18.0,,J. Crowder misses free throw 1 of 2,21,18
1,3:18.0,,Offensive rebound by Team,21,18
1,3:18.0,L. Kennard enters the game for R. Bullock,,21,18
1,3:18.0,,D. Favors enters the game for R. Gobert,21,18
1,3:18.0,,J. Ingles enters the game for D. Mitchell,21,18
1,3:18.0,,J. Crowder makes free throw 2 of 2,21,19
1,3:06.0,I. Smith makes 2-pt layup from 3 ft (assist by B. Griffin),,23,19
1,3:06.0,,Violation by Team (def goaltending),23,19
1,2:56.0,,Turnover by J. Ingles (bad pass; steal by A. Drummond),23,19
1,2:52.0,A. Drummond makes 2-pt dunk from 1 ft,,25,19
1,2:39.0,,G. Allen misses 2-pt jump shot from 9 ft,25,19
1,2:34.0,,Offensive rebound by D. Favors,25,19
1,2:34.0,,D. Favors makes 2-pt layup from 1 ft,25,21
1,2:26.0,,Violation by Team (kicked ball),25,21
1,2:18.0,I. Smith makes 3-pt jump shot from 23 ft,,28,21
1,2:04.0,,D. Favors makes 2-pt layup from 2 ft (assist by J. Ingles),28,23
1,1:40.0,I. Smith misses 3-pt jump shot from 26 ft,,28,23
1,1:36.0,,Defensive rebound by K. Korver,28,23
1,1:24.0,,K. Korver makes 3-pt jump shot from 23 ft (assist by J. Ingles),28,26
1,1:01.0,L. Galloway misses 3-pt jump shot from 26 ft,,28,26
1,0:59.0,,Defensive rebound by D. Favors,28,26
1,0:56.0,,Offensive foul by J. Ingles (drawn by B. Griffin),28,26
1,0:56.0,,Turnover by J. Ingles (offensive foul),28,26
1,0:56.0,S. Johnson enters the game for B. Griffin,,28,26
1,0:38.0,L. Galloway misses 2-pt layup from 2 ft,,28,26
1,0:36.0,,Defensive rebound by D. Favors,28,26
1,0:29.0,,J. Crowder misses 2-pt jump shot from 7 ft,28,26
1,0:26.0,Defensive rebound by A. Drummond,,28,26
1,0:05.0,S. Johnson makes 3-pt jump shot from 25 ft (assist by I. Smith),,31,26
1,0:03.0,,Personal foul by L. Galloway (drawn by J. Ingles),31,26
1,0:00.0,,Shooting foul by A. Drummond (drawn by D. Favors),31,26
1,0:00.0,,D. Favors makes free throw 1 of 2,31,27
