QUARTER,TIME_REMAINING,WASHINGTON_ACTION,INDIANA_ACTION,WASHINGTON_SCORE,INDIANA_SCORE
1,11:37.0,,Personal foul by T. Bryant (drawn by D. Collison),0,0
1,11:25.0,,B. Bogdanović makes 3-pt jump shot from 26 ft,0,3
1,11:05.0,J. Green misses 2-pt layup from 4 ft,,0,3
1,11:02.0,Offensive rebound by J. Green,,0,3
1,11:02.0,J. Green makes 2-pt layup at rim,,2,3
1,10:49.0,,D. Collison makes 2-pt layup from 3 ft,2,5
1,10:41.0,T. Bryant misses 2-pt layup from 1 ft,,2,5
1,10:39.0,,Defensive rebound by M. Turner,2,5
1,10:32.0,,D. Collison misses 3-pt jump shot from 26 ft,2,5
1,10:29.0,Defensive rebound by J. Wall,,2,5
1,10:25.0,T. Ariza makes 3-pt jump shot from 27 ft (assist by J. Wall),,5,5
1,10:11.0,,Personal foul by J. Wall (drawn by V. Oladipo),5,5
1,10:02.0,,T. Young misses 3-pt jump shot from 23 ft,5,5
1,9:59.0,Defensive rebound by B. Beal,,5,5
1,9:50.0,T. Bryant misses 2-pt layup from 5 ft (block by D. Collison),,5,5
1,9:48.0,,Defensive rebound by D. Collison,5,5
1,9:45.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by V. Oladipo),5,7
1,9:34.0,B. Beal misses 2-pt jump shot from 15 ft,,5,7
1,9:31.0,,Defensive rebound by M. Turner,5,7
1,9:20.0,,T. Young misses 2-pt layup from 1 ft,5,7
1,9:19.0,Defensive rebound by T. Bryant,,5,7
1,9:12.0,B. Beal misses 2-pt jump shot from 8 ft,,5,7
1,9:09.0,,Defensive rebound by M. Turner,5,7
1,9:03.0,,D. Collison misses 2-pt jump shot from 16 ft,5,7
1,9:00.0,Defensive rebound by T. Ariza,,5,7
1,8:46.0,Personal foul by V. Oladipo (drawn by B. Beal),,5,7
1,8:35.0,J. Green makes 2-pt jump shot from 21 ft (assist by B. Beal),,7,7
1,8:17.0,,M. Turner misses 2-pt jump shot from 19 ft,7,7
1,8:14.0,Defensive rebound by Team,,7,7
1,8:03.0,J. Green makes 3-pt jump shot from 24 ft (assist by J. Wall),,10,7
1,7:41.0,,B. Bogdanović misses 3-pt jump shot from 24 ft,10,7
1,7:38.0,Defensive rebound by J. Wall,,10,7
1,7:28.0,Shooting foul by T. Young (drawn by T. Bryant),,10,7
1,7:28.0,T. Bryant makes free throw 1 of 2,,11,7
1,7:28.0,T. Bryant makes free throw 2 of 2,,12,7
1,7:14.0,,B. Bogdanović makes 3-pt jump shot from 27 ft,12,10
1,7:00.0,J. Green misses 3-pt jump shot from 24 ft,,12,10
1,6:56.0,,Defensive rebound by V. Oladipo,12,10
1,6:48.0,,M. Turner misses 2-pt layup from 1 ft,12,10
1,6:46.0,Defensive rebound by T. Bryant,,12,10
1,6:40.0,J. Wall misses 3-pt jump shot from 28 ft,,12,10
1,6:38.0,,Defensive rebound by V. Oladipo,12,10
1,6:28.0,,M. Turner misses 2-pt jump shot from 17 ft,12,10
1,6:24.0,Defensive rebound by T. Bryant,,12,10
1,6:15.0,B. Beal misses 3-pt jump shot from 27 ft,,12,10
1,6:13.0,,Defensive rebound by M. Turner,12,10
1,6:05.0,,Turnover by D. Collison (bad pass; steal by T. Ariza),12,10
1,6:04.0,Personal take foul by B. Bogdanović (drawn by J. Wall),,12,10
1,6:04.0,,Indiana full timeout,12,10
1,5:43.0,T. Bryant makes 2-pt dunk from 1 ft (assist by B. Beal),,14,10
1,5:29.0,,M. Turner misses 2-pt jump shot from 16 ft,14,10
1,5:25.0,,Offensive rebound by T. Young,14,10
1,5:25.0,,T. Young misses 2-pt layup from 1 ft,14,10
1,5:25.0,Defensive rebound by J. Green,,14,10
1,5:19.0,Turnover by J. Wall (bad pass),,14,10
1,5:06.0,,D. Collison misses 3-pt jump shot from 23 ft,14,10
1,5:02.0,Defensive rebound by T. Ariza,,14,10
1,4:58.0,Personal foul by D. Collison (drawn by J. Wall),,14,10
1,4:58.0,M. Morris enters the game for B. Beal,,14,10
1,4:58.0,T. Satoranský enters the game for T. Bryant,,14,10
1,4:58.0,,D. Sabonis enters the game for T. Young,14,10
1,4:55.0,Turnover by T. Satoranský (traveling),,14,10
1,4:44.0,,Turnover by B. Bogdanović (bad pass),14,10
1,4:31.0,Turnover by J. Wall (bad pass; steal by D. Collison),,14,10
1,4:28.0,,D. Collison makes 2-pt layup at rim (assist by B. Bogdanović),14,12
1,4:16.0,M. Morris makes 2-pt layup from 2 ft (assist by J. Green),,16,12
1,4:16.0,Shooting foul by D. Sabonis (drawn by M. Morris),,16,12
1,4:16.0,,C. Joseph enters the game for B. Bogdanović,16,12
1,4:16.0,M. Morris makes free throw 1 of 1,,17,12
1,3:55.0,,M. Turner makes 2-pt jump shot from 9 ft,17,14
1,3:41.0,Turnover by J. Wall (out of bounds lost ball),,17,14
1,3:41.0,R. Baker enters the game for T. Ariza,,17,14
1,3:41.0,,D. McDermott enters the game for D. Collison,17,14
1,3:29.0,,M. Turner makes 3-pt jump shot from 27 ft (assist by C. Joseph),17,17
1,3:14.0,Shooting foul by C. Joseph (drawn by J. Wall),,17,17
1,3:14.0,J. Wall makes free throw 1 of 2,,18,17
1,3:14.0,J. Wall makes free throw 2 of 2,,19,17
1,3:03.0,,D. Sabonis makes 2-pt dunk from 1 ft (assist by V. Oladipo),19,19
1,2:50.0,Turnover by J. Green (bad pass; steal by V. Oladipo),,19,19
1,2:46.0,,C. Joseph makes 2-pt layup from 4 ft (assist by V. Oladipo),19,21
1,2:45.0,Washington full timeout,,19,21
1,2:45.0,S. Dekker enters the game for J. Green,,19,21
1,2:34.0,M. Morris makes 2-pt layup from 1 ft (assist by J. Wall),,21,21
1,2:22.0,,D. Sabonis makes 2-pt dunk from 1 ft (assist by V. Oladipo),21,23
1,2:08.0,M. Morris makes 2-pt layup from 2 ft (assist by J. Wall),,23,23
1,1:56.0,,C. Joseph misses 3-pt jump shot from 27 ft,23,23
1,1:55.0,Defensive rebound by J. Wall,,23,23
1,1:35.0,T. Satoranský misses 3-pt jump shot from 23 ft,,23,23
1,1:31.0,,Defensive rebound by D. Sabonis,23,23
1,1:25.0,,D. McDermott misses 3-pt jump shot from 27 ft,23,23
1,1:22.0,Defensive rebound by S. Dekker,,23,23
1,1:12.0,T. Satoranský misses 3-pt jump shot from 26 ft,,23,23
1,1:09.0,,Defensive rebound by D. McDermott,23,23
1,1:01.0,,Personal foul by T. Satoranský (drawn by D. McDermott),23,23
1,1:01.0,,A. Holiday enters the game for V. Oladipo,23,23
1,1:01.0,,T. Young enters the game for M. Turner,23,23
1,0:53.0,,C. Joseph misses 2-pt jump shot from 1 ft,23,23
1,0:51.0,,Offensive rebound by C. Joseph,23,23
1,0:42.0,,C. Joseph makes 2-pt jump shot from 3 ft,23,25
1,0:36.0,Shooting foul by T. Young (drawn by J. Wall),,23,25
1,0:36.0,J. Wall makes free throw 1 of 2,,24,25
1,0:36.0,J. Wall makes free throw 2 of 2,,25,25
1,0:29.0,,D. Sabonis makes 2-pt jump shot from 20 ft (assist by C. Joseph),25,27
1,0:10.0,Turnover by J. Wall (out of bounds lost ball),,25,27
1,0:03.0,,C. Joseph misses 2-pt jump shot from 11 ft,25,27
1,0:00.0,Defensive rebound by M. Morris,,25,27
2,11:44.0,M. Morris misses 2-pt layup from 4 ft,,25,27
2,11:43.0,,Defensive rebound by D. Sabonis,25,27
2,11:31.0,,D. McDermott makes 2-pt layup from 2 ft (assist by T. Young),25,29
2,11:17.0,S. Dekker makes 2-pt jump shot from 7 ft,,27,29
2,11:05.0,,A. Holiday makes 2-pt jump shot from 10 ft,27,31
