QUARTER,TIME_REMAINING,ORLANDO_ACTION,LA LAKERS_ACTION,ORLANDO_SCORE,LA LAKERS_SCORE
1,11:46.0,,K. Kuzma makes 2-pt layup from 3 ft (assist by L. James),0,2
1,11:35.0,A. Gordon makes 2-pt dunk from 3 ft (assist by D. Augustin),,2,2
1,11:22.0,,Turnover by B. Ingram (bad pass; steal by N. Vučević),2,2
1,11:16.0,A. Gordon misses 3-pt jump shot from 26 ft,,2,2
1,11:14.0,,Defensive rebound by L. Ball,2,2
1,11:10.0,,K. Kuzma misses 2-pt layup from 2 ft,2,2
1,11:10.0,Defensive rebound by Team,,2,2
1,10:59.0,E. Fournier misses 2-pt layup from 2 ft (block by L. Ball),,2,2
1,10:56.0,,Defensive rebound by J. McGee,2,2
1,10:47.0,,Def 3 sec tech foul by Team,2,2
1,10:47.0,,K. Kuzma makes technical free throw,2,3
1,10:37.0,,K. Kuzma makes 2-pt layup from 1 ft (assist by L. Ball),2,5
1,10:24.0,W. Iwundu misses 2-pt layup from 2 ft (block by J. McGee),,2,5
1,10:21.0,,Defensive rebound by L. Ball,2,5
1,10:17.0,,L. James makes 2-pt dunk from 2 ft (assist by K. Kuzma),2,7
1,10:04.0,D. Augustin makes 2-pt layup from 2 ft,,4,7
1,9:47.0,,K. Kuzma makes 3-pt jump shot from 25 ft (assist by L. Ball),4,10
1,9:35.0,N. Vučević misses 2-pt jump shot from 19 ft,,4,10
1,9:32.0,,Defensive rebound by B. Ingram,4,10
1,9:30.0,,Turnover by B. Ingram (bad pass; steal by N. Vučević),4,10
1,9:22.0,W. Iwundu misses 2-pt layup from 2 ft (block by J. McGee),,4,10
1,9:19.0,,Defensive rebound by J. McGee,4,10
1,9:12.0,,B. Ingram makes 2-pt layup from 1 ft (assist by K. Kuzma),4,12
1,9:12.0,,Shooting foul by E. Fournier (drawn by B. Ingram),4,12
1,9:12.0,,B. Ingram misses free throw 1 of 1,4,12
1,9:12.0,Defensive rebound by N. Vučević,,4,12
1,8:59.0,N. Vučević makes 2-pt jump shot from 11 ft (assist by W. Iwundu),,6,12
1,8:50.0,,K. Kuzma makes 2-pt layup from 2 ft,6,14
1,8:44.0,Orlando full timeout,,6,14
1,8:22.0,W. Iwundu misses 3-pt jump shot from 23 ft,,6,14
1,8:20.0,,Defensive rebound by K. Kuzma,6,14
1,8:15.0,,J. McGee makes 2-pt dunk from 2 ft (assist by K. Kuzma),6,16
1,8:00.0,Personal foul by B. Ingram (drawn by A. Gordon),,6,16
1,7:51.0,N. Vučević misses 3-pt jump shot from 25 ft,,6,16
1,7:48.0,,Defensive rebound by K. Kuzma,6,16
1,7:40.0,,J. McGee misses 2-pt jump shot from 4 ft,6,16
1,7:38.0,,Offensive rebound by J. McGee,6,16
1,7:37.0,,J. McGee makes 2-pt dunk from 2 ft,6,18
1,7:23.0,A. Gordon makes 2-pt dunk from 1 ft (assist by N. Vučević),,8,18
1,7:07.0,,B. Ingram misses 2-pt layup from 1 ft,8,18
1,7:05.0,,Offensive rebound by B. Ingram,8,18
1,7:03.0,,B. Ingram misses 2-pt layup from 2 ft (block by N. Vučević),8,18
1,7:00.0,Defensive rebound by N. Vučević,,8,18
1,6:55.0,D. Augustin misses 3-pt jump shot from 26 ft,,8,18
1,6:50.0,Offensive rebound by A. Gordon,,8,18
1,6:46.0,N. Vučević misses 2-pt hook shot from 2 ft (block by J. McGee),,8,18
1,6:43.0,Offensive rebound by D. Augustin,,8,18
1,6:40.0,N. Vučević misses 2-pt jump shot from 16 ft,,8,18
1,6:35.0,,Defensive rebound by L. James,8,18
1,6:33.0,,Personal foul by W. Iwundu (drawn by K. Kuzma),8,18
1,6:33.0,J. Isaac enters the game for W. Iwundu,,8,18
1,6:27.0,,L. Ball makes 2-pt jump shot from 13 ft (assist by L. James),8,20
1,6:14.0,E. Fournier misses 2-pt layup from 3 ft (block by J. McGee),,8,20
1,6:11.0,,Defensive rebound by L. Ball,8,20
1,6:08.0,,Turnover by L. James (bad pass),8,20
1,5:58.0,Shooting foul by J. McGee (drawn by N. Vučević),,8,20
1,5:58.0,N. Vučević makes free throw 1 of 2,,9,20
1,5:58.0,N. Vučević makes free throw 2 of 2,,10,20
1,5:44.0,,J. McGee misses 2-pt layup from 3 ft,10,20
1,5:40.0,Defensive rebound by J. Isaac,,10,20
1,5:34.0,D. Augustin makes 2-pt layup from 2 ft,,12,20
1,5:12.0,,B. Ingram misses 3-pt jump shot from 22 ft,12,20
1,5:10.0,Defensive rebound by A. Gordon,,12,20
1,5:02.0,J. Isaac misses 2-pt hook shot from 3 ft,,12,20
1,4:58.0,Offensive rebound by D. Augustin,,12,20
1,4:50.0,Turnover by N. Vučević (lost ball; steal by B. Ingram),,12,20
1,4:44.0,,B. Ingram makes 2-pt layup from 2 ft,12,22
1,4:20.0,Turnover by N. Vučević (bad pass),,12,22
1,4:20.0,J. Grant enters the game for D. Augustin,,12,22
1,4:20.0,T. Ross enters the game for E. Fournier,,12,22
1,4:20.0,,K. Caldwell-Pope enters the game for B. Ingram,12,22
1,4:20.0,,T. Chandler enters the game for J. McGee,12,22
1,4:00.0,,L. Ball misses 2-pt jump shot from 15 ft,12,22
1,3:57.0,Defensive rebound by N. Vučević,,12,22
1,3:49.0,T. Ross misses 2-pt layup from 2 ft,,12,22
1,3:45.0,,Defensive rebound by L. Ball,12,22
1,3:45.0,,Turnover by K. Kuzma (out of bounds lost ball),12,22
1,3:24.0,A. Gordon misses 2-pt jump shot from 17 ft,,12,22
1,3:22.0,,Defensive rebound by L. Ball,12,22
1,3:16.0,,Offensive foul by T. Chandler (drawn by T. Ross),12,22
1,3:16.0,,Turnover by T. Chandler (offensive foul),12,22
1,3:16.0,,J. Hart enters the game for L. James,12,22
1,3:05.0,T. Ross makes 2-pt jump shot from 19 ft (assist by N. Vučević),,14,22
1,2:50.0,,Personal foul by J. Isaac (drawn by K. Kuzma),14,22
1,2:50.0,,LA Lakers full timeout,14,22
1,2:50.0,M. Bamba enters the game for A. Gordon,,14,22
1,2:50.0,J. Simmons enters the game for N. Vučević,,14,22
1,2:35.0,,Turnover by T. Chandler (bad pass; steal by M. Bamba),14,22
1,2:21.0,M. Bamba misses 2-pt jump shot from 12 ft,,14,22
1,2:17.0,,Defensive rebound by T. Chandler,14,22
1,2:15.0,,L. Ball makes 2-pt layup from 2 ft,14,24
1,1:57.0,T. Ross makes 3-pt jump shot from 26 ft (assist by J. Grant),,17,24
1,1:44.0,,L. Ball misses 2-pt layup from 2 ft,17,24
1,1:42.0,Defensive rebound by J. Isaac,,17,24
1,1:34.0,J. Grant misses 3-pt jump shot from 26 ft,,17,24
1,1:29.0,,Defensive rebound by L. Ball,17,24
1,1:15.0,,K. Kuzma misses 2-pt jump shot from 19 ft,17,24
1,1:12.0,Defensive rebound by T. Ross,,17,24
1,1:00.0,T. Ross misses 2-pt jump shot from 16 ft,,17,24
1,0:59.0,,Defensive rebound by T. Chandler,17,24
1,0:59.0,,Shooting foul by J. Simmons (drawn by K. Kuzma),17,24
1,0:59.0,,K. Kuzma makes free throw 1 of 2,17,25
1,0:59.0,,K. Kuzma misses free throw 2 of 2,17,25
1,0:57.0,Defensive rebound by M. Bamba,,17,25
1,0:37.0,Turnover by J. Isaac (bad pass; steal by K. Kuzma),,17,25
1,0:32.0,,T. Chandler makes 2-pt dunk from 1 ft (assist by K. Kuzma),17,27
1,0:14.0,J. Simmons misses 2-pt jump shot from 3 ft,,17,27
1,0:11.0,,Defensive rebound by L. Ball,17,27
1,0:10.0,,Turnover by L. Ball (bad pass; steal by T. Ross),17,27
1,0:05.0,J. Isaac misses 2-pt layup from 2 ft,,17,27
1,0:04.0,Offensive rebound by M. Bamba,,17,27
1,0:04.0,M. Bamba makes 2-pt layup at rim,,19,27
1,0:00.0,,K. Kuzma makes 2-pt jump shot from 3 ft,19,29
2,11:47.0,Turnover by J. Grant (bad pass; steal by K. Caldwell-Pope),,19,29
2,11:46.0,,Turnover by K. Caldwell-Pope (out of bounds lost ball),19,29
2,11:30.0,J. Isaac misses 2-pt jump shot from 17 ft,,19,29
2,11:28.0,,Defensive rebound by J. Hart,19,29
2,11:06.0,,K. Caldwell-Pope misses 2-pt jump shot from 22 ft,19,29
2,11:03.0,Defensive rebound by M. Bamba,,19,29
2,10:49.0,J. Simmons misses 2-pt jump shot from 14 ft,,19,29
2,10:45.0,,Defensive rebound by J. Hart,19,29
2,10:41.0,,Turnover by L. James (bad pass; steal by J. Grant),19,29
2,10:19.0,M. Bamba makes 3-pt jump shot from 27 ft (assist by J. Grant),,22,29
2,9:57.0,,Shooting foul by J. Isaac (drawn by L. James),22,29
2,9:57.0,,L. James misses free throw 1 of 2,22,29
2,9:57.0,,Offensive rebound by Team,22,29
2,9:57.0,,L. Stephenson enters the game for T. Chandler,22,29
2,9:57.0,,L. James misses free throw 2 of 2,22,29
2,9:55.0,Defensive rebound by J. Isaac,,22,29
2,9:43.0,T. Ross makes 3-pt jump shot from 28 ft (assist by J. Simmons),,25,29
2,9:27.0,,L. Stephenson makes 3-pt jump shot from 24 ft (assist by J. Hart),25,32
2,9:07.0,J. Isaac misses 3-pt jump shot from 26 ft,,25,32
2,9:05.0,,Defensive rebound by B. Ingram,25,32
2,8:46.0,,B. Ingram misses 2-pt layup from 3 ft (block by M. Bamba),25,32
2,8:46.0,,Offensive rebound by Team,25,32
2,8:42.0,,L. James misses 3-pt jump shot from 27 ft,25,32
2,8:40.0,Defensive rebound by M. Bamba,,25,32
2,8:34.0,T. Ross makes 3-pt jump shot from 26 ft (assist by J. Simmons),,28,32
2,8:17.0,,L. James makes 2-pt dunk from 2 ft,28,34
2,8:03.0,T. Ross misses 3-pt jump shot from 26 ft,,28,34
2,8:00.0,,Defensive rebound by L. Stephenson,28,34
2,7:57.0,,L. James makes 2-pt layup from 1 ft (assist by L. Stephenson),28,36
2,7:57.0,,Shooting foul by T. Ross (drawn by L. James),28,36
2,7:57.0,A. Gordon enters the game for J. Isaac,,28,36
2,7:57.0,,J. McGee enters the game for J. Hart,28,36
2,7:57.0,,L. James makes free throw 1 of 1,28,37
2,7:36.0,A. Gordon misses 2-pt layup from 2 ft,,28,37
2,7:33.0,,Defensive rebound by J. McGee,28,37
2,7:24.0,,L. James makes 2-pt layup from 3 ft,28,39
2,7:19.0,Orlando full timeout,,28,39
2,7:19.0,D. Augustin enters the game for M. Bamba,,28,39
2,7:19.0,E. Fournier enters the game for J. Grant,,28,39
2,7:19.0,N. Vučević enters the game for T. Ross,,28,39
2,7:12.0,N. Vučević makes 3-pt jump shot from 27 ft (assist by D. Augustin),,31,39
2,6:52.0,,Offensive foul by J. McGee (drawn by J. Simmons),31,39
2,6:52.0,,Turnover by J. McGee (offensive foul),31,39
2,6:31.0,J. Simmons misses 2-pt layup from 5 ft (block by J. McGee),,31,39
2,6:31.0,Offensive rebound by Team,,31,39
2,6:31.0,,L. Ball enters the game for K. Caldwell-Pope,31,39
2,6:28.0,E. Fournier misses 3-pt jump shot from 26 ft,,31,39
2,6:28.0,Offensive rebound by Team,,31,39
2,6:28.0,Turnover by Team (shot clock),,31,39
2,6:11.0,,Offensive foul by B. Ingram (drawn by N. Vučević),31,39
2,6:11.0,,Turnover by B. Ingram (offensive foul),31,39
2,6:11.0,Technical foul by L. Walton,,31,39
2,6:11.0,D. Augustin makes technical free throw,,32,39
2,6:11.0,,K. Kuzma enters the game for B. Ingram,32,39
2,5:55.0,J. Simmons misses 3-pt jump shot from 26 ft,,32,39
2,5:51.0,,Defensive rebound by L. Ball,32,39
2,5:36.0,,L. Ball makes 2-pt layup from 1 ft,32,41
2,5:25.0,Turnover by J. Simmons (step out of bounds),,32,41
2,5:12.0,,J. McGee makes 2-pt dunk from 2 ft (assist by L. James),32,43
2,5:00.0,E. Fournier makes 2-pt jump shot from 3 ft (assist by D. Augustin),,34,43
2,4:52.0,,Turnover by L. James (bad pass),34,43
2,4:52.0,T. Ross enters the game for J. Simmons,,34,43
2,4:35.0,E. Fournier makes 2-pt layup from 3 ft (assist by N. Vučević),,36,43
2,4:30.0,,Personal foul by E. Fournier (drawn by K. Kuzma),36,43
2,4:30.0,,LA Lakers full timeout,36,43
2,4:23.0,,J. McGee makes 2-pt dunk from 3 ft (assist by L. Stephenson),36,45
2,3:54.0,N. Vučević makes 3-pt jump shot from 27 ft (assist by D. Augustin),,39,45
2,3:34.0,,L. Ball misses 2-pt layup from 4 ft (block by N. Vučević),39,45
