QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,GOLDEN STATE_ACTION,MILWAUKEE_SCORE,GOLDEN STATE_SCORE
4,2:37.0,Offensive rebound by Team,,128,102
4,2:37.0,S. Brown makes free throw 2 of 2,,129,102
4,2:25.0,Violation by Team (kicked ball),,129,102
4,2:15.0,,J. Bell makes 2-pt jump shot from 20 ft,129,104
4,1:54.0,T. Maker makes 2-pt dunk from 2 ft (assist by T. Snell),,131,104
4,1:43.0,,D. Jones makes 2-pt dunk from 3 ft (assist by Q. Cook),131,106
4,1:32.0,S. Brown misses 3-pt jump shot from 26 ft,,131,106
4,1:30.0,,Defensive rebound by D. Jones,131,106
4,1:22.0,,Q. Cook makes 2-pt jump shot from 18 ft,131,108
4,1:05.0,Turnover by M. Dellavedova (bad pass; steal by D. Lee),,131,108
4,1:01.0,,Q. Cook misses 3-pt jump shot from 30 ft,131,108
4,1:00.0,,Offensive rebound by A. McKinnie,131,108
4,0:56.0,,A. McKinnie misses 2-pt hook shot from 3 ft (block by S. Brown),131,108
4,0:55.0,Defensive rebound by M. Dellavedova,,131,108
4,0:48.0,T. Snell misses 2-pt layup from 2 ft,,131,108
4,0:47.0,,Defensive rebound by J. Bell,131,108
4,0:44.0,,Shooting foul by S. Brown (drawn by D. Lee),131,108
4,0:44.0,,D. Lee misses free throw 1 of 2,131,108
4,0:44.0,,Offensive rebound by Team,131,108
4,0:44.0,,D. Lee makes free throw 2 of 2,131,109
4,0:36.0,T. Snell makes 3-pt jump shot from 23 ft (assist by M. Dellavedova),,134,109
4,0:24.0,,D. Lee makes 2-pt jump shot from 13 ft (assist by Q. Cook),134,111
