QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,PHILADELPHIA_ACTION,GOLDEN STATE_SCORE,PHILADELPHIA_SCORE
1,11:52.0,,B. Simmons misses 2-pt layup from 1 ft,0,0
1,11:51.0,Defensive rebound by D. Green,,0,0
1,11:37.0,D. Cousins misses 2-pt jump shot from 12 ft,,0,0
1,11:33.0,,Defensive rebound by T. Harris,0,0
1,11:25.0,,J. Bolden makes 2-pt layup at rim (assist by J. Redick),0,2
1,11:25.0,,Shooting foul by A. McKinnie (drawn by J. Bolden),0,2
1,11:25.0,,J. Bolden makes free throw 1 of 1,0,3
1,11:10.0,S. Curry misses 2-pt jump shot from 17 ft,,0,3
1,11:06.0,,Defensive rebound by B. Simmons,0,3
1,10:59.0,,Turnover by B. Simmons (bad pass; steal by D. Cousins),0,3
1,10:50.0,K. Durant misses 3-pt jump shot from 28 ft,,0,3
1,10:46.0,,Defensive rebound by J. Butler,0,3
1,10:35.0,,J. Redick makes 2-pt jump shot from 20 ft (assist by J. Butler),0,5
1,10:19.0,S. Curry makes 3-pt jump shot from 26 ft (assist by D. Green),,3,5
1,9:57.0,,T. Harris makes 3-pt jump shot from 25 ft (assist by J. Bolden),3,8
1,9:46.0,D. Cousins misses 2-pt hook shot from 3 ft (block by J. Bolden),,3,8
1,9:43.0,,Defensive rebound by J. Bolden,3,8
1,9:38.0,,Turnover by B. Simmons (bad pass; steal by S. Curry),3,8
1,9:33.0,S. Curry misses 2-pt jump shot from 7 ft,,3,8
1,9:31.0,,Defensive rebound by B. Simmons,3,8
1,9:27.0,,T. Harris misses 3-pt jump shot from 27 ft,3,8
1,9:24.0,Defensive rebound by S. Curry,,3,8
1,9:21.0,Shooting foul by J. Redick (drawn by K. Durant),,3,8
1,9:21.0,K. Durant makes free throw 1 of 2,,4,8
1,9:21.0,K. Durant makes free throw 2 of 2,,5,8
1,9:06.0,,Shooting foul by S. Curry (drawn by J. Redick),5,8
1,9:06.0,,J. Redick makes free throw 1 of 2,5,9
1,9:06.0,,J. Redick makes free throw 2 of 2,5,10
1,8:56.0,Turnover by D. Green (bad pass; steal by B. Simmons),,5,10
1,8:51.0,,T. Harris makes 2-pt layup from 1 ft (assist by B. Simmons),5,12
1,8:38.0,S. Curry misses 3-pt jump shot from 27 ft,,5,12
1,8:35.0,,Defensive rebound by J. Redick,5,12
1,8:31.0,,J. Redick misses 3-pt jump shot from 26 ft,5,12
1,8:28.0,Defensive rebound by K. Durant,,5,12
1,8:06.0,S. Curry makes 3-pt jump shot from 23 ft (assist by D. Green),,8,12
1,7:59.0,,B. Simmons makes 2-pt layup at rim,8,14
1,7:59.0,,Shooting foul by D. Green (drawn by B. Simmons),8,14
1,7:59.0,,B. Simmons makes free throw 1 of 1,8,15
1,7:47.0,Turnover by K. Durant (traveling),,8,15
1,7:29.0,,Turnover by J. Redick (lost ball; steal by S. Curry),8,15
1,7:25.0,K. Durant makes 2-pt dunk from 1 ft (assist by A. McKinnie),,10,15
1,6:59.0,,T. Harris misses 3-pt jump shot from 25 ft,10,15
1,6:55.0,,Offensive rebound by J. Butler,10,15
1,6:50.0,,B. Simmons makes 2-pt jump shot from 4 ft (assist by T. Harris),10,17
1,6:44.0,Shooting foul by J. Butler (drawn by D. Cousins),,10,17
1,6:44.0,,Philadelphia full timeout,10,17
1,6:44.0,,M. Scott enters the game for J. Butler,10,17
1,6:44.0,D. Cousins makes free throw 1 of 2,,11,17
1,6:44.0,D. Cousins makes free throw 2 of 2,,12,17
1,6:32.0,,T. Harris makes 2-pt jump shot from 6 ft (assist by B. Simmons),12,19
1,6:10.0,S. Curry makes 3-pt jump shot from 27 ft (assist by K. Durant),,15,19
1,6:02.0,,B. Simmons makes 2-pt layup from 1 ft,15,21
1,6:02.0,,Shooting foul by S. Curry (drawn by B. Simmons),15,21
1,6:02.0,,B. Simmons makes free throw 1 of 1,15,22
1,5:48.0,Turnover by D. Green (bad pass; steal by M. Scott),,15,22
1,5:40.0,,T. Harris misses 2-pt layup from 2 ft,15,22
1,5:38.0,Defensive rebound by A. McKinnie,,15,22
1,5:30.0,K. Durant makes 2-pt jump shot from 6 ft (assist by S. Curry),,17,22
1,5:20.0,,J. Redick misses 3-pt jump shot from 25 ft,17,22
1,5:17.0,Defensive rebound by D. Green,,17,22
1,5:04.0,D. Cousins makes 2-pt hook shot from 4 ft,,19,22
1,4:47.0,,Turnover by T. Harris (out of bounds lost ball),19,22
1,4:47.0,J. Bell enters the game for D. Green,,19,22
1,4:47.0,D. Lee enters the game for A. McKinnie,,19,22
1,4:47.0,Golden State full timeout,,19,22
1,4:26.0,K. Durant makes 3-pt jump shot from 26 ft,,22,22
1,4:09.0,,Turnover by B. Simmons (bad pass; steal by D. Lee),22,22
1,4:04.0,J. Bell makes 2-pt layup from 1 ft (assist by S. Curry),,24,22
1,3:49.0,,Offensive foul by J. Bolden (drawn by D. Cousins),24,22
1,3:49.0,,Turnover by J. Bolden (offensive foul),24,22
1,3:49.0,A. Iguodala enters the game for D. Cousins,,24,22
1,3:49.0,J. Jerebko enters the game for S. Curry,,24,22
1,3:49.0,,T. McConnell enters the game for J. Bolden,24,22
1,3:49.0,,J. Simmons enters the game for J. Redick,24,22
1,3:34.0,J. Jerebko misses 2-pt jump shot from 4 ft,,24,22
1,3:31.0,,Defensive rebound by T. McConnell,24,22
1,3:27.0,,T. Harris makes 3-pt jump shot from 25 ft (assist by T. McConnell),24,25
1,3:10.0,Personal foul by J. Simmons (drawn by A. Iguodala),,24,25
1,3:10.0,,J. Butler enters the game for T. Harris,24,25
1,3:03.0,K. Durant misses 2-pt jump shot from 20 ft,,24,25
1,3:01.0,,Defensive rebound by M. Scott,24,25
1,2:57.0,,J. Butler makes 3-pt jump shot from 25 ft (assist by T. McConnell),24,28
1,2:36.0,K. Durant makes 2-pt jump shot from 7 ft,,26,28
1,2:22.0,,M. Scott misses 2-pt layup from 1 ft,26,28
1,2:21.0,Defensive rebound by A. Iguodala,,26,28
1,2:19.0,Turnover by A. Iguodala (out of bounds lost ball),,26,28
1,2:06.0,,J. Butler misses 2-pt jump shot from 18 ft,26,28
1,2:03.0,Defensive rebound by J. Bell,,26,28
1,1:52.0,K. Durant makes 2-pt jump shot from 8 ft,,28,28
1,1:40.0,,T. McConnell makes 2-pt layup at rim,28,30
1,1:23.0,K. Durant misses 2-pt jump shot from 10 ft,,28,30
1,1:20.0,,Defensive rebound by B. Simmons,28,30
1,1:12.0,,Shooting foul by J. Bell (drawn by J. Butler),28,30
1,1:12.0,,J. Butler makes free throw 1 of 2,28,31
1,1:12.0,,J. Butler makes free throw 2 of 2,28,32
1,0:52.0,Turnover by K. Durant (bad pass),,28,32
1,0:31.0,,J. Butler misses 2-pt jump shot from 16 ft,28,32
1,0:28.0,Defensive rebound by J. Bell,,28,32
1,0:24.0,D. Lee makes 3-pt jump shot from 24 ft (assist by A. Iguodala),,31,32
1,0:02.0,,M. Scott misses 3-pt jump shot from 27 ft,31,32
1,0:02.0,Defensive rebound by J. Bell,,31,32
2,11:44.0,D. Green makes 2-pt layup from 3 ft (assist by A. Iguodala),,33,32
2,11:31.0,,J. Butler misses 2-pt layup from 4 ft (block by A. Iguodala),33,32
2,11:26.0,,Offensive rebound by J. Butler,33,32
2,11:25.0,,J. Butler misses 2-pt layup from 5 ft,33,32
2,11:23.0,Defensive rebound by A. Iguodala,,33,32
2,11:19.0,S. Curry misses 3-pt jump shot from 27 ft,,33,32
2,11:16.0,,Defensive rebound by J. Butler,33,32
2,11:12.0,,Personal foul by A. Iguodala (drawn by J. Butler),33,32
2,11:02.0,,Shooting foul by D. Green (drawn by T. Harris),33,32
2,11:02.0,,T. Harris makes free throw 1 of 2,33,33
2,11:02.0,,T. Harris makes free throw 2 of 2,33,34
2,10:52.0,Shooting foul by J. Bolden (drawn by D. Green),,33,34
2,10:52.0,D. Green makes free throw 1 of 2,,34,34
2,10:52.0,D. Green makes free throw 2 of 2,,35,34
2,10:32.0,,T. McConnell makes 2-pt jump shot from 9 ft (assist by J. Simmons),35,36
2,10:13.0,D. Cousins makes 2-pt layup from 2 ft,,37,36
2,10:04.0,,T. Harris misses 3-pt jump shot from 25 ft,37,36
2,10:01.0,,Offensive rebound by J. Bolden,37,36
2,9:52.0,,J. Bolden makes 3-pt jump shot from 23 ft (assist by T. McConnell),37,39
2,9:38.0,D. Cousins misses 2-pt layup from 2 ft,,37,39
2,9:36.0,,Defensive rebound by J. Simmons,37,39
2,9:33.0,,Turnover by J. Butler (lost ball; steal by A. Iguodala),37,39
2,9:30.0,Personal take foul by T. McConnell (drawn by A. Iguodala),,37,39
2,9:23.0,Turnover by D. Green (bad pass; steal by J. Butler),,37,39
2,9:02.0,,Shooting foul by D. Cousins (drawn by J. Butler),37,39
2,9:02.0,,J. Butler makes free throw 1 of 2,37,40
2,9:02.0,,J. Butler makes free throw 2 of 2,37,41
2,8:43.0,D. Cousins misses 2-pt layup from 4 ft,,37,41
2,8:41.0,Offensive rebound by D. Cousins,,37,41
2,8:40.0,D. Cousins makes 2-pt layup from 1 ft,,39,41
2,8:31.0,,T. McConnell makes 2-pt jump shot from 19 ft,39,43
2,8:15.0,S. Livingston misses 2-pt layup from 4 ft (block by J. Butler),,39,43
2,8:11.0,,Defensive rebound by J. Simmons,39,43
2,8:06.0,,T. McConnell misses 2-pt jump shot from 8 ft,39,43
2,8:04.0,Defensive rebound by D. Cousins,,39,43
2,8:01.0,A. Iguodala makes 2-pt dunk from 1 ft (assist by D. Green),,41,43
2,8:00.0,,Philadelphia full timeout,41,43
2,8:00.0,D. Lee enters the game for A. Iguodala,,41,43
2,8:00.0,,J. Redick enters the game for J. Butler,41,43
2,8:00.0,,B. Simmons enters the game for T. McConnell,41,43
2,7:49.0,,Turnover by J. Simmons (lost ball; steal by S. Livingston),41,43
2,7:43.0,Turnover by S. Livingston (bad pass; steal by B. Simmons),,41,43
2,7:35.0,,B. Simmons makes 2-pt jump shot from 7 ft,41,45
2,7:15.0,D. Cousins makes 2-pt layup from 2 ft (assist by D. Green),,43,45
2,7:06.0,,T. Harris misses 3-pt jump shot from 26 ft,43,45
2,7:03.0,Defensive rebound by S. Curry,,43,45
2,6:59.0,S. Curry misses 3-pt jump shot from 26 ft,,43,45
2,6:56.0,,Defensive rebound by B. Simmons,43,45
2,6:50.0,,J. Bolden makes 3-pt jump shot from 25 ft (assist by B. Simmons),43,48
2,6:34.0,Turnover by D. Cousins (bad pass; steal by B. Simmons),,43,48
2,6:32.0,,B. Simmons makes 2-pt dunk from 1 ft,43,50
2,6:32.0,Golden State full timeout,,43,50
2,6:32.0,K. Durant enters the game for D. Cousins,,43,50
