QUARTER,TIME_REMAINING,MEMPHIS_ACTION,BOSTON_ACTION,MEMPHIS_SCORE,BOSTON_SCORE
1,11:37.0,G. Temple misses 3-pt jump shot from 26 ft,,0,0
1,11:36.0,,Defensive rebound by M. Morris,0,0
1,11:14.0,,M. Morris makes 2-pt jump shot from 21 ft (assist by J. Tatum),0,2
1,11:04.0,J. Holiday misses 3-pt jump shot from 23 ft,,0,2
1,11:03.0,,Defensive rebound by M. Morris,0,2
1,10:57.0,,Shooting foul by G. Temple (drawn by J. Tatum),0,2
1,10:57.0,,J. Tatum makes free throw 1 of 2,0,3
1,10:57.0,,J. Tatum makes free throw 2 of 2,0,4
1,10:44.0,M. Conley misses 2-pt jump shot from 17 ft,,0,4
1,10:43.0,Offensive rebound by J. Holiday,,0,4
1,10:39.0,J. Jackson misses 2-pt jump shot from 6 ft,,0,4
1,10:38.0,Offensive rebound by J. Jackson,,0,4
1,10:35.0,J. Jackson makes 2-pt layup from 2 ft,,2,4
1,10:18.0,,A. Horford makes 2-pt hook shot from 4 ft,2,6
1,10:07.0,M. Gasol makes 2-pt layup from 3 ft (assist by G. Temple),,4,6
1,9:48.0,,K. Irving makes 2-pt layup from 2 ft,4,8
1,9:31.0,J. Holiday makes 2-pt layup from 2 ft (assist by G. Temple),,6,8
1,9:20.0,,M. Smart makes 3-pt jump shot from 25 ft (assist by K. Irving),6,11
1,9:05.0,J. Holiday misses 2-pt jump shot from 13 ft,,6,11
1,9:04.0,Offensive rebound by J. Jackson,,6,11
1,9:04.0,Shooting foul by M. Morris (drawn by J. Jackson),,6,11
1,9:04.0,J. Jackson makes free throw 1 of 2,,7,11
1,9:04.0,J. Jackson makes free throw 2 of 2,,8,11
1,8:44.0,,A. Horford misses 3-pt jump shot from 25 ft,8,11
1,8:43.0,Defensive rebound by J. Holiday,,8,11
1,8:32.0,Turnover by J. Jackson (3 sec),,8,11
1,8:16.0,,J. Tatum misses 3-pt jump shot from 25 ft,8,11
1,8:14.0,,Offensive rebound by Team,8,11
1,8:14.0,Loose ball foul by G. Temple (drawn by M. Smart),,8,11
1,8:14.0,O. Casspi enters the game for G. Temple,,8,11
1,8:07.0,,K. Irving misses 3-pt jump shot from 24 ft,8,11
1,8:06.0,Defensive rebound by J. Jackson,,8,11
1,7:57.0,M. Conley misses 2-pt jump shot from 14 ft,,8,11
1,7:56.0,,Defensive rebound by J. Tatum,8,11
1,7:49.0,,A. Horford misses 2-pt layup from 2 ft (block by J. Jackson),8,11
1,7:48.0,Defensive rebound by M. Gasol,,8,11
1,7:44.0,M. Conley makes 2-pt layup from 3 ft,,10,11
1,7:44.0,Shooting foul by K. Irving (drawn by M. Conley),,10,11
1,7:44.0,M. Conley makes free throw 1 of 1,,11,11
1,7:32.0,,M. Morris makes 2-pt jump shot from 7 ft,11,13
1,7:04.0,M. Gasol misses 2-pt layup from 3 ft (block by M. Morris),,11,13
1,7:03.0,,Defensive rebound by M. Smart,11,13
1,6:56.0,,M. Smart makes 3-pt jump shot from 25 ft (assist by K. Irving),11,16
1,6:53.0,Memphis full timeout,,11,16
1,6:39.0,Turnover by M. Gasol (lost ball; steal by M. Smart),,11,16
1,6:35.0,,M. Morris misses 3-pt jump shot from 25 ft,11,16
1,6:34.0,Defensive rebound by J. Holiday,,11,16
1,6:28.0,M. Gasol misses 3-pt jump shot from 27 ft,,11,16
1,6:27.0,,Defensive rebound by K. Irving,11,16
1,6:17.0,,M. Morris misses 3-pt jump shot from 23 ft,11,16
1,6:16.0,Defensive rebound by M. Gasol,,11,16
1,6:07.0,Shooting foul by M. Smart (drawn by J. Jackson),,11,16
1,6:07.0,J. Jackson makes free throw 1 of 2,,12,16
1,6:07.0,J. Jackson misses free throw 2 of 2,,12,16
1,6:07.0,,Defensive rebound by M. Morris,12,16
1,5:51.0,,J. Tatum misses 2-pt jump shot from 7 ft,12,16
1,5:49.0,Defensive rebound by J. Holiday,,12,16
1,5:43.0,M. Gasol misses 2-pt layup from 5 ft (block by J. Tatum),,12,16
1,5:42.0,Offensive rebound by Team,,12,16
1,5:42.0,S. Mack enters the game for M. Conley,,12,16
1,5:42.0,,G. Hayward enters the game for M. Smart,12,16
