QUARTER,TIME_REMAINING,INDIANA_ACTION,PHILADELPHIA_ACTION,INDIANA_SCORE,PHILADELPHIA_SCORE
1,3:43.0,D. Sabonis misses 2-pt hook shot from 4 ft,,17,17
1,3:39.0,,Defensive rebound by A. Johnson,17,17
1,3:37.0,,M. Scott misses 3-pt jump shot from 25 ft,17,17
1,3:35.0,,Offensive rebound by Team,17,17
1,3:30.0,,T. Harris makes 2-pt jump shot from 16 ft (assist by A. Johnson),17,19
1,3:23.0,Indiana full timeout,,17,19
1,3:23.0,D. McDermott enters the game for D. Collison,,17,19
1,3:23.0,,J. Butler enters the game for J. Ennis,17,19
1,3:23.0,,J. Embiid enters the game for T. Harris,17,19
1,3:23.0,,T. McConnell enters the game for A. Johnson,17,19
1,3:23.0,,J. Redick enters the game for B. Simmons,17,19
1,3:12.0,W. Matthews makes 2-pt jump shot from 21 ft (assist by D. Sabonis),,19,19
1,2:54.0,,J. Embiid misses 2-pt jump shot from 16 ft,19,19
1,2:51.0,Defensive rebound by C. Joseph,,19,19
1,2:41.0,D. Sabonis misses 2-pt hook shot from 4 ft,,19,19
1,2:40.0,Offensive rebound by Team,,19,19
1,2:40.0,,Loose ball foul by J. Embiid (drawn by D. Sabonis),19,19
1,2:40.0,D. Sabonis makes free throw 1 of 2,,20,19
1,2:40.0,A. Holiday enters the game for W. Matthews,,20,19
1,2:40.0,T. Leaf enters the game for T. Young,,20,19
1,2:40.0,D. Sabonis misses free throw 2 of 2,,20,19
1,2:35.0,,Defensive rebound by M. Scott,20,19
1,2:23.0,,J. Embiid makes 2-pt layup from 4 ft (assist by J. Redick),20,21
1,2:08.0,T. Leaf misses 2-pt hook shot from 5 ft,,20,21
1,2:06.0,,Defensive rebound by T. McConnell,20,21
1,1:58.0,,J. Embiid misses 2-pt layup from 5 ft,20,21
1,1:58.0,Defensive rebound by Team,,20,21
1,1:44.0,D. Sabonis misses 2-pt layup from 3 ft,,20,21
1,1:42.0,,Defensive rebound by J. Embiid,20,21
1,1:30.0,,Shooting foul by A. Holiday (drawn by J. Butler),20,21
1,1:30.0,,J. Butler makes free throw 1 of 2,20,22
1,1:30.0,,J. Butler makes free throw 2 of 2,20,23
1,1:19.0,Shooting foul by J. Embiid (drawn by D. Sabonis),,20,23
1,1:19.0,,Technical foul by J. Embiid,20,23
1,1:19.0,D. McDermott makes technical free throw,,21,23
1,1:19.0,D. Sabonis makes free throw 1 of 2,,22,23
1,1:19.0,D. Sabonis makes free throw 2 of 2,,23,23
1,1:06.0,,T. McConnell misses 2-pt jump shot from 10 ft,23,23
1,1:04.0,,Offensive rebound by T. McConnell,23,23
1,1:03.0,,T. McConnell makes 2-pt jump shot from 10 ft,23,25
1,0:55.0,D. McDermott makes 2-pt jump shot from 17 ft (assist by D. Sabonis),,25,25
1,0:43.0,,Personal foul by D. Sabonis (drawn by J. Embiid),25,25
1,0:43.0,,J. Embiid makes free throw 1 of 2,25,26
1,0:43.0,,J. Embiid misses free throw 2 of 2,25,26
1,0:42.0,Defensive rebound by T. Leaf,,25,26
1,0:33.0,Offensive foul by D. Sabonis (drawn by J. Embiid),,25,26
1,0:33.0,Turnover by D. Sabonis (offensive foul),,25,26
1,0:33.0,K. O'Quinn enters the game for D. Sabonis,,25,26
1,0:18.0,,Turnover by J. Embiid (bad pass; steal by K. O'Quinn),25,26
1,0:04.0,C. Joseph misses 2-pt jump shot from 13 ft,,25,26
1,0:01.0,,Defensive rebound by T. McConnell,25,26
1,0:00.0,,T. McConnell misses 3-pt jump shot from 30 ft,25,26
1,0:00.0,,Offensive rebound by Team,25,26
2,11:48.0,Shooting foul by J. Butler (drawn by D. Sabonis),,25,26
2,11:48.0,D. Sabonis makes free throw 1 of 2,,26,26
2,11:48.0,W. Matthews enters the game for T. Leaf,,26,26
2,11:48.0,D. Sabonis misses free throw 2 of 2,,26,26
2,11:43.0,,Defensive rebound by J. Embiid,26,26
2,11:22.0,,T. Harris makes 3-pt jump shot from 26 ft (assist by J. Butler),26,29
2,11:11.0,A. Holiday makes 3-pt jump shot from 26 ft (assist by D. Sabonis),,29,29
2,11:00.0,,Turnover by T. McConnell (bad pass; steal by A. Holiday),29,29
2,10:56.0,D. McDermott makes 3-pt jump shot from 25 ft (assist by C. Joseph),,32,29
2,10:33.0,,J. Redick misses 3-pt jump shot from 22 ft,32,29
2,10:29.0,Defensive rebound by D. Sabonis,,32,29
2,10:25.0,A. Holiday makes 2-pt layup at rim,,34,29
2,10:25.0,Shooting foul by J. Embiid (drawn by A. Holiday),,34,29
2,10:25.0,,A. Johnson enters the game for J. Embiid,34,29
2,10:25.0,A. Holiday makes free throw 1 of 1,,35,29
2,10:07.0,,J. Butler makes 2-pt jump shot from 14 ft,35,31
2,9:53.0,D. McDermott makes 2-pt layup from 1 ft (assist by D. Sabonis),,37,31
2,9:39.0,,J. Redick misses 2-pt jump shot from 16 ft,37,31
2,9:36.0,Defensive rebound by C. Joseph,,37,31
2,9:28.0,C. Joseph makes 2-pt jump shot from 8 ft,,39,31
2,9:27.0,,Philadelphia full timeout,39,31
2,9:27.0,B. Bogdanović enters the game for A. Holiday,,39,31
2,9:27.0,,B. Simmons enters the game for T. McConnell,39,31
2,9:14.0,,Offensive foul by A. Johnson (drawn by C. Joseph),39,31
2,9:14.0,,Turnover by A. Johnson (offensive foul),39,31
2,9:04.0,D. McDermott misses 2-pt jump shot from 13 ft,,39,31
2,9:03.0,,Defensive rebound by Team,39,31
2,9:03.0,Loose ball foul by D. Sabonis (drawn by A. Johnson),,39,31
2,9:03.0,M. Turner enters the game for D. Sabonis,,39,31
2,8:52.0,,B. Simmons makes 2-pt layup from 3 ft (assist by J. Redick),39,33
2,8:31.0,M. Turner misses 2-pt hook shot from 2 ft,,39,33
2,8:29.0,Offensive rebound by M. Turner,,39,33
2,8:27.0,M. Turner makes 2-pt layup from 3 ft,,41,33
2,8:17.0,,T. Harris misses 3-pt jump shot from 25 ft,41,33
2,8:15.0,Defensive rebound by Team,,41,33
2,8:15.0,,Violation by Team (delay of game),41,33
2,8:07.0,Personal foul by B. Simmons (drawn by D. McDermott),,41,33
2,8:07.0,,J. Ennis enters the game for J. Butler,41,33
2,8:07.0,,M. Scott enters the game for J. Redick,41,33
2,7:58.0,C. Joseph makes 2-pt jump shot from 6 ft,,43,33
2,7:41.0,,B. Simmons misses 2-pt hook shot from 4 ft,43,33
2,7:36.0,Defensive rebound by C. Joseph,,43,33
2,7:34.0,Shooting foul by J. Ennis (drawn by B. Bogdanović),,43,33
2,7:34.0,B. Bogdanović misses free throw 1 of 2,,43,33
2,7:34.0,Offensive rebound by Team,,43,33
2,7:34.0,T. Young enters the game for D. McDermott,,43,33
2,7:34.0,B. Bogdanović makes free throw 2 of 2,,44,33
2,7:12.0,,A. Johnson misses 3-pt jump shot from 23 ft,44,33
2,7:07.0,Defensive rebound by M. Turner,,44,33
2,7:05.0,B. Bogdanović misses 2-pt jump shot from 10 ft,,44,33
2,7:04.0,Offensive rebound by M. Turner,,44,33
2,7:04.0,M. Turner misses 2-pt dunk from 1 ft,,44,33
2,7:02.0,Offensive rebound by T. Young,,44,33
2,7:01.0,Turnover by T. Young (lost ball; steal by M. Scott),,44,33
2,6:56.0,,B. Simmons makes 2-pt dunk from 3 ft (assist by M. Scott),44,35
2,6:49.0,Indiana full timeout,,44,35
2,6:33.0,T. Young misses 2-pt layup from 3 ft,,44,35
2,6:32.0,,Defensive rebound by M. Scott,44,35
2,6:18.0,,J. Ennis misses 3-pt jump shot from 26 ft,44,35
2,6:17.0,Defensive rebound by M. Turner,,44,35
2,5:58.0,M. Turner misses 2-pt hook shot from 9 ft,,44,35
2,5:55.0,,Defensive rebound by T. Harris,44,35
2,5:47.0,,Turnover by M. Scott (bad pass; steal by B. Bogdanović),44,35
2,5:35.0,Shooting foul by B. Simmons (drawn by M. Turner),,44,35
2,5:35.0,M. Turner misses free throw 1 of 2,,44,35
2,5:35.0,Offensive rebound by Team,,44,35
2,5:35.0,,J. Embiid enters the game for A. Johnson,44,35
2,5:35.0,M. Turner makes free throw 2 of 2,,45,35
2,5:28.0,,Personal foul by M. Turner (drawn by J. Embiid),45,35
2,5:28.0,K. O'Quinn enters the game for M. Turner,,45,35
2,5:23.0,,Personal foul by K. O'Quinn (drawn by J. Embiid),45,35
2,5:18.0,,B. Simmons misses 2-pt jump shot from 8 ft,45,35
2,5:15.0,Defensive rebound by W. Matthews,,45,35
2,5:01.0,K. O'Quinn makes 2-pt jump shot from 19 ft (assist by C. Joseph),,47,35
2,4:45.0,,Turnover by T. Harris (bad pass; steal by C. Joseph),47,35
2,4:34.0,K. O'Quinn makes 2-pt jump shot from 15 ft (assist by W. Matthews),,49,35
2,4:33.0,,Philadelphia full timeout,49,35
2,4:33.0,D. Collison enters the game for C. Joseph,,49,35
2,4:33.0,,J. Butler enters the game for J. Ennis,49,35
2,4:33.0,,J. Redick enters the game for T. Harris,49,35
2,4:17.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by J. Butler),49,38
2,3:52.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,49,38
2,3:52.0,,Defensive rebound by Team,49,38
2,3:41.0,,M. Scott makes 2-pt layup from 2 ft (assist by B. Simmons),49,40
2,3:32.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by D. Collison),,51,40
2,3:27.0,,Shooting foul by K. O'Quinn (drawn by B. Simmons),51,40
2,3:27.0,,B. Simmons makes free throw 1 of 2,51,41
2,3:27.0,,B. Simmons makes free throw 2 of 2,51,42
2,3:12.0,Turnover by T. Young (traveling),,51,42
2,3:00.0,,Turnover by J. Redick (out of bounds lost ball),51,42
2,2:41.0,T. Young misses 3-pt jump shot from 26 ft,,51,42
2,2:38.0,,Defensive rebound by B. Simmons,51,42
2,2:29.0,,J. Embiid makes 2-pt layup from 2 ft,51,44
2,2:08.0,B. Bogdanović misses 2-pt jump shot from 15 ft,,51,44
2,2:05.0,,Defensive rebound by J. Butler,51,44
2,1:54.0,,M. Scott makes 2-pt layup from 1 ft (assist by J. Butler),51,46
2,1:33.0,D. Collison makes 3-pt jump shot from 25 ft,,54,46
2,1:21.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by B. Simmons),54,49
2,1:05.0,D. Collison misses 2-pt layup from 4 ft,,54,49
2,1:03.0,,Defensive rebound by J. Embiid,54,49
2,1:00.0,,B. Simmons makes 2-pt dunk from 1 ft,54,51
2,0:50.0,Personal foul by B. Simmons (drawn by B. Bogdanović),,54,51
2,0:50.0,B. Bogdanović makes free throw 1 of 2,,55,51
2,0:50.0,C. Joseph enters the game for D. Collison,,55,51
2,0:50.0,,T. Harris enters the game for J. Embiid,55,51
2,0:50.0,,T. McConnell enters the game for B. Simmons,55,51
2,0:50.0,B. Bogdanović makes free throw 2 of 2,,56,51
2,0:39.0,,J. Redick misses 3-pt jump shot from 26 ft,56,51
2,0:35.0,Defensive rebound by K. O'Quinn,,56,51
2,0:32.0,B. Bogdanović makes 3-pt jump shot from 27 ft,,59,51
2,0:19.0,,M. Scott misses 3-pt jump shot from 26 ft,59,51
2,0:16.0,Defensive rebound by B. Bogdanović,,59,51
2,0:04.0,W. Matthews misses 3-pt jump shot from 26 ft,,59,51
2,0:02.0,Offensive rebound by K. O'Quinn,,59,51
2,0:00.0,K. O'Quinn misses 2-pt jump shot from 5 ft (block by T. Harris),,59,51
2,0:00.0,Offensive rebound by Team,,59,51
2,0:00.0,,J. Ennis enters the game for J. Redick,59,51
2,0:00.0,B. Bogdanović misses 2-pt layup from 2 ft,,59,51
2,0:00.0,Offensive rebound by Team,,59,51
3,11:38.0,W. Matthews misses 2-pt jump shot from 18 ft,,59,51
3,11:34.0,,Defensive rebound by J. Embiid,59,51
3,11:16.0,,J. Embiid misses 2-pt layup from 2 ft,59,51
3,11:14.0,Defensive rebound by Team,,59,51
3,10:59.0,M. Turner makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),,62,51
3,10:46.0,,Shooting foul by M. Turner (drawn by J. Embiid),62,51
3,10:46.0,,J. Embiid makes free throw 1 of 2,62,52
3,10:46.0,D. Sabonis enters the game for M. Turner,,62,52
3,10:46.0,,J. Embiid misses free throw 2 of 2,62,52
3,10:44.0,Defensive rebound by B. Bogdanović,,62,52
3,10:36.0,B. Bogdanović misses 2-pt jump shot from 17 ft,,62,52
3,10:33.0,,Defensive rebound by B. Simmons,62,52
3,10:27.0,,J. Butler misses 2-pt jump shot from 21 ft,62,52
3,10:25.0,Defensive rebound by T. Young,,62,52
3,10:14.0,D. Sabonis misses 2-pt jump shot from 9 ft,,62,52
3,10:12.0,,Defensive rebound by J. Embiid,62,52
3,10:06.0,,B. Simmons makes 2-pt layup from 3 ft,62,54
3,10:06.0,,Shooting foul by B. Bogdanović (drawn by B. Simmons),62,54
3,10:06.0,,B. Simmons makes free throw 1 of 1,62,55
3,9:53.0,Shooting foul by J. Redick (drawn by B. Bogdanović),,62,55
3,9:53.0,B. Bogdanović makes free throw 1 of 2,,63,55
3,9:53.0,B. Bogdanović misses free throw 2 of 2,,63,55
3,9:51.0,,Defensive rebound by T. Harris,63,55
3,9:35.0,,Shooting foul by D. Sabonis (drawn by J. Embiid),63,55
3,9:35.0,,J. Embiid makes free throw 1 of 2,63,56
3,9:35.0,,J. Embiid makes free throw 2 of 2,63,57
3,9:14.0,Turnover by W. Matthews (bad pass; steal by J. Embiid),,63,57
3,9:10.0,,J. Redick makes 3-pt jump shot from 27 ft (assist by B. Simmons),63,60
3,9:07.0,Indiana full timeout,,63,60
3,9:07.0,K. O'Quinn enters the game for D. Sabonis,,63,60
3,8:55.0,D. Collison misses 3-pt jump shot from 26 ft,,63,60
3,8:52.0,,Defensive rebound by T. Harris,63,60
3,8:47.0,,T. Harris misses 3-pt jump shot from 26 ft,63,60
3,8:44.0,Defensive rebound by D. Collison,,63,60
3,8:29.0,K. O'Quinn misses 2-pt jump shot from 21 ft,,63,60
3,8:25.0,Offensive rebound by K. O'Quinn,,63,60
3,8:23.0,K. O'Quinn makes 2-pt layup from 1 ft,,65,60
3,8:06.0,,Personal foul by K. O'Quinn (drawn by J. Embiid),65,60
3,7:59.0,,J. Embiid makes 2-pt layup from 1 ft (assist by T. Harris),65,62
3,7:34.0,Shooting foul by J. Embiid (drawn by T. Young),,65,62
3,7:34.0,T. Young makes free throw 1 of 2,,66,62
3,7:34.0,M. Turner enters the game for K. O'Quinn,,66,62
3,7:34.0,,A. Johnson enters the game for J. Embiid,66,62
3,7:34.0,T. Young makes free throw 2 of 2,,67,62
3,7:15.0,,A. Johnson misses 2-pt dunk from 2 ft (block by M. Turner),67,62
3,7:11.0,,Offensive rebound by J. Butler,67,62
3,7:10.0,,J. Butler makes 2-pt jump shot from 6 ft,67,64
3,6:55.0,B. Bogdanović makes 2-pt layup from 2 ft,,69,64
3,6:43.0,,J. Butler misses 2-pt layup from 2 ft,69,64
3,6:40.0,Defensive rebound by W. Matthews,,69,64
3,6:24.0,M. Turner misses 2-pt jump shot from 7 ft,,69,64
3,6:22.0,,Defensive rebound by B. Simmons,69,64
3,6:18.0,,J. Butler misses 2-pt jump shot from 4 ft,69,64
3,6:16.0,,Offensive rebound by A. Johnson,69,64
3,6:11.0,,B. Simmons makes 2-pt layup from 4 ft,69,66
3,5:48.0,T. Young misses 2-pt hook shot from 8 ft,,69,66
3,5:43.0,,Defensive rebound by J. Butler,69,66
3,5:39.0,,Personal foul by W. Matthews (drawn by B. Simmons),69,66
