QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,LA LAKERS_ACTION,LA CLIPPERS_SCORE,LA LAKERS_SCORE
1,11:40.0,Turnover by A. Bradley (bad pass; steal by K. Kuzma),,0,0
1,11:31.0,,I. Zubac misses 2-pt hook shot from 1 ft,0,0
1,11:29.0,Defensive rebound by A. Bradley,,0,0
1,11:23.0,A. Bradley misses 2-pt jump shot from 19 ft,,0,0
1,11:19.0,,Defensive rebound by B. Ingram,0,0
1,11:10.0,,I. Zubac misses 2-pt hook shot from 5 ft,0,0
1,11:08.0,Defensive rebound by T. Harris,,0,0
1,10:54.0,Turnover by S. Gilgeous-Alexander (bad pass),,0,0
1,10:40.0,,B. Ingram makes 2-pt layup from 3 ft,0,2
1,10:40.0,,Shooting foul by S. Gilgeous-Alexander (drawn by B. Ingram),0,2
1,10:40.0,,B. Ingram misses free throw 1 of 1,0,2
1,10:37.0,Defensive rebound by B. Marjanović,,0,2
1,10:22.0,D. Gallinari misses 2-pt layup from 2 ft,,0,2
1,10:19.0,Offensive rebound by D. Gallinari,,0,2
1,10:18.0,A. Bradley misses 3-pt jump shot from 24 ft,,0,2
1,10:15.0,,Defensive rebound by L. Ball,0,2
1,10:09.0,,K. Kuzma misses 3-pt jump shot from 27 ft,0,2
1,10:06.0,Defensive rebound by D. Gallinari,,0,2
1,9:57.0,A. Bradley makes 2-pt jump shot from 9 ft (assist by D. Gallinari),,2,2
1,9:43.0,,I. Zubac misses 2-pt jump shot from 4 ft,2,2
1,9:38.0,,Offensive rebound by I. Zubac,2,2
1,9:31.0,,L. Ball makes 2-pt layup from 3 ft,2,4
1,9:20.0,T. Harris makes 2-pt jump shot from 19 ft (assist by B. Marjanović),,4,4
1,9:09.0,,I. Zubac misses 2-pt hook shot from 4 ft,4,4
1,9:08.0,Defensive rebound by B. Marjanović,,4,4
1,8:46.0,T. Harris misses 2-pt jump shot from 7 ft,,4,4
1,8:44.0,,Defensive rebound by J. Hart,4,4
1,8:36.0,,Def 3 sec tech foul by Team,4,4
1,8:36.0,,K. Kuzma misses technical free throw,4,4
1,8:36.0,,Offensive rebound by Team,4,4
1,8:27.0,,K. Kuzma misses 2-pt hook shot from 3 ft,4,4
1,8:24.0,Defensive rebound by A. Bradley,,4,4
1,8:20.0,T. Harris makes 2-pt layup from 2 ft (assist by A. Bradley),,6,4
1,8:20.0,Shooting foul by I. Zubac (drawn by T. Harris),,6,4
1,8:20.0,T. Harris makes free throw 1 of 1,,7,4
1,8:09.0,,L. Ball misses 2-pt jump shot from 5 ft,7,4
1,8:07.0,,Offensive rebound by I. Zubac,7,4
1,8:07.0,,I. Zubac misses 2-pt layup from 5 ft (block by B. Marjanović),7,4
1,8:04.0,Defensive rebound by B. Marjanović,,7,4
1,8:00.0,S. Gilgeous-Alexander misses 2-pt jump shot from 9 ft,,7,4
1,7:53.0,Offensive rebound by A. Bradley,,7,4
1,7:53.0,A. Bradley misses 2-pt layup at rim,,7,4
1,7:52.0,,Defensive rebound by J. Hart,7,4
