QUARTER,TIME_REMAINING,WASHINGTON_ACTION,HOUSTON_ACTION,WASHINGTON_SCORE,HOUSTON_SCORE
1,11:38.0,B. Beal makes 2-pt jump shot from 14 ft (assist by T. Ariza),,2,0
1,11:20.0,,J. Harden misses 2-pt dunk from 2 ft,2,0
1,11:20.0,Defensive rebound by Team,,2,0
1,11:05.0,J. Green misses 2-pt jump shot from 16 ft,,2,0
1,11:01.0,,Defensive rebound by J. Harden,2,0
1,10:57.0,,Shooting foul by J. Green (drawn by C. Capela),2,0
1,10:57.0,,C. Capela misses free throw 1 of 2,2,0
1,10:57.0,,Offensive rebound by Team,2,0
1,10:57.0,,C. Capela makes free throw 2 of 2,2,1
1,10:36.0,T. Bryant makes 2-pt hook shot from 5 ft (assist by T. Ariza),,4,1
1,10:24.0,,P. Tucker misses 3-pt jump shot from 24 ft,4,1
1,10:23.0,Defensive rebound by Team,,4,1
1,10:10.0,J. Wall makes 2-pt jump shot from 20 ft,,6,1
1,9:42.0,,E. Gordon makes 3-pt jump shot from 25 ft (assist by C. Paul),6,4
1,9:31.0,T. Bryant makes 3-pt jump shot from 27 ft (assist by B. Beal),,9,4
1,9:10.0,,C. Capela makes 2-pt dunk from 1 ft (assist by P. Tucker),9,6
1,8:58.0,Shooting foul by C. Capela (drawn by J. Green),,9,6
1,8:58.0,J. Green makes free throw 1 of 2,,10,6
1,8:58.0,J. Green misses free throw 2 of 2,,10,6
1,8:57.0,,Defensive rebound by P. Tucker,10,6
1,8:47.0,,C. Capela misses 2-pt dunk from 1 ft,10,6
1,8:44.0,Defensive rebound by B. Beal,,10,6
1,8:33.0,J. Green misses 2-pt jump shot from 12 ft,,10,6
1,8:31.0,,Defensive rebound by P. Tucker,10,6
1,8:25.0,,E. Gordon misses 3-pt jump shot from 23 ft,10,6
1,8:22.0,,Offensive rebound by C. Capela,10,6
1,8:12.0,,Turnover by C. Paul (bad pass; steal by B. Beal),10,6
1,8:07.0,T. Ariza misses 3-pt jump shot from 23 ft,,10,6
1,8:06.0,Offensive rebound by J. Green,,10,6
1,8:06.0,Personal foul by J. Harden (drawn by J. Green),,10,6
1,7:52.0,T. Ariza makes 2-pt layup from 2 ft (assist by J. Wall),,12,6
1,7:38.0,,J. Harden misses 2-pt layup from 5 ft (block by T. Bryant),12,6
1,7:33.0,Defensive rebound by J. Green,,12,6
1,7:30.0,J. Wall misses 3-pt jump shot from 27 ft,,12,6
1,7:29.0,,Defensive rebound by Team,12,6
1,7:21.0,,C. Paul misses 3-pt jump shot from 27 ft,12,6
1,7:18.0,Defensive rebound by J. Green,,12,6
1,7:08.0,J. Wall misses 2-pt layup from 3 ft,,12,6
1,7:06.0,,Defensive rebound by J. Harden,12,6
1,7:01.0,,E. Gordon misses 3-pt jump shot from 23 ft,12,6
1,7:00.0,Defensive rebound by T. Ariza,,12,6
1,6:46.0,Turnover by J. Wall (bad pass; steal by C. Paul),,12,6
1,6:40.0,,J. Harden makes 3-pt jump shot from 26 ft (assist by C. Paul),12,9
1,6:28.0,B. Beal makes 2-pt layup from 4 ft,,14,9
1,6:19.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by E. Gordon),14,12
1,5:55.0,B. Beal makes 2-pt layup from 3 ft,,16,12
1,5:41.0,,Shooting foul by T. Bryant (drawn by C. Capela),16,12
1,5:41.0,,Houston full timeout,16,12
1,5:41.0,,G. Green enters the game for C. Paul,16,12
1,5:41.0,,D. House enters the game for P. Tucker,16,12
1,5:41.0,,C. Capela makes free throw 1 of 2,16,13
1,5:41.0,,C. Capela misses free throw 2 of 2,16,13
1,5:41.0,Defensive rebound by T. Bryant,,16,13
1,5:16.0,T. Bryant makes 2-pt layup from 4 ft (assist by J. Wall),,18,13
1,5:03.0,,E. Gordon makes 2-pt layup from 3 ft (assist by J. Harden),18,15
1,5:03.0,,Shooting foul by B. Beal (drawn by E. Gordon),18,15
1,5:03.0,,E. Gordon misses free throw 1 of 1,18,15
1,5:03.0,Defensive rebound by T. Ariza,,18,15
1,4:50.0,T. Bryant misses 2-pt layup from 2 ft,,18,15
1,4:49.0,,Defensive rebound by D. House,18,15
1,4:49.0,,Turnover by D. House (bad pass),18,15
1,4:49.0,,Loose ball foul by J. Harden (drawn by T. Ariza),18,15
1,4:41.0,T. Ariza misses 3-pt jump shot from 23 ft,,18,15
1,4:38.0,,Defensive rebound by C. Capela,18,15
1,4:29.0,,J. Harden misses 2-pt layup from 3 ft,18,15
1,4:25.0,,Offensive rebound by C. Capela,18,15
1,4:25.0,,C. Capela makes 2-pt layup from 1 ft,18,17
1,4:13.0,B. Beal misses 3-pt jump shot from 26 ft,,18,17
1,4:11.0,,Defensive rebound by C. Capela,18,17
1,3:58.0,,J. Harden makes 3-pt jump shot from 27 ft,18,20
1,3:31.0,B. Beal makes 2-pt layup from 3 ft,,20,20
1,3:15.0,,D. House misses 3-pt jump shot from 25 ft,20,20
1,3:12.0,Defensive rebound by J. Wall,,20,20
1,3:06.0,T. Ariza makes 2-pt layup from 1 ft (assist by J. Wall),,22,20
1,2:45.0,,J. Harden makes 3-pt jump shot from 26 ft,22,23
1,2:16.0,B. Beal misses 3-pt jump shot from 28 ft,,22,23
1,2:15.0,Offensive rebound by T. Bryant,,22,23
1,2:15.0,T. Bryant makes 2-pt dunk at rim,,24,23
1,2:05.0,,Shooting foul by J. Green (drawn by J. Harden),24,23
1,2:05.0,Washington full timeout,,24,23
1,2:05.0,M. Morris enters the game for T. Ariza,,24,23
1,2:05.0,T. Satoranský enters the game for J. Green,,24,23
1,2:05.0,,C. Paul enters the game for C. Capela,24,23
1,2:05.0,,P. Tucker enters the game for E. Gordon,24,23
1,2:05.0,,J. Harden makes free throw 1 of 2,24,24
1,2:05.0,,J. Harden makes free throw 2 of 2,24,25
1,1:52.0,J. Wall misses 2-pt layup from 3 ft,,24,25
1,1:50.0,,Defensive rebound by P. Tucker,24,25
1,1:36.0,,J. Harden makes 2-pt layup from 2 ft,24,27
1,1:30.0,Shooting foul by C. Paul (drawn by J. Wall),,24,27
1,1:30.0,J. Wall makes free throw 1 of 2,,25,27
1,1:30.0,C. Randle enters the game for B. Beal,,25,27
1,1:30.0,,B. Knight enters the game for J. Harden,25,27
1,1:30.0,J. Wall makes free throw 2 of 2,,26,27
1,1:17.0,,Personal foul by C. Randle (drawn by C. Paul),26,27
1,1:17.0,,C. Paul makes free throw 1 of 2,26,28
1,1:17.0,,C. Paul makes free throw 2 of 2,26,29
1,0:55.0,C. Randle misses 2-pt layup from 3 ft,,26,29
1,0:54.0,,Defensive rebound by P. Tucker,26,29
1,0:50.0,,B. Knight misses 3-pt jump shot from 25 ft,26,29
1,0:46.0,Defensive rebound by J. Wall,,26,29
1,0:35.0,M. Morris makes 2-pt jump shot from 11 ft (assist by J. Wall),,28,29
1,0:30.0,,C. Paul makes 3-pt jump shot from 26 ft,28,32
1,0:05.0,Turnover by J. Wall (lost ball; steal by P. Tucker),,28,32
1,0:01.0,,B. Knight makes 2-pt layup from 2 ft (assist by C. Paul),28,34
2,11:44.0,,C. Paul makes 3-pt jump shot from 27 ft,28,37
2,11:24.0,M. Morris misses 2-pt jump shot from 9 ft,,28,37
2,11:22.0,,Defensive rebound by P. Tucker,28,37
2,11:16.0,,B. Knight misses 3-pt jump shot from 27 ft,28,37
2,11:13.0,Defensive rebound by Team,,28,37
2,11:01.0,Offensive foul by C. Randle (drawn by P. Tucker),,28,37
2,11:01.0,Turnover by C. Randle (offensive foul),,28,37
2,11:01.0,T. Ariza enters the game for T. Bryant,,28,37
2,10:44.0,,Turnover by P. Tucker (traveling),28,37
2,10:29.0,Turnover by M. Morris (bad pass; steal by C. Paul),,28,37
2,10:18.0,,G. Green makes 3-pt jump shot from 26 ft,28,40
2,10:15.0,Washington full timeout,,28,40
2,10:15.0,B. Beal enters the game for C. Randle,,28,40
2,10:00.0,M. Morris makes 2-pt layup from 4 ft (assist by B. Beal),,30,40
2,9:44.0,,Turnover by G. Green (lost ball; steal by T. Ariza),30,40
2,9:33.0,S. Dekker makes 2-pt layup from 2 ft (assist by B. Beal),,32,40
