QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,DALLAS_ACTION,OKLAHOMA CITY_SCORE,DALLAS_SCORE
1,8:13.0,D. Schröder makes 2-pt layup from 2 ft,,8,5
1,7:52.0,,Personal foul by S. Adams (drawn by L. Dončić),8,5
1,7:46.0,,H. Barnes makes 2-pt dunk from 1 ft (assist by L. Dončić),8,7
1,7:27.0,S. Adams makes 2-pt layup from 1 ft (assist by J. Grant),,10,7
1,7:27.0,Shooting foul by H. Barnes (drawn by S. Adams),,10,7
1,7:27.0,,Dallas full timeout,10,7
1,7:27.0,Á. Abrines enters the game for J. Grant,,10,7
1,7:27.0,S. Adams misses free throw 1 of 1,,10,7
1,7:27.0,,Defensive rebound by D. Jordan,10,7
1,7:07.0,,L. Dončić makes 2-pt layup from 4 ft (assist by W. Matthews),10,9
1,6:49.0,Turnover by D. Schröder (bad pass; steal by D. Smith),,10,9
1,6:47.0,Flagrant foul type 1 by H. Barnes (drawn by D. Schröder),,10,9
1,6:47.0,,Turnover by H. Barnes (turnover),10,9
1,6:47.0,Oklahoma City full timeout,,10,9
1,6:47.0,,D. Finney-Smith enters the game for W. Matthews,10,9
1,6:47.0,D. Schröder misses flagrant free throw 1 of 2,,10,9
1,6:47.0,Offensive rebound by Team,,10,9
1,6:47.0,D. Schröder makes flagrant free throw 2 of 2,,11,9
1,6:43.0,Personal foul by H. Barnes (drawn by P. George),,11,9
1,6:43.0,,M. Kleber enters the game for H. Barnes,11,9
1,6:31.0,P. George misses 2-pt jump shot from 18 ft,,11,9
1,6:29.0,,Defensive rebound by L. Dončić,11,9
1,6:11.0,,L. Dončić misses 3-pt jump shot from 25 ft,11,9
1,6:07.0,Defensive rebound by P. George,,11,9
1,6:02.0,D. Schröder makes 2-pt layup from 3 ft,,13,9
1,6:02.0,P. Patterson enters the game for T. Ferguson,,13,9
1,6:02.0,,J. Barea enters the game for D. Smith,13,9
1,5:35.0,,Shooting foul by P. George (drawn by L. Dončić),13,9
1,5:35.0,,L. Dončić makes free throw 1 of 2,13,10
1,5:35.0,,L. Dončić makes free throw 2 of 2,13,11
1,5:24.0,Turnover by D. Schröder (bad pass; steal by J. Barea),,13,11
1,5:20.0,,L. Dončić misses 2-pt jump shot from 4 ft,13,11
1,5:20.0,Defensive rebound by S. Adams,,13,11
1,5:11.0,D. Schröder makes 3-pt jump shot from 25 ft,,16,11
