QUARTER,TIME_REMAINING,MINNESOTA_ACTION,SAN ANTONIO_ACTION,MINNESOTA_SCORE,SAN ANTONIO_SCORE
1,11:46.0,A. Wiggins misses 3-pt jump shot from 25 ft,,0,0
1,11:44.0,,Defensive rebound by L. Aldridge,0,0
1,11:35.0,,D. DeRozan misses 2-pt jump shot from 17 ft,0,0
1,11:32.0,,Offensive rebound by J. Poeltl,0,0
1,11:30.0,,R. Gay makes 2-pt jump shot from 5 ft (assist by J. Poeltl),0,2
1,11:30.0,Violation by Team (def goaltending),,0,2
1,11:18.0,J. Butler misses 2-pt jump shot from 18 ft,,0,2
1,11:15.0,,Defensive rebound by L. Aldridge,0,2
1,10:56.0,,B. Forbes misses 3-pt jump shot from 26 ft,0,2
1,10:54.0,Defensive rebound by K. Towns,,0,2
1,10:53.0,Turnover by A. Wiggins (traveling),,0,2
1,10:34.0,,D. DeRozan misses 2-pt jump shot from 7 ft,0,2
1,10:32.0,,Offensive rebound by R. Gay,0,2
1,10:26.0,,L. Aldridge misses 2-pt jump shot from 16 ft,0,2
1,10:24.0,Defensive rebound by K. Towns,,0,2
1,10:17.0,Turnover by J. Butler (lost ball; steal by L. Aldridge),,0,2
1,10:11.0,,B. Forbes makes 2-pt jump shot from 12 ft,0,4
1,10:02.0,J. Teague misses 2-pt layup from 3 ft,,0,4
1,10:00.0,,Defensive rebound by L. Aldridge,0,4
1,9:58.0,,Shooting foul by T. Gibson (drawn by D. DeRozan),0,4
1,9:58.0,,D. DeRozan makes free throw 1 of 2,0,5
1,9:58.0,,D. DeRozan misses free throw 2 of 2,0,5
1,9:55.0,Defensive rebound by T. Gibson,,0,5
1,9:44.0,Shooting foul by J. Poeltl (drawn by K. Towns),,0,5
1,9:44.0,K. Towns makes free throw 1 of 2,,1,5
1,9:44.0,K. Towns makes free throw 2 of 2,,2,5
1,9:35.0,,Personal foul by A. Wiggins (drawn by B. Forbes),2,5
1,9:35.0,,Away from play foul by J. Teague (drawn by B. Forbes),2,5
1,9:35.0,,L. Aldridge makes free throw 1 of 1,2,6
1,9:27.0,,D. DeRozan makes 2-pt jump shot from 13 ft,2,8
1,9:10.0,J. Butler makes 2-pt jump shot from 16 ft,,4,8
1,8:49.0,,J. Poeltl misses 2-pt hook shot from 10 ft,4,8
1,8:47.0,Defensive rebound by K. Towns,,4,8
1,8:40.0,Turnover by T. Gibson (traveling),,4,8
