QUARTER,TIME_REMAINING,TORONTO_ACTION,MINNESOTA_ACTION,TORONTO_SCORE,MINNESOTA_SCORE
1,1:11.0,N. Powell makes 3-pt jump shot from 25 ft (assist by F. VanVleet),,24,25
1,0:57.0,,D. Šarić misses 2-pt jump shot from 16 ft,24,25
1,0:53.0,Defensive rebound by O. Anunoby,,24,25
1,0:48.0,N. Powell makes 2-pt layup at rim (assist by O. Anunoby),,26,25
1,0:40.0,,T. Jones misses 2-pt jump shot from 8 ft,26,25
1,0:37.0,Defensive rebound by C. Boucher,,26,25
1,0:33.0,O. Anunoby misses 3-pt jump shot from 23 ft (block by A. Tolliver),,26,25
1,0:31.0,,Defensive rebound by K. Bates-Diop,26,25
1,0:25.0,,A. Wiggins misses 3-pt jump shot from 25 ft,26,25
1,0:25.0,,Offensive rebound by D. Šarić,26,25
1,0:21.0,,D. Šarić makes 2-pt layup from 2 ft,26,27
1,0:21.0,,Shooting foul by O. Anunoby (drawn by D. Šarić),26,27
1,0:21.0,J. Meeks enters the game for F. VanVleet,,26,27
1,0:21.0,,J. Okogie enters the game for T. Jones,26,27
1,0:21.0,,J. Terrell enters the game for A. Wiggins,26,27
1,0:21.0,,D. Šarić makes free throw 1 of 1,26,28
1,0:02.0,J. Lin misses 2-pt jump shot from 12 ft,,26,28
1,0:02.0,,Defensive rebound by J. Okogie,26,28
2,11:43.0,,Shooting foul by C. Boucher (drawn by D. Šarić),26,28
2,11:43.0,,D. Šarić makes free throw 1 of 2,26,29
2,11:43.0,,D. Šarić makes free throw 2 of 2,26,30
2,11:32.0,Turnover by N. Powell (bad pass),,26,30
2,11:21.0,,K. Bates-Diop misses 3-pt jump shot from 26 ft,26,30
2,11:19.0,Defensive rebound by N. Powell,,26,30
2,11:14.0,C. Boucher makes 2-pt dunk from 1 ft (assist by J. Meeks),,28,30
2,11:00.0,,A. Tolliver misses 2-pt jump shot from 12 ft,28,30
2,10:56.0,Defensive rebound by N. Powell,,28,30
2,10:45.0,O. Anunoby misses 2-pt layup from 1 ft,,28,30
2,10:40.0,Offensive rebound by O. Anunoby,,28,30
2,10:38.0,O. Anunoby makes 2-pt layup from 2 ft,,30,30
2,10:38.0,Violation by Team (kicked ball),,30,30
2,10:27.0,Violation by Team (kicked ball),,30,30
2,10:24.0,,Shooting foul by J. Lin (drawn by J. Terrell),30,30
2,10:24.0,,J. Terrell makes free throw 1 of 2,30,31
2,10:24.0,,J. Terrell misses free throw 2 of 2,30,31
2,10:22.0,Defensive rebound by O. Anunoby,,30,31
2,10:07.0,C. Boucher makes 3-pt jump shot from 25 ft (assist by O. Anunoby),,33,31
2,9:52.0,,Personal foul by J. Meeks (drawn by C. Williams),33,31
2,9:52.0,,C. Reynolds enters the game for A. Tolliver,33,31
2,9:47.0,,J. Terrell misses 3-pt jump shot from 25 ft,33,31
2,9:44.0,Defensive rebound by C. Boucher,,33,31
2,9:32.0,C. Boucher makes 2-pt layup from 1 ft (assist by J. Lin),,35,31
2,9:21.0,,C. Reynolds misses 2-pt layup from 3 ft,35,31
2,9:18.0,Defensive rebound by J. Lin,,35,31
2,9:15.0,J. Lin misses 2-pt layup from 2 ft (block by K. Bates-Diop),,35,31
2,9:12.0,,Defensive rebound by K. Bates-Diop,35,31
2,8:59.0,,Turnover by K. Bates-Diop (bad pass; steal by J. Lin),35,31
2,8:51.0,N. Powell misses 2-pt layup from 7 ft (block by J. Terrell),,35,31
2,8:48.0,,Defensive rebound by K. Bates-Diop,35,31
2,8:44.0,,D. Šarić makes 2-pt layup from 1 ft (assist by K. Bates-Diop),35,33
2,8:30.0,Personal foul by C. Reynolds (drawn by J. Meeks),,35,33
2,8:24.0,J. Meeks makes 2-pt layup from 4 ft (assist by J. Lin),,37,33
2,8:16.0,,J. Terrell misses 3-pt jump shot from 25 ft,37,33
2,8:16.0,Defensive rebound by N. Powell,,37,33
2,8:09.0,N. Powell misses 3-pt jump shot from 25 ft,,37,33
2,8:09.0,,Defensive rebound by K. Bates-Diop,37,33
2,7:52.0,,D. Šarić makes 3-pt jump shot from 23 ft (assist by J. Terrell),37,36
2,7:42.0,Shooting foul by J. Terrell (drawn by J. Lin),,37,36
2,7:42.0,J. Lin makes free throw 1 of 3,,38,36
2,7:42.0,J. Lin makes free throw 2 of 3,,39,36
2,7:42.0,,M. Creek enters the game for K. Bates-Diop,39,36
2,7:42.0,J. Lin makes free throw 3 of 3,,40,36
2,7:26.0,,C. Williams makes 2-pt jump shot from 20 ft,40,38
2,7:10.0,O. Anunoby makes 2-pt layup from 1 ft (assist by J. Lin),,42,38
2,6:47.0,,C. Reynolds misses 3-pt jump shot from 25 ft (block by C. Boucher),42,38
2,6:43.0,Defensive rebound by C. Boucher,,42,38
2,6:42.0,C. Boucher makes 2-pt layup from 1 ft,,44,38
2,6:42.0,,Minnesota full timeout,44,38
2,6:42.0,,G. Dieng enters the game for D. Šarić,44,38
2,6:29.0,,Shooting foul by N. Powell (drawn by G. Dieng),44,38
2,6:29.0,,G. Dieng makes free throw 1 of 2,44,39
2,6:29.0,,G. Dieng makes free throw 2 of 2,44,40
2,6:15.0,J. Meeks makes 2-pt layup from 3 ft (assist by N. Powell),,46,40
2,6:04.0,,C. Reynolds misses 3-pt jump shot from 24 ft,46,40
2,5:59.0,Defensive rebound by C. Boucher,,46,40
2,5:42.0,J. Meeks makes 3-pt jump shot from 26 ft (assist by J. Lin),,49,40
2,5:16.0,,G. Dieng makes 2-pt jump shot from 18 ft (assist by C. Reynolds),49,42
2,5:04.0,Personal foul by J. Terrell (drawn by C. Boucher),,49,42
2,5:04.0,D. Green enters the game for O. Anunoby,,49,42
2,5:04.0,K. Leonard enters the game for J. Lin,,49,42
2,5:04.0,P. Siakam enters the game for N. Powell,,49,42
2,5:04.0,,T. Jones enters the game for C. Reynolds,49,42
2,5:04.0,,J. Okogie enters the game for J. Terrell,49,42
2,5:04.0,,A. Wiggins enters the game for C. Williams,49,42
2,4:55.0,K. Leonard makes 2-pt jump shot from 16 ft,,51,42
2,4:43.0,,A. Wiggins misses 3-pt jump shot from 25 ft,51,42
2,4:41.0,Defensive rebound by C. Boucher,,51,42
2,4:22.0,K. Leonard makes 2-pt jump shot from 13 ft,,53,42
2,4:05.0,,G. Dieng misses 2-pt hook shot from 8 ft (block by C. Boucher),53,42
2,4:01.0,Defensive rebound by K. Leonard,,53,42
