QUARTER,TIME_REMAINING,TORONTO_ACTION,MINNESOTA_ACTION,TORONTO_SCORE,MINNESOTA_SCORE
4,4:44.0,J. Lin makes 2-pt layup from 2 ft,,115,88
4,4:28.0,,C. Reynolds makes 3-pt jump shot from 25 ft,115,91
4,4:18.0,Turnover by C. Boucher (out of bounds lost ball),,115,91
4,4:18.0,J. Meeks enters the game for J. Lin,,115,91
4,4:06.0,,K. Bates-Diop misses 3-pt jump shot from 26 ft,115,91
4,4:02.0,,Offensive rebound by M. Creek,115,91
4,4:02.0,,M. Creek makes 2-pt layup at rim,115,93
4,3:50.0,J. Meeks misses 3-pt jump shot from 23 ft,,115,93
4,3:48.0,,Defensive rebound by C. Reynolds,115,93
4,3:45.0,,Turnover by C. Williams (bad pass),115,93
4,3:45.0,,J. Terrell enters the game for A. Tolliver,115,93
4,3:29.0,M. Miller misses 2-pt layup from 2 ft,,115,93
4,3:23.0,Offensive rebound by C. Boucher,,115,93
4,3:23.0,C. Boucher makes 2-pt dunk at rim,,117,93
4,3:07.0,,K. Bates-Diop misses 2-pt jump shot from 6 ft,117,93
4,3:04.0,Defensive rebound by C. Boucher,,117,93
4,2:57.0,J. Loyd misses 2-pt jump shot from 20 ft,,117,93
4,2:55.0,,Defensive rebound by M. Creek,117,93
4,2:47.0,,K. Bates-Diop makes 2-pt layup at rim (assist by J. Terrell),117,95
4,2:27.0,Turnover by E. Moreland (bad pass; steal by C. Williams),,117,95
4,2:17.0,,C. Williams misses 2-pt layup from 3 ft,117,95
4,2:15.0,Defensive rebound by C. Boucher,,117,95
4,2:09.0,J. Loyd makes 3-pt jump shot from 25 ft,,120,95
4,1:52.0,,M. Creek misses 2-pt layup from 4 ft,120,95
4,1:49.0,Defensive rebound by J. Loyd,,120,95
4,1:43.0,Turnover by J. Meeks (bad pass; steal by C. Williams),,120,95
4,1:35.0,,C. Reynolds makes 2-pt jump shot from 12 ft (assist by M. Creek),120,97
4,1:15.0,J. Loyd misses 2-pt layup from 3 ft,,120,97
4,1:11.0,Offensive rebound by E. Moreland,,120,97
4,1:11.0,E. Moreland misses 2-pt layup at rim,,120,97
4,1:11.0,Offensive rebound by Team,,120,97
4,1:11.0,Toronto full timeout,,120,97
4,1:04.0,Turnover by C. Boucher (bad pass; steal by K. Bates-Diop),,120,97
4,0:58.0,,K. Bates-Diop makes 3-pt jump shot from 24 ft (assist by J. Terrell),120,100
4,0:38.0,J. Meeks misses 3-pt jump shot from 26 ft,,120,100
4,0:35.0,,Defensive rebound by J. Terrell,120,100
4,0:22.0,,M. Creek misses 2-pt layup from 1 ft (block by E. Moreland),120,100
4,0:20.0,Defensive rebound by E. Moreland,,120,100
