QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,GOLDEN STATE_ACTION,LA CLIPPERS_SCORE,GOLDEN STATE_SCORE
1,11:42.0,S. Gilgeous-Alexander makes 2-pt layup from 3 ft (assist by L. Shamet),,2,0
1,11:17.0,,K. Durant makes 2-pt jump shot from 8 ft,2,2
1,10:57.0,W. Chandler misses 3-pt jump shot from 30 ft,,2,2
1,10:55.0,,Defensive rebound by S. Curry,2,2
1,10:50.0,,Turnover by D. Green (bad pass; steal by L. Williams),2,2
1,10:40.0,L. Williams makes 2-pt jump shot from 20 ft (assist by M. Harrell),,4,2
1,10:28.0,,K. Durant makes 2-pt jump shot from 11 ft (assist by D. Green),4,4
1,10:06.0,W. Chandler misses 3-pt jump shot from 22 ft,,4,4
1,10:05.0,,Defensive rebound by S. Curry,4,4
1,10:02.0,,K. Thompson makes 2-pt layup from 2 ft (assist by S. Curry),4,6
1,9:45.0,W. Chandler misses 3-pt jump shot from 26 ft,,4,6
1,9:43.0,,Defensive rebound by K. Durant,4,6
1,9:30.0,,K. Thompson makes 2-pt jump shot from 16 ft (assist by K. Durant),4,8
1,9:17.0,S. Gilgeous-Alexander misses 2-pt layup from 3 ft,,4,8
1,9:16.0,,Defensive rebound by D. Cousins,4,8
1,9:10.0,,Turnover by K. Durant (bad pass; steal by L. Williams),4,8
1,9:03.0,L. Shamet makes 3-pt jump shot from 26 ft (assist by L. Williams),,7,8
1,8:48.0,,S. Curry makes 2-pt layup from 3 ft (assist by D. Cousins),7,10
1,8:39.0,L. Williams misses 2-pt jump shot from 7 ft,,7,10
1,8:38.0,,Defensive rebound by D. Green,7,10
1,8:32.0,,Personal foul by L. Williams (drawn by D. Green),7,10
1,8:29.0,,Turnover by D. Cousins (bad pass; steal by M. Harrell),7,10
1,8:23.0,M. Harrell misses 2-pt jump shot from 11 ft,,7,10
1,8:22.0,,Defensive rebound by D. Cousins,7,10
1,8:07.0,,K. Durant makes 3-pt jump shot from 27 ft,7,13
1,7:51.0,L. Williams misses 2-pt jump shot from 12 ft,,7,13
1,7:50.0,,Defensive rebound by D. Green,7,13
1,7:35.0,,D. Cousins misses 3-pt jump shot from 27 ft,7,13
1,7:33.0,Defensive rebound by L. Williams,,7,13
1,7:27.0,Turnover by L. Williams (bad pass; steal by D. Cousins),,7,13
1,7:25.0,,Shooting foul by L. Shamet (drawn by D. Cousins),7,13
1,7:25.0,,D. Cousins makes free throw 1 of 2,7,14
1,7:25.0,,D. Cousins makes free throw 2 of 2,7,15
1,7:07.0,L. Shamet makes 3-pt jump shot from 27 ft (assist by L. Williams),,10,15
1,6:51.0,,S. Curry makes 2-pt layup from 3 ft (assist by D. Green),10,17
1,6:40.0,,Golden State full timeout,10,17
1,6:34.0,L. Shamet makes 3-pt jump shot from 24 ft (assist by S. Gilgeous-Alexander),,13,17
1,6:12.0,,K. Durant makes 2-pt jump shot from 12 ft,13,19
1,5:57.0,Shooting foul by D. Green (drawn by S. Gilgeous-Alexander),,13,19
1,5:57.0,S. Gilgeous-Alexander makes free throw 1 of 2,,14,19
1,5:57.0,S. Gilgeous-Alexander misses free throw 2 of 2,,14,19
1,5:55.0,,Defensive rebound by D. Cousins,14,19
1,5:37.0,,Shooting foul by W. Chandler (drawn by K. Durant),14,19
1,5:37.0,,K. Durant makes free throw 1 of 2,14,20
1,5:37.0,,K. Durant misses free throw 2 of 2,14,20
1,5:36.0,Defensive rebound by W. Chandler,,14,20
1,5:20.0,M. Harrell makes 2-pt layup from 2 ft (assist by S. Gilgeous-Alexander),,16,20
1,4:59.0,,D. Cousins misses 3-pt jump shot from 28 ft,16,20
1,4:57.0,Defensive rebound by W. Chandler,,16,20
