QUARTER,TIME_REMAINING,ORLANDO_ACTION,CHICAGO_ACTION,ORLANDO_SCORE,CHICAGO_SCORE
1,11:38.0,Turnover by E. Fournier (traveling),,0,0
1,11:28.0,,Turnover by L. Markkanen (bad pass; steal by J. Isaac),0,0
1,11:12.0,A. Gordon misses 2-pt layup from 4 ft,,0,0
1,11:08.0,,Defensive rebound by W. Carter,0,0
1,11:00.0,,Turnover by K. Dunn (bad pass; steal by J. Isaac),0,0
1,10:56.0,E. Fournier misses 3-pt jump shot from 23 ft,,0,0
1,10:51.0,Offensive rebound by Team,,0,0
1,10:45.0,J. Isaac makes 3-pt jump shot from 26 ft (assist by E. Fournier),,3,0
1,10:25.0,,L. Markkanen misses 2-pt hook shot from 9 ft,3,0
1,10:23.0,Defensive rebound by N. Vučević,,3,0
1,10:03.0,E. Fournier makes 3-pt jump shot from 25 ft (assist by N. Vučević),,6,0
1,9:36.0,,L. Markkanen misses 3-pt jump shot from 25 ft,6,0
1,9:34.0,Defensive rebound by N. Vučević,,6,0
1,9:25.0,Turnover by D. Augustin (out of bounds lost ball),,6,0
1,9:10.0,,Shooting foul by J. Isaac (drawn by L. Markkanen),6,0
1,9:10.0,,L. Markkanen makes free throw 1 of 2,6,1
1,9:10.0,,L. Markkanen makes free throw 2 of 2,6,2
1,8:57.0,Turnover by E. Fournier (bad pass; steal by K. Dunn),,6,2
1,8:47.0,,K. Dunn makes 2-pt layup from 1 ft (assist by R. Arcidiacono),6,4
1,8:30.0,E. Fournier misses 2-pt layup from 3 ft,,6,4
1,8:27.0,,Defensive rebound by W. Carter,6,4
1,8:22.0,,Chicago full timeout,6,4
1,8:12.0,,J. Holiday misses 3-pt jump shot from 25 ft,6,4
1,8:09.0,,Offensive rebound by J. Holiday,6,4
1,8:07.0,,J. Holiday misses 2-pt layup from 4 ft,6,4
1,8:03.0,,Offensive rebound by J. Holiday,6,4
1,7:59.0,,L. Markkanen misses 2-pt layup from 3 ft,6,4
1,7:58.0,,Offensive rebound by W. Carter,6,4
1,7:57.0,,W. Carter makes 2-pt layup from 1 ft,6,6
1,7:34.0,J. Isaac misses 2-pt jump shot from 21 ft,,6,6
1,7:31.0,,Defensive rebound by K. Dunn,6,6
1,7:28.0,,Turnover by J. Holiday (step out of bounds),6,6
1,7:16.0,N. Vučević misses 2-pt hook shot from 8 ft,,6,6
1,7:14.0,,Defensive rebound by W. Carter,6,6
1,7:01.0,,R. Arcidiacono misses 3-pt jump shot from 25 ft,6,6
1,6:59.0,Defensive rebound by A. Gordon,,6,6
1,6:55.0,A. Gordon makes 2-pt jump shot from 8 ft,,8,6
1,6:37.0,,Personal foul by J. Isaac (drawn by L. Markkanen),8,6
1,6:27.0,,W. Carter misses 2-pt jump shot from 6 ft,8,6
1,6:25.0,Defensive rebound by E. Fournier,,8,6
1,6:19.0,Turnover by D. Augustin (bad pass; steal by K. Dunn),,8,6
1,6:15.0,,Shooting foul by D. Augustin (drawn by K. Dunn),8,6
1,6:15.0,,K. Dunn makes free throw 1 of 2,8,7
1,6:15.0,W. Iwundu enters the game for J. Isaac,,8,7
1,6:15.0,,K. Dunn misses free throw 2 of 2,8,7
1,6:12.0,Defensive rebound by A. Gordon,,8,7
1,5:59.0,W. Iwundu misses 2-pt layup from 2 ft (block by J. Holiday),,8,7
1,5:56.0,,Defensive rebound by W. Carter,8,7
1,5:51.0,,L. Markkanen misses 2-pt layup from 2 ft (block by A. Gordon),8,7
1,5:47.0,Defensive rebound by D. Augustin,,8,7
1,5:39.0,N. Vučević misses 2-pt jump shot from 6 ft (block by L. Markkanen),,8,7
1,5:39.0,Offensive rebound by N. Vučević,,8,7
1,5:39.0,Personal foul by W. Carter (drawn by N. Vučević),,8,7
1,5:32.0,N. Vučević misses 2-pt jump shot from 17 ft,,8,7
1,5:29.0,,Defensive rebound by J. Holiday,8,7
1,5:21.0,,L. Markkanen makes 2-pt layup from 1 ft (assist by K. Dunn),8,9
1,5:03.0,A. Gordon misses 3-pt jump shot from 23 ft,,8,9
1,4:56.0,,Defensive rebound by W. Carter,8,9
1,4:55.0,,Personal foul by E. Fournier (drawn by K. Dunn),8,9
1,4:55.0,J. Grant enters the game for D. Augustin,,8,9
1,4:55.0,,R. Lopez enters the game for W. Carter,8,9
1,4:47.0,,L. Markkanen misses 2-pt layup from 1 ft (block by N. Vučević),8,9
1,4:44.0,Defensive rebound by N. Vučević,,8,9
1,4:38.0,W. Iwundu makes 3-pt jump shot from 23 ft (assist by E. Fournier),,11,9
1,4:19.0,,K. Dunn makes 2-pt jump shot from 15 ft,11,11
1,3:58.0,N. Vučević makes 2-pt jump shot from 18 ft (assist by E. Fournier),,13,11
1,3:41.0,,R. Lopez makes 2-pt hook shot from 8 ft (assist by R. Arcidiacono),13,13
1,3:17.0,E. Fournier makes 2-pt jump shot from 22 ft (assist by J. Grant),,15,13
1,2:59.0,,L. Markkanen misses 2-pt jump shot from 12 ft,15,13
1,2:57.0,Defensive rebound by N. Vučević,,15,13
1,2:50.0,N. Vučević makes 3-pt jump shot from 26 ft (assist by J. Grant),,18,13
1,2:34.0,,J. Holiday makes 2-pt jump shot from 15 ft (assist by L. Markkanen),18,15
1,2:15.0,Turnover by E. Fournier (bad pass; steal by J. Holiday),,18,15
1,2:10.0,,J. Holiday misses 3-pt jump shot from 27 ft,18,15
1,2:07.0,Defensive rebound by A. Gordon,,18,15
1,1:56.0,A. Gordon misses 2-pt layup from 2 ft (block by R. Lopez),,18,15
1,1:52.0,,Defensive rebound by L. Markkanen,18,15
1,1:50.0,,R. Arcidiacono makes 2-pt layup from 1 ft (assist by L. Markkanen),18,17
